# Matrix: t2dal_e
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/t2dal_e.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 09:43:13
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 4257
# Cols: 4257
# NNZ(A): 4257
# NNZ(C) estimate: 4257
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.09      0.06      0.02      0.10      0.27         0.03      | 533      0        0        0        0        | 1      533            4257         -       
8      8      1      1/8    | 0.10      0.06      0.02      0.10      0.29         0.03      | 533      0        0        0        0        | 8      533            4257         -       
8      8      2      2/8    | 0.09      0.06      0.01      0.09      0.26         0.03      | 533      0        0        0        0        | 16     533            4257         -       
8      8      3      3/8    | 0.11      0.07      0.02      0.10      0.30         0.03      | 533      0        0        0        0        | 24     533            4257         -       
8      8      4      4/8    | 0.09      0.06      0.02      0.10      0.28         0.03      | 533      0        0        0        0        | 32     533            4257         -       
8      8      5      5/8    | 0.08      0.06      0.02      0.09      0.26         0.03      | 533      0        0        0        0        | 40     533            4257         -       
8      8      6      6/8    | 0.08      0.06      0.02      0.09      0.26         0.03      | 533      0        0        0        0        | 48     533            4257         -       
8      8      7      7/8    | 0.08      0.06      0.01      0.09      0.25         0.03      | 533      0        0        0        0        | 56     533            4257         -       
8      8      8      8/8    | 0.08      0.06      0.02      0.09      0.25         0.03      | 533      0        0        0        0        | 64     533            4257         -       
8      16     0      0/8    | 0.11      0.07      0.02      0.11      0.31         0.03      | 533      0        0        0        0        | 1      1065           4257         -       
8      16     1      1/8    | 0.09      0.06      0.02      0.10      0.28         0.03      | 533      0        0        0        0        | 8      1065           4257         -       
8      16     2      2/8    | 0.11      0.06      0.02      0.10      0.30         0.03      | 533      0        0        0        0        | 16     1065           4257         -       
8      16     3      3/8    | 0.16      0.10      0.03      0.21      0.52         0.02      | 533      0        0        0        0        | 24     1065           4257         -       
8      16     4      4/8    | 0.10      0.07      0.02      0.10      0.29         0.03      | 533      0        0        0        0        | 32     1065           4257         -       
8      16     5      5/8    | 0.09      0.06      0.02      0.10      0.27         0.03      | 533      0        0        0        0        | 40     1065           4257         -       
8      16     6      6/8    | 0.09      0.06      0.02      0.10      0.28         0.03      | 533      0        0        0        0        | 48     1065           4257         -       
8      16     7      7/8    | 0.08      0.06      0.01      0.09      0.25         0.03      | 533      0        0        0        0        | 56     1065           4257         -       
8      16     8      8/8    | 0.08      0.06      0.01      0.09      0.26         0.03      | 533      0        0        0        0        | 64     1065           4257         -       
8      32     0      0/8    | 0.10      0.07      0.02      0.11      0.31         0.03      | 533      0        0        0        0        | 1      2129           4257         -       
8      32     1      1/8    | 0.09      0.06      0.02      0.10      0.28         0.03      | 533      0        0        0        0        | 8      2129           4257         -       
8      32     2      2/8    | 0.09      0.06      0.02      0.10      0.28         0.03      | 533      0        0        0        0        | 16     2129           4257         -       
8      32     3      3/8    | 0.10      0.07      0.02      0.11      0.31         0.03      | 533      0        0        0        0        | 24     2129           4257         -       
8      32     4      4/8    | 0.09      0.07      0.02      0.10      0.28         0.03      | 533      0        0        0        0        | 32     2129           4257         -       
8      32     5      5/8    | 0.10      0.07      0.02      0.11      0.30         0.03      | 533      0        0        0        0        | 40     2129           4257         -       
8      32     6      6/8    | 0.09      0.07      0.02      0.11      0.29         0.03      | 533      0        0        0        0        | 48     2129           4257         -       
8      32     7      7/8    | 0.09      0.07      0.02      0.11      0.29         0.03      | 533      0        0        0        0        | 56     2129           4257         -       
8      32     8      8/8    | 0.11      0.06      0.02      0.11      0.31         0.03      | 533      0        0        0        0        | 64     2129           4257         -       
16     8      0      0/8    | 0.09      0.08      0.02      0.09      0.30         0.03      | 267      0        0        0        0        | 1      267            4257         -       
16     8      1      1/8    | 0.08      0.08      0.02      0.10      0.29         0.03      | 267      0        0        0        0        | 32     267            4257         -       
16     8      2      2/8    | 0.10      0.08      0.02      0.09      0.29         0.03      | 267      0        0        0        0        | 64     267            4257         -       
16     8      3      3/8    | 0.10      0.08      0.03      0.09      0.30         0.03      | 267      0        0        0        0        | 96     267            4257         -       
16     8      4      4/8    | 0.08      0.07      0.02      0.09      0.28         0.03      | 267      0        0        0        0        | 128    267            4257         -       
16     8      5      5/8    | 0.08      0.08      0.02      0.09      0.28         0.03      | 267      0        0        0        0        | 160    267            4257         -       
16     8      6      6/8    | 0.08      0.07      0.02      0.09      0.27         0.03      | 267      0        0        0        0        | 192    267            4257         -       
16     8      7      7/8    | 0.08      0.07      0.02      0.09      0.27         0.03      | 267      0        0        0        0        | 224    267            4257         -       
16     8      8      8/8    | 0.11      0.08      0.03      0.10      0.33         0.03      | 267      0        0        0        0        | 256    267            4257         -       
16     16     0      0/8    | 0.08      0.07      0.01      0.10      0.27         0.03      | 267      0        0        0        0        | 1      267            4257         -       
16     16     1      1/8    | 0.09      0.07      0.01      0.10      0.28         0.03      | 267      0        0        0        0        | 32     267            4257         -       
16     16     2      2/8    | 0.09      0.07      0.02      0.10      0.28         0.03      | 267      0        0        0        0        | 64     267            4257         -       
16     16     3      3/8    | 0.08      0.07      0.01      0.09      0.26         0.03      | 267      0        0        0        0        | 96     267            4257         -       
16     16     4      4/8    | 0.11      0.07      0.02      0.10      0.31         0.03      | 267      0        0        0        0        | 128    267            4257         -       
16     16     5      5/8    | 0.09      0.07      0.01      0.10      0.28         0.03      | 267      0        0        0        0        | 160    267            4257         -       
16     16     6      6/8    | 0.10      0.07      0.02      0.10      0.29         0.03      | 267      0        0        0        0        | 192    267            4257         -       
16     16     7      7/8    | 0.18      0.12      0.03      0.21      0.56         0.02      | 267      0        0        0        0        | 224    267            4257         -       
16     16     8      8/8    | 0.10      0.07      0.02      0.10      0.29         0.03      | 267      0        0        0        0        | 256    267            4257         -       
16     32     0      0/8    | 0.10      0.07      0.02      0.10      0.30         0.03      | 267      0        0        0        0        | 1      533            4257         -       
16     32     1      1/8    | 0.09      0.07      0.02      0.10      0.28         0.03      | 267      0        0        0        0        | 32     533            4257         -       
16     32     2      2/8    | 0.10      0.07      0.02      0.10      0.30         0.03      | 267      0        0        0        0        | 64     533            4257         -       
16     32     3      3/8    | 0.10      0.08      0.02      0.09      0.29         0.03      | 267      0        0        0        0        | 96     533            4257         -       
