# Matrix: tols2000
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/tols2000.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 09:44:23
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 2000
# Cols: 2000
# NNZ(A): 5184
# NNZ(C) estimate: 44510
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.11      0.11      0.04      0.11      0.38         0.24      | 623      0        0        113      100      | 1      836            13066        -       
8      8      1      1/8    | 0.10      0.10      0.04      0.10      0.36         0.25      | 623      0        0        113      100      | 8      836            13066        -       
8      8      2      2/8    | 0.08      0.10      0.04      0.09      0.32         0.28      | 623      0        113      0        100      | 16     836            13066        -       
8      8      3      3/8    | 0.11      0.11      0.04      0.11      0.38         0.23      | 623      0        113      0        100      | 24     836            13066        -       
8      8      4      4/8    | 0.10      0.10      0.04      0.10      0.34         0.26      | 623      0        113      0        100      | 32     836            13066        -       
8      8      5      5/8    | 0.10      0.11      0.04      0.10      0.35         0.26      | 623      0        113      0        100      | 40     836            13066        -       
8      8      6      6/8    | 0.09      0.10      0.04      0.10      0.34         0.26      | 623      0        113      0        100      | 48     836            13066        -       
8      8      7      7/8    | 0.11      0.10      0.04      0.10      0.37         0.24      | 623      0        113      0        100      | 56     836            13066        -       
8      8      8      8/8    | 0.09      0.10      0.05      0.09      0.34         0.26      | 623      0        213      0        0        | 64     836            13066        -       
8      16     0      0/8    | 0.09      0.11      0.04      0.09      0.34         0.26      | 623      0        0        113      100      | 1      1535           13066        -       
8      16     1      1/8    | 0.11      0.11      0.04      0.10      0.37         0.24      | 623      0        0        113      100      | 8      1535           13066        -       
8      16     2      2/8    | 0.09      0.11      0.04      0.10      0.34         0.26      | 623      0        113      0        100      | 16     1535           13066        -       
8      16     3      3/8    | 0.10      0.10      0.04      0.10      0.35         0.25      | 623      0        113      0        100      | 24     1535           13066        -       
8      16     4      4/8    | 0.09      0.10      0.03      0.09      0.33         0.27      | 623      0        113      0        100      | 32     1535           13066        -       
8      16     5      5/8    | 0.08      0.10      0.03      0.09      0.32         0.28      | 623      0        113      0        100      | 40     1535           13066        -       
8      16     6      6/8    | 0.11      0.11      0.04      0.10      0.37         0.24      | 623      0        113      0        100      | 48     1535           13066        -       
8      16     7      7/8    | 0.09      0.11      0.04      0.10      0.36         0.25      | 623      0        113      0        100      | 56     1535           13066        -       
8      16     8      8/8    | 0.10      0.10      0.06      0.10      0.38         0.24      | 623      0        213      0        0        | 64     1535           13066        -       
8      32     0      0/8    | 0.09      0.11      0.06      0.09      0.36         0.25      | 623      0        0        113      100      | 1      3251           13066        -       
8      32     1      1/8    | 0.11      0.12      0.07      0.10      0.41         0.22      | 623      0        0        113      100      | 8      3251           13066        -       
8      32     2      2/8    | 0.09      0.11      0.06      0.10      0.36         0.24      | 623      0        113      0        100      | 16     3251           13066        -       
8      32     3      3/8    | 0.09      0.11      0.06      0.10      0.37         0.24      | 623      0        113      0        100      | 24     3251           13066        -       
8      32     4      4/8    | 0.10      0.11      0.06      0.10      0.37         0.24      | 623      0        113      0        100      | 32     3251           13066        -       
8      32     5      5/8    | 0.09      0.11      0.07      0.10      0.38         0.23      | 623      0        113      0        100      | 40     3251           13066        -       
8      32     6      6/8    | 0.09      0.11      0.07      0.10      0.38         0.24      | 623      0        113      0        100      | 48     3251           13066        -       
8      32     7      7/8    | 0.08      0.11      0.06      0.10      0.35         0.26      | 623      0        113      0        100      | 56     3251           13066        -       
8      32     8      8/8    | 0.09      0.10      0.06      0.10      0.35         0.25      | 623      0        213      0        0        | 64     3251           13066        -       
16     8      0      0/8    | 0.10      0.14      0.06      0.10      0.41         0.22      | 374      0        0        0        25       | 1      399            13066        -       
