# Matrix: zenios
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/zenios.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 09:47:20
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 2873
# Cols: 2873
# NNZ(A): 27191
# NNZ(C) estimate: 596993
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.11      0.30      0.13      0.10      0.65         1.83      | 7585     0        0        1587     0        | 1      15708          51631        -       
8      8      1      1/8    | 0.12      0.30      0.15      0.10      0.69         1.74      | 7585     0        0        1587     0        | 8      15708          51631        -       
8      8      2      2/8    | 0.10      0.30      0.15      0.10      0.67         1.78      | 7585     0        1530     57       0        | 16     15708          51631        -       
8      8      3      3/8    | 0.09      0.30      0.15      0.10      0.65         1.85      | 7585     0        1587     0        0        | 24     15708          51631        -       
8      8      4      4/8    | 0.12      0.31      0.16      0.14      0.73         1.63      | 7585     0        1587     0        0        | 32     15708          51631        -       
8      8      5      5/8    | 0.12      0.31      0.15      0.10      0.69         1.74      | 7585     0        1587     0        0        | 40     15708          51631        -       
8      8      6      6/8    | 0.11      0.30      0.15      0.10      0.67         1.79      | 7585     0        1587     0        0        | 48     15708          51631        -       
8      8      7      7/8    | 0.11      0.30      0.15      0.10      0.68         1.75      | 7585     0        1587     0        0        | 56     15708          51631        -       
8      8      8      8/8    | 0.11      0.30      0.15      0.10      0.67         1.79      | 7585     0        1587     0        0        | 64     15708          51631        -       
8      16     0      0/8    | 0.11      0.23      0.12      0.21      0.68         1.76      | 7585     0        0        1587     0        | 1      21768          51631        -       
8      16     1      1/8    | 0.11      0.25      0.12      0.20      0.68         1.75      | 7585     0        0        1587     0        | 8      21768          51631        -       
8      16     2      2/8    | 0.09      0.23      0.12      0.19      0.64         1.86      | 7585     0        1530     57       0        | 16     21768          51631        -       
8      16     3      3/8    | 0.09      0.22      0.09      0.18      0.60         1.99      | 7585     0        1587     0        0        | 24     21768          51631        -       
8      16     4      4/8    | 0.12      0.23      0.10      0.21      0.67         1.77      | 7585     0        1587     0        0        | 32     21768          51631        -       
8      16     5      5/8    | 0.11      0.23      0.09      0.19      0.62         1.91      | 7585     0        1587     0        0        | 40     21768          51631        -       
8      16     6      6/8    | 0.11      0.24      0.09      0.21      0.67         1.80      | 7585     0        1587     0        0        | 48     21768          51631        -       
8      16     7      7/8    | 0.12      0.25      0.09      0.22      0.69         1.74      | 7585     0        1587     0        0        | 56     21768          51631        -       
8      16     8      8/8    | 0.10      0.23      0.09      0.18      0.62         1.93      | 7585     0        1587     0        0        | 64     21768          51631        -       
8      32     0      0/8    | 0.10      0.24      0.16      0.20      0.70         1.69      | 7585     0        0        1587     0        | 1      33354          51631        -       
8      32     1      1/8    | 0.09      0.23      0.16      0.18      0.67         1.80      | 7585     0        0        1587     0        | 8      33354          51631        -       
8      32     2      2/8    | 0.11      0.23      0.19      0.21      0.76         1.56      | 7585     0        1530     57       0        | 16     33354          51631        -       
8      32     3      3/8    | 0.10      0.24      0.07      0.19      0.61         1.97      | 7585     0        1587     0        0        | 24     33354          51631        -       
8      32     4      4/8    | 0.10      0.23      0.07      0.19      0.61         1.96      | 7585     0        1587     0        0        | 32     33354          51631        -       
8      32     5      5/8    | 0.10      0.23      0.07      0.19      0.59         2.01      | 7585     0        1587     0        0        | 40     33354          51631        -       
8      32     6      6/8    | 0.10      0.23      0.07      0.19      0.59         2.02      | 7585     0        1587     0        0        | 48     33354          51631        -       
8      32     7      7/8    | 0.12      0.25      0.07      0.26      0.71         1.68      | 7585     0        1587     0        0        | 56     33354          51631        -       
8      32     8      8/8    | 0.10      0.24      0.07      0.19      0.61         1.94      | 7585     0        1587     0        0        | 64     33354          51631        -       
16     8      0      0/8    | 0.11      0.29      0.20      0.11      0.72         1.66      | 2941     0        0        277      0        | 1      5060           51631        -       
16     8      1      1/8    | 0.12      0.29      0.21      0.12      0.74         1.60      | 2941     0        0        277      0        | 32     5060           51631        -       
16     8      2      2/8    | 0.13      0.29      0.21      0.13      0.78         1.52      | 2941     0        271      6        0        | 64     5060           51631        -       
16     8      3      3/8    | 0.12      0.29      0.20      0.11      0.73         1.64      | 2941     0        277      0        0        | 96     5060           51631        -       
16     8      4      4/8    | 0.12      0.29      0.20      0.11      0.72         1.65      | 2941     0        277      0        0        | 128    5060           51631        -       
16     8      5      5/8    | 0.12      0.29      0.21      0.11      0.72         1.65      | 2941     0        277      0        0        | 160    5060           51631        -       
16     8      6      6/8    | 0.12      0.29      0.20      0.11      0.73         1.64      | 2941     0        277      0        0        | 192    5060           51631        -       
16     8      7      7/8    | 0.12      0.30      0.20      0.11      0.74         1.60      | 2941     0        277      0        0        | 224    5060           51631        -       
16     8      8      8/8    | 0.11      0.28      0.20      0.10      0.71         1.69      | 2941     0        277      0        0        | 256    5060           51631        -       
16     16     0      0/8    | 0.10      0.22      0.22      0.10      0.66         1.81      | 2941     0        0        277      0        | 1      6762           51631        -       
16     16     1      1/8    | 0.09      0.22      0.22      0.10      0.64         1.86      | 2941     0        0        277      0        | 32     6762           51631        -       
16     16     2      2/8    | 0.18      0.27      0.16      0.22      0.84         1.41      | 2941     0        271      6        0        | 64     6762           51631        -       
16     16     3      3/8    | 0.12      0.23      0.14      0.10      0.60         2.00      | 2941     0        277      0        0        | 96     6762           51631        -       
16     16     4      4/8    | 0.11      0.22      0.16      0.11      0.62         1.93      | 2941     0        277      0        0        | 128    6762           51631        -       
16     16     5      5/8    | 0.10      0.22      0.16      0.11      0.59         2.02      | 2941     0        277      0        0        | 160    6762           51631        -       
16     16     6      6/8    | 0.10      0.22      0.13      0.10      0.56         2.15      | 2941     0        277      0        0        | 192    6762           51631        -       
16     16     7      7/8    | 0.10      0.22      0.13      0.10      0.56         2.12      | 2941     0        277      0        0        | 224    6762           51631        -       
16     16     8      8/8    | 0.10      0.22      0.14      0.10      0.56         2.14      | 2941     0        277      0        0        | 256    6762           51631        -       
16     32     0      0/8    | 0.09      0.19      0.30      0.18      0.78         1.54      | 2941     0        0        277      0        | 1      10124          51631        -       
16     32     1      1/8    | 0.12      0.20      0.32      0.28      0.93         1.29      | 2941     0        0        277      0        | 32     10124          51631        -       
16     32     2      2/8    | 0.09      0.19      0.24      0.18      0.71         1.69      | 2941     0        271      6        0        | 64     10124          51631        -       
16     32     3      3/8    | 0.12      0.19      0.12      0.21      0.65         1.83      | 2941     0        277      0        0        | 96     10124          51631        -       
16     32     4      4/8    | 0.10      0.18      0.11      0.19      0.58         2.04      | 2941     0        277      0        0        | 128    10124          51631        -       
16     32     5      5/8    | 0.10      0.19      0.11      0.21      0.63         1.91      | 2941     0        277      0        0        | 160    10124          51631        -       
16     32     6      6/8    | 0.12      0.19      0.12      0.21      0.65         1.85      | 2941     0        277      0        0        | 192    10124          51631        -       
