# Matrix: G61
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.01-0.1/G61.mtx
# Category: 1k-10k-0.01-0.1
# Date: 2026-03-06 10:54:35
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 7000
# Cols: 7000
# NNZ(A): 34296
# NNZ(C) estimate: 201404
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.16      1.76      0.32      0.77      3.01         0.13      | 149916   0        0        71       0        | 1      622449         173713       -       
8      8      1      1/8    | 0.15      1.72      0.32      0.73      2.93         0.14      | 149916   0        0        71       0        | 8      622449         173713       -       
8      8      2      2/8    | 0.16      1.73      0.31      0.73      2.94         0.14      | 149916   0        71       0        0        | 16     622449         173713       -       
8      8      3      3/8    | 0.15      1.73      0.31      0.73      2.93         0.14      | 149916   0        71       0        0        | 24     622449         173713       -       
8      8      4      4/8    | 0.15      1.73      0.31      0.72      2.92         0.14      | 149916   0        71       0        0        | 32     622449         173713       -       
8      8      5      5/8    | 0.15      1.74      0.32      0.73      2.95         0.14      | 149916   0        71       0        0        | 40     622449         173713       -       
8      8      6      6/8    | 0.15      1.72      0.32      0.71      2.90         0.14      | 149916   0        71       0        0        | 48     622449         173713       -       
8      8      7      7/8    | 0.15      1.74      0.32      0.78      3.00         0.13      | 149916   0        71       0        0        | 56     622449         173713       -       
8      8      8      8/8    | 0.15      1.76      0.31      0.72      2.96         0.14      | 149916   0        71       0        0        | 64     622449         173713       -       
8      16     0      0/8    | 0.18      2.02      0.41      0.78      3.40         0.12      | 149916   0        0        71       0        | 1      735239         173713       -       
8      16     1      1/8    | 0.18      2.06      0.41      0.80      3.46         0.12      | 149916   0        0        71       0        | 8      735239         173713       -       
8      16     2      2/8    | 0.18      2.11      0.41      0.76      3.48         0.12      | 149916   0        71       0        0        | 16     735239         173713       -       
8      16     3      3/8    | 0.17      2.01      0.38      0.75      3.32         0.12      | 149916   0        71       0        0        | 24     735239         173713       -       
8      16     4      4/8    | 0.17      2.02      0.38      0.78      3.34         0.12      | 149916   0        71       0        0        | 32     735239         173713       -       
8      16     5      5/8    | 0.17      2.02      0.38      0.76      3.34         0.12      | 149916   0        71       0        0        | 40     735239         173713       -       
8      16     6      6/8    | 0.17      2.02      0.38      0.75      3.32         0.12      | 149916   0        71       0        0        | 48     735239         173713       -       
8      16     7      7/8    | 0.17      2.00      0.38      0.75      3.32         0.12      | 149916   0        71       0        0        | 56     735239         173713       -       
8      16     8      8/8    | 0.17      2.01      0.38      0.76      3.33         0.12      | 149916   0        71       0        0        | 64     735239         173713       -       
8      32     0      0/8    | 0.16      2.07      0.51      0.70      3.45         0.12      | 149916   0        0        71       0        | 1      763825         173713       -       
8      32     1      1/8    | 0.16      2.08      0.51      0.72      3.49         0.12      | 149916   0        0        71       0        | 8      763825         173713       -       
8      32     2      2/8    | 0.18      2.23      0.45      0.80      3.66         0.11      | 149916   0        71       0        0        | 16     763825         173713       -       
8      32     3      3/8    | 0.17      2.11      0.44      0.72      3.45         0.12      | 149916   0        71       0        0        | 24     763825         173713       -       
8      32     4      4/8    | 0.16      2.08      0.44      0.71      3.39         0.12      | 149916   0        71       0        0        | 32     763825         173713       -       
8      32     5      5/8    | 0.16      2.08      0.43      0.71      3.40         0.12      | 149916   0        71       0        0        | 40     763825         173713       -       
8      32     6      6/8    | 0.18      2.12      0.44      0.74      3.48         0.12      | 149916   0        71       0        0        | 48     763825         173713       -       
8      32     7      7/8    | 0.18      2.09      0.44      0.73      3.44         0.12      | 149916   0        71       0        0        | 56     763825         173713       -       
8      32     8      8/8    | 0.17      2.11      0.43      0.71      3.43         0.12      | 149916   0        71       0        0        | 64     763825         173713       -       
16     8      0      0/8    | 0.16      0.80      0.50      0.51      1.97         0.20      | 110858   0        0        0        0        | 1      191530         173713       -       
16     8      1      1/8    | 0.16      0.82      0.44      0.52      1.95         0.21      | 110858   0        0        0        0        | 32     191530         173713       -       
16     8      2      2/8    | 0.16      0.77      0.44      0.50      1.88         0.21      | 110858   0        0        0        0        | 64     191530         173713       -       
16     8      3      3/8    | 0.16      0.79      0.53      0.55      2.04         0.20      | 110858   0        0        0        0        | 96     191530         173713       -       
16     8      4      4/8    | 0.16      0.80      0.44      0.51      1.92         0.21      | 110858   0        0        0        0        | 128    191530         173713       -       
16     8      5      5/8    | 0.16      0.80      0.44      0.52      1.93         0.21      | 110858   0        0        0        0        | 160    191530         173713       -       
16     8      6      6/8    | 0.16      0.81      0.44      0.51      1.92         0.21      | 110858   0        0        0        0        | 192    191530         173713       -       
16     8      7      7/8    | 0.16      0.77      0.43      0.50      1.88         0.21      | 110858   0        0        0        0        | 224    191530         173713       -       
16     8      8      8/8    | 0.17      0.80      0.44      0.54      1.96         0.21      | 110858   0        0        0        0        | 256    191530         173713       -       
16     16     0      0/8    | 0.18      0.92      0.51      0.50      2.13         0.19      | 110858   0        0        0        0        | 1      191842         173713       -       
16     16     1      1/8    | 0.17      0.91      0.52      0.52      2.13         0.19      | 110858   0        0        0        0        | 32     191842         173713       -       
16     16     2      2/8    | 0.18      0.93      0.51      0.55      2.18         0.19      | 110858   0        0        0        0        | 64     191842         173713       -       
16     16     3      3/8    | 0.18      0.92      0.51      0.52      2.14         0.19      | 110858   0        0        0        0        | 96     191842         173713       -       
16     16     4      4/8    | 0.17      0.89      0.51      0.49      2.08         0.19      | 110858   0        0        0        0        | 128    191842         173713       -       
16     16     5      5/8    | 0.17      0.89      0.51      0.49      2.08         0.19      | 110858   0        0        0        0        | 160    191842         173713       -       
16     16     6      6/8    | 0.17      0.92      0.51      0.49      2.10         0.19      | 110858   0        0        0        0        | 192    191842         173713       -       
16     16     7      7/8    | 0.17      0.91      0.51      0.51      2.11         0.19      | 110858   0        0        0        0        | 224    191842         173713       -       
16     16     8      8/8    | 0.18      0.92      0.52      0.54      2.17         0.19      | 110858   0        0        0        0        | 256    191842         173713       -       
16     32     0      0/8    | 0.17      1.22      0.67      0.47      2.53         0.16      | 110858   0        0        0        0        | 1      191844         173713       -       
16     32     1      1/8    | 0.17      1.21      0.65      0.49      2.53         0.16      | 110858   0        0        0        0        | 32     191844         173713       -       
16     32     2      2/8    | 0.17      1.21      0.66      0.45      2.51         0.16      | 110858   0        0        0        0        | 64     191844         173713       -       
16     32     3      3/8    | 0.17      1.22      0.66      0.47      2.53         0.16      | 110858   0        0        0        0        | 96     191844         173713       -       
16     32     4      4/8    | 0.17      1.21      0.69      0.49      2.57         0.16      | 110858   0        0        0        0        | 128    191844         173713       -       
16     32     5      5/8    | 0.17      1.18      0.66      0.49      2.51         0.16      | 110858   0        0        0        0        | 160    191844         173713       -       
16     32     6      6/8    | 0.17      1.16      0.68      0.46      2.48         0.16      | 110858   0        0        0        0        | 192    191844         173713       -       
16     32     7      7/8    | 0.17      1.21      0.67      0.47      2.53         0.16      | 110858   0        0        0        0        | 224    191844         173713       -       
16     32     8      8/8    | 0.17      1.18      0.68      0.47      2.51         0.16      | 110858   0        0        0        0        | 256    191844         173713       -       
32     8      0      0/8    | 0.21      0.87      0.64      0.36      2.09         0.19      | 46293    0        0        0        0        | 1      47961          173713       -       
32     8      1      1/8    | 0.21      0.87      0.64      0.34      2.07         0.19      | 46293    0        0        0        0        | 128    47961          173713       -       
32     8      2      2/8    | 0.21      0.89      0.64      0.37      2.12         0.19      | 46293    0        0        0        0        | 256    47961          173713       -       
32     8      3      3/8    | 0.22      0.87      0.64      0.35      2.07         0.19      | 46293    0        0        0        0        | 384    47961          173713       -       
32     8      4      4/8    | 0.21      0.86      0.64      0.34      2.06         0.20      | 46293    0        0        0        0        | 512    47961          173713       -       
32     8      5      5/8    | 0.21      0.85      0.64      0.33      2.05         0.20      | 46293    0        0        0        0        | 640    47961          173713       -       
32     8      6      6/8    | 0.22      0.87      0.64      0.34      2.07         0.19      | 46293    0        0        0        0        | 768    47961          173713       -       
32     8      7      7/8    | 0.20      0.85      0.64      0.32      2.02         0.20      | 46293    0        0        0        0        | 896    47961          173713       -       
32     8      8      8/8    | 0.21      0.86      0.65      0.33      2.05         0.20      | 46293    0        0        0        0        | 1024   47961          173713       -       
32     16     0      0/8    | 0.23      1.38      1.42      0.37      3.41         0.12      | 46293    0        0        0        0        | 1      47961          173713       -       
32     16     1      1/8    | 0.21      1.36      1.41      0.35      3.33         0.12      | 46293    0        0        0        0        | 128    47961          173713       -       
32     16     2      2/8    | 0.22      1.38      1.40      0.35      3.35         0.12      | 46293    0        0        0        0        | 256    47961          173713       -       
