# Matrix: barth4
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.01-0.1/barth4.mtx
# Category: 1k-10k-0.01-0.1
# Date: 2026-03-06 09:49:07
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 6019
# Cols: 6019
# NNZ(A): 23492
# NNZ(C) estimate: 89722
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.11      0.12      0.05      0.11      0.39         0.46      | 4748     0        0        2231     0        | 1      14179          50924        -       
8      8      1      1/8    | 0.09      0.12      0.05      0.11      0.38         0.47      | 4748     0        0        2231     0        | 8      14179          50924        -       
8      8      2      2/8    | 0.10      0.13      0.06      0.10      0.40         0.45      | 4748     0        1246     985      0        | 16     14179          50924        -       
8      8      3      3/8    | 0.12      0.12      0.05      0.11      0.40         0.45      | 4748     0        2141     90       0        | 24     14179          50924        -       
8      8      4      4/8    | 0.10      0.12      0.04      0.10      0.37         0.49      | 4748     0        2228     3        0        | 32     14179          50924        -       
8      8      5      5/8    | 0.10      0.12      0.04      0.11      0.38         0.48      | 4748     0        2231     0        0        | 40     14179          50924        -       
8      8      6      6/8    | 0.08      0.12      0.04      0.09      0.34         0.52      | 4748     0        2231     0        0        | 48     14179          50924        -       
8      8      7      7/8    | 0.09      0.12      0.04      0.13      0.38         0.47      | 4748     0        2231     0        0        | 56     14179          50924        -       
8      8      8      8/8    | 0.11      0.12      0.04      0.11      0.39         0.46      | 4748     0        2231     0        0        | 64     14179          50924        -       
8      16     0      0/8    | 0.10      0.12      0.06      0.21      0.49         0.37      | 4748     0        0        2231     0        | 1      19160          50924        -       
8      16     1      1/8    | 0.09      0.10      0.05      0.18      0.43         0.42      | 4748     0        0        2231     0        | 8      19160          50924        -       
8      16     2      2/8    | 0.10      0.11      0.05      0.19      0.45         0.40      | 4748     0        1246     985      0        | 16     19160          50924        -       
8      16     3      3/8    | 0.09      0.10      0.04      0.19      0.44         0.41      | 4748     0        2141     90       0        | 24     19160          50924        -       
8      16     4      4/8    | 0.11      0.12      0.04      0.21      0.49         0.36      | 4748     0        2228     3        0        | 32     19160          50924        -       
8      16     5      5/8    | 0.10      0.11      0.03      0.19      0.44         0.41      | 4748     0        2231     0        0        | 40     19160          50924        -       
8      16     6      6/8    | 0.10      0.11      0.04      0.20      0.47         0.39      | 4748     0        2231     0        0        | 48     19160          50924        -       
8      16     7      7/8    | 0.09      0.11      0.03      0.19      0.42         0.43      | 4748     0        2231     0        0        | 56     19160          50924        -       
8      16     8      8/8    | 0.08      0.11      0.04      0.19      0.42         0.43      | 4748     0        2231     0        0        | 64     19160          50924        -       
8      32     0      0/8    | 0.09      0.15      0.07      0.17      0.49         0.37      | 4748     0        0        2231     0        | 1      27617          50924        -       
8      32     1      1/8    | 0.09      0.13      0.07      0.18      0.48         0.37      | 4748     0        0        2231     0        | 8      27617          50924        -       
8      32     2      2/8    | 0.11      0.16      0.08      0.21      0.56         0.32      | 4748     0        1246     985      0        | 16     27617          50924        -       
8      32     3      3/8    | 0.10      0.15      0.07      0.20      0.53         0.34      | 4748     0        2141     90       0        | 24     27617          50924        -       
8      32     4      4/8    | 0.08      0.13      0.04      0.18      0.46         0.39      | 4748     0        2228     3        0        | 32     27617          50924        -       
8      32     5      5/8    | 0.11      0.14      0.04      0.21      0.51         0.35      | 4748     0        2231     0        0        | 40     27617          50924        -       
8      32     6      6/8    | 0.10      0.14      0.04      0.19      0.47         0.38      | 4748     0        2231     0        0        | 48     27617          50924        -       
8      32     7      7/8    | 0.09      0.15      0.03      0.19      0.47         0.38      | 4748     0        2231     0        0        | 56     27617          50924        -       
8      32     8      8/8    | 0.11      0.16      0.04      0.25      0.56         0.32      | 4748     0        2231     0        0        | 64     27617          50924        -       
16     8      0      0/8    | 0.10      0.13      0.07      0.10      0.41         0.44      | 3101     0        0        555      0        | 1      6672           50924        -       
16     8      1      1/8    | 0.12      0.12      0.07      0.10      0.42         0.42      | 3101     0        0        555      0        | 32     6672           50924        -       
16     8      2      2/8    | 0.11      0.13      0.07      0.10      0.42         0.43      | 3101     0        508      47       0        | 64     6672           50924        -       
16     8      3      3/8    | 0.09      0.13      0.04      0.10      0.37         0.48      | 3101     0        555      0        0        | 96     6672           50924        -       
16     8      4      4/8    | 0.12      0.14      0.05      0.10      0.42         0.43      | 3101     0        555      0        0        | 128    6672           50924        -       
16     8      5      5/8    | 0.10      0.13      0.05      0.10      0.38         0.47      | 3101     0        555      0        0        | 160    6672           50924        -       
16     8      6      6/8    | 0.10      0.13      0.04      0.09      0.37         0.49      | 3101     0        555      0        0        | 192    6672           50924        -       
16     8      7      7/8    | 0.09      0.13      0.04      0.09      0.36         0.50      | 3101     0        555      0        0        | 224    6672           50924        -       
16     8      8      8/8    | 0.09      0.12      0.04      0.09      0.35         0.51      | 3101     0        555      0        0        | 256    6672           50924        -       
16     16     0      0/8    | 0.09      0.12      0.08      0.10      0.40         0.45      | 3101     0        0        555      0        | 1      8529           50924        -       
16     16     1      1/8    | 0.11      0.12      0.09      0.11      0.44         0.41      | 3101     0        0        555      0        | 32     8529           50924        -       
16     16     2      2/8    | 0.10      0.13      0.08      0.10      0.42         0.43      | 3101     0        508      47       0        | 64     8529           50924        -       
