# Matrix: bayer09
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.01-0.1/bayer09.mtx
# Category: 1k-10k-0.01-0.1
# Date: 2026-03-06 09:53:28
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 3083
# Cols: 3083
# NNZ(A): 21216
# NNZ(C) estimate: 152791
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.13      0.05      0.11      0.40         0.76      | 4795     0        0        2404     138      | 1      9863           83047        -       
8      8      1      1/8    | 0.12      0.12      0.05      0.11      0.40         0.76      | 4795     0        0        2404     138      | 8      9863           83047        -       
8      8      2      2/8    | 0.11      0.12      0.05      0.11      0.41         0.75      | 4795     0        1173     1231     138      | 16     9863           83047        -       
8      8      3      3/8    | 0.11      0.13      0.05      0.11      0.41         0.74      | 4795     0        1617     787      138      | 24     9863           83047        -       
8      8      4      4/8    | 0.09      0.13      0.05      0.10      0.38         0.81      | 4795     0        1878     526      138      | 32     9863           83047        -       
8      8      5      5/8    | 0.09      0.12      0.04      0.11      0.37         0.82      | 4795     0        2072     332      138      | 40     9863           83047        -       
8      8      6      6/8    | 0.10      0.12      0.04      0.11      0.38         0.80      | 4795     0        2260     144      138      | 48     9863           83047        -       
8      8      7      7/8    | 0.10      0.12      0.05      0.11      0.39         0.79      | 4795     0        2394     10       138      | 56     9863           83047        -       
8      8      8      8/8    | 0.12      0.15      0.06      0.74      1.07         0.28      | 4795     0        2542     0        0        | 64     9863           83047        -       
8      16     0      0/8    | 0.10      0.12      0.05      0.11      0.40         0.76      | 4795     0        0        2404     138      | 1      11513          83047        -       
8      16     1      1/8    | 0.11      0.12      0.05      0.12      0.42         0.73      | 4795     0        0        2404     138      | 8      11513          83047        -       
8      16     2      2/8    | 0.10      0.12      0.06      0.11      0.40         0.77      | 4795     0        1173     1231     138      | 16     11513          83047        -       
8      16     3      3/8    | 0.11      0.13      0.06      0.11      0.42         0.73      | 4795     0        1617     787      138      | 24     11513          83047        -       
8      16     4      4/8    | 0.12      0.12      0.05      0.11      0.40         0.76      | 4795     0        1878     526      138      | 32     11513          83047        -       
8      16     5      5/8    | 0.11      0.11      0.05      0.11      0.39         0.78      | 4795     0        2072     332      138      | 40     11513          83047        -       
8      16     6      6/8    | 0.10      0.13      0.05      0.11      0.41         0.75      | 4795     0        2260     144      138      | 48     11513          83047        -       
8      16     7      7/8    | 0.10      0.13      0.05      0.11      0.40         0.77      | 4795     0        2394     10       138      | 56     11513          83047        -       
8      16     8      8/8    | 0.10      0.14      0.05      0.12      0.41         0.74      | 4795     0        2542     0        0        | 64     11513          83047        -       
8      32     0      0/8    | 0.11      0.13      0.06      0.11      0.42         0.72      | 4795     0        0        2404     138      | 1      14032          83047        -       
8      32     1      1/8    | 0.12      0.13      0.07      0.11      0.43         0.71      | 4795     0        0        2404     138      | 8      14032          83047        -       
8      32     2      2/8    | 0.10      0.13      0.07      0.11      0.41         0.74      | 4795     0        1173     1231     138      | 16     14032          83047        -       
8      32     3      3/8    | 0.10      0.12      0.07      0.11      0.42         0.73      | 4795     0        1617     787      138      | 24     14032          83047        -       
8      32     4      4/8    | 0.11      0.12      0.07      0.11      0.42         0.73      | 4795     0        1878     526      138      | 32     14032          83047        -       
8      32     5      5/8    | 0.10      0.12      0.07      0.11      0.41         0.75      | 4795     0        2072     332      138      | 40     14032          83047        -       
8      32     6      6/8    | 0.10      0.13      0.07      0.11      0.42         0.73      | 4795     0        2260     144      138      | 48     14032          83047        -       
8      32     7      7/8    | 0.10      0.13      0.07      0.11      0.42         0.73      | 4795     0        2394     10       138      | 56     14032          83047        -       
8      32     8      8/8    | 0.09      0.14      0.04      0.11      0.39         0.78      | 4795     0        2542     0        0        | 64     14032          83047        -       
16     8      0      0/8    | 0.12      0.13      0.07      0.11      0.43         0.71      | 2559     0        0        728      0        | 1      3837           83047        -       
16     8      1      1/8    | 0.10      0.14      0.06      0.11      0.42         0.73      | 2559     0        0        728      0        | 32     3837           83047        -       
16     8      2      2/8    | 0.11      0.13      0.07      0.11      0.42         0.73      | 2559     0        362      366      0        | 64     3837           83047        -       
16     8      3      3/8    | 0.10      0.13      0.06      0.11      0.41         0.74      | 2559     0        524      204      0        | 96     3837           83047        -       
16     8      4      4/8    | 0.10      0.13      0.06      0.10      0.40         0.76      | 2559     0        634      94       0        | 128    3837           83047        -       
16     8      5      5/8    | 0.10      0.13      0.06      0.10      0.40         0.76      | 2559     0        679      49       0        | 160    3837           83047        -       
16     8      6      6/8    | 0.09      0.12      0.06      0.10      0.39         0.79      | 2559     0        723      5        0        | 192    3837           83047        -       
16     8      7      7/8    | 0.10      0.13      0.07      0.10      0.41         0.74      | 2559     0        727      1        0        | 224    3837           83047        -       
16     8      8      8/8    | 0.12      0.13      0.07      0.10      0.43         0.72      | 2559     0        728      0        0        | 256    3837           83047        -       
16     16     0      0/8    | 0.10      0.12      0.07      0.11      0.41         0.75      | 2559     0        0        728      0        | 1      4247           83047        -       
16     16     1      1/8    | 0.10      0.13      0.07      0.10      0.41         0.75      | 2559     0        0        728      0        | 32     4247           83047        -       
16     16     2      2/8    | 0.10      0.13      0.07      0.10      0.41         0.74      | 2559     0        362      366      0        | 64     4247           83047        -       
16     16     3      3/8    | 0.09      0.13      0.07      0.10      0.41         0.75      | 2559     0        524      204      0        | 96     4247           83047        -       
16     16     4      4/8    | 0.10      0.15      0.07      0.11      0.44         0.69      | 2559     0        634      94       0        | 128    4247           83047        -       
16     16     5      5/8    | 0.12      0.14      0.07      0.13      0.47         0.65      | 2559     0        679      49       0        | 160    4247           83047        -       
16     16     6      6/8    | 0.10      0.13      0.06      0.10      0.41         0.75      | 2559     0        723      5        0        | 192    4247           83047        -       
16     16     7      7/8    | 0.10      0.13      0.06      0.11      0.41         0.74      | 2559     0        727      1        0        | 224    4247           83047        -       
16     16     8      8/8    | 0.10      0.14      0.06      0.10      0.42         0.73      | 2559     0        728      0        0        | 256    4247           83047        -       
16     32     0      0/8    | 0.10      0.12      0.10      0.11      0.44         0.69      | 2559     0        0        728      0        | 1      4875           83047        -       
16     32     1      1/8    | 0.10      0.13      0.10      0.11      0.44         0.69      | 2559     0        0        728      0        | 32     4875           83047        -       
16     32     2      2/8    | 0.10      0.12      0.10      0.11      0.44         0.69      | 2559     0        362      366      0        | 64     4875           83047        -       
16     32     3      3/8    | 0.12      0.13      0.10      0.12      0.47         0.64      | 2559     0        524      204      0        | 96     4875           83047        -       
16     32     4      4/8    | 0.10      0.12      0.09      0.10      0.43         0.72      | 2559     0        634      94       0        | 128    4875           83047        -       
16     32     5      5/8    | 0.11      0.12      0.09      0.10      0.42         0.72      | 2559     0        679      49       0        | 160    4875           83047        -       
16     32     6      6/8    | 0.10      0.12      0.06      0.11      0.41         0.75      | 2559     0        723      5        0        | 192    4875           83047        -       
16     32     7      7/8    | 0.11      0.12      0.07      0.11      0.41         0.75      | 2559     0        727      1        0        | 224    4875           83047        -       
16     32     8      8/8    | 0.10      0.12      0.07      0.10      0.40         0.76      | 2559     0        728      0        0        | 256    4875           83047        -       
32     8      0      0/8    | 0.09      0.14      0.16      0.10      0.50         0.61      | 1135     0        0        218      0        | 1      1468           83047        -       
32     8      1      1/8    | 0.10      0.14      0.16      0.10      0.51         0.60      | 1135     0        0        218      0        | 128    1468           83047        -       
32     8      2      2/8    | 0.10      0.14      0.15      0.10      0.50         0.61      | 1135     0        157      61       0        | 256    1468           83047        -       
32     8      3      3/8    | 0.11      0.15      0.12      0.10      0.49         0.62      | 1135     0        209      9        0        | 384    1468           83047        -       
32     8      4      4/8    | 0.10      0.15      0.12      0.10      0.49         0.63      | 1135     0        217      1        0        | 512    1468           83047        -       
32     8      5      5/8    | 0.13      0.17      0.12      0.12      0.55         0.56      | 1135     0        218      0        0        | 640    1468           83047        -       
32     8      6      6/8    | 0.10      0.15      0.12      0.10      0.46         0.66      | 1135     0        218      0        0        | 768    1468           83047        -       
32     8      7      7/8    | 0.11      0.15      0.11      0.10      0.49         0.62      | 1135     0        218      0        0        | 896    1468           83047        -       
32     8      8      8/8    | 0.12      0.15      0.11      0.11      0.49         0.62      | 1135     0        218      0        0        | 1024   1468           83047        -       
32     16     0      0/8    | 0.10      0.14      0.14      0.10      0.48         0.63      | 1135     0        0        218      0        | 1      1575           83047        -       
32     16     1      1/8    | 0.10      0.14      0.14      0.10      0.49         0.63      | 1135     0        0        218      0        | 128    1575           83047        -       
32     16     2      2/8    | 0.10      0.14      0.15      0.10      0.51         0.61      | 1135     0        157      61       0        | 256    1575           83047        -       
32     16     3      3/8    | 0.10      0.15      0.13      0.11      0.49         0.62      | 1135     0        209      9        0        | 384    1575           83047        -       
32     16     4      4/8    | 0.12      0.14      0.11      0.11      0.48         0.64      | 1135     0        217      1        0        | 512    1575           83047        -       
32     16     5      5/8    | 0.09      0.14      0.10      0.09      0.44         0.70      | 1135     0        218      0        0        | 640    1575           83047        -       
32     16     6      6/8    | 0.10      0.14      0.10      0.11      0.45         0.67      | 1135     0        218      0        0        | 768    1575           83047        -       
32     16     7      7/8    | 0.11      0.14      0.10      0.10      0.46         0.66      | 1135     0        218      0        0        | 896    1575           83047        -       
32     16     8      8/8    | 0.10      0.14      0.10      0.10      0.46         0.67      | 1135     0        218      0        0        | 1024   1575           83047        -       
32     32     0      0/8    | 0.11      0.13      0.11      0.12      0.49         0.62      | 1135     0        0        218      0        | 1      1766           83047        -       
32     32     1      1/8    | 0.10      0.13      0.12      0.11      0.47         0.65      | 1135     0        0        218      0        | 128    1766           83047        -       
32     32     2      2/8    | 0.12      0.13      0.12      0.11      0.47         0.65      | 1135     0        157      61       0        | 256    1766           83047        -       
32     32     3      3/8    | 0.09      0.12      0.09      0.10      0.41         0.74      | 1135     0        209      9        0        | 384    1766           83047        -       
32     32     4      4/8    | 0.10      0.13      0.11      0.10      0.45         0.68      | 1135     0        217      1        0        | 512    1766           83047        -       
32     32     5      5/8    | 0.10      0.13      0.12      0.11      0.46         0.66      | 1135     0        218      0        0        | 640    1766           83047        -       
32     32     6      6/8    | 0.11      0.13      0.10      0.11      0.45         0.68      | 1135     0        218      0        0        | 768    1766           83047        -       
32     32     7      7/8    | 0.11      0.12      0.10      0.10      0.45         0.68      | 1135     0        218      0        0        | 896    1766           83047        -       
32     32     8      8/8    | 0.10      0.13      0.11      0.10      0.45         0.68      | 1135     0        218      0        0        | 1024   1766           83047        -       
