# Matrix: cavity10
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.01-0.1/cavity10.mtx
# Category: 1k-10k-0.01-0.1
# Date: 2026-03-06 10:09:08
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 2597
# Cols: 2597
# NNZ(A): 76367
# NNZ(C) estimate: 2849767
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.09      0.20      0.12      0.26      0.69         8.31      | 2055     0        0        7536     1661     | 1      14223          333396       -       
8      8      1      1/8    | 0.10      0.21      0.12      0.27      0.70         8.11      | 2055     0        0        7536     1661     | 8      14223          333396       -       
8      8      2      2/8    | 0.09      0.20      0.12      0.26      0.68         8.33      | 2055     0        2310     5226     1661     | 16     14223          333396       -       
8      8      3      3/8    | 0.11      0.21      0.11      0.27      0.70         8.12      | 2055     0        3838     3698     1661     | 24     14223          333396       -       
8      8      4      4/8    | 0.09      0.20      0.11      0.23      0.64         8.95      | 2055     0        5462     2074     1661     | 32     14223          333396       -       
8      8      5      5/8    | 0.09      0.20      0.11      0.24      0.65         8.82      | 2055     0        6121     1415     1661     | 40     14223          333396       -       
8      8      6      6/8    | 0.09      0.20      0.11      0.26      0.67         8.51      | 2055     0        6615     921      1661     | 48     14223          333396       -       
8      8      7      7/8    | 0.09      0.20      0.11      0.24      0.64         8.86      | 2055     0        7120     416      1661     | 56     14223          333396       -       
8      8      8      8/8    | 0.09      0.20      0.13      0.23      0.66         8.66      | 2055     0        9197     0        0        | 64     14223          333396       -       
8      16     0      0/8    | 0.09      0.17      0.11      0.26      0.63         9.06      | 2055     0        0        7536     1661     | 1      15855          333396       -       
8      16     1      1/8    | 0.11      0.18      0.11      0.29      0.70         8.10      | 2055     0        0        7536     1661     | 8      15855          333396       -       
8      16     2      2/8    | 0.10      0.18      0.10      0.26      0.65         8.80      | 2055     0        2310     5226     1661     | 16     15855          333396       -       
8      16     3      3/8    | 0.09      0.17      0.10      0.26      0.63         9.00      | 2055     0        3838     3698     1661     | 24     15855          333396       -       
8      16     4      4/8    | 0.10      0.17      0.10      0.28      0.66         8.58      | 2055     0        5462     2074     1661     | 32     15855          333396       -       
8      16     5      5/8    | 0.09      0.17      0.10      0.25      0.62         9.18      | 2055     0        6121     1415     1661     | 40     15855          333396       -       
8      16     6      6/8    | 0.12      0.18      0.11      0.29      0.70         8.11      | 2055     0        6615     921      1661     | 48     15855          333396       -       
8      16     7      7/8    | 0.10      0.18      0.10      0.30      0.69         8.20      | 2055     0        7120     416      1661     | 56     15855          333396       -       
