# Matrix: circuit_1
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.01-0.1/circuit_1.mtx
# Category: 1k-10k-0.01-0.1
# Date: 2026-03-06 10:12:52
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 2624
# Cols: 2624
# NNZ(A): 35823
# NNZ(C) estimate: 14431116
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.24      2.41      2.57      0.44      5.67         5.09      | 11       0        0        11458    95471    | 1      107006         6725300      -       
8      8      1      1/8    | 0.24      2.69      2.62      0.43      6.00         4.81      | 11       0        0        11458    95471    | 8      107006         6725300      -       
8      8      2      2/8    | 0.24      2.44      2.62      0.45      5.76         5.01      | 11       0        0        11458    95471    | 16     107006         6725300      -       
8      8      3      3/8    | 0.24      2.53      2.67      0.45      5.89         4.90      | 11       0        0        11458    95471    | 24     107006         6725300      -       
8      8      4      4/8    | 0.23      2.42      2.68      0.45      5.79         4.98      | 11       0        12       11446    95471    | 32     107006         6725300      -       
8      8      5      5/8    | 0.23      2.56      2.44      0.44      5.69         5.07      | 11       0        671      10787    95471    | 40     107006         6725300      -       
8      8      6      6/8    | 0.24      2.42      2.60      0.45      5.72         5.05      | 11       0        2629     8829     95471    | 48     107006         6725300      -       
8      8      7      7/8    | 0.24      2.57      2.59      0.45      5.86         4.93      | 11       0        10896    562      95471    | 56     107006         6725300      -       
8      8      8      8/8    | 0.26      2.46      1.12      0.50      4.34         6.65      | 11       0        106929   0        0        | 64     107006         6725300      -       
8      16     0      0/8    | 0.15      1.48      2.50      0.47      4.60         6.27      | 11       0        0        11458    95471    | 1      107031         6725300      -       
8      16     1      1/8    | 0.15      1.49      2.41      0.46      4.51         6.40      | 11       0        0        11458    95471    | 8      107031         6725300      -       
8      16     2      2/8    | 0.14      1.53      2.55      0.48      4.71         6.13      | 11       0        0        11458    95471    | 16     107031         6725300      -       
8      16     3      3/8    | 0.15      1.58      2.39      0.48      4.61         6.26      | 11       0        0        11458    95471    | 24     107031         6725300      -       
8      16     4      4/8    | 0.15      1.57      2.54      0.50      4.78         6.04      | 11       0        12       11446    95471    | 32     107031         6725300      -       
8      16     5      5/8    | 0.15      1.56      2.50      0.45      4.66         6.19      | 11       0        671      10787    95471    | 40     107031         6725300      -       
8      16     6      6/8    | 0.15      1.46      2.47      0.46      4.54         6.36      | 11       0        2629     8829     95471    | 48     107031         6725300      -       
8      16     7      7/8    | 0.15      1.48      2.61      0.46      4.70         6.14      | 11       0        10896    562      95471    | 56     107031         6725300      -       
8      16     8      8/8    | 0.15      1.32      0.82      0.46      2.76         10.46     | 11       0        106929   0        0        | 64     107031         6725300      -       
8      32     0      0/8    | 0.13      1.27      2.80      0.47      4.68         6.17      | 11       0        0        11458    95471    | 1      107053         6725300      -       
8      32     1      1/8    | 0.14      1.27      2.73      0.48      4.62         6.24      | 11       0        0        11458    95471    | 8      107053         6725300      -       
8      32     2      2/8    | 0.13      1.27      2.23      0.47      4.11         7.02      | 11       0        0        11458    95471    | 16     107053         6725300      -       
8      32     3      3/8    | 0.13      1.26      2.66      0.48      4.53         6.37      | 11       0        0        11458    95471    | 24     107053         6725300      -       
8      32     4      4/8    | 0.14      1.23      2.71      0.51      4.59         6.29      | 11       0        12       11446    95471    | 32     107053         6725300      -       
8      32     5      5/8    | 0.12      1.27      2.77      0.47      4.66         6.19      | 11       0        671      10787    95471    | 40     107053         6725300      -       
8      32     6      6/8    | 0.12      1.30      2.25      0.45      4.13         6.98      | 11       0        2629     8829     95471    | 48     107053         6725300      -       
8      32     7      7/8    | 0.12      1.25      2.27      0.48      4.14         6.98      | 11       0        10896    562      95471    | 56     107053         6725300      -       
8      32     8      8/8    | 0.14      1.28      0.82      0.53      2.78         10.39     | 11       0        106929   0        0        | 64     107053         6725300      -       
16     8      0      0/8    | 0.23      1.92      2.74      0.37      5.27         5.48      | 0        0        0        4338     22558    | 1      26896          6725300      -       
16     8      1      1/8    | 0.22      1.92      2.30      0.34      4.79         6.02      | 0        0        0        4338     22558    | 32     26896          6725300      -       
16     8      2      2/8    | 0.22      1.92      2.87      0.34      5.37         5.38      | 0        0        3        4335     22558    | 64     26896          6725300      -       
16     8      3      3/8    | 0.22      1.92      2.33      0.34      4.81         6.00      | 0        0        327      4011     22558    | 96     26896          6725300      -       
16     8      4      4/8    | 0.22      1.91      2.85      0.32      5.31         5.43      | 0        0        327      4011     22558    | 128    26896          6725300      -       
16     8      5      5/8    | 0.21      1.93      2.33      0.34      4.82         5.99      | 0        0        327      4011     22558    | 160    26896          6725300      -       
16     8      6      6/8    | 0.21      1.92      2.73      0.34      5.21         5.54      | 0        0        353      3985     22558    | 192    26896          6725300      -       
16     8      7      7/8    | 0.22      1.92      2.81      0.33      5.29         5.46      | 0        0        2275     2063     22558    | 224    26896          6725300      -       
16     8      8      8/8    | 0.22      1.93      1.16      0.40      3.72         7.75      | 0        0        26896    0        0        | 256    26896          6725300      -       
16     16     0      0/8    | 0.16      1.36      2.40      0.34      4.27         6.75      | 0        0        0        4338     22558    | 1      26896          6725300      -       
16     16     1      1/8    | 0.16      1.36      2.54      0.35      4.42         6.53      | 0        0        0        4338     22558    | 32     26896          6725300      -       
16     16     2      2/8    | 0.16      1.37      2.48      0.36      4.38         6.59      | 0        0        3        4335     22558    | 64     26896          6725300      -       
16     16     3      3/8    | 0.16      1.36      2.44      0.34      4.32         6.69      | 0        0        327      4011     22558    | 96     26896          6725300      -       
16     16     4      4/8    | 0.16      1.36      2.48      0.32      4.33         6.67      | 0        0        327      4011     22558    | 128    26896          6725300      -       
16     16     5      5/8    | 0.16      1.36      2.57      0.33      4.43         6.51      | 0        0        327      4011     22558    | 160    26896          6725300      -       
16     16     6      6/8    | 0.17      1.38      2.44      0.37      4.36         6.62      | 0        0        353      3985     22558    | 192    26896          6725300      -       
16     16     7      7/8    | 0.17      1.37      2.54      0.37      4.46         6.47      | 0        0        2275     2063     22558    | 224    26896          6725300      -       
16     16     8      8/8    | 0.16      1.37      1.07      0.36      2.98         9.69      | 0        0        26896    0        0        | 256    26896          6725300      -       
16     32     0      0/8    | 0.14      1.01      2.70      0.38      4.25         6.80      | 0        0        0        4338     22558    | 1      26896          6725300      -       
16     32     1      1/8    | 0.13      1.01      2.51      0.36      4.02         7.18      | 0        0        0        4338     22558    | 32     26896          6725300      -       
16     32     2      2/8    | 0.13      1.01      2.65      0.36      4.16         6.94      | 0        0        3        4335     22558    | 64     26896          6725300      -       
16     32     3      3/8    | 0.13      1.00      2.56      0.39      4.09         7.06      | 0        0        327      4011     22558    | 96     26896          6725300      -       
16     32     4      4/8    | 0.13      1.00      2.65      0.36      4.14         6.96      | 0        0        327      4011     22558    | 128    26896          6725300      -       
16     32     5      5/8    | 0.13      1.00      2.55      0.35      4.04         7.15      | 0        0        327      4011     22558    | 160    26896          6725300      -       
16     32     6      6/8    | 0.13      1.00      2.47      0.35      3.96         7.29      | 0        0        353      3985     22558    | 192    26896          6725300      -       
16     32     7      7/8    | 0.12      1.00      2.63      0.35      4.12         7.01      | 0        0        2275     2063     22558    | 224    26896          6725300      -       
16     32     8      8/8    | 0.13      1.00      0.98      0.37      2.49         11.58     | 0        0        26896    0        0        | 256    26896          6725300      -       
32     8      0      0/8    | 0.27      1.11      2.85      0.35      4.58         6.30      | 0        0        0        1806     4918     | 1      6724           6725300      -       
32     8      1      1/8    | 0.28      1.12      2.84      0.34      4.59         6.29      | 0        0        0        1806     4918     | 128    6724           6725300      -       
32     8      2      2/8    | 0.28      1.12      2.70      0.35      4.46         6.47      | 0        0        0        1806     4918     | 256    6724           6725300      -       
32     8      3      3/8    | 0.27      1.12      2.79      0.34      4.53         6.37      | 0        0        1        1805     4918     | 384    6724           6725300      -       
32     8      4      4/8    | 0.27      1.12      2.88      0.34      4.63         6.23      | 0        0        1        1805     4918     | 512    6724           6725300      -       
32     8      5      5/8    | 0.28      1.12      2.80      0.38      4.58         6.30      | 0        0        15       1791     4918     | 640    6724           6725300      -       
32     8      6      6/8    | 0.27      1.12      2.74      0.34      4.47         6.45      | 0        0        163      1643     4918     | 768    6724           6725300      -       
32     8      7      7/8    | 0.27      1.12      2.75      0.33      4.48         6.44      | 0        0        340      1466     4918     | 896    6724           6725300      -       
32     8      8      8/8    | 0.28      1.13      2.32      0.38      4.12         7.01      | 0        0        6724     0        0        | 1024   6724           6725300      -       
32     16     0      0/8    | 0.18      0.71      2.58      0.37      3.84         7.51      | 0        0        0        1806     4918     | 1      6724           6725300      -       
32     16     1      1/8    | 0.18      0.71      2.71      0.38      3.97         7.26      | 0        0        0        1806     4918     | 128    6724           6725300      -       
32     16     2      2/8    | 0.16      0.70      2.58      0.33      3.78         7.64      | 0        0        0        1806     4918     | 256    6724           6725300      -       
32     16     3      3/8    | 0.16      0.70      2.56      0.34      3.77         7.65      | 0        0        1        1805     4918     | 384    6724           6725300      -       
32     16     4      4/8    | 0.17      0.71      2.58      0.37      3.84         7.52      | 0        0        1        1805     4918     | 512    6724           6725300      -       
32     16     5      5/8    | 0.17      0.70      2.65      0.32      3.85         7.50      | 0        0        15       1791     4918     | 640    6724           6725300      -       
32     16     6      6/8    | 0.16      0.70      2.56      0.34      3.78         7.63      | 0        0        163      1643     4918     | 768    6724           6725300      -       
32     16     7      7/8    | 0.17      0.70      2.66      0.33      3.87         7.46      | 0        0        340      1466     4918     | 896    6724           6725300      -       
32     16     8      8/8    | 0.18      0.70      1.79      0.38      3.06         9.43      | 0        0        6724     0        0        | 1024   6724           6725300      -       
32     32     0      0/8    | 0.13      0.57      2.60      0.38      3.69         7.82      | 0        0        0        1806     4918     | 1      6724           6725300      -       
32     32     1      1/8    | 0.13      0.57      2.82      0.38      3.91         7.38      | 0        0        0        1806     4918     | 128    6724           6725300      -       
32     32     2      2/8    | 0.13      0.58      2.64      0.39      3.75         7.70      | 0        0        0        1806     4918     | 256    6724           6725300      -       
32     32     3      3/8    | 0.14      0.58      2.71      0.41      3.85         7.50      | 0        0        1        1805     4918     | 384    6724           6725300      -       
32     32     4      4/8    | 0.13      0.57      2.80      0.36      3.87         7.45      | 0        0        1        1805     4918     | 512    6724           6725300      -       
32     32     5      5/8    | 0.13      0.57      2.67      0.41      3.79         7.62      | 0        0        15       1791     4918     | 640    6724           6725300      -       
32     32     6      6/8    | 0.14      0.57      2.55      0.41      3.68         7.84      | 0        0        163      1643     4918     | 768    6724           6725300      -       
32     32     7      7/8    | 0.13      0.57      2.67      0.38      3.75         7.69      | 0        0        340      1466     4918     | 896    6724           6725300      -       
32     32     8      8/8    | 0.13      0.57      1.63      0.38      2.72         10.60     | 0        0        6724     0        0        | 1024   6724           6725300      -       
