# Matrix: coater1
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.01-0.1/coater1.mtx
# Category: 1k-10k-0.01-0.1
# Date: 2026-03-06 10:14:04
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1348
# Cols: 1348
# NNZ(A): 19457
# NNZ(C) estimate: 330910
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.12      0.20      0.10      0.11      0.54         1.22      | 1869     0        0        4805     0        | 1      7811           130920       -       
8      8      1      1/8    | 0.10      0.20      0.10      0.11      0.53         1.26      | 1869     0        0        4805     0        | 8      7811           130920       -       
8      8      2      2/8    | 0.09      0.20      0.10      0.11      0.50         1.32      | 1869     0        1357     3448     0        | 16     7811           130920       -       
8      8      3      3/8    | 0.09      0.19      0.09      0.10      0.48         1.38      | 1869     0        2590     2215     0        | 24     7811           130920       -       
8      8      4      4/8    | 0.09      0.20      0.09      0.10      0.49         1.36      | 1869     0        3369     1436     0        | 32     7811           130920       -       
8      8      5      5/8    | 0.09      0.19      0.10      0.11      0.50         1.32      | 1869     0        4111     694      0        | 40     7811           130920       -       
8      8      6      6/8    | 0.10      0.20      0.09      0.12      0.52         1.28      | 1869     0        4693     112      0        | 48     7811           130920       -       
8      8      7      7/8    | 0.09      0.19      0.08      0.10      0.48         1.39      | 1869     0        4805     0        0        | 56     7811           130920       -       
8      8      8      8/8    | 0.12      0.20      0.08      0.11      0.52         1.26      | 1869     0        4805     0        0        | 64     7811           130920       -       
8      16     0      0/8    | 0.10      0.17      0.09      0.11      0.49         1.36      | 1869     0        0        4805     0        | 1      8382           130920       -       
8      16     1      1/8    | 0.10      0.17      0.08      0.11      0.47         1.42      | 1869     0        0        4805     0        | 8      8382           130920       -       
8      16     2      2/8    | 0.10      0.17      0.08      0.10      0.47         1.42      | 1869     0        1357     3448     0        | 16     8382           130920       -       
8      16     3      3/8    | 0.10      0.17      0.08      0.11      0.47         1.42      | 1869     0        2590     2215     0        | 24     8382           130920       -       
8      16     4      4/8    | 0.11      0.17      0.08      0.11      0.48         1.37      | 1869     0        3369     1436     0        | 32     8382           130920       -       
8      16     5      5/8    | 0.10      0.17      0.08      0.11      0.47         1.42      | 1869     0        4111     694      0        | 40     8382           130920       -       
8      16     6      6/8    | 0.09      0.17      0.08      0.10      0.44         1.51      | 1869     0        4693     112      0        | 48     8382           130920       -       
8      16     7      7/8    | 0.09      0.17      0.06      0.10      0.42         1.56      | 1869     0        4805     0        0        | 56     8382           130920       -       
8      16     8      8/8    | 0.11      0.17      0.07      0.11      0.48         1.39      | 1869     0        4805     0        0        | 64     8382           130920       -       
8      32     0      0/8    | 0.10      0.15      0.13      0.20      0.59         1.13      | 1869     0        0        4805     0        | 1      9103           130920       -       
