# Matrix: dw1024
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.01-0.1/dw1024.mtx
# Category: 1k-10k-0.01-0.1
# Date: 2026-03-06 10:15:18
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 2048
# Cols: 2048
# NNZ(A): 10114
# NNZ(C) estimate: 50248
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.09      0.04      0.10      0.34         0.30      | 1839     0        0        772      0        | 1      3183           26197        -       
8      8      1      1/8    | 0.10      0.09      0.04      0.11      0.36         0.28      | 1839     0        0        772      0        | 8      3183           26197        -       
8      8      2      2/8    | 0.09      0.08      0.04      0.10      0.33         0.30      | 1839     0        16       756      0        | 16     3183           26197        -       
8      8      3      3/8    | 0.09      0.08      0.05      0.10      0.33         0.30      | 1839     0        514      258      0        | 24     3183           26197        -       
8      8      4      4/8    | 0.11      0.09      0.05      0.13      0.39         0.26      | 1839     0        516      256      0        | 32     3183           26197        -       
8      8      5      5/8    | 0.09      0.09      0.03      0.11      0.34         0.30      | 1839     0        772      0        0        | 40     3183           26197        -       
8      8      6      6/8    | 0.09      0.09      0.03      0.10      0.32         0.32      | 1839     0        772      0        0        | 48     3183           26197        -       
8      8      7      7/8    | 0.09      0.09      0.03      0.11      0.32         0.31      | 1839     0        772      0        0        | 56     3183           26197        -       
8      8      8      8/8    | 0.09      0.09      0.03      0.10      0.32         0.32      | 1839     0        772      0        0        | 64     3183           26197        -       
8      16     0      0/8    | 0.09      0.08      0.04      0.11      0.32         0.31      | 1839     0        0        772      0        | 1      4433           26197        -       
8      16     1      1/8    | 0.10      0.09      0.04      0.11      0.35         0.29      | 1839     0        0        772      0        | 8      4433           26197        -       
8      16     2      2/8    | 0.08      0.08      0.04      0.10      0.32         0.32      | 1839     0        16       756      0        | 16     4433           26197        -       
8      16     3      3/8    | 0.08      0.08      0.04      0.10      0.31         0.32      | 1839     0        514      258      0        | 24     4433           26197        -       
8      16     4      4/8    | 0.10      0.09      0.05      0.11      0.36         0.28      | 1839     0        516      256      0        | 32     4433           26197        -       
8      16     5      5/8    | 0.10      0.09      0.03      0.10      0.32         0.31      | 1839     0        772      0        0        | 40     4433           26197        -       
8      16     6      6/8    | 0.10      0.10      0.03      0.11      0.34         0.29      | 1839     0        772      0        0        | 48     4433           26197        -       
8      16     7      7/8    | 0.08      0.08      0.03      0.10      0.30         0.34      | 1839     0        772      0        0        | 56     4433           26197        -       
8      16     8      8/8    | 0.08      0.08      0.03      0.10      0.29         0.34      | 1839     0        772      0        0        | 64     4433           26197        -       
8      32     0      0/8    | 0.09      0.09      0.05      0.10      0.33         0.30      | 1839     0        0        772      0        | 1      6363           26197        -       
8      32     1      1/8    | 0.08      0.09      0.05      0.10      0.33         0.30      | 1839     0        0        772      0        | 8      6363           26197        -       
8      32     2      2/8    | 0.08      0.08      0.06      0.10      0.33         0.31      | 1839     0        16       756      0        | 16     6363           26197        -       
8      32     3      3/8    | 0.09      0.08      0.06      0.10      0.35         0.29      | 1839     0        514      258      0        | 24     6363           26197        -       
8      32     4      4/8    | 0.08      0.08      0.06      0.10      0.33         0.31      | 1839     0        516      256      0        | 32     6363           26197        -       
8      32     5      5/8    | 0.08      0.09      0.03      0.10      0.31         0.33      | 1839     0        772      0        0        | 40     6363           26197        -       
8      32     6      6/8    | 0.08      0.08      0.03      0.10      0.30         0.33      | 1839     0        772      0        0        | 48     6363           26197        -       
8      32     7      7/8    | 0.17      0.10      0.03      0.18      0.50         0.20      | 1839     0        772      0        0        | 56     6363           26197        -       
8      32     8      8/8    | 0.09      0.09      0.03      0.10      0.33         0.31      | 1839     0        772      0        0        | 64     6363           26197        -       
16     8      0      0/8    | 0.11      0.12      0.06      0.13      0.43         0.23      | 867      0        0        376      0        | 1      1371           26197        -       
16     8      1      1/8    | 0.11      0.10      0.06      0.11      0.38         0.27      | 867      0        0        376      0        | 32     1371           26197        -       
16     8      2      2/8    | 0.10      0.10      0.06      0.10      0.37         0.27      | 867      0        248      128      0        | 64     1371           26197        -       
16     8      3      3/8    | 0.09      0.11      0.05      0.10      0.36         0.28      | 867      0        376      0        0        | 96     1371           26197        -       
16     8      4      4/8    | 0.10      0.10      0.05      0.10      0.36         0.28      | 867      0        376      0        0        | 128    1371           26197        -       
16     8      5      5/8    | 0.08      0.10      0.05      0.10      0.34         0.29      | 867      0        376      0        0        | 160    1371           26197        -       
16     8      6      6/8    | 0.09      0.11      0.05      0.10      0.35         0.29      | 867      0        376      0        0        | 192    1371           26197        -       
16     8      7      7/8    | 0.08      0.11      0.05      0.10      0.34         0.29      | 867      0        376      0        0        | 224    1371           26197        -       
16     8      8      8/8    | 0.10      0.11      0.05      0.11      0.38         0.26      | 867      0        376      0        0        | 256    1371           26197        -       
16     16     0      0/8    | 0.08      0.09      0.05      0.10      0.33         0.30      | 867      0        0        376      0        | 1      1371           26197        -       
16     16     1      1/8    | 0.08      0.10      0.05      0.10      0.33         0.30      | 867      0        0        376      0        | 32     1371           26197        -       
16     16     2      2/8    | 0.11      0.10      0.07      0.11      0.40         0.25      | 867      0        248      128      0        | 64     1371           26197        -       
16     16     3      3/8    | 0.09      0.10      0.03      0.10      0.33         0.30      | 867      0        376      0        0        | 96     1371           26197        -       
16     16     4      4/8    | 0.09      0.10      0.03      0.10      0.32         0.31      | 867      0        376      0        0        | 128    1371           26197        -       
16     16     5      5/8    | 0.09      0.10      0.03      0.10      0.33         0.30      | 867      0        376      0        0        | 160    1371           26197        -       
16     16     6      6/8    | 0.10      0.10      0.03      0.10      0.34         0.30      | 867      0        376      0        0        | 192    1371           26197        -       
16     16     7      7/8    | 0.08      0.10      0.03      0.10      0.32         0.32      | 867      0        376      0        0        | 224    1371           26197        -       
16     16     8      8/8    | 0.09      0.09      0.03      0.10      0.31         0.32      | 867      0        376      0        0        | 256    1371           26197        -       
16     32     0      0/8    | 0.10      0.10      0.08      0.10      0.41         0.25      | 867      0        0        376      0        | 1      1791           26197        -       
16     32     1      1/8    | 0.10      0.10      0.08      0.10      0.38         0.27      | 867      0        0        376      0        | 32     1791           26197        -       
16     32     2      2/8    | 0.09      0.09      0.10      0.10      0.39         0.26      | 867      0        248      128      0        | 64     1791           26197        -       
16     32     3      3/8    | 0.09      0.09      0.03      0.10      0.32         0.32      | 867      0        376      0        0        | 96     1791           26197        -       
16     32     4      4/8    | 0.09      0.09      0.03      0.10      0.32         0.32      | 867      0        376      0        0        | 128    1791           26197        -       
16     32     5      5/8    | 0.09      0.09      0.03      0.10      0.31         0.32      | 867      0        376      0        0        | 160    1791           26197        -       
16     32     6      6/8    | 0.09      0.10      0.03      0.10      0.32         0.31      | 867      0        376      0        0        | 192    1791           26197        -       
16     32     7      7/8    | 0.09      0.09      0.03      0.10      0.33         0.31      | 867      0        376      0        0        | 224    1791           26197        -       
16     32     8      8/8    | 0.11      0.10      0.03      0.11      0.36         0.28      | 867      0        376      0        0        | 256    1791           26197        -       
32     8      0      0/8    | 0.10      0.16      0.17      0.10      0.54         0.19      | 408      0        0        64       0        | 1      472            26197        -       
32     8      1      1/8    | 0.08      0.15      0.16      0.09      0.50         0.20      | 408      0        0        64       0        | 128    472            26197        -       
32     8      2      2/8    | 0.09      0.16      0.09      0.09      0.43         0.23      | 408      0        64       0        0        | 256    472            26197        -       
32     8      3      3/8    | 0.09      0.16      0.09      0.09      0.43         0.23      | 408      0        64       0        0        | 384    472            26197        -       
32     8      4      4/8    | 0.11      0.17      0.09      0.10      0.47         0.21      | 408      0        64       0        0        | 512    472            26197        -       
32     8      5      5/8    | 0.09      0.16      0.09      0.10      0.45         0.22      | 408      0        64       0        0        | 640    472            26197        -       
32     8      6      6/8    | 0.09      0.15      0.08      0.09      0.43         0.23      | 408      0        64       0        0        | 768    472            26197        -       
32     8      7      7/8    | 0.11      0.17      0.09      0.10      0.47         0.21      | 408      0        64       0        0        | 896    472            26197        -       
32     8      8      8/8    | 0.10      0.17      0.09      0.09      0.45         0.22      | 408      0        64       0        0        | 1024   472            26197        -       
32     16     0      0/8    | 0.09      0.13      0.15      0.10      0.47         0.21      | 408      0        0        64       0        | 1      472            26197        -       
32     16     1      1/8    | 0.10      0.13      0.14      0.10      0.48         0.21      | 408      0        0        64       0        | 128    472            26197        -       
32     16     2      2/8    | 0.09      0.12      0.08      0.10      0.40         0.25      | 408      0        64       0        0        | 256    472            26197        -       
32     16     3      3/8    | 0.10      0.13      0.09      0.10      0.42         0.24      | 408      0        64       0        0        | 384    472            26197        -       
32     16     4      4/8    | 0.08      0.13      0.08      0.09      0.39         0.26      | 408      0        64       0        0        | 512    472            26197        -       
32     16     5      5/8    | 0.08      0.12      0.08      0.09      0.38         0.26      | 408      0        64       0        0        | 640    472            26197        -       
32     16     6      6/8    | 0.10      0.13      0.08      0.11      0.42         0.24      | 408      0        64       0        0        | 768    472            26197        -       
32     16     7      7/8    | 0.20      0.14      0.09      0.17      0.61         0.16      | 408      0        64       0        0        | 896    472            26197        -       
32     16     8      8/8    | 0.10      0.13      0.08      0.10      0.41         0.25      | 408      0        64       0        0        | 1024   472            26197        -       
32     32     0      0/8    | 0.10      0.10      0.08      0.09      0.37         0.27      | 408      0        0        64       0        | 1      472            26197        -       
32     32     1      1/8    | 0.09      0.10      0.08      0.09      0.37         0.27      | 408      0        0        64       0        | 128    472            26197        -       
32     32     2      2/8    | 0.09      0.10      0.03      0.09      0.32         0.31      | 408      0        64       0        0        | 256    472            26197        -       
32     32     3      3/8    | 0.11      0.11      0.04      0.12      0.39         0.26      | 408      0        64       0        0        | 384    472            26197        -       
32     32     4      4/8    | 0.10      0.11      0.03      0.11      0.37         0.27      | 408      0        64       0        0        | 512    472            26197        -       
32     32     5      5/8    | 0.08      0.10      0.03      0.09      0.30         0.33      | 408      0        64       0        0        | 640    472            26197        -       
32     32     6      6/8    | 0.08      0.10      0.03      0.10      0.31         0.32      | 408      0        64       0        0        | 768    472            26197        -       
32     32     7      7/8    | 0.08      0.10      0.03      0.09      0.32         0.32      | 408      0        64       0        0        | 896    472            26197        -       
32     32     8      8/8    | 0.08      0.09      0.03      0.09      0.30         0.33      | 408      0        64       0        0        | 1024   472            26197        -       
