# Matrix: dwt_1242
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.01-0.1/dwt_1242.mtx
# Category: 1k-10k-0.01-0.1
# Date: 2026-03-06 10:16:30
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1242
# Cols: 1242
# NNZ(A): 10426
# NNZ(C) estimate: 92246
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.12      0.05      0.10      0.38         0.49      | 1439     0        0        1113     8        | 1      4444           29994        -       
8      8      1      1/8    | 0.09      0.13      0.05      0.10      0.39         0.48      | 1439     0        0        1113     8        | 8      4444           29994        -       
8      8      2      2/8    | 0.10      0.13      0.06      0.10      0.40         0.46      | 1439     0        434      679      8        | 16     4444           29994        -       
8      8      3      3/8    | 0.10      0.15      0.06      0.11      0.42         0.44      | 1439     0        649      464      8        | 24     4444           29994        -       
8      8      4      4/8    | 0.10      0.13      0.07      0.11      0.41         0.45      | 1439     0        838      275      8        | 32     4444           29994        -       
8      8      5      5/8    | 0.09      0.13      0.06      0.11      0.39         0.47      | 1439     0        1103     10       8        | 40     4444           29994        -       
8      8      6      6/8    | 0.10      0.13      0.06      0.11      0.40         0.46      | 1439     0        1103     10       8        | 48     4444           29994        -       
8      8      7      7/8    | 0.12      0.13      0.06      0.11      0.43         0.43      | 1439     0        1105     8        8        | 56     4444           29994        -       
8      8      8      8/8    | 0.10      0.13      0.05      0.11      0.40         0.46      | 1439     0        1121     0        0        | 64     4444           29994        -       
8      16     0      0/8    | 0.10      0.12      0.05      0.12      0.41         0.45      | 1439     0        0        1113     8        | 1      5598           29994        -       
8      16     1      1/8    | 0.08      0.12      0.05      0.11      0.37         0.50      | 1439     0        0        1113     8        | 8      5598           29994        -       
8      16     2      2/8    | 0.08      0.12      0.05      0.10      0.37         0.50      | 1439     0        434      679      8        | 16     5598           29994        -       
8      16     3      3/8    | 0.11      0.12      0.07      0.11      0.42         0.44      | 1439     0        649      464      8        | 24     5598           29994        -       
8      16     4      4/8    | 0.10      0.13      0.05      0.11      0.40         0.46      | 1439     0        838      275      8        | 32     5598           29994        -       
8      16     5      5/8    | 0.10      0.12      0.05      0.11      0.39         0.47      | 1439     0        1103     10       8        | 40     5598           29994        -       
8      16     6      6/8    | 0.10      0.12      0.05      0.11      0.39         0.48      | 1439     0        1103     10       8        | 48     5598           29994        -       
8      16     7      7/8    | 0.10      0.12      0.06      0.11      0.40         0.47      | 1439     0        1105     8        8        | 56     5598           29994        -       
8      16     8      8/8    | 0.10      0.13      0.04      0.12      0.41         0.45      | 1439     0        1121     0        0        | 64     5598           29994        -       
8      32     0      0/8    | 0.10      0.10      0.07      0.10      0.39         0.47      | 1439     0        0        1113     8        | 1      6858           29994        -       
8      32     1      1/8    | 0.10      0.10      0.07      0.10      0.38         0.48      | 1439     0        0        1113     8        | 8      6858           29994        -       
8      32     2      2/8    | 0.11      0.11      0.08      0.13      0.44         0.42      | 1439     0        434      679      8        | 16     6858           29994        -       
8      32     3      3/8    | 0.10      0.10      0.08      0.10      0.39         0.47      | 1439     0        649      464      8        | 24     6858           29994        -       
8      32     4      4/8    | 0.10      0.10      0.08      0.10      0.38         0.48      | 1439     0        838      275      8        | 32     6858           29994        -       
8      32     5      5/8    | 0.10      0.11      0.09      0.11      0.42         0.44      | 1439     0        1103     10       8        | 40     6858           29994        -       
8      32     6      6/8    | 0.10      0.11      0.07      0.10      0.40         0.47      | 1439     0        1103     10       8        | 48     6858           29994        -       
8      32     7      7/8    | 0.10      0.11      0.08      0.10      0.39         0.47      | 1439     0        1105     8        8        | 56     6858           29994        -       
8      32     8      8/8    | 0.09      0.10      0.04      0.10      0.34         0.55      | 1439     0        1121     0        0        | 64     6858           29994        -       
16     8      0      0/8    | 0.09      0.14      0.07      0.10      0.41         0.45      | 652      0        0        378      0        | 1      1666           29994        -       
16     8      1      1/8    | 0.12      0.14      0.08      0.12      0.46         0.40      | 652      0        0        378      0        | 32     1666           29994        -       
16     8      2      2/8    | 0.11      0.14      0.10      0.11      0.47         0.40      | 652      0        238      140      0        | 64     1666           29994        -       
16     8      3      3/8    | 0.09      0.14      0.09      0.11      0.43         0.43      | 652      0        361      17       0        | 96     1666           29994        -       
16     8      4      4/8    | 0.11      0.15      0.08      0.11      0.47         0.39      | 652      0        368      10       0        | 128    1666           29994        -       
16     8      5      5/8    | 0.10      0.14      0.07      0.11      0.43         0.42      | 652      0        373      5        0        | 160    1666           29994        -       
16     8      6      6/8    | 0.11      0.14      0.08      0.11      0.45         0.41      | 652      0        377      1        0        | 192    1666           29994        -       
16     8      7      7/8    | 0.10      0.14      0.07      0.11      0.43         0.43      | 652      0        378      0        0        | 224    1666           29994        -       
16     8      8      8/8    | 0.09      0.14      0.07      0.10      0.41         0.45      | 652      0        378      0        0        | 256    1666           29994        -       
16     16     0      0/8    | 0.09      0.13      0.11      0.10      0.43         0.43      | 652      0        0        378      0        | 1      2166           29994        -       
16     16     1      1/8    | 0.09      0.13      0.10      0.10      0.42         0.43      | 652      0        0        378      0        | 32     2166           29994        -       
16     16     2      2/8    | 0.09      0.13      0.11      0.10      0.44         0.42      | 652      0        238      140      0        | 64     2166           29994        -       
16     16     3      3/8    | 0.09      0.13      0.10      0.10      0.42         0.44      | 652      0        361      17       0        | 96     2166           29994        -       
16     16     4      4/8    | 0.09      0.13      0.08      0.10      0.41         0.45      | 652      0        368      10       0        | 128    2166           29994        -       
16     16     5      5/8    | 0.11      0.14      0.09      0.11      0.45         0.41      | 652      0        373      5        0        | 160    2166           29994        -       
16     16     6      6/8    | 0.10      0.13      0.07      0.10      0.41         0.45      | 652      0        377      1        0        | 192    2166           29994        -       
16     16     7      7/8    | 0.09      0.13      0.07      0.10      0.41         0.46      | 652      0        378      0        0        | 224    2166           29994        -       
16     16     8      8/8    | 0.12      0.14      0.07      0.12      0.46         0.40      | 652      0        378      0        0        | 256    2166           29994        -       
16     32     0      0/8    | 0.10      0.13      0.16      0.10      0.49         0.37      | 652      0        0        378      0        | 1      2424           29994        -       
16     32     1      1/8    | 0.10      0.13      0.18      0.10      0.52         0.36      | 652      0        0        378      0        | 32     2424           29994        -       
16     32     2      2/8    | 0.10      0.12      0.20      0.10      0.53         0.35      | 652      0        238      140      0        | 64     2424           29994        -       
16     32     3      3/8    | 0.10      0.12      0.15      0.10      0.49         0.38      | 652      0        361      17       0        | 96     2424           29994        -       
16     32     4      4/8    | 0.10      0.13      0.15      0.11      0.50         0.37      | 652      0        368      10       0        | 128    2424           29994        -       
16     32     5      5/8    | 0.10      0.12      0.12      0.11      0.45         0.41      | 652      0        373      5        0        | 160    2424           29994        -       
16     32     6      6/8    | 0.10      0.13      0.07      0.10      0.41         0.45      | 652      0        377      1        0        | 192    2424           29994        -       
16     32     7      7/8    | 0.17      0.17      0.08      0.24      0.68         0.27      | 652      0        378      0        0        | 224    2424           29994        -       
16     32     8      8/8    | 0.11      0.14      0.07      0.11      0.45         0.41      | 652      0        378      0        0        | 256    2424           29994        -       
32     8      0      0/8    | 0.10      0.17      0.20      0.10      0.58         0.32      | 300      0        0        99       0        | 1      571            29994        -       
32     8      1      1/8    | 0.12      0.18      0.21      0.11      0.63         0.29      | 300      0        0        99       0        | 128    571            29994        -       
32     8      2      2/8    | 0.11      0.18      0.28      0.10      0.70         0.26      | 300      0        83       16       0        | 256    571            29994        -       
32     8      3      3/8    | 0.11      0.18      0.14      0.09      0.53         0.35      | 300      0        98       1        0        | 384    571            29994        -       
32     8      4      4/8    | 0.11      0.18      0.15      0.10      0.55         0.33      | 300      0        99       0        0        | 512    571            29994        -       
32     8      5      5/8    | 0.11      0.17      0.15      0.10      0.54         0.34      | 300      0        99       0        0        | 640    571            29994        -       
32     8      6      6/8    | 0.09      0.17      0.14      0.09      0.51         0.36      | 300      0        99       0        0        | 768    571            29994        -       
32     8      7      7/8    | 0.11      0.18      0.14      0.11      0.56         0.33      | 300      0        99       0        0        | 896    571            29994        -       
32     8      8      8/8    | 0.09      0.17      0.14      0.09      0.49         0.37      | 300      0        99       0        0        | 1024   571            29994        -       
32     16     0      0/8    | 0.09      0.17      0.21      0.09      0.58         0.32      | 300      0        0        99       0        | 1      695            29994        -       
32     16     1      1/8    | 0.09      0.17      0.21      0.10      0.58         0.32      | 300      0        0        99       0        | 128    695            29994        -       
32     16     2      2/8    | 0.08      0.17      0.28      0.09      0.64         0.29      | 300      0        83       16       0        | 256    695            29994        -       
32     16     3      3/8    | 0.09      0.17      0.12      0.10      0.48         0.39      | 300      0        98       1        0        | 384    695            29994        -       
32     16     4      4/8    | 0.09      0.18      0.12      0.10      0.49         0.38      | 300      0        99       0        0        | 512    695            29994        -       
32     16     5      5/8    | 0.09      0.17      0.12      0.10      0.48         0.38      | 300      0        99       0        0        | 640    695            29994        -       
32     16     6      6/8    | 0.09      0.17      0.12      0.10      0.48         0.38      | 300      0        99       0        0        | 768    695            29994        -       
32     16     7      7/8    | 0.08      0.18      0.12      0.10      0.48         0.38      | 300      0        99       0        0        | 896    695            29994        -       
32     16     8      8/8    | 0.18      0.22      0.13      0.23      0.78         0.24      | 300      0        99       0        0        | 1024   695            29994        -       
