# Matrix: ex10hs
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.01-0.1/ex10hs.mtx
# Category: 1k-10k-0.01-0.1
# Date: 2026-03-06 10:18:16
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 2548
# Cols: 2548
# NNZ(A): 57308
# NNZ(C) estimate: 1614318
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.18      0.10      0.19      0.58         5.52      | 2507     0        0        7603     7        | 1      12653          205230       -       
8      8      1      1/8    | 0.10      0.17      0.10      0.19      0.57         5.62      | 2507     0        0        7603     7        | 8      12653          205230       -       
8      8      2      2/8    | 0.11      0.18      0.10      0.19      0.58         5.56      | 2507     0        1815     5788     7        | 16     12653          205230       -       
8      8      3      3/8    | 0.10      0.17      0.09      0.18      0.56         5.81      | 2507     0        3575     4028     7        | 24     12653          205230       -       
8      8      4      4/8    | 0.11      0.18      0.10      0.19      0.58         5.54      | 2507     0        5090     2513     7        | 32     12653          205230       -       
8      8      5      5/8    | 0.11      0.18      0.10      0.19      0.58         5.54      | 2507     0        7552     51       7        | 40     12653          205230       -       
8      8      6      6/8    | 0.10      0.18      0.10      0.21      0.61         5.33      | 2507     0        7569     34       7        | 48     12653          205230       -       
8      8      7      7/8    | 0.11      0.19      0.10      0.21      0.62         5.17      | 2507     0        7580     23       7        | 56     12653          205230       -       
8      8      8      8/8    | 0.10      0.18      0.10      0.21      0.60         5.39      | 2507     0        7610     0        0        | 64     12653          205230       -       
8      16     0      0/8    | 0.10      0.17      0.09      0.19      0.55         5.89      | 2507     0        0        7603     7        | 1      14289          205230       -       
8      16     1      1/8    | 0.09      0.16      0.09      0.19      0.54         5.97      | 2507     0        0        7603     7        | 8      14289          205230       -       
8      16     2      2/8    | 0.09      0.16      0.09      0.19      0.54         5.98      | 2507     0        1815     5788     7        | 16     14289          205230       -       
8      16     3      3/8    | 0.09      0.17      0.08      0.19      0.54         5.93      | 2507     0        3575     4028     7        | 24     14289          205230       -       
8      16     4      4/8    | 0.09      0.16      0.09      0.19      0.54         6.03      | 2507     0        5090     2513     7        | 32     14289          205230       -       
8      16     5      5/8    | 0.11      0.17      0.09      0.22      0.61         5.28      | 2507     0        7552     51       7        | 40     14289          205230       -       
8      16     6      6/8    | 0.10      0.17      0.09      0.21      0.58         5.53      | 2507     0        7569     34       7        | 48     14289          205230       -       
8      16     7      7/8    | 0.09      0.16      0.09      0.19      0.54         6.01      | 2507     0        7580     23       7        | 56     14289          205230       -       
8      16     8      8/8    | 0.10      0.17      0.09      0.23      0.61         5.32      | 2507     0        7610     0        0        | 64     14289          205230       -       
8      32     0      0/8    | 0.08      0.16      0.14      0.18      0.58         5.55      | 2507     0        0        7603     7        | 1      15887          205230       -       
8      32     1      1/8    | 0.09      0.17      0.15      0.19      0.61         5.32      | 2507     0        0        7603     7        | 8      15887          205230       -       
8      32     2      2/8    | 0.09      0.16      0.14      0.19      0.59         5.48      | 2507     0        1815     5788     7        | 16     15887          205230       -       
8      32     3      3/8    | 0.09      0.16      0.13      0.19      0.58         5.58      | 2507     0        3575     4028     7        | 24     15887          205230       -       
8      32     4      4/8    | 0.12      0.17      0.11      0.23      0.65         4.99      | 2507     0        5090     2513     7        | 32     15887          205230       -       
8      32     5      5/8    | 0.10      0.16      0.10      0.19      0.56         5.78      | 2507     0        7552     51       7        | 40     15887          205230       -       
8      32     6      6/8    | 0.10      0.17      0.11      0.21      0.59         5.46      | 2507     0        7569     34       7        | 48     15887          205230       -       
8      32     7      7/8    | 0.09      0.16      0.10      0.19      0.55         5.92      | 2507     0        7580     23       7        | 56     15887          205230       -       
8      32     8      8/8    | 0.09      0.17      0.09      0.20      0.55         5.85      | 2507     0        7610     0        0        | 64     15887          205230       -       
16     8      0      0/8    | 0.11      0.20      0.10      0.22      0.65         5.01      | 1273     0        0        2125     0        | 1      3852           205230       -       
16     8      1      1/8    | 0.11      0.20      0.10      0.19      0.60         5.37      | 1273     0        0        2125     0        | 32     3852           205230       -       
16     8      2      2/8    | 0.10      0.19      0.11      0.21      0.62         5.21      | 1273     0        696      1429     0        | 64     3852           205230       -       
16     8      3      3/8    | 0.09      0.19      0.10      0.19      0.58         5.57      | 1273     0        1270     855      0        | 96     3852           205230       -       
16     8      4      4/8    | 0.09      0.18      0.12      0.19      0.59         5.51      | 1273     0        1722     403      0        | 128    3852           205230       -       
16     8      5      5/8    | 0.09      0.19      0.15      0.18      0.62         5.17      | 1273     0        2111     14       0        | 160    3852           205230       -       
16     8      6      6/8    | 0.09      0.20      0.15      0.19      0.64         5.08      | 1273     0        2125     0        0        | 192    3852           205230       -       
16     8      7      7/8    | 0.10      0.19      0.16      0.23      0.69         4.68      | 1273     0        2125     0        0        | 224    3852           205230       -       
16     8      8      8/8    | 0.09      0.19      0.16      0.20      0.64         5.03      | 1273     0        2125     0        0        | 256    3852           205230       -       
16     16     0      0/8    | 0.09      0.16      0.12      0.18      0.56         5.80      | 1273     0        0        2125     0        | 1      4050           205230       -       
16     16     1      1/8    | 0.10      0.17      0.12      0.21      0.61         5.31      | 1273     0        0        2125     0        | 32     4050           205230       -       
