# Matrix: lns_3937
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.01-0.1/lns_3937.mtx
# Category: 1k-10k-0.01-0.1
# Date: 2026-03-06 11:07:29
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 3937
# Cols: 3937
# NNZ(A): 25407
# NNZ(C) estimate: 190725
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.09      0.13      0.06      0.19      0.48         0.79      | 7323     0        0        4010     0        | 1      12573          98373        -       
8      8      1      1/8    | 0.10      0.14      0.07      0.21      0.52         0.73      | 7323     0        0        4010     0        | 8      12573          98373        -       
8      8      2      2/8    | 0.11      0.14      0.07      0.22      0.55         0.70      | 7323     0        1929     2081     0        | 16     12573          98373        -       
8      8      3      3/8    | 0.10      0.13      0.07      0.20      0.51         0.75      | 7323     0        3472     538      0        | 24     12573          98373        -       
8      8      4      4/8    | 0.12      0.14      0.07      0.24      0.58         0.65      | 7323     0        3856     154      0        | 32     12573          98373        -       
8      8      5      5/8    | 0.11      0.13      0.05      0.22      0.52         0.73      | 7323     0        4010     0        0        | 40     12573          98373        -       
8      8      6      6/8    | 0.12      0.15      0.05      0.24      0.57         0.67      | 7323     0        4010     0        0        | 48     12573          98373        -       
8      8      7      7/8    | 0.10      0.13      0.05      0.21      0.50         0.76      | 7323     0        4010     0        0        | 56     12573          98373        -       
8      8      8      8/8    | 0.09      0.13      0.05      0.19      0.46         0.83      | 7323     0        4010     0        0        | 64     12573          98373        -       
8      16     0      0/8    | 0.09      0.12      0.06      0.18      0.47         0.81      | 7323     0        0        4010     0        | 1      15165          98373        -       
8      16     1      1/8    | 0.10      0.13      0.06      0.19      0.48         0.79      | 7323     0        0        4010     0        | 8      15165          98373        -       
8      16     2      2/8    | 0.09      0.12      0.06      0.18      0.46         0.83      | 7323     0        1929     2081     0        | 16     15165          98373        -       
8      16     3      3/8    | 0.12      0.13      0.07      0.22      0.54         0.71      | 7323     0        3472     538      0        | 24     15165          98373        -       
8      16     4      4/8    | 0.09      0.14      0.06      0.19      0.48         0.79      | 7323     0        3856     154      0        | 32     15165          98373        -       
8      16     5      5/8    | 0.10      0.13      0.04      0.18      0.46         0.83      | 7323     0        4010     0        0        | 40     15165          98373        -       
8      16     6      6/8    | 0.10      0.13      0.04      0.20      0.47         0.80      | 7323     0        4010     0        0        | 48     15165          98373        -       
8      16     7      7/8    | 0.10      0.13      0.04      0.22      0.51         0.75      | 7323     0        4010     0        0        | 56     15165          98373        -       
8      16     8      8/8    | 0.11      0.14      0.04      0.23      0.53         0.72      | 7323     0        4010     0        0        | 64     15165          98373        -       
8      32     0      0/8    | 0.10      0.12      0.09      0.19      0.50         0.76      | 7323     0        0        4010     0        | 1      19572          98373        -       
8      32     1      1/8    | 0.09      0.13      0.09      0.19      0.51         0.75      | 7323     0        0        4010     0        | 8      19572          98373        -       
