# Matrix: lnsp3937
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.01-0.1/lnsp3937.mtx
# Category: 1k-10k-0.01-0.1
# Date: 2026-03-06 11:08:05
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 3937
# Cols: 3937
# NNZ(A): 25407
# NNZ(C) estimate: 190725
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.11      0.05      0.11      0.37         1.03      | 3190     0        0        3843     0        | 1      8400           98373        -       
8      8      1      1/8    | 0.10      0.11      0.05      0.10      0.37         1.03      | 3190     0        0        3843     0        | 8      8400           98373        -       
8      8      2      2/8    | 0.11      0.12      0.06      0.11      0.41         0.92      | 3190     0        1583     2260     0        | 16     8400           98373        -       
8      8      3      3/8    | 0.10      0.11      0.05      0.11      0.37         1.03      | 3190     0        2157     1686     0        | 24     8400           98373        -       
8      8      4      4/8    | 0.11      0.12      0.06      0.11      0.40         0.96      | 3190     0        3234     609      0        | 32     8400           98373        -       
8      8      5      5/8    | 0.10      0.11      0.06      0.11      0.39         0.99      | 3190     0        3467     376      0        | 40     8400           98373        -       
8      8      6      6/8    | 0.11      0.12      0.06      0.12      0.42         0.91      | 3190     0        3608     235      0        | 48     8400           98373        -       
8      8      7      7/8    | 0.10      0.12      0.04      0.11      0.37         1.03      | 3190     0        3843     0        0        | 56     8400           98373        -       
8      8      8      8/8    | 0.09      0.11      0.04      0.11      0.37         1.04      | 3190     0        3843     0        0        | 64     8400           98373        -       
8      16     0      0/8    | 0.09      0.11      0.05      0.18      0.44         0.87      | 3190     0        0        3843     0        | 1      10888          98373        -       
8      16     1      1/8    | 0.11      0.12      0.06      0.21      0.50         0.76      | 3190     0        0        3843     0        | 8      10888          98373        -       
8      16     2      2/8    | 0.09      0.11      0.05      0.19      0.45         0.84      | 3190     0        1583     2260     0        | 16     10888          98373        -       
8      16     3      3/8    | 0.10      0.11      0.05      0.19      0.46         0.83      | 3190     0        2157     1686     0        | 24     10888          98373        -       
8      16     4      4/8    | 0.10      0.11      0.05      0.19      0.46         0.83      | 3190     0        3234     609      0        | 32     10888          98373        -       
8      16     5      5/8    | 0.10      0.11      0.06      0.20      0.49         0.78      | 3190     0        3467     376      0        | 40     10888          98373        -       
8      16     6      6/8    | 0.09      0.11      0.05      0.18      0.44         0.87      | 3190     0        3608     235      0        | 48     10888          98373        -       
8      16     7      7/8    | 0.08      0.11      0.04      0.18      0.42         0.91      | 3190     0        3843     0        0        | 56     10888          98373        -       
8      16     8      8/8    | 0.08      0.11      0.04      0.18      0.42         0.90      | 3190     0        3843     0        0        | 64     10888          98373        -       
8      32     0      0/8    | 0.11      0.12      0.08      0.21      0.52         0.73      | 3190     0        0        3843     0        | 1      17556          98373        -       
8      32     1      1/8    | 0.10      0.11      0.07      0.20      0.49         0.78      | 3190     0        0        3843     0        | 8      17556          98373        -       
8      32     2      2/8    | 0.09      0.11      0.07      0.18      0.46         0.82      | 3190     0        1583     2260     0        | 16     17556          98373        -       
8      32     3      3/8    | 0.09      0.11      0.07      0.18      0.46         0.83      | 3190     0        2157     1686     0        | 24     17556          98373        -       
8      32     4      4/8    | 0.09      0.11      0.08      0.21      0.50         0.76      | 3190     0        3234     609      0        | 32     17556          98373        -       
8      32     5      5/8    | 0.12      0.12      0.08      0.21      0.54         0.71      | 3190     0        3467     376      0        | 40     17556          98373        -       
8      32     6      6/8    | 0.09      0.11      0.08      0.19      0.48         0.79      | 3190     0        3608     235      0        | 48     17556          98373        -       
8      32     7      7/8    | 0.10      0.12      0.04      0.20      0.47         0.80      | 3190     0        3843     0        0        | 56     17556          98373        -       
8      32     8      8/8    | 0.13      0.12      0.04      0.24      0.55         0.69      | 3190     0        3843     0        0        | 64     17556          98373        -       
16     8      0      0/8    | 0.10      0.12      0.06      0.10      0.38         1.02      | 1754     0        0        998      0        | 1      2997           98373        -       
16     8      1      1/8    | 0.11      0.12      0.06      0.10      0.40         0.96      | 1754     0        0        998      0        | 32     2997           98373        -       
16     8      2      2/8    | 0.09      0.12      0.07      0.10      0.38         1.00      | 1754     0        389      609      0        | 64     2997           98373        -       
16     8      3      3/8    | 0.10      0.12      0.08      0.10      0.41         0.94      | 1754     0        763      235      0        | 96     2997           98373        -       
16     8      4      4/8    | 0.09      0.11      0.07      0.10      0.37         1.02      | 1754     0        763      235      0        | 128    2997           98373        -       
16     8      5      5/8    | 0.08      0.11      0.06      0.09      0.36         1.07      | 1754     0        998      0        0        | 160    2997           98373        -       
16     8      6      6/8    | 0.12      0.12      0.07      0.11      0.42         0.91      | 1754     0        998      0        0        | 192    2997           98373        -       
16     8      7      7/8    | 0.10      0.12      0.07      0.10      0.39         0.97      | 1754     0        998      0        0        | 224    2997           98373        -       
16     8      8      8/8    | 0.12      0.13      0.06      0.12      0.45         0.84      | 1754     0        998      0        0        | 256    2997           98373        -       
16     16     0      0/8    | 0.08      0.11      0.07      0.10      0.37         1.03      | 1754     0        0        998      0        | 1      3719           98373        -       
16     16     1      1/8    | 0.09      0.11      0.08      0.10      0.38         0.99      | 1754     0        0        998      0        | 32     3719           98373        -       
16     16     2      2/8    | 0.18      0.15      0.10      0.23      0.68         0.56      | 1754     0        389      609      0        | 64     3719           98373        -       
16     16     3      3/8    | 0.10      0.11      0.09      0.10      0.41         0.93      | 1754     0        763      235      0        | 96     3719           98373        -       
16     16     4      4/8    | 0.10      0.12      0.09      0.11      0.42         0.90      | 1754     0        763      235      0        | 128    3719           98373        -       
16     16     5      5/8    | 0.09      0.10      0.05      0.10      0.35         1.10      | 1754     0        998      0        0        | 160    3719           98373        -       
16     16     6      6/8    | 0.11      0.12      0.05      0.11      0.40         0.96      | 1754     0        998      0        0        | 192    3719           98373        -       
16     16     7      7/8    | 0.09      0.11      0.05      0.11      0.37         1.03      | 1754     0        998      0        0        | 224    3719           98373        -       
16     16     8      8/8    | 0.10      0.11      0.05      0.10      0.37         1.04      | 1754     0        998      0        0        | 256    3719           98373        -       
16     32     0      0/8    | 0.09      0.11      0.11      0.19      0.51         0.75      | 1754     0        0        998      0        | 1      5148           98373        -       
16     32     1      1/8    | 0.11      0.10      0.12      0.22      0.55         0.69      | 1754     0        0        998      0        | 32     5148           98373        -       
16     32     2      2/8    | 0.08      0.11      0.12      0.18      0.49         0.78      | 1754     0        389      609      0        | 64     5148           98373        -       
16     32     3      3/8    | 0.10      0.11      0.14      0.21      0.56         0.68      | 1754     0        763      235      0        | 96     5148           98373        -       
16     32     4      4/8    | 0.10      0.11      0.14      0.20      0.56         0.69      | 1754     0        763      235      0        | 128    5148           98373        -       
16     32     5      5/8    | 0.08      0.10      0.05      0.19      0.43         0.88      | 1754     0        998      0        0        | 160    5148           98373        -       
16     32     6      6/8    | 0.08      0.11      0.05      0.18      0.43         0.89      | 1754     0        998      0        0        | 192    5148           98373        -       
16     32     7      7/8    | 0.09      0.10      0.05      0.18      0.43         0.88      | 1754     0        998      0        0        | 224    5148           98373        -       
16     32     8      8/8    | 0.08      0.11      0.05      0.18      0.42         0.90      | 1754     0        998      0        0        | 256    5148           98373        -       
32     8      0      0/8    | 0.11      0.15      0.26      0.11      0.63         0.61      | 1110     0        0        118      0        | 1      1301           98373        -       
32     8      1      1/8    | 0.10      0.15      0.24      0.10      0.60         0.63      | 1110     0        0        118      0        | 128    1301           98373        -       
32     8      2      2/8    | 0.10      0.16      0.26      0.10      0.64         0.60      | 1110     0        1        117      0        | 256    1301           98373        -       
32     8      3      3/8    | 0.09      0.15      0.12      0.09      0.46         0.83      | 1110     0        118      0        0        | 384    1301           98373        -       
32     8      4      4/8    | 0.08      0.15      0.12      0.10      0.46         0.83      | 1110     0        118      0        0        | 512    1301           98373        -       
32     8      5      5/8    | 0.09      0.15      0.12      0.10      0.47         0.81      | 1110     0        118      0        0        | 640    1301           98373        -       
32     8      6      6/8    | 0.11      0.16      0.13      0.11      0.52         0.73      | 1110     0        118      0        0        | 768    1301           98373        -       
32     8      7      7/8    | 0.10      0.15      0.13      0.10      0.48         0.79      | 1110     0        118      0        0        | 896    1301           98373        -       
32     8      8      8/8    | 0.11      0.16      0.13      0.11      0.51         0.75      | 1110     0        118      0        0        | 1024   1301           98373        -       
32     16     0      0/8    | 0.09      0.13      0.22      0.10      0.55         0.69      | 1110     0        0        118      0        | 1      1350           98373        -       
32     16     1      1/8    | 0.10      0.14      0.21      0.10      0.55         0.69      | 1110     0        0        118      0        | 128    1350           98373        -       
32     16     2      2/8    | 0.10      0.14      0.22      0.10      0.55         0.69      | 1110     0        1        117      0        | 256    1350           98373        -       
32     16     3      3/8    | 0.09      0.14      0.09      0.10      0.43         0.90      | 1110     0        118      0        0        | 384    1350           98373        -       
32     16     4      4/8    | 0.09      0.14      0.10      0.10      0.43         0.90      | 1110     0        118      0        0        | 512    1350           98373        -       
32     16     5      5/8    | 0.09      0.14      0.10      0.10      0.45         0.85      | 1110     0        118      0        0        | 640    1350           98373        -       
32     16     6      6/8    | 0.09      0.13      0.09      0.09      0.42         0.91      | 1110     0        118      0        0        | 768    1350           98373        -       
32     16     7      7/8    | 0.08      0.13      0.09      0.10      0.41         0.92      | 1110     0        118      0        0        | 896    1350           98373        -       
32     16     8      8/8    | 0.09      0.14      0.09      0.10      0.43         0.89      | 1110     0        118      0        0        | 1024   1350           98373        -       
32     32     0      0/8    | 0.09      0.13      0.16      0.09      0.47         0.80      | 1110     0        0        118      0        | 1      1562           98373        -       
32     32     1      1/8    | 0.08      0.13      0.16      0.10      0.47         0.80      | 1110     0        0        118      0        | 128    1562           98373        -       
