# Matrix: lshp1561
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.01-0.1/lshp1561.mtx
# Category: 1k-10k-0.01-0.1
# Date: 2026-03-06 11:08:40
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1561
# Cols: 1561
# NNZ(A): 10681
# NNZ(C) estimate: 73547
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.12      0.12      0.06      0.11      0.41         0.35      | 1601     0        0        1041     0        | 1      5220           28427        -       
8      8      1      1/8    | 0.10      0.11      0.06      0.11      0.39         0.38      | 1601     0        0        1041     0        | 8      5220           28427        -       
8      8      2      2/8    | 0.10      0.12      0.07      0.11      0.40         0.37      | 1601     0        456      585      0        | 16     5220           28427        -       
8      8      3      3/8    | 0.09      0.12      0.07      0.10      0.38         0.38      | 1601     0        642      399      0        | 24     5220           28427        -       
8      8      4      4/8    | 0.11      0.12      0.07      0.11      0.43         0.35      | 1601     0        816      225      0        | 32     5220           28427        -       
8      8      5      5/8    | 0.10      0.12      0.05      0.10      0.38         0.39      | 1601     0        986      55       0        | 40     5220           28427        -       
8      8      6      6/8    | 0.10      0.12      0.05      0.10      0.38         0.39      | 1601     0        1015     26       0        | 48     5220           28427        -       
8      8      7      7/8    | 0.10      0.12      0.06      0.11      0.39         0.38      | 1601     0        1036     5        0        | 56     5220           28427        -       
8      8      8      8/8    | 0.13      0.12      0.06      0.11      0.43         0.35      | 1601     0        1041     0        0        | 64     5220           28427        -       
8      16     0      0/8    | 0.10      0.12      0.06      0.11      0.39         0.38      | 1601     0        0        1041     0        | 1      6454           28427        -       
8      16     1      1/8    | 0.09      0.11      0.05      0.10      0.36         0.41      | 1601     0        0        1041     0        | 8      6454           28427        -       
8      16     2      2/8    | 0.09      0.11      0.06      0.10      0.36         0.41      | 1601     0        456      585      0        | 16     6454           28427        -       
8      16     3      3/8    | 0.11      0.12      0.07      0.11      0.42         0.35      | 1601     0        642      399      0        | 24     6454           28427        -       
8      16     4      4/8    | 0.10      0.11      0.06      0.10      0.39         0.38      | 1601     0        816      225      0        | 32     6454           28427        -       
8      16     5      5/8    | 0.10      0.12      0.06      0.11      0.39         0.38      | 1601     0        986      55       0        | 40     6454           28427        -       
8      16     6      6/8    | 0.09      0.11      0.04      0.10      0.34         0.43      | 1601     0        1015     26       0        | 48     6454           28427        -       
8      16     7      7/8    | 0.10      0.12      0.04      0.10      0.36         0.41      | 1601     0        1036     5        0        | 56     6454           28427        -       
8      16     8      8/8    | 0.09      0.11      0.04      0.10      0.35         0.42      | 1601     0        1041     0        0        | 64     6454           28427        -       
