# Matrix: plat1919
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.01-0.1/plat1919.mtx
# Category: 1k-10k-0.01-0.1
# Date: 2026-03-06 11:20:10
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1919
# Cols: 1919
# NNZ(A): 32399
# NNZ(C) estimate: 562853
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.18      0.09      0.19      0.58         1.95      | 2272     0        0        4456     0        | 1      9616           100909       -       
8      8      1      1/8    | 0.11      0.19      0.10      0.20      0.61         1.86      | 2272     0        0        4456     0        | 8      9616           100909       -       
8      8      2      2/8    | 0.11      0.17      0.09      0.21      0.60         1.87      | 2272     0        1302     3154     0        | 16     9616           100909       -       
8      8      3      3/8    | 0.11      0.17      0.09      0.20      0.59         1.92      | 2272     0        3023     1433     0        | 24     9616           100909       -       
8      8      4      4/8    | 0.10      0.17      0.09      0.18      0.55         2.07      | 2272     0        4052     404      0        | 32     9616           100909       -       
8      8      5      5/8    | 0.09      0.18      0.07      0.19      0.54         2.09      | 2272     0        4432     24       0        | 40     9616           100909       -       
8      8      6      6/8    | 0.11      0.18      0.08      0.21      0.60         1.89      | 2272     0        4451     5        0        | 48     9616           100909       -       
8      8      7      7/8    | 0.11      0.17      0.08      0.20      0.57         1.99      | 2272     0        4456     0        0        | 56     9616           100909       -       
8      8      8      8/8    | 0.09      0.17      0.07      0.18      0.52         2.15      | 2272     0        4456     0        0        | 64     9616           100909       -       
8      16     0      0/8    | 0.11      0.16      0.09      0.21      0.59         1.90      | 2272     0        0        4456     0        | 1      11126          100909       -       
8      16     1      1/8    | 0.10      0.16      0.09      0.19      0.54         2.07      | 2272     0        0        4456     0        | 8      11126          100909       -       
8      16     2      2/8    | 0.10      0.16      0.09      0.21      0.57         1.98      | 2272     0        1302     3154     0        | 16     11126          100909       -       
8      16     3      3/8    | 0.09      0.16      0.08      0.18      0.52         2.15      | 2272     0        3023     1433     0        | 24     11126          100909       -       
8      16     4      4/8    | 0.08      0.16      0.08      0.18      0.52         2.17      | 2272     0        4052     404      0        | 32     11126          100909       -       
8      16     5      5/8    | 0.09      0.16      0.06      0.19      0.51         2.23      | 2272     0        4432     24       0        | 40     11126          100909       -       
8      16     6      6/8    | 0.12      0.17      0.07      0.22      0.58         1.93      | 2272     0        4451     5        0        | 48     11126          100909       -       
8      16     7      7/8    | 0.10      0.17      0.06      0.20      0.53         2.13      | 2272     0        4456     0        0        | 56     11126          100909       -       
8      16     8      8/8    | 0.11      0.17      0.06      0.23      0.58         1.93      | 2272     0        4456     0        0        | 64     11126          100909       -       
8      32     0      0/8    | 0.10      0.16      0.14      0.19      0.60         1.88      | 2272     0        0        4456     0        | 1      13346          100909       -       
8      32     1      1/8    | 0.10      0.16      0.14      0.19      0.60         1.88      | 2272     0        0        4456     0        | 8      13346          100909       -       
8      32     2      2/8    | 0.09      0.16      0.12      0.18      0.56         2.01      | 2272     0        1302     3154     0        | 16     13346          100909       -       
8      32     3      3/8    | 0.10      0.16      0.12      0.18      0.56         2.01      | 2272     0        3023     1433     0        | 24     13346          100909       -       
8      32     4      4/8    | 0.10      0.16      0.13      0.18      0.57         1.97      | 2272     0        4052     404      0        | 32     13346          100909       -       
8      32     5      5/8    | 0.10      0.15      0.09      0.21      0.55         2.03      | 2272     0        4432     24       0        | 40     13346          100909       -       
