# Matrix: rdb5000
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.01-0.1/rdb5000.mtx
# Category: 1k-10k-0.01-0.1
# Date: 2026-03-06 11:21:57
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 5000
# Cols: 5000
# NNZ(A): 29600
# NNZ(C) estimate: 175616
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.11      0.12      0.05      0.22      0.51         0.69      | 2400     0        0        3075     0        | 1      11523          87608        -       
8      8      1      1/8    | 0.10      0.10      0.05      0.20      0.45         0.78      | 2400     0        0        3075     0        | 8      11523          87608        -       
8      8      2      2/8    | 0.10      0.11      0.06      0.21      0.49         0.72      | 2400     0        2450     625      0        | 16     11523          87608        -       
8      8      3      3/8    | 0.09      0.10      0.05      0.19      0.44         0.81      | 2400     0        2450     625      0        | 24     11523          87608        -       
8      8      4      4/8    | 0.08      0.10      0.06      0.19      0.43         0.81      | 2400     0        2475     600      0        | 32     11523          87608        -       
8      8      5      5/8    | 0.09      0.10      0.06      0.20      0.45         0.79      | 2400     0        2475     600      0        | 40     11523          87608        -       
8      8      6      6/8    | 0.10      0.12      0.05      0.23      0.50         0.70      | 2400     0        3075     0        0        | 48     11523          87608        -       
8      8      7      7/8    | 0.09      0.10      0.04      0.19      0.42         0.83      | 2400     0        3075     0        0        | 56     11523          87608        -       
8      8      8      8/8    | 0.09      0.10      0.04      0.19      0.43         0.81      | 2400     0        3075     0        0        | 64     11523          87608        -       
8      16     0      0/8    | 0.10      0.12      0.05      0.22      0.49         0.72      | 2400     0        0        3075     0        | 1      15181          87608        -       
8      16     1      1/8    | 0.09      0.11      0.05      0.20      0.45         0.77      | 2400     0        0        3075     0        | 8      15181          87608        -       
8      16     2      2/8    | 0.12      0.12      0.06      0.22      0.52         0.68      | 2400     0        2450     625      0        | 16     15181          87608        -       
8      16     3      3/8    | 0.10      0.11      0.06      0.22      0.50         0.71      | 2400     0        2450     625      0        | 24     15181          87608        -       
8      16     4      4/8    | 0.09      0.10      0.05      0.18      0.43         0.81      | 2400     0        2475     600      0        | 32     15181          87608        -       
8      16     5      5/8    | 0.09      0.11      0.05      0.18      0.44         0.80      | 2400     0        2475     600      0        | 40     15181          87608        -       
8      16     6      6/8    | 0.11      0.11      0.04      0.22      0.50         0.71      | 2400     0        3075     0        0        | 48     15181          87608        -       
8      16     7      7/8    | 0.10      0.11      0.04      0.19      0.44         0.80      | 2400     0        3075     0        0        | 56     15181          87608        -       
8      16     8      8/8    | 0.10      0.11      0.04      0.21      0.47         0.74      | 2400     0        3075     0        0        | 64     15181          87608        -       
8      32     0      0/8    | 0.10      0.12      0.09      0.21      0.53         0.67      | 2400     0        0        3075     0        | 1      21579          87608        -       
8      32     1      1/8    | 0.11      0.14      0.07      0.22      0.56         0.62      | 2400     0        0        3075     0        | 8      21579          87608        -       
8      32     2      2/8    | 0.10      0.12      0.09      0.21      0.52         0.67      | 2400     0        2450     625      0        | 16     21579          87608        -       
8      32     3      3/8    | 0.09      0.12      0.09      0.20      0.51         0.70      | 2400     0        2450     625      0        | 24     21579          87608        -       
8      32     4      4/8    | 0.09      0.11      0.08      0.19      0.48         0.73      | 2400     0        2475     600      0        | 32     21579          87608        -       
8      32     5      5/8    | 0.09      0.12      0.08      0.20      0.49         0.71      | 2400     0        2475     600      0        | 40     21579          87608        -       
