# Matrix: rdist3a
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.01-0.1/rdist3a.mtx
# Category: 1k-10k-0.01-0.1
# Date: 2026-03-06 11:23:50
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 2398
# Cols: 2398
# NNZ(A): 61896
# NNZ(C) estimate: 1601874
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.12      0.15      0.07      0.28      0.63         5.11      | 1678     0        0        3130     2484     | 1      8143           274891       -       
8      8      1      1/8    | 0.10      0.15      0.06      0.28      0.60         5.33      | 1678     0        0        3130     2484     | 8      8143           274891       -       
8      8      2      2/8    | 0.11      0.16      0.07      0.28      0.63         5.08      | 1678     0        749      2381     2484     | 16     8143           274891       -       
8      8      3      3/8    | 0.10      0.15      0.07      0.28      0.62         5.19      | 1678     0        1224     1906     2484     | 24     8143           274891       -       
8      8      4      4/8    | 0.09      0.15      0.06      0.25      0.56         5.75      | 1678     0        1577     1553     2484     | 32     8143           274891       -       
8      8      5      5/8    | 0.09      0.16      0.06      0.26      0.59         5.41      | 1678     0        2008     1122     2484     | 40     8143           274891       -       
8      8      6      6/8    | 0.09      0.15      0.06      0.24      0.56         5.75      | 1678     0        2333     797      2484     | 48     8143           274891       -       
8      8      7      7/8    | 0.09      0.15      0.07      0.24      0.57         5.66      | 1678     0        2925     205      2484     | 56     8143           274891       -       
8      8      8      8/8    | 0.09      0.16      0.09      0.25      0.60         5.35      | 1678     0        5614     0        0        | 64     8143           274891       -       
8      16     0      0/8    | 0.09      0.15      0.06      0.26      0.57         5.66      | 1678     0        0        3130     2484     | 1      8786           274891       -       
8      16     1      1/8    | 0.09      0.14      0.06      0.25      0.56         5.75      | 1678     0        0        3130     2484     | 8      8786           274891       -       
8      16     2      2/8    | 0.09      0.15      0.07      0.25      0.56         5.70      | 1678     0        749      2381     2484     | 16     8786           274891       -       
8      16     3      3/8    | 0.08      0.15      0.06      0.26      0.56         5.75      | 1678     0        1224     1906     2484     | 24     8786           274891       -       
8      16     4      4/8    | 0.12      0.16      0.07      0.29      0.64         5.01      | 1678     0        1577     1553     2484     | 32     8786           274891       -       
8      16     5      5/8    | 0.10      0.15      0.07      0.27      0.60         5.32      | 1678     0        2008     1122     2484     | 40     8786           274891       -       
8      16     6      6/8    | 0.09      0.14      0.07      0.25      0.56         5.71      | 1678     0        2333     797      2484     | 48     8786           274891       -       
