# Matrix: sherman3
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.01-0.1/sherman3.mtx
# Category: 1k-10k-0.01-0.1
# Date: 2026-03-06 11:26:14
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 5005
# Cols: 5005
# NNZ(A): 20033
# NNZ(C) estimate: 115685
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.09      0.12      0.05      0.10      0.37         0.63      | 7715     0        0        2045     0        | 1      15262          59909        -       
8      8      1      1/8    | 0.08      0.12      0.05      0.10      0.36         0.64      | 7715     0        0        2045     0        | 8      15262          59909        -       
8      8      2      2/8    | 0.12      0.13      0.07      0.11      0.42         0.55      | 7715     0        1244     801      0        | 16     15262          59909        -       
8      8      3      3/8    | 0.10      0.13      0.07      0.10      0.40         0.57      | 7715     0        1760     285      0        | 24     15262          59909        -       
8      8      4      4/8    | 0.09      0.12      0.07      0.09      0.37         0.63      | 7715     0        1831     214      0        | 32     15262          59909        -       
8      8      5      5/8    | 0.09      0.12      0.04      0.10      0.36         0.65      | 7715     0        2045     0        0        | 40     15262          59909        -       
8      8      6      6/8    | 0.09      0.12      0.05      0.09      0.36         0.64      | 7715     0        2045     0        0        | 48     15262          59909        -       
8      8      7      7/8    | 0.11      0.13      0.05      0.12      0.41         0.56      | 7715     0        2045     0        0        | 56     15262          59909        -       
8      8      8      8/8    | 0.11      0.13      0.05      0.10      0.40         0.58      | 7715     0        2045     0        0        | 64     15262          59909        -       
8      16     0      0/8    | 0.09      0.12      0.06      0.18      0.47         0.50      | 7715     0        0        2045     0        | 1      20604          59909        -       
8      16     1      1/8    | 0.10      0.12      0.06      0.21      0.50         0.46      | 7715     0        0        2045     0        | 8      20604          59909        -       
8      16     2      2/8    | 0.09      0.11      0.06      0.20      0.46         0.50      | 7715     0        1244     801      0        | 16     20604          59909        -       
8      16     3      3/8    | 0.11      0.12      0.07      0.21      0.52         0.45      | 7715     0        1760     285      0        | 24     20604          59909        -       
8      16     4      4/8    | 0.10      0.12      0.07      0.20      0.50         0.47      | 7715     0        1831     214      0        | 32     20604          59909        -       
8      16     5      5/8    | 0.09      0.12      0.05      0.20      0.47         0.49      | 7715     0        2045     0        0        | 40     20604          59909        -       
8      16     6      6/8    | 0.09      0.11      0.04      0.18      0.43         0.53      | 7715     0        2045     0        0        | 48     20604          59909        -       
8      16     7      7/8    | 0.11      0.13      0.05      0.21      0.51         0.46      | 7715     0        2045     0        0        | 56     20604          59909        -       
8      16     8      8/8    | 0.10      0.12      0.05      0.21      0.47         0.49      | 7715     0        2045     0        0        | 64     20604          59909        -       
8      32     0      0/8    | 0.09      0.15      0.08      0.20      0.52         0.44      | 7715     0        0        2045     0        | 1      27284          59909        -       
8      32     1      1/8    | 0.10      0.15      0.08      0.22      0.56         0.41      | 7715     0        0        2045     0        | 8      27284          59909        -       
8      32     2      2/8    | 0.09      0.14      0.10      0.19      0.53         0.44      | 7715     0        1244     801      0        | 16     27284          59909        -       
8      32     3      3/8    | 0.09      0.14      0.10      0.19      0.54         0.43      | 7715     0        1760     285      0        | 24     27284          59909        -       
8      32     4      4/8    | 0.11      0.15      0.10      0.21      0.58         0.40      | 7715     0        1831     214      0        | 32     27284          59909        -       
8      32     5      5/8    | 0.11      0.17      0.04      0.24      0.58         0.40      | 7715     0        2045     0        0        | 40     27284          59909        -       
8      32     6      6/8    | 0.10      0.15      0.04      0.19      0.48         0.48      | 7715     0        2045     0        0        | 48     27284          59909        -       
8      32     7      7/8    | 0.10      0.15      0.06      0.20      0.51         0.45      | 7715     0        2045     0        0        | 56     27284          59909        -       
8      32     8      8/8    | 0.09      0.14      0.04      0.18      0.45         0.51      | 7715     0        2045     0        0        | 64     27284          59909        -       
16     8      0      0/8    | 0.09      0.14      0.08      0.09      0.41         0.57      | 4925     0        0        572      0        | 1      6365           59909        -       
16     8      1      1/8    | 0.09      0.14      0.08      0.09      0.41         0.56      | 4925     0        0        572      0        | 32     6365           59909        -       
16     8      2      2/8    | 0.11      0.14      0.10      0.10      0.47         0.50      | 4925     0        476      96       0        | 64     6365           59909        -       
16     8      3      3/8    | 0.10      0.14      0.07      0.10      0.42         0.56      | 4925     0        572      0        0        | 96     6365           59909        -       
16     8      4      4/8    | 0.10      0.14      0.07      0.10      0.41         0.56      | 4925     0        572      0        0        | 128    6365           59909        -       
16     8      5      5/8    | 0.10      0.14      0.07      0.10      0.42         0.55      | 4925     0        572      0        0        | 160    6365           59909        -       
16     8      6      6/8    | 0.09      0.14      0.07      0.09      0.40         0.58      | 4925     0        572      0        0        | 192    6365           59909        -       
16     8      7      7/8    | 0.09      0.14      0.07      0.09      0.40         0.58      | 4925     0        572      0        0        | 224    6365           59909        -       
16     8      8      8/8    | 0.09      0.14      0.07      0.09      0.40         0.58      | 4925     0        572      0        0        | 256    6365           59909        -       
16     16     0      0/8    | 0.08      0.13      0.09      0.11      0.42         0.55      | 4925     0        0        572      0        | 1      7255           59909        -       
16     16     1      1/8    | 0.08      0.13      0.09      0.10      0.41         0.56      | 4925     0        0        572      0        | 32     7255           59909        -       
16     16     2      2/8    | 0.08      0.13      0.12      0.10      0.44         0.53      | 4925     0        476      96       0        | 64     7255           59909        -       
