# Matrix: watt_1
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.01-0.1/watt_1.mtx
# Category: 1k-10k-0.01-0.1
# Date: 2026-03-06 11:33:29
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1856
# Cols: 1856
# NNZ(A): 11360
# NNZ(C) estimate: 73080
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.08      0.08      0.03      0.10      0.30         0.48      | 1512     0        0        1026     0        | 1      2538           37260        -       
8      8      1      1/8    | 0.11      0.08      0.04      0.11      0.34         0.42      | 1512     0        0        1026     0        | 8      2538           37260        -       
8      8      2      2/8    | 0.13      0.09      0.04      0.11      0.37         0.39      | 1512     0        0        1026     0        | 16     2538           37260        -       
8      8      3      3/8    | 0.11      0.09      0.05      0.11      0.36         0.40      | 1512     0        810      216      0        | 24     2538           37260        -       
8      8      4      4/8    | 0.11      0.09      0.05      0.11      0.36         0.40      | 1512     0        810      216      0        | 32     2538           37260        -       
8      8      5      5/8    | 0.09      0.09      0.03      0.10      0.32         0.45      | 1512     0        1026     0        0        | 40     2538           37260        -       
8      8      6      6/8    | 0.11      0.09      0.03      0.11      0.35         0.42      | 1512     0        1026     0        0        | 48     2538           37260        -       
8      8      7      7/8    | 0.09      0.08      0.03      0.10      0.31         0.47      | 1512     0        1026     0        0        | 56     2538           37260        -       
8      8      8      8/8    | 0.09      0.08      0.03      0.11      0.33         0.44      | 1512     0        1026     0        0        | 64     2538           37260        -       
8      16     0      0/8    | 0.10      0.10      0.04      0.11      0.35         0.41      | 1512     0        0        1026     0        | 1      3714           37260        -       
8      16     1      1/8    | 0.09      0.09      0.04      0.11      0.34         0.43      | 1512     0        0        1026     0        | 8      3714           37260        -       
8      16     2      2/8    | 0.09      0.09      0.04      0.12      0.35         0.41      | 1512     0        0        1026     0        | 16     3714           37260        -       
8      16     3      3/8    | 0.10      0.09      0.05      0.12      0.36         0.41      | 1512     0        810      216      0        | 24     3714           37260        -       
8      16     4      4/8    | 0.08      0.08      0.04      0.10      0.30         0.48      | 1512     0        810      216      0        | 32     3714           37260        -       
8      16     5      5/8    | 0.08      0.09      0.03      0.10      0.30         0.48      | 1512     0        1026     0        0        | 40     3714           37260        -       
8      16     6      6/8    | 0.11      0.08      0.03      0.11      0.34         0.43      | 1512     0        1026     0        0        | 48     3714           37260        -       
8      16     7      7/8    | 0.10      0.09      0.03      0.10      0.33         0.44      | 1512     0        1026     0        0        | 56     3714           37260        -       
8      16     8      8/8    | 0.08      0.09      0.03      0.10      0.30         0.49      | 1512     0        1026     0        0        | 64     3714           37260        -       
8      32     0      0/8    | 0.08      0.09      0.05      0.10      0.35         0.42      | 1512     0        0        1026     0        | 1      5442           37260        -       
8      32     1      1/8    | 0.12      0.09      0.06      0.12      0.39         0.38      | 1512     0        0        1026     0        | 8      5442           37260        -       
8      32     2      2/8    | 0.09      0.09      0.05      0.10      0.35         0.42      | 1512     0        0        1026     0        | 16     5442           37260        -       
8      32     3      3/8    | 0.09      0.10      0.07      0.10      0.37         0.40      | 1512     0        810      216      0        | 24     5442           37260        -       
8      32     4      4/8    | 0.09      0.09      0.07      0.11      0.36         0.40      | 1512     0        810      216      0        | 32     5442           37260        -       
8      32     5      5/8    | 0.09      0.09      0.03      0.11      0.33         0.45      | 1512     0        1026     0        0        | 40     5442           37260        -       
8      32     6      6/8    | 0.09      0.10      0.03      0.11      0.34         0.44      | 1512     0        1026     0        0        | 48     5442           37260        -       
8      32     7      7/8    | 0.10      0.10      0.03      0.11      0.34         0.43      | 1512     0        1026     0        0        | 56     5442           37260        -       
8      32     8      8/8    | 0.08      0.09      0.03      0.11      0.32         0.46      | 1512     0        1026     0        0        | 64     5442           37260        -       
16     8      0      0/8    | 0.12      0.11      0.05      0.10      0.39         0.38      | 540      0        0        486      0        | 1      1026           37260        -       
16     8      1      1/8    | 0.10      0.10      0.05      0.10      0.35         0.42      | 540      0        0        486      0        | 32     1026           37260        -       
16     8      2      2/8    | 0.12      0.11      0.08      0.11      0.43         0.34      | 540      0        378      108      0        | 64     1026           37260        -       
16     8      3      3/8    | 0.10      0.11      0.07      0.10      0.40         0.36      | 540      0        378      108      0        | 96     1026           37260        -       
16     8      4      4/8    | 0.10      0.10      0.06      0.10      0.37         0.40      | 540      0        486      0        0        | 128    1026           37260        -       
16     8      5      5/8    | 0.09      0.10      0.06      0.10      0.36         0.41      | 540      0        486      0        0        | 160    1026           37260        -       
16     8      6      6/8    | 0.10      0.12      0.07      0.10      0.40         0.37      | 540      0        486      0        0        | 192    1026           37260        -       
16     8      7      7/8    | 0.10      0.11      0.07      0.10      0.38         0.38      | 540      0        486      0        0        | 224    1026           37260        -       
16     8      8      8/8    | 0.09      0.11      0.06      0.10      0.37         0.39      | 540      0        486      0        0        | 256    1026           37260        -       
16     16     0      0/8    | 0.10      0.09      0.06      0.10      0.35         0.41      | 540      0        0        486      0        | 1      1134           37260        -       
16     16     1      1/8    | 0.11      0.09      0.06      0.11      0.37         0.39      | 540      0        0        486      0        | 32     1134           37260        -       
16     16     2      2/8    | 0.08      0.09      0.08      0.10      0.36         0.41      | 540      0        378      108      0        | 64     1134           37260        -       
16     16     3      3/8    | 0.10      0.10      0.07      0.10      0.38         0.39      | 540      0        378      108      0        | 96     1134           37260        -       
16     16     4      4/8    | 0.10      0.09      0.04      0.10      0.34         0.43      | 540      0        486      0        0        | 128    1134           37260        -       
