# Matrix: Goodwin_023
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/Goodwin_023.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 12:03:08
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 6005
# Cols: 6005
# NNZ(A): 182168
# NNZ(C) estimate: 6986888
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.08      0.23      0.23      0.22      0.78         17.96     | 5227     0        0        19375    4151     | 1      37362          821860       -       
8      8      1      1/8    | 0.10      0.25      0.24      0.26      0.85         16.42     | 5227     0        0        19375    4151     | 8      37362          821860       -       
8      8      2      2/8    | 0.09      0.24      0.22      0.23      0.80         17.45     | 5227     0        6341     13034    4151     | 16     37362          821860       -       
8      8      3      3/8    | 0.09      0.24      0.21      0.23      0.78         17.85     | 5227     0        11419    7956     4151     | 24     37362          821860       -       
8      8      4      4/8    | 0.09      0.24      0.22      0.23      0.79         17.64     | 5227     0        14398    4977     4151     | 32     37362          821860       -       
8      8      5      5/8    | 0.09      0.24      0.21      0.24      0.79         17.67     | 5227     0        16023    3352     4151     | 40     37362          821860       -       
8      8      6      6/8    | 0.09      0.24      0.21      0.23      0.79         17.76     | 5227     0        17020    2355     4151     | 48     37362          821860       -       
8      8      7      7/8    | 0.10      0.26      0.22      0.25      0.83         16.86     | 5227     0        18285    1090     4151     | 56     37362          821860       -       
8      8      8      8/8    | 0.10      0.25      0.25      0.25      0.86         16.27     | 5227     0        23526    0        0        | 64     37362          821860       -       
8      16     0      0/8    | 0.09      0.23      0.22      0.30      0.85         16.52     | 5227     0        0        19375    4151     | 1      40217          821860       -       
8      16     1      1/8    | 0.08      0.21      0.21      0.28      0.78         17.82     | 5227     0        0        19375    4151     | 8      40217          821860       -       
8      16     2      2/8    | 0.12      0.22      0.20      0.31      0.85         16.34     | 5227     0        6341     13034    4151     | 16     40217          821860       -       
8      16     3      3/8    | 0.09      0.21      0.19      0.30      0.81         17.34     | 5227     0        11419    7956     4151     | 24     40217          821860       -       
8      16     4      4/8    | 0.10      0.21      0.19      0.29      0.81         17.32     | 5227     0        14398    4977     4151     | 32     40217          821860       -       
8      16     5      5/8    | 0.09      0.21      0.19      0.30      0.81         17.36     | 5227     0        16023    3352     4151     | 40     40217          821860       -       
8      16     6      6/8    | 0.10      0.21      0.19      0.31      0.82         17.02     | 5227     0        17020    2355     4151     | 48     40217          821860       -       
8      16     7      7/8    | 0.09      0.21      0.19      0.30      0.80         17.47     | 5227     0        18285    1090     4151     | 56     40217          821860       -       
8      16     8      8/8    | 0.10      0.22      0.23      0.30      0.85         16.34     | 5227     0        23526    0        0        | 64     40217          821860       -       
8      32     0      0/8    | 0.08      0.20      0.30      0.30      0.89         15.65     | 5227     0        0        19375    4151     | 1      47464          821860       -       
8      32     1      1/8    | 0.10      0.20      0.31      0.31      0.93         14.99     | 5227     0        0        19375    4151     | 8      47464          821860       -       
8      32     2      2/8    | 0.09      0.19      0.28      0.32      0.90         15.53     | 5227     0        6341     13034    4151     | 16     47464          821860       -       
8      32     3      3/8    | 0.09      0.20      0.26      0.30      0.85         16.36     | 5227     0        11419    7956     4151     | 24     47464          821860       -       
8      32     4      4/8    | 0.10      0.20      0.25      0.32      0.87         16.01     | 5227     0        14398    4977     4151     | 32     47464          821860       -       
8      32     5      5/8    | 0.09      0.20      0.24      0.30      0.84         16.68     | 5227     0        16023    3352     4151     | 40     47464          821860       -       
8      32     6      6/8    | 0.09      0.18      0.24      0.29      0.81         17.19     | 5227     0        17020    2355     4151     | 48     47464          821860       -       
8      32     7      7/8    | 0.08      0.19      0.24      0.29      0.81         17.34     | 5227     0        18285    1090     4151     | 56     47464          821860       -       
8      32     8      8/8    | 0.09      0.19      0.23      0.28      0.81         17.36     | 5227     0        23526    0        0        | 64     47464          821860       -       
16     8      0      0/8    | 0.08      0.23      0.19      0.24      0.75         18.58     | 2319     0        0        5961     499      | 1      11221          821860       -       
16     8      1      1/8    | 0.08      0.22      0.19      0.24      0.74         18.83     | 2319     0        0        5961     499      | 32     11221          821860       -       
16     8      2      2/8    | 0.09      0.22      0.18      0.23      0.73         19.14     | 2319     0        2199     3762     499      | 64     11221          821860       -       
16     8      3      3/8    | 0.11      0.23      0.19      0.27      0.80         17.49     | 2319     0        3286     2675     499      | 96     11221          821860       -       
16     8      4      4/8    | 0.09      0.22      0.19      0.24      0.75         18.58     | 2319     0        3500     2461     499      | 128    11221          821860       -       
16     8      5      5/8    | 0.09      0.23      0.19      0.24      0.77         18.27     | 2319     0        4332     1629     499      | 160    11221          821860       -       
16     8      6      6/8    | 0.09      0.23      0.21      0.25      0.80         17.58     | 2319     0        5442     519      499      | 192    11221          821860       -       
16     8      7      7/8    | 0.08      0.22      0.21      0.24      0.75         18.61     | 2319     0        5569     392      499      | 224    11221          821860       -       
16     8      8      8/8    | 0.11      0.23      0.29      0.27      0.90         15.51     | 2319     0        6460     0        0        | 256    11221          821860       -       
16     16     0      0/8    | 0.10      0.18      0.19      0.24      0.72         19.44     | 2319     0        0        5961     499      | 1      12165          821860       -       
16     16     1      1/8    | 0.09      0.18      0.19      0.23      0.70         19.96     | 2319     0        0        5961     499      | 32     12165          821860       -       
16     16     2      2/8    | 0.09      0.18      0.19      0.24      0.71         19.76     | 2319     0        2199     3762     499      | 64     12165          821860       -       
16     16     3      3/8    | 0.09      0.18      0.19      0.25      0.72         19.30     | 2319     0        3286     2675     499      | 96     12165          821860       -       
16     16     4      4/8    | 0.08      0.17      0.19      0.23      0.68         20.52     | 2319     0        3500     2461     499      | 128    12165          821860       -       
16     16     5      5/8    | 0.09      0.18      0.24      0.26      0.79         17.78     | 2319     0        4332     1629     499      | 160    12165          821860       -       
16     16     6      6/8    | 0.09      0.18      0.27      0.24      0.78         17.82     | 2319     0        5442     519      499      | 192    12165          821860       -       
16     16     7      7/8    | 0.09      0.18      0.27      0.24      0.79         17.64     | 2319     0        5569     392      499      | 224    12165          821860       -       
16     16     8      8/8    | 0.09      0.18      0.27      0.23      0.78         17.94     | 2319     0        6460     0        0        | 256    12165          821860       -       
16     32     0      0/8    | 0.09      0.15      0.28      0.22      0.76         18.44     | 2319     0        0        5961     499      | 1      13652          821860       -       
16     32     1      1/8    | 0.09      0.16      0.28      0.23      0.78         17.92     | 2319     0        0        5961     499      | 32     13652          821860       -       
16     32     2      2/8    | 0.09      0.16      0.27      0.22      0.75         18.68     | 2319     0        2199     3762     499      | 64     13652          821860       -       
16     32     3      3/8    | 0.09      0.16      0.25      0.22      0.73         19.19     | 2319     0        3286     2675     499      | 96     13652          821860       -       
16     32     4      4/8    | 0.09      0.16      0.23      0.23      0.72         19.35     | 2319     0        3500     2461     499      | 128    13652          821860       -       
16     32     5      5/8    | 0.09      0.16      0.29      0.23      0.78         18.03     | 2319     0        4332     1629     499      | 160    13652          821860       -       
