# Matrix: JapaneseVowelsSmall_10NN
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/JapaneseVowelsSmall_10NN.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 12:08:58
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 9961
# Cols: 9961
# NNZ(A): 131144
# NNZ(C) estimate: 1822816
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.14      1.02      0.68      0.76      2.61         1.40      | 103583   0        0        28347    24       | 1      334218         773977       -       
8      8      1      1/8    | 0.13      1.01      0.67      0.75      2.58         1.41      | 103583   0        0        28347    24       | 8      334218         773977       -       
8      8      2      2/8    | 0.13      1.03      0.55      0.78      2.51         1.45      | 103583   0        19501    8846     24       | 16     334218         773977       -       
8      8      3      3/8    | 0.13      1.03      0.50      0.74      2.41         1.51      | 103583   0        25191    3156     24       | 24     334218         773977       -       
8      8      4      4/8    | 0.12      0.98      0.52      0.70      2.33         1.56      | 103583   0        27111    1236     24       | 32     334218         773977       -       
8      8      5      5/8    | 0.12      1.01      0.50      0.70      2.35         1.55      | 103583   0        27890    457      24       | 40     334218         773977       -       
8      8      6      6/8    | 0.12      1.06      0.50      0.72      2.42         1.51      | 103583   0        28177    170      24       | 48     334218         773977       -       
8      8      7      7/8    | 0.14      1.03      0.50      0.76      2.44         1.49      | 103583   0        28307    40       24       | 56     334218         773977       -       
8      8      8      8/8    | 0.13      1.03      0.51      0.72      2.41         1.51      | 103583   0        28371    0        0        | 64     334218         773977       -       
8      16     0      0/8    | 0.14      1.29      0.83      0.74      3.02         1.21      | 103583   0        0        28347    24       | 1      436752         773977       -       
8      16     1      1/8    | 0.15      1.25      0.84      0.81      3.07         1.19      | 103583   0        0        28347    24       | 8      436752         773977       -       
8      16     2      2/8    | 0.15      1.25      0.62      0.79      2.81         1.30      | 103583   0        19501    8846     24       | 16     436752         773977       -       
8      16     3      3/8    | 0.14      1.33      0.55      0.77      2.79         1.31      | 103583   0        25191    3156     24       | 24     436752         773977       -       
8      16     4      4/8    | 0.13      1.28      0.56      0.76      2.74         1.33      | 103583   0        27111    1236     24       | 32     436752         773977       -       
8      16     5      5/8    | 0.15      1.29      0.53      0.81      2.79         1.30      | 103583   0        27890    457      24       | 40     436752         773977       -       
8      16     6      6/8    | 0.15      1.29      0.54      0.78      2.77         1.32      | 103583   0        28177    170      24       | 48     436752         773977       -       
8      16     7      7/8    | 0.14      1.25      0.54      0.79      2.73         1.34      | 103583   0        28307    40       24       | 56     436752         773977       -       
8      16     8      8/8    | 0.14      1.35      0.53      0.77      2.81         1.30      | 103583   0        28371    0        0        | 64     436752         773977       -       
8      32     0      0/8    | 0.16      1.58      1.39      0.82      3.96         0.92      | 103583   0        0        28347    24       | 1      561568         773977       -       
8      32     1      1/8    | 0.15      1.60      1.37      0.79      3.92         0.93      | 103583   0        0        28347    24       | 8      561568         773977       -       
8      32     2      2/8    | 0.15      1.57      0.90      0.79      3.42         1.07      | 103583   0        19501    8846     24       | 16     561568         773977       -       
8      32     3      3/8    | 0.15      1.56      0.71      0.76      3.18         1.15      | 103583   0        25191    3156     24       | 24     561568         773977       -       
8      32     4      4/8    | 0.15      1.58      0.70      0.77      3.22         1.13      | 103583   0        27111    1236     24       | 32     561568         773977       -       
8      32     5      5/8    | 0.15      1.60      0.69      0.75      3.20         1.14      | 103583   0        27890    457      24       | 40     561568         773977       -       
8      32     6      6/8    | 0.16      1.58      0.67      0.82      3.23         1.13      | 103583   0        28177    170      24       | 48     561568         773977       -       
8      32     7      7/8    | 0.15      1.55      0.62      0.77      3.11         1.17      | 103583   0        28307    40       24       | 56     561568         773977       -       
8      32     8      8/8    | 0.15      1.61      0.55      0.77      3.08         1.18      | 103583   0        28371    0        0        | 64     561568         773977       -       
16     8      0      0/8    | 0.14      0.91      0.66      0.45      2.17         1.68      | 63700    0        0        4775     0        | 1      141695         773977       -       
16     8      1      1/8    | 0.14      0.93      0.65      0.44      2.17         1.68      | 63700    0        0        4775     0        | 32     141695         773977       -       
