# Matrix: Kuu
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/Kuu.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 12:10:27
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 7102
# Cols: 7102
# NNZ(A): 340200
# NNZ(C) estimate: 19123888
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.26      0.22      0.37      0.97         39.51     | 4576     0        0        22940    10826    | 1      46318          1562636      -       
8      8      1      1/8    | 0.09      0.25      0.22      0.34      0.92         41.48     | 4576     0        0        22940    10826    | 8      46318          1562636      -       
8      8      2      2/8    | 0.09      0.24      0.22      0.32      0.88         43.36     | 4576     0        4848     18092    10826    | 16     46318          1562636      -       
8      8      3      3/8    | 0.10      0.24      0.22      0.33      0.91         42.08     | 4576     0        7684     15256    10826    | 24     46318          1562636      -       
8      8      4      4/8    | 0.11      0.26      0.23      0.35      0.96         39.97     | 4576     0        9711     13229    10826    | 32     46318          1562636      -       
8      8      5      5/8    | 0.10      0.25      0.23      0.31      0.90         42.40     | 4576     0        13902    9038     10826    | 40     46318          1562636      -       
8      8      6      6/8    | 0.09      0.26      0.24      0.36      0.97         39.55     | 4576     0        15940    7000     10826    | 48     46318          1562636      -       
8      8      7      7/8    | 0.08      0.24      0.28      0.33      0.94         40.73     | 4576     0        21620    1320     10826    | 56     46318          1562636      -       
8      8      8      8/8    | 0.09      0.24      0.53      0.32      1.19         32.11     | 4576     0        33766    0        0        | 64     46318          1562636      -       
8      16     0      0/8    | 0.09      0.25      0.26      0.33      0.94         40.82     | 4576     0        0        22940    10826    | 1      57196          1562636      -       
8      16     1      1/8    | 0.08      0.25      0.26      0.33      0.93         41.08     | 4576     0        0        22940    10826    | 8      57196          1562636      -       
8      16     2      2/8    | 0.10      0.26      0.26      0.35      0.98         38.83     | 4576     0        4848     18092    10826    | 16     57196          1562636      -       
8      16     3      3/8    | 0.09      0.26      0.25      0.32      0.92         41.44     | 4576     0        7684     15256    10826    | 24     57196          1562636      -       
