# Matrix: Na5
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/Na5.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 12:17:49
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 5832
# Cols: 5832
# NNZ(A): 305630
# NNZ(C) estimate: 36493194
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.22      1.64      2.67      0.63      5.16         14.14     | 92580    0        0        98642    2371     | 1      242025         3305350      -       
8      8      1      1/8    | 0.22      1.62      2.65      0.59      5.09         14.35     | 92580    0        0        98642    2371     | 8      242025         3305350      -       
8      8      2      2/8    | 0.21      1.66      2.52      0.59      5.00         14.61     | 92580    0        34178    64464    2371     | 16     242025         3305350      -       
8      8      3      3/8    | 0.21      1.64      2.39      0.59      4.83         15.11     | 92580    0        53042    45600    2371     | 24     242025         3305350      -       
8      8      4      4/8    | 0.22      1.68      2.35      0.65      4.91         14.88     | 92580    0        66504    32138    2371     | 32     242025         3305350      -       
8      8      5      5/8    | 0.21      1.70      2.15      0.61      4.68         15.61     | 92580    0        76016    22626    2371     | 40     242025         3305350      -       
8      8      6      6/8    | 0.21      1.63      2.06      0.60      4.51         16.18     | 92580    0        82588    16054    2371     | 48     242025         3305350      -       
8      8      7      7/8    | 0.21      1.63      1.95      0.61      4.41         16.54     | 92580    0        90908    7734     2371     | 56     242025         3305350      -       
8      8      8      8/8    | 0.20      1.64      1.72      0.63      4.21         17.35     | 92580    0        101013   0        0        | 64     242025         3305350      -       
8      16     0      0/8    | 0.17      1.44      2.79      0.79      5.21         14.01     | 92580    0        0        98642    2371     | 1      266967         3305350      -       
8      16     1      1/8    | 0.17      1.44      2.77      0.77      5.15         14.17     | 92580    0        0        98642    2371     | 8      266967         3305350      -       
8      16     2      2/8    | 0.16      1.37      2.52      0.73      4.79         15.24     | 92580    0        34178    64464    2371     | 16     266967         3305350      -       
8      16     3      3/8    | 0.16      1.45      2.35      0.73      4.70         15.52     | 92580    0        53042    45600    2371     | 24     266967         3305350      -       
8      16     4      4/8    | 0.16      1.41      2.22      0.73      4.52         16.14     | 92580    0        66504    32138    2371     | 32     266967         3305350      -       
8      16     5      5/8    | 0.16      1.44      2.03      0.74      4.37         16.71     | 92580    0        76016    22626    2371     | 40     266967         3305350      -       
8      16     6      6/8    | 0.17      1.42      1.90      0.80      4.31         16.95     | 92580    0        82588    16054    2371     | 48     266967         3305350      -       
8      16     7      7/8    | 0.17      1.46      1.76      0.75      4.15         17.60     | 92580    0        90908    7734     2371     | 56     266967         3305350      -       
8      16     8      8/8    | 0.16      1.44      1.46      0.74      3.81         19.15     | 92580    0        101013   0        0        | 64     266967         3305350      -       
8      32     0      0/8    | 0.15      1.24      3.54      0.85      5.80         12.58     | 92580    0        0        98642    2371     | 1      290207         3305350      -       
8      32     1      1/8    | 0.14      1.23      3.54      0.82      5.74         12.73     | 92580    0        0        98642    2371     | 8      290207         3305350      -       
8      32     2      2/8    | 0.14      1.24      3.01      0.80      5.20         14.04     | 92580    0        34178    64464    2371     | 16     290207         3305350      -       
8      32     3      3/8    | 0.15      1.26      2.67      0.84      4.92         14.83     | 92580    0        53042    45600    2371     | 24     290207         3305350      -       
8      32     4      4/8    | 0.14      1.19      2.38      0.80      4.53         16.13     | 92580    0        66504    32138    2371     | 32     290207         3305350      -       
8      32     5      5/8    | 0.15      1.27      2.15      0.81      4.38         16.67     | 92580    0        76016    22626    2371     | 40     290207         3305350      -       
8      32     6      6/8    | 0.15      1.25      1.95      0.85      4.20         17.37     | 92580    0        82588    16054    2371     | 48     290207         3305350      -       
8      32     7      7/8    | 0.14      1.26      1.73      0.79      3.93         18.56     | 92580    0        90908    7734     2371     | 56     290207         3305350      -       
8      32     8      8/8    | 0.14      1.25      1.36      0.77      3.53         20.68     | 92580    0        101013   0        0        | 64     290207         3305350      -       
16     8      0      0/8    | 0.19      1.15      2.36      0.44      4.15         17.58     | 37910    0        0        30536    23       | 1      72067          3305350      -       
16     8      1      1/8    | 0.18      1.13      2.35      0.43      4.10         17.78     | 37910    0        0        30536    23       | 32     72067          3305350      -       
16     8      2      2/8    | 0.18      1.13      2.09      0.43      3.85         18.97     | 37910    0        14233    16303    23       | 64     72067          3305350      -       
16     8      3      3/8    | 0.20      1.15      2.00      0.48      3.84         19.02     | 37910    0        19405    11131    23       | 96     72067          3305350      -       
16     8      4      4/8    | 0.18      1.15      1.87      0.46      3.68         19.85     | 37910    0        23413    7123     23       | 128    72067          3305350      -       
16     8      5      5/8    | 0.19      1.17      1.73      0.47      3.57         20.46     | 37910    0        26837    3699     23       | 160    72067          3305350      -       
16     8      6      6/8    | 0.18      1.14      1.68      0.43      3.43         21.25     | 37910    0        29024    1512     23       | 192    72067          3305350      -       
16     8      7      7/8    | 0.20      1.15      1.75      0.48      3.58         20.36     | 37910    0        29986    550      23       | 224    72067          3305350      -       
16     8      8      8/8    | 0.19      1.15      1.83      0.45      3.63         20.10     | 37910    0        30559    0        0        | 256    72067          3305350      -       
16     16     0      0/8    | 0.15      0.95      2.27      0.44      3.82         19.12     | 37910    0        0        30536    23       | 1      74745          3305350      -       
16     16     1      1/8    | 0.16      0.91      2.26      0.47      3.82         19.12     | 37910    0        0        30536    23       | 32     74745          3305350      -       
16     16     2      2/8    | 0.15      0.90      1.93      0.46      3.44         21.20     | 37910    0        14233    16303    23       | 64     74745          3305350      -       
16     16     3      3/8    | 0.15      0.95      1.80      0.45      3.35         21.77     | 37910    0        19405    11131    23       | 96     74745          3305350      -       
16     16     4      4/8    | 0.15      0.91      1.68      0.45      3.20         22.79     | 37910    0        23413    7123     23       | 128    74745          3305350      -       
16     16     5      5/8    | 0.16      0.97      1.55      0.48      3.17         23.02     | 37910    0        26837    3699     23       | 160    74745          3305350      -       
16     16     6      6/8    | 0.15      0.87      1.68      0.45      3.16         23.10     | 37910    0        29024    1512     23       | 192    74745          3305350      -       
16     16     7      7/8    | 0.15      0.90      1.71      0.44      3.20         22.78     | 37910    0        29986    550      23       | 224    74745          3305350      -       
16     16     8      8/8    | 0.15      0.94      1.54      0.46      3.09         23.59     | 37910    0        30559    0        0        | 256    74745          3305350      -       
16     32     0      0/8    | 0.14      0.77      2.94      0.52      4.38         16.68     | 37910    0        0        30536    23       | 1      79207          3305350      -       
16     32     1      1/8    | 0.14      0.80      2.91      0.55      4.40         16.58     | 37910    0        0        30536    23       | 32     79207          3305350      -       
16     32     2      2/8    | 0.13      0.78      2.27      0.52      3.71         19.68     | 37910    0        14233    16303    23       | 64     79207          3305350      -       
16     32     3      3/8    | 0.12      0.76      1.96      0.49      3.35         21.77     | 37910    0        19405    11131    23       | 96     79207          3305350      -       
16     32     4      4/8    | 0.14      0.84      1.72      0.55      3.26         22.40     | 37910    0        23413    7123     23       | 128    79207          3305350      -       
16     32     5      5/8    | 0.13      0.85      1.49      0.55      3.04         24.04     | 37910    0        26837    3699     23       | 160    79207          3305350      -       
16     32     6      6/8    | 0.13      0.83      1.58      0.52      3.08         23.70     | 37910    0        29024    1512     23       | 192    79207          3305350      -       
16     32     7      7/8    | 0.13      0.80      1.59      0.48      3.01         24.23     | 37910    0        29986    550      23       | 224    79207          3305350      -       
16     32     8      8/8    | 0.13      0.83      1.30      0.54      2.82         25.92     | 37910    0        30559    0        0        | 256    79207          3305350      -       
32     8      0      0/8    | 0.18      1.15      2.55      0.42      4.31         16.94     | 11789    0        0        8268     0        | 1      20595          3305350      -       
32     8      1      1/8    | 0.18      1.14      2.58      0.38      4.29         17.03     | 11789    0        0        8268     0        | 128    20595          3305350      -       
32     8      2      2/8    | 0.18      1.14      2.22      0.38      3.93         18.59     | 11789    0        3824     4444     0        | 256    20595          3305350      -       
32     8      3      3/8    | 0.18      1.15      2.16      0.41      3.91         18.68     | 11789    0        6038     2230     0        | 384    20595          3305350      -       
32     8      4      4/8    | 0.18      1.14      2.08      0.41      3.81         19.14     | 11789    0        6978     1290     0        | 512    20595          3305350      -       
32     8      5      5/8    | 0.17      1.15      2.21      0.38      3.92         18.64     | 11789    0        7733     535      0        | 640    20595          3305350      -       
32     8      6      6/8    | 0.18      1.15      2.29      0.42      4.05         18.03     | 11789    0        8111     157      0        | 768    20595          3305350      -       
32     8      7      7/8    | 0.18      1.14      2.28      0.39      4.00         18.26     | 11789    0        8250     18       0        | 896    20595          3305350      -       
32     8      8      8/8    | 0.18      1.15      2.32      0.40      4.05         18.01     | 11789    0        8268     0        0        | 1024   20595          3305350      -       
32     16     0      0/8    | 0.14      0.86      2.92      0.38      4.31         16.95     | 11789    0        0        8268     0        | 1      21093          3305350      -       
32     16     1      1/8    | 0.14      0.87      2.94      0.40      4.35         16.76     | 11789    0        0        8268     0        | 128    21093          3305350      -       
32     16     2      2/8    | 0.14      0.86      2.36      0.38      3.75         19.47     | 11789    0        3824     4444     0        | 256    21093          3305350      -       
32     16     3      3/8    | 0.14      0.86      1.91      0.38      3.30         22.14     | 11789    0        6038     2230     0        | 384    21093          3305350      -       
32     16     4      4/8    | 0.14      0.87      1.84      0.41      3.28         22.28     | 11789    0        6978     1290     0        | 512    21093          3305350      -       
32     16     5      5/8    | 0.14      0.86      1.96      0.41      3.38         21.61     | 11789    0        7733     535      0        | 640    21093          3305350      -       
32     16     6      6/8    | 0.14      0.86      1.98      0.38      3.37         21.68     | 11789    0        8111     157      0        | 768    21093          3305350      -       
32     16     7      7/8    | 0.14      0.86      1.71      0.40      3.13         23.34     | 11789    0        8250     18       0        | 896    21093          3305350      -       
32     16     8      8/8    | 0.14      0.87      1.86      0.39      3.27         22.29     | 11789    0        8268     0        0        | 1024   21093          3305350      -       
32     32     0      0/8    | 0.11      0.65      2.98      0.38      4.12         17.72     | 11789    0        0        8268     0        | 1      21995          3305350      -       
32     32     1      1/8    | 0.10      0.65      2.99      0.38      4.13         17.68     | 11789    0        0        8268     0        | 128    21995          3305350      -       
32     32     2      2/8    | 0.11      0.65      2.32      0.36      3.45         21.16     | 11789    0        3824     4444     0        | 256    21995          3305350      -       
32     32     3      3/8    | 0.10      0.65      1.89      0.37      3.02         24.14     | 11789    0        6038     2230     0        | 384    21995          3305350      -       
32     32     4      4/8    | 0.12      0.66      1.80      0.41      3.01         24.26     | 11789    0        6978     1290     0        | 512    21995          3305350      -       
32     32     5      5/8    | 0.11      0.66      1.75      0.40      2.92         24.95     | 11789    0        7733     535      0        | 640    21995          3305350      -       
32     32     6      6/8    | 0.11      0.66      1.67      0.39      2.83         25.79     | 11789    0        8111     157      0        | 768    21995          3305350      -       
32     32     7      7/8    | 0.12      0.66      1.58      0.41      2.79         26.18     | 11789    0        8250     18       0        | 896    21995          3305350      -       
32     32     8      8/8    | 0.11      0.65      1.55      0.40      2.72         26.86     | 11789    0        8268     0        0        | 1024   21995          3305350      -       
