# Matrix: SiH4
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/SiH4.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 12:49:11
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 5041
# Cols: 5041
# NNZ(A): 171903
# NNZ(C) estimate: 11295343
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.17      1.13      1.30      0.57      3.17         7.13      | 94837    0        0        50050    1354     | 1      183699         1971009      -       
8      8      1      1/8    | 0.17      1.13      1.30      0.58      3.19         7.08      | 94837    0        0        50050    1354     | 8      183699         1971009      -       
8      8      2      2/8    | 0.18      1.17      1.24      0.62      3.22         7.01      | 94837    0        18088    31962    1354     | 16     183699         1971009      -       
8      8      3      3/8    | 0.17      1.18      1.16      0.60      3.12         7.23      | 94837    0        25638    24412    1354     | 24     183699         1971009      -       
8      8      4      4/8    | 0.18      1.20      1.11      0.59      3.09         7.31      | 94837    0        30822    19228    1354     | 32     183699         1971009      -       
8      8      5      5/8    | 0.17      1.21      1.03      0.60      3.02         7.48      | 94837    0        35929    14121    1354     | 40     183699         1971009      -       
8      8      6      6/8    | 0.17      1.15      1.03      0.58      2.94         7.67      | 94837    0        39597    10453    1354     | 48     183699         1971009      -       
8      8      7      7/8    | 0.18      1.13      1.02      0.60      2.94         7.68      | 94837    0        44518    5532     1354     | 56     183699         1971009      -       
8      8      8      8/8    | 0.18      1.13      0.89      0.60      2.81         8.05      | 94837    0        51404    0        0        | 64     183699         1971009      -       
8      16     0      0/8    | 0.16      1.07      1.36      0.60      3.19         7.08      | 94837    0        0        50050    1354     | 1      201697         1971009      -       
8      16     1      1/8    | 0.17      1.19      1.34      0.62      3.34         6.77      | 94837    0        0        50050    1354     | 8      201697         1971009      -       
8      16     2      2/8    | 0.16      1.17      1.24      0.60      3.19         7.09      | 94837    0        18088    31962    1354     | 16     201697         1971009      -       
8      16     3      3/8    | 0.16      1.16      1.18      0.57      3.09         7.32      | 94837    0        25638    24412    1354     | 24     201697         1971009      -       
8      16     4      4/8    | 0.15      1.15      1.12      0.57      3.01         7.51      | 94837    0        30822    19228    1354     | 32     201697         1971009      -       
8      16     5      5/8    | 0.17      1.09      0.99      0.61      2.88         7.85      | 94837    0        35929    14121    1354     | 40     201697         1971009      -       
8      16     6      6/8    | 0.17      1.09      0.96      0.63      2.86         7.89      | 94837    0        39597    10453    1354     | 48     201697         1971009      -       
8      16     7      7/8    | 0.16      1.12      0.93      0.61      2.83         7.98      | 94837    0        44518    5532     1354     | 56     201697         1971009      -       
8      16     8      8/8    | 0.17      1.17      0.79      0.61      2.75         8.23      | 94837    0        51404    0        0        | 64     201697         1971009      -       
8      32     0      0/8    | 0.13      0.91      1.76      0.60      3.41         6.62      | 94837    0        0        50050    1354     | 1      222719         1971009      -       
8      32     1      1/8    | 0.13      0.92      1.76      0.60      3.43         6.58      | 94837    0        0        50050    1354     | 8      222719         1971009      -       
8      32     2      2/8    | 0.13      0.94      1.51      0.62      3.21         7.05      | 94837    0        18088    31962    1354     | 16     222719         1971009      -       
8      32     3      3/8    | 0.13      0.97      1.38      0.61      3.10         7.30      | 94837    0        25638    24412    1354     | 24     222719         1971009      -       
8      32     4      4/8    | 0.13      0.93      1.27      0.59      2.93         7.72      | 94837    0        30822    19228    1354     | 32     222719         1971009      -       
8      32     5      5/8    | 0.12      0.91      1.13      0.58      2.75         8.20      | 94837    0        35929    14121    1354     | 40     222719         1971009      -       
8      32     6      6/8    | 0.12      0.94      1.06      0.58      2.71         8.34      | 94837    0        39597    10453    1354     | 48     222719         1971009      -       
8      32     7      7/8    | 0.12      0.93      0.95      0.60      2.62         8.63      | 94837    0        44518    5532     1354     | 56     222719         1971009      -       
8      32     8      8/8    | 0.12      0.92      0.73      0.58      2.36         9.59      | 94837    0        51404    0        0        | 64     222719         1971009      -       
16     8      0      0/8    | 0.17      0.90      1.18      0.40      2.66         8.50      | 37765    0        0        14427    8        | 1      54628          1971009      -       
16     8      1      1/8    | 0.16      0.90      1.17      0.37      2.61         8.67      | 37765    0        0        14427    8        | 32     54628          1971009      -       
16     8      2      2/8    | 0.16      0.92      0.99      0.37      2.46         9.19      | 37765    0        5378     9049     8        | 64     54628          1971009      -       
16     8      3      3/8    | 0.16      0.90      0.98      0.37      2.42         9.33      | 37765    0        7708     6719     8        | 96     54628          1971009      -       
