# Matrix: SiNa
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/SiNa.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 12:49:52
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 5743
# Cols: 5743
# NNZ(A): 198787
# NNZ(C) estimate: 13066271
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.20      1.32      1.47      0.60      3.59         7.28      | 114050   0        0        58558    1548     | 1      222002         2312649      -       
8      8      1      1/8    | 0.20      1.31      1.47      0.57      3.57         7.32      | 114050   0        0        58558    1548     | 8      222002         2312649      -       
8      8      2      2/8    | 0.20      1.30      1.41      0.58      3.50         7.47      | 114050   0        21770    36788    1548     | 16     222002         2312649      -       
8      8      3      3/8    | 0.20      1.33      1.34      0.58      3.46         7.54      | 114050   0        30258    28300    1548     | 24     222002         2312649      -       
8      8      4      4/8    | 0.20      1.24      1.31      0.58      3.33         7.84      | 114050   0        36346    22212    1548     | 32     222002         2312649      -       
8      8      5      5/8    | 0.20      1.26      1.22      0.59      3.29         7.95      | 114050   0        42014    16544    1548     | 40     222002         2312649      -       
8      8      6      6/8    | 0.20      1.26      1.19      0.59      3.25         8.04      | 114050   0        46176    12382    1548     | 48     222002         2312649      -       
8      8      7      7/8    | 0.19      1.28      1.17      0.59      3.25         8.05      | 114050   0        51805    6753     1548     | 56     222002         2312649      -       
8      8      8      8/8    | 0.20      1.27      1.01      0.59      3.07         8.50      | 114050   0        60106    0        0        | 64     222002         2312649      -       
8      16     0      0/8    | 0.17      1.16      1.54      0.57      3.45         7.57      | 114050   0        0        58558    1548     | 1      246456         2312649      -       
8      16     1      1/8    | 0.17      1.22      1.55      0.60      3.54         7.38      | 114050   0        0        58558    1548     | 8      246456         2312649      -       
8      16     2      2/8    | 0.17      1.24      1.40      0.59      3.41         7.67      | 114050   0        21770    36788    1548     | 16     246456         2312649      -       
8      16     3      3/8    | 0.17      1.21      1.33      0.60      3.33         7.86      | 114050   0        30258    28300    1548     | 24     246456         2312649      -       
8      16     4      4/8    | 0.17      1.26      1.29      0.59      3.32         7.88      | 114050   0        36346    22212    1548     | 32     246456         2312649      -       
8      16     5      5/8    | 0.18      1.25      1.16      0.63      3.23         8.08      | 114050   0        42014    16544    1548     | 40     246456         2312649      -       
8      16     6      6/8    | 0.18      1.28      1.09      0.61      3.17         8.24      | 114050   0        46176    12382    1548     | 48     246456         2312649      -       
8      16     7      7/8    | 0.17      1.20      1.05      0.59      3.02         8.66      | 114050   0        51805    6753     1548     | 56     246456         2312649      -       
8      16     8      8/8    | 0.17      1.22      0.88      0.59      2.87         9.11      | 114050   0        60106    0        0        | 64     246456         2312649      -       
8      32     0      0/8    | 0.13      1.07      2.06      0.76      4.03         6.49      | 114050   0        0        58558    1548     | 1      271054         2312649      -       
8      32     1      1/8    | 0.14      1.05      2.08      0.81      4.09         6.39      | 114050   0        0        58558    1548     | 8      271054         2312649      -       
8      32     2      2/8    | 0.13      1.07      1.78      0.79      3.79         6.90      | 114050   0        21770    36788    1548     | 16     271054         2312649      -       
8      32     3      3/8    | 0.13      1.05      1.60      0.74      3.53         7.41      | 114050   0        30258    28300    1548     | 24     271054         2312649      -       
8      32     4      4/8    | 0.14      1.09      1.48      0.83      3.55         7.37      | 114050   0        36346    22212    1548     | 32     271054         2312649      -       
8      32     5      5/8    | 0.13      1.07      1.30      0.78      3.29         7.93      | 114050   0        42014    16544    1548     | 40     271054         2312649      -       
8      32     6      6/8    | 0.14      1.08      1.22      0.81      3.27         8.00      | 114050   0        46176    12382    1548     | 48     271054         2312649      -       
8      32     7      7/8    | 0.14      1.12      1.09      0.76      3.11         8.39      | 114050   0        51805    6753     1548     | 56     271054         2312649      -       
8      32     8      8/8    | 0.12      1.06      0.81      0.77      2.77         9.44      | 114050   0        60106    0        0        | 64     271054         2312649      -       
16     8      0      0/8    | 0.17      1.01      1.38      0.44      3.01         8.69      | 46658    0        0        16517    0        | 1      66019          2312649      -       
16     8      1      1/8    | 0.18      1.05      1.34      0.48      3.07         8.51      | 46658    0        0        16517    0        | 32     66019          2312649      -       
16     8      2      2/8    | 0.18      1.06      1.22      0.48      2.95         8.86      | 46658    0        5932     10585    0        | 64     66019          2312649      -       
16     8      3      3/8    | 0.17      1.07      1.19      0.45      2.89         9.03      | 46658    0        8528     7989     0        | 96     66019          2312649      -       
16     8      4      4/8    | 0.17      1.03      1.19      0.46      2.86         9.14      | 46658    0        11296    5221     0        | 128    66019          2312649      -       
16     8      5      5/8    | 0.18      1.05      1.16      0.46      2.87         9.12      | 46658    0        14002    2515     0        | 160    66019          2312649      -       
16     8      6      6/8    | 0.17      1.03      1.13      0.41      2.77         9.45      | 46658    0        15564    953      0        | 192    66019          2312649      -       
16     8      7      7/8    | 0.17      1.06      1.08      0.42      2.74         9.53      | 46658    0        16109    408      0        | 224    66019          2312649      -       
16     8      8      8/8    | 0.17      1.04      1.18      0.43      2.83         9.24      | 46658    0        16517    0        0        | 256    66019          2312649      -       
16     16     0      0/8    | 0.15      0.83      1.29      0.42      2.70         9.68      | 46658    0        0        16517    0        | 1      68647          2312649      -       
16     16     1      1/8    | 0.16      0.93      1.28      0.47      2.85         9.16      | 46658    0        0        16517    0        | 32     68647          2312649      -       
16     16     2      2/8    | 0.16      0.94      1.13      0.45      2.69         9.72      | 46658    0        5932     10585    0        | 64     68647          2312649      -       
16     16     3      3/8    | 0.15      0.84      1.11      0.42      2.54         10.30     | 46658    0        8528     7989     0        | 96     68647          2312649      -       
16     16     4      4/8    | 0.16      0.86      1.07      0.46      2.57         10.18     | 46658    0        11296    5221     0        | 128    68647          2312649      -       
16     16     5      5/8    | 0.16      0.92      1.06      0.45      2.60         10.04     | 46658    0        14002    2515     0        | 160    68647          2312649      -       
16     16     6      6/8    | 0.16      0.84      1.07      0.45      2.53         10.32     | 46658    0        15564    953      0        | 192    68647          2312649      -       
16     16     7      7/8    | 0.16      0.94      1.06      0.46      2.63         9.94      | 46658    0        16109    408      0        | 224    68647          2312649      -       
16     16     8      8/8    | 0.15      0.94      0.82      0.44      2.36         11.06     | 46658    0        16517    0        0        | 256    68647          2312649      -       
16     32     0      0/8    | 0.13      0.67      1.72      0.51      3.03         8.62      | 46658    0        0        16517    0        | 1      73867          2312649      -       
16     32     1      1/8    | 0.13      0.65      1.69      0.53      3.01         8.68      | 46658    0        0        16517    0        | 32     73867          2312649      -       
16     32     2      2/8    | 0.12      0.64      1.42      0.50      2.69         9.73      | 46658    0        5932     10585    0        | 64     73867          2312649      -       
16     32     3      3/8    | 0.13      0.68      1.29      0.52      2.62         9.96      | 46658    0        8528     7989     0        | 96     73867          2312649      -       
16     32     4      4/8    | 0.12      0.69      1.13      0.48      2.44         10.70     | 46658    0        11296    5221     0        | 128    73867          2312649      -       
16     32     5      5/8    | 0.12      0.63      1.04      0.47      2.27         11.50     | 46658    0        14002    2515     0        | 160    73867          2312649      -       
16     32     6      6/8    | 0.14      0.69      1.00      0.53      2.37         11.05     | 46658    0        15564    953      0        | 192    73867          2312649      -       
16     32     7      7/8    | 0.13      0.72      1.04      0.50      2.40         10.88     | 46658    0        16109    408      0        | 224    73867          2312649      -       
16     32     8      8/8    | 0.12      0.64      0.66      0.48      1.91         13.68     | 46658    0        16517    0        0        | 256    73867          2312649      -       
32     8      0      0/8    | 0.17      0.95      1.55      0.36      3.05         8.57      | 13224    0        0        5020     0        | 1      18832          2312649      -       
32     8      1      1/8    | 0.17      0.96      1.53      0.38      3.05         8.57      | 13224    0        0        5020     0        | 128    18832          2312649      -       
32     8      2      2/8    | 0.18      0.95      1.41      0.37      2.91         8.97      | 13224    0        2219     2801     0        | 256    18832          2312649      -       
32     8      3      3/8    | 0.18      0.95      1.57      0.36      3.07         8.51      | 13224    0        3647     1373     0        | 384    18832          2312649      -       
32     8      4      4/8    | 0.19      0.96      1.64      0.41      3.20         8.16      | 13224    0        4071     949      0        | 512    18832          2312649      -       
32     8      5      5/8    | 0.18      0.96      1.73      0.38      3.25         8.04      | 13224    0        4645     375      0        | 640    18832          2312649      -       
32     8      6      6/8    | 0.18      0.96      1.67      0.39      3.21         8.15      | 13224    0        4897     123      0        | 768    18832          2312649      -       
32     8      7      7/8    | 0.19      0.96      1.74      0.40      3.31         7.90      | 13224    0        5012     8        0        | 896    18832          2312649      -       
32     8      8      8/8    | 0.18      0.96      1.83      0.37      3.35         7.80      | 13224    0        5020     0        0        | 1024   18832          2312649      -       
32     16     0      0/8    | 0.14      0.78      1.81      0.38      3.12         8.37      | 13224    0        0        5020     0        | 1      19434          2312649      -       
32     16     1      1/8    | 0.14      0.77      1.79      0.37      3.07         8.50      | 13224    0        0        5020     0        | 128    19434          2312649      -       
32     16     2      2/8    | 0.15      0.77      1.47      0.41      2.81         9.29      | 13224    0        2219     2801     0        | 256    19434          2312649      -       
32     16     3      3/8    | 0.15      0.77      1.35      0.38      2.65         9.85      | 13224    0        3647     1373     0        | 384    19434          2312649      -       
32     16     4      4/8    | 0.14      0.77      1.42      0.38      2.72         9.59      | 13224    0        4071     949      0        | 512    19434          2312649      -       
32     16     5      5/8    | 0.14      0.78      1.43      0.40      2.76         9.48      | 13224    0        4645     375      0        | 640    19434          2312649      -       
32     16     6      6/8    | 0.14      0.77      1.30      0.37      2.59         10.11     | 13224    0        4897     123      0        | 768    19434          2312649      -       
32     16     7      7/8    | 0.15      0.78      1.48      0.42      2.84         9.20      | 13224    0        5012     8        0        | 896    19434          2312649      -       
32     16     8      8/8    | 0.14      0.77      1.52      0.38      2.82         9.26      | 13224    0        5020     0        0        | 1024   19434          2312649      -       
32     32     0      0/8    | 0.11      0.57      1.86      0.38      2.93         8.93      | 13224    0        0        5020     0        | 1      20752          2312649      -       
