# Matrix: bcsstk16
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/bcsstk16.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 11:36:44
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 4884
# Cols: 4884
# NNZ(A): 290378
# NNZ(C) estimate: 18728606
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.30      0.24      0.25      0.90         41.53     | 2343     0        0        22648    2302     | 1      32701          1038782      -       
8      8      1      1/8    | 0.10      0.30      0.24      0.23      0.87         42.86     | 2343     0        0        22648    2302     | 8      32701          1038782      -       
8      8      2      2/8    | 0.10      0.31      0.24      0.24      0.89         42.04     | 2343     0        2399     20249    2302     | 16     32701          1038782      -       
8      8      3      3/8    | 0.09      0.30      0.24      0.22      0.86         43.55     | 2343     0        5006     17642    2302     | 24     32701          1038782      -       
8      8      4      4/8    | 0.09      0.31      0.25      0.23      0.89         42.09     | 2343     0        8223     14425    2302     | 32     32701          1038782      -       
8      8      5      5/8    | 0.11      0.30      0.26      0.25      0.93         40.32     | 2343     0        12301    10347    2302     | 40     32701          1038782      -       
8      8      6      6/8    | 0.09      0.30      0.28      0.24      0.93         40.19     | 2343     0        15356    7292     2302     | 48     32701          1038782      -       
8      8      7      7/8    | 0.10      0.30      0.33      0.22      0.95         39.22     | 2343     0        18704    3944     2302     | 56     32701          1038782      -       
8      8      8      8/8    | 0.09      0.30      0.50      0.24      1.14         32.89     | 2343     0        24950    0        0        | 64     32701          1038782      -       
8      16     0      0/8    | 0.08      0.23      0.24      0.29      0.85         44.07     | 2343     0        0        22648    2302     | 1      35793          1038782      -       
8      16     1      1/8    | 0.10      0.24      0.24      0.33      0.93         40.41     | 2343     0        0        22648    2302     | 8      35793          1038782      -       
8      16     2      2/8    | 0.09      0.24      0.23      0.30      0.87         43.05     | 2343     0        2399     20249    2302     | 16     35793          1038782      -       
8      16     3      3/8    | 0.08      0.23      0.23      0.28      0.82         45.40     | 2343     0        5006     17642    2302     | 24     35793          1038782      -       
8      16     4      4/8    | 0.09      0.22      0.24      0.29      0.85         44.17     | 2343     0        8223     14425    2302     | 32     35793          1038782      -       
8      16     5      5/8    | 0.09      0.22      0.25      0.28      0.85         43.91     | 2343     0        12301    10347    2302     | 40     35793          1038782      -       
8      16     6      6/8    | 0.10      0.24      0.28      0.31      0.94         39.72     | 2343     0        15356    7292     2302     | 48     35793          1038782      -       
8      16     7      7/8    | 0.09      0.24      0.32      0.30      0.96         39.10     | 2343     0        18704    3944     2302     | 56     35793          1038782      -       
8      16     8      8/8    | 0.10      0.24      0.49      0.31      1.15         32.54     | 2343     0        24950    0        0        | 64     35793          1038782      -       
8      32     0      0/8    | 0.09      0.22      0.35      0.29      0.96         39.06     | 2343     0        0        22648    2302     | 1      40927          1038782      -       
8      32     1      1/8    | 0.09      0.22      0.35      0.30      0.98         38.38     | 2343     0        0        22648    2302     | 8      40927          1038782      -       
8      32     2      2/8    | 0.08      0.22      0.34      0.29      0.93         40.23     | 2343     0        2399     20249    2302     | 16     40927          1038782      -       
8      32     3      3/8    | 0.10      0.22      0.34      0.32      0.99         37.80     | 2343     0        5006     17642    2302     | 24     40927          1038782      -       
8      32     4      4/8    | 0.09      0.22      0.33      0.30      0.94         40.02     | 2343     0        8223     14425    2302     | 32     40927          1038782      -       
8      32     5      5/8    | 0.09      0.22      0.34      0.30      0.96         39.14     | 2343     0        12301    10347    2302     | 40     40927          1038782      -       
