# Matrix: cegb2802
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/cegb2802.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 11:50:06
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 2802
# Cols: 2802
# NNZ(A): 277362
# NNZ(C) estimate: 31398786
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.11      0.37      0.37      0.19      1.05         59.75     | 985      0        0        7944     8524     | 1      21313          810666       -       
8      8      1      1/8    | 0.10      0.37      0.36      0.18      1.02         61.75     | 985      0        0        7944     8524     | 8      21313          810666       -       
8      8      2      2/8    | 0.09      0.38      0.35      0.19      1.01         61.99     | 985      0        1827     6117     8524     | 16     21313          810666       -       
8      8      3      3/8    | 0.10      0.38      0.36      0.20      1.05         59.86     | 985      0        3489     4455     8524     | 24     21313          810666       -       
8      8      4      4/8    | 0.09      0.37      0.35      0.18      1.01         62.24     | 985      0        4600     3344     8524     | 32     21313          810666       -       
8      8      5      5/8    | 0.10      0.37      0.38      0.18      1.04         60.56     | 985      0        5702     2242     8524     | 40     21313          810666       -       
8      8      6      6/8    | 0.09      0.38      0.40      0.19      1.07         58.47     | 985      0        6874     1070     8524     | 48     21313          810666       -       
8      8      7      7/8    | 0.11      0.37      0.44      0.20      1.14         54.99     | 985      0        7766     178      8524     | 56     21313          810666       -       
8      8      8      8/8    | 0.09      0.37      0.84      0.18      1.50         41.95     | 985      0        16468    0        0        | 64     21313          810666       -       
8      16     0      0/8    | 0.10      0.31      0.18      0.19      0.78         80.10     | 985      0        0        7944     8524     | 1      21881          810666       -       
8      16     1      1/8    | 0.09      0.30      0.18      0.18      0.76         82.52     | 985      0        0        7944     8524     | 8      21881          810666       -       
8      16     2      2/8    | 0.09      0.31      0.18      0.19      0.78         80.61     | 985      0        1827     6117     8524     | 16     21881          810666       -       
8      16     3      3/8    | 0.09      0.29      0.19      0.18      0.76         82.85     | 985      0        3489     4455     8524     | 24     21881          810666       -       
8      16     4      4/8    | 0.09      0.30      0.21      0.17      0.78         80.72     | 985      0        4600     3344     8524     | 32     21881          810666       -       
8      16     5      5/8    | 0.09      0.30      0.21      0.17      0.78         80.10     | 985      0        5702     2242     8524     | 40     21881          810666       -       
8      16     6      6/8    | 0.09      0.30      0.23      0.18      0.81         77.62     | 985      0        6874     1070     8524     | 48     21881          810666       -       
8      16     7      7/8    | 0.09      0.30      0.26      0.18      0.84         74.85     | 985      0        7766     178      8524     | 56     21881          810666       -       
8      16     8      8/8    | 0.10      0.30      0.82      0.19      1.43         44.04     | 985      0        16468    0        0        | 64     21881          810666       -       
8      32     0      0/8    | 0.08      0.28      0.27      0.23      0.87         72.02     | 985      0        0        7944     8524     | 1      22661          810666       -       
8      32     1      1/8    | 0.10      0.28      0.27      0.25      0.91         69.01     | 985      0        0        7944     8524     | 8      22661          810666       -       
8      32     2      2/8    | 0.09      0.28      0.26      0.23      0.87         72.10     | 985      0        1827     6117     8524     | 16     22661          810666       -       
8      32     3      3/8    | 0.10      0.28      0.27      0.25      0.90         69.70     | 985      0        3489     4455     8524     | 24     22661          810666       -       
8      32     4      4/8    | 0.09      0.27      0.27      0.23      0.86         72.68     | 985      0        4600     3344     8524     | 32     22661          810666       -       
8      32     5      5/8    | 0.09      0.28      0.28      0.22      0.88         71.28     | 985      0        5702     2242     8524     | 40     22661          810666       -       
8      32     6      6/8    | 0.09      0.28      0.30      0.23      0.92         68.26     | 985      0        6874     1070     8524     | 48     22661          810666       -       
8      32     7      7/8    | 0.10      0.28      0.32      0.24      0.95         66.17     | 985      0        7766     178      8524     | 56     22661          810666       -       
8      32     8      8/8    | 0.09      0.28      0.85      0.23      1.46         42.95     | 985      0        16468    0        0        | 64     22661          810666       -       
16     8      0      0/8    | 0.09      0.36      0.40      0.17      1.02         61.45     | 458      0        0        3188     1358     | 1      5572           810666       -       
16     8      1      1/8    | 0.10      0.36      0.43      0.19      1.10         57.24     | 458      0        0        3188     1358     | 32     5572           810666       -       
16     8      2      2/8    | 0.10      0.36      0.45      0.18      1.10         57.14     | 458      0        465      2723     1358     | 64     5572           810666       -       
16     8      3      3/8    | 0.09      0.36      0.46      0.17      1.09         57.61     | 458      0        894      2294     1358     | 96     5572           810666       -       
16     8      4      4/8    | 0.09      0.36      0.42      0.18      1.05         59.52     | 458      0        1345     1843     1358     | 128    5572           810666       -       
16     8      5      5/8    | 0.11      0.37      0.48      0.18      1.15         54.46     | 458      0        2171     1017     1358     | 160    5572           810666       -       
16     8      6      6/8    | 0.10      0.36      0.47      0.18      1.12         56.02     | 458      0        2494     694      1358     | 192    5572           810666       -       
16     8      7      7/8    | 0.09      0.36      0.50      0.18      1.13         55.43     | 458      0        2875     313      1358     | 224    5572           810666       -       
16     8      8      8/8    | 0.11      0.37      0.91      0.20      1.59         39.59     | 458      0        4546     0        0        | 256    5572           810666       -       
16     16     0      0/8    | 0.09      0.33      0.22      0.22      0.87         72.26     | 458      0        0        3188     1358     | 1      5738           810666       -       
