# Matrix: conf5_0-4x4-14
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/conf5_0-4x4-14.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 11:52:50
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 3072
# Cols: 3072
# NNZ(A): 119808
# NNZ(C) estimate: 4672512
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.09      0.19      0.17      0.23      0.69         13.52     | 1536     0        0        22400    2048     | 1      32640          626688       -       
8      8      1      1/8    | 0.09      0.19      0.17      0.23      0.70         13.43     | 1536     0        0        22400    2048     | 8      32640          626688       -       
8      8      2      2/8    | 0.10      0.20      0.16      0.23      0.69         13.58     | 1536     0        10752    11648    2048     | 16     32640          626688       -       
8      8      3      3/8    | 0.10      0.20      0.15      0.23      0.69         13.54     | 1536     0        12672    9728     2048     | 24     32640          626688       -       
8      8      4      4/8    | 0.09      0.20      0.14      0.23      0.67         14.01     | 1536     0        20352    2048     2048     | 32     32640          626688       -       
8      8      5      5/8    | 0.10      0.21      0.15      0.24      0.70         13.26     | 1536     0        22144    256      2048     | 40     32640          626688       -       
8      8      6      6/8    | 0.09      0.20      0.15      0.22      0.67         14.03     | 1536     0        22400    0        2048     | 48     32640          626688       -       
8      8      7      7/8    | 0.11      0.21      0.16      0.26      0.75         12.39     | 1536     0        22400    0        2048     | 56     32640          626688       -       
8      8      8      8/8    | 0.09      0.21      0.17      0.24      0.71         13.13     | 1536     0        24448    0        0        | 64     32640          626688       -       
8      16     0      0/8    | 0.09      0.17      0.18      0.22      0.67         13.99     | 1536     0        0        22400    2048     | 1      40960          626688       -       
8      16     1      1/8    | 0.08      0.18      0.18      0.22      0.66         14.07     | 1536     0        0        22400    2048     | 8      40960          626688       -       
8      16     2      2/8    | 0.10      0.19      0.15      0.24      0.70         13.39     | 1536     0        10752    11648    2048     | 16     40960          626688       -       
8      16     3      3/8    | 0.10      0.19      0.15      0.23      0.69         13.62     | 1536     0        12672    9728     2048     | 24     40960          626688       -       
8      16     4      4/8    | 0.10      0.20      0.14      0.24      0.69         13.56     | 1536     0        20352    2048     2048     | 32     40960          626688       -       
8      16     5      5/8    | 0.09      0.18      0.16      0.23      0.67         13.89     | 1536     0        22144    256      2048     | 40     40960          626688       -       
8      16     6      6/8    | 0.09      0.19      0.15      0.23      0.67         13.93     | 1536     0        22400    0        2048     | 48     40960          626688       -       
8      16     7      7/8    | 0.09      0.19      0.15      0.22      0.66         14.16     | 1536     0        22400    0        2048     | 56     40960          626688       -       
8      16     8      8/8    | 0.09      0.19      0.17      0.23      0.68         13.76     | 1536     0        24448    0        0        | 64     40960          626688       -       
8      32     0      0/8    | 0.10      0.22      0.29      0.24      0.87         10.77     | 1536     0        0        22400    2048     | 1      55104          626688       -       
8      32     1      1/8    | 0.10      0.24      0.29      0.27      0.91         10.22     | 1536     0        0        22400    2048     | 8      55104          626688       -       
8      32     2      2/8    | 0.09      0.22      0.23      0.24      0.80         11.74     | 1536     0        10752    11648    2048     | 16     55104          626688       -       
8      32     3      3/8    | 0.08      0.21      0.23      0.22      0.75         12.41     | 1536     0        12672    9728     2048     | 24     55104          626688       -       
8      32     4      4/8    | 0.08      0.21      0.18      0.23      0.71         13.07     | 1536     0        20352    2048     2048     | 32     55104          626688       -       
8      32     5      5/8    | 0.08      0.21      0.22      0.23      0.74         12.58     | 1536     0        22144    256      2048     | 40     55104          626688       -       
8      32     6      6/8    | 0.08      0.21      0.16      0.23      0.69         13.47     | 1536     0        22400    0        2048     | 48     55104          626688       -       
8      32     7      7/8    | 0.08      0.21      0.16      0.23      0.69         13.58     | 1536     0        22400    0        2048     | 56     55104          626688       -       
8      32     8      8/8    | 0.08      0.20      0.16      0.23      0.69         13.52     | 1536     0        24448    0        0        | 64     55104          626688       -       
16     8      0      0/8    | 0.11      0.21      0.18      0.17      0.68         13.68     | 3968     0        0        6784     0        | 1      10752          626688       -       
16     8      1      1/8    | 0.09      0.21      0.17      0.17      0.66         14.14     | 3968     0        0        6784     0        | 32     10752          626688       -       
16     8      2      2/8    | 0.09      0.21      0.18      0.16      0.65         14.40     | 3968     0        3648     3136     0        | 64     10752          626688       -       
16     8      3      3/8    | 0.11      0.22      0.17      0.19      0.69         13.48     | 3968     0        4992     1792     0        | 96     10752          626688       -       
16     8      4      4/8    | 0.10      0.21      0.18      0.18      0.68         13.66     | 3968     0        6016     768      0        | 128    10752          626688       -       
16     8      5      5/8    | 0.10      0.22      0.20      0.17      0.70         13.43     | 3968     0        6784     0        0        | 160    10752          626688       -       
16     8      6      6/8    | 0.08      0.21      0.19      0.16      0.65         14.31     | 3968     0        6784     0        0        | 192    10752          626688       -       
16     8      7      7/8    | 0.11      0.21      0.20      0.18      0.70         13.35     | 3968     0        6784     0        0        | 224    10752          626688       -       
16     8      8      8/8    | 0.10      0.20      0.20      0.17      0.67         13.95     | 3968     0        6784     0        0        | 256    10752          626688       -       
16     16     0      0/8    | 0.09      0.19      0.18      0.22      0.70         13.41     | 3968     0        0        6784     0        | 1      12544          626688       -       
16     16     1      1/8    | 0.08      0.19      0.18      0.21      0.67         13.87     | 3968     0        0        6784     0        | 32     12544          626688       -       
16     16     2      2/8    | 0.11      0.21      0.18      0.23      0.74         12.70     | 3968     0        3648     3136     0        | 64     12544          626688       -       
16     16     3      3/8    | 0.09      0.19      0.21      0.22      0.71         13.09     | 3968     0        4992     1792     0        | 96     12544          626688       -       
16     16     4      4/8    | 0.09      0.20      0.19      0.23      0.71         13.22     | 3968     0        6016     768      0        | 128    12544          626688       -       
16     16     5      5/8    | 0.11      0.19      0.18      0.23      0.71         13.09     | 3968     0        6784     0        0        | 160    12544          626688       -       
16     16     6      6/8    | 0.09      0.19      0.18      0.22      0.69         13.52     | 3968     0        6784     0        0        | 192    12544          626688       -       
16     16     7      7/8    | 0.10      0.19      0.18      0.23      0.71         13.22     | 3968     0        6784     0        0        | 224    12544          626688       -       
16     16     8      8/8    | 0.09      0.19      0.18      0.22      0.69         13.62     | 3968     0        6784     0        0        | 256    12544          626688       -       
16     32     0      0/8    | 0.09      0.18      0.30      0.23      0.81         11.54     | 3968     0        0        6784     0        | 1      15744          626688       -       
16     32     1      1/8    | 0.09      0.18      0.30      0.23      0.80         11.71     | 3968     0        0        6784     0        | 32     15744          626688       -       
16     32     2      2/8    | 0.09      0.18      0.27      0.23      0.78         12.01     | 3968     0        3648     3136     0        | 64     15744          626688       -       
16     32     3      3/8    | 0.10      0.18      0.30      0.24      0.82         11.33     | 3968     0        4992     1792     0        | 96     15744          626688       -       
16     32     4      4/8    | 0.09      0.18      0.21      0.23      0.72         12.94     | 3968     0        6016     768      0        | 128    15744          626688       -       
16     32     5      5/8    | 0.10      0.17      0.17      0.24      0.69         13.58     | 3968     0        6784     0        0        | 160    15744          626688       -       
16     32     6      6/8    | 0.09      0.18      0.17      0.23      0.67         13.89     | 3968     0        6784     0        0        | 192    15744          626688       -       
16     32     7      7/8    | 0.09      0.17      0.17      0.22      0.65         14.33     | 3968     0        6784     0        0        | 224    15744          626688       -       
16     32     8      8/8    | 0.10      0.18      0.17      0.24      0.70         13.33     | 3968     0        6784     0        0        | 256    15744          626688       -       
32     8      0      0/8    | 0.10      0.28      0.43      0.23      1.04         8.97      | 1824     0        0        2016     0        | 1      3840           626688       -       
