# Matrix: crystk01
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/crystk01.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 11:57:01
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 4875
# Cols: 4875
# NNZ(A): 315891
# NNZ(C) estimate: 21722041
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.09      0.32      0.29      0.27      0.98         44.47     | 8534     0        0        28598    1452     | 1      55406          1200591      -       
8      8      1      1/8    | 0.09      0.32      0.29      0.27      0.99         43.97     | 8534     0        0        28598    1452     | 8      55406          1200591      -       
8      8      2      2/8    | 0.11      0.34      0.30      0.31      1.07         40.45     | 8534     0        5549     23049    1452     | 16     55406          1200591      -       
8      8      3      3/8    | 0.10      0.33      0.29      0.28      1.02         42.76     | 8534     0        8587     20011    1452     | 24     55406          1200591      -       
8      8      4      4/8    | 0.11      0.34      0.32      0.29      1.07         40.60     | 8534     0        12003    16595    1452     | 32     55406          1200591      -       
8      8      5      5/8    | 0.10      0.33      0.32      0.29      1.05         41.38     | 8534     0        15015    13583    1452     | 40     55406          1200591      -       
8      8      6      6/8    | 0.10      0.33      0.35      0.29      1.07         40.41     | 8534     0        18515    10083    1452     | 48     55406          1200591      -       
8      8      7      7/8    | 0.11      0.34      0.39      0.29      1.13         38.31     | 8534     0        22742    5856     1452     | 56     55406          1200591      -       
8      8      8      8/8    | 0.10      0.32      0.57      0.27      1.27         34.32     | 8534     0        30050    0        0        | 64     55406          1200591      -       
8      16     0      0/8    | 0.10      0.36      0.34      0.34      1.14         38.04     | 8534     0        0        28598    1452     | 1      59392          1200591      -       
8      16     1      1/8    | 0.11      0.35      0.34      0.34      1.16         37.52     | 8534     0        0        28598    1452     | 8      59392          1200591      -       
8      16     2      2/8    | 0.09      0.35      0.32      0.32      1.10         39.53     | 8534     0        5549     23049    1452     | 16     59392          1200591      -       
