# Matrix: ex40
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/ex40.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 11:58:31
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 7740
# Cols: 7740
# NNZ(A): 458012
# NNZ(C) estimate: 32263666
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.11      0.47      0.75      0.42      1.76         36.75     | 11800    0        0        61264    454      | 1      89056          2103566      -       
8      8      1      1/8    | 0.10      0.48      0.73      0.41      1.74         37.11     | 11800    0        0        61264    454      | 8      89056          2103566      -       
8      8      2      2/8    | 0.11      0.49      0.70      0.42      1.72         37.49     | 11800    0        11365    49899    454      | 16     89056          2103566      -       
8      8      3      3/8    | 0.10      0.48      0.68      0.39      1.67         38.76     | 11800    0        22343    38921    454      | 24     89056          2103566      -       
8      8      4      4/8    | 0.10      0.47      0.72      0.40      1.70         37.87     | 11800    0        30914    30350    454      | 32     89056          2103566      -       
8      8      5      5/8    | 0.10      0.48      0.69      0.38      1.66         38.94     | 11800    0        40251    21013    454      | 40     89056          2103566      -       
8      8      6      6/8    | 0.11      0.48      0.75      0.41      1.77         36.41     | 11800    0        51100    10164    454      | 48     89056          2103566      -       
8      8      7      7/8    | 0.10      0.49      0.80      0.42      1.83         35.28     | 11800    0        56803    4461     454      | 56     89056          2103566      -       
8      8      8      8/8    | 0.10      0.46      0.82      0.38      1.77         36.41     | 11800    0        61718    0        0        | 64     89056          2103566      -       
8      16     0      0/8    | 0.11      0.49      0.70      0.41      1.72         37.58     | 11800    0        0        61264    454      | 1      96596          2103566      -       
8      16     1      1/8    | 0.10      0.49      0.69      0.40      1.70         38.00     | 11800    0        0        61264    454      | 8      96596          2103566      -       
8      16     2      2/8    | 0.09      0.48      0.65      0.37      1.59         40.51     | 11800    0        11365    49899    454      | 16     96596          2103566      -       
8      16     3      3/8    | 0.09      0.45      0.62      0.37      1.54         41.82     | 11800    0        22343    38921    454      | 24     96596          2103566      -       
8      16     4      4/8    | 0.08      0.47      0.62      0.38      1.57         41.18     | 11800    0        30914    30350    454      | 32     96596          2103566      -       
8      16     5      5/8    | 0.09      0.48      0.61      0.38      1.57         41.07     | 11800    0        40251    21013    454      | 40     96596          2103566      -       
8      16     6      6/8    | 0.09      0.45      0.65      0.38      1.58         40.74     | 11800    0        51100    10164    454      | 48     96596          2103566      -       
8      16     7      7/8    | 0.11      0.48      0.70      0.39      1.70         38.02     | 11800    0        56803    4461     454      | 56     96596          2103566      -       
8      16     8      8/8    | 0.11      0.49      0.79      0.40      1.81         35.71     | 11800    0        61718    0        0        | 64     96596          2103566      -       
8      32     0      0/8    | 0.11      0.43      0.99      0.41      1.96         32.94     | 11800    0        0        61264    454      | 1      107936         2103566      -       
8      32     1      1/8    | 0.10      0.43      0.99      0.38      1.91         33.75     | 11800    0        0        61264    454      | 8      107936         2103566      -       
8      32     2      2/8    | 0.11      0.43      0.90      0.41      1.86         34.69     | 11800    0        11365    49899    454      | 16     107936         2103566      -       
8      32     3      3/8    | 0.10      0.43      0.83      0.39      1.76         36.62     | 11800    0        22343    38921    454      | 24     107936         2103566      -       
8      32     4      4/8    | 0.10      0.44      0.79      0.40      1.74         37.08     | 11800    0        30914    30350    454      | 32     107936         2103566      -       
8      32     5      5/8    | 0.09      0.43      0.77      0.39      1.68         38.48     | 11800    0        40251    21013    454      | 40     107936         2103566      -       
8      32     6      6/8    | 0.09      0.42      0.77      0.38      1.67         38.73     | 11800    0        51100    10164    454      | 48     107936         2103566      -       
8      32     7      7/8    | 0.12      0.45      0.79      0.42      1.79         35.99     | 11800    0        56803    4461     454      | 56     107936         2103566      -       
8      32     8      8/8    | 0.10      0.43      0.80      0.40      1.73         37.23     | 11800    0        61718    0        0        | 64     107936         2103566      -       
16     8      0      0/8    | 0.10      0.47      0.73      0.35      1.67         38.73     | 3386     0        0        19210    0        | 1      25370          2103566      -       
16     8      1      1/8    | 0.10      0.48      0.73      0.33      1.64         39.27     | 3386     0        0        19210    0        | 32     25370          2103566      -       
16     8      2      2/8    | 0.10      0.47      0.73      0.33      1.63         39.59     | 3386     0        3854     15356    0        | 64     25370          2103566      -       
16     8      3      3/8    | 0.11      0.48      0.73      0.35      1.69         38.30     | 3386     0        8964     10246    0        | 96     25370          2103566      -       
16     8      4      4/8    | 0.10      0.47      0.76      0.33      1.67         38.59     | 3386     0        13545    5665     0        | 128    25370          2103566      -       
16     8      5      5/8    | 0.12      0.47      0.80      0.34      1.74         37.02     | 3386     0        16536    2674     0        | 160    25370          2103566      -       
16     8      6      6/8    | 0.10      0.47      0.84      0.35      1.77         36.54     | 3386     0        17992    1218     0        | 192    25370          2103566      -       
16     8      7      7/8    | 0.10      0.47      0.86      0.34      1.79         36.07     | 3386     0        19086    124      0        | 224    25370          2103566      -       
16     8      8      8/8    | 0.10      0.48      0.90      0.32      1.81         35.55     | 3386     0        19210    0        0        | 256    25370          2103566      -       
16     16     0      0/8    | 0.10      0.32      0.55      0.33      1.32         48.92     | 3386     0        0        19210    0        | 1      27016          2103566      -       
16     16     1      1/8    | 0.10      0.33      0.54      0.31      1.29         49.94     | 3386     0        0        19210    0        | 32     27016          2103566      -       
16     16     2      2/8    | 0.10      0.33      0.54      0.32      1.29         50.14     | 3386     0        3854     15356    0        | 64     27016          2103566      -       
16     16     3      3/8    | 0.10      0.33      0.55      0.34      1.32         48.85     | 3386     0        8964     10246    0        | 96     27016          2103566      -       
16     16     4      4/8    | 0.11      0.33      0.62      0.34      1.40         45.96     | 3386     0        13545    5665     0        | 128    27016          2103566      -       
16     16     5      5/8    | 0.10      0.33      0.70      0.33      1.46         44.23     | 3386     0        16536    2674     0        | 160    27016          2103566      -       
16     16     6      6/8    | 0.09      0.32      0.77      0.31      1.50         43.13     | 3386     0        17992    1218     0        | 192    27016          2103566      -       
16     16     7      7/8    | 0.09      0.32      0.86      0.30      1.58         40.92     | 3386     0        19086    124      0        | 224    27016          2103566      -       
16     16     8      8/8    | 0.11      0.33      0.86      0.33      1.64         39.27     | 3386     0        19210    0        0        | 256    27016          2103566      -       
16     32     0      0/8    | 0.09      0.27      0.80      0.32      1.50         43.02     | 3386     0        0        19210    0        | 1      29212          2103566      -       
16     32     1      1/8    | 0.10      0.28      0.81      0.34      1.54         41.93     | 3386     0        0        19210    0        | 32     29212          2103566      -       
16     32     2      2/8    | 0.09      0.27      0.75      0.32      1.45         44.62     | 3386     0        3854     15356    0        | 64     29212          2103566      -       
16     32     3      3/8    | 0.10      0.28      0.72      0.33      1.45         44.66     | 3386     0        8964     10246    0        | 96     29212          2103566      -       
16     32     4      4/8    | 0.10      0.28      0.74      0.32      1.45         44.59     | 3386     0        13545    5665     0        | 128    29212          2103566      -       
16     32     5      5/8    | 0.09      0.27      0.78      0.34      1.49         43.42     | 3386     0        16536    2674     0        | 160    29212          2103566      -       
16     32     6      6/8    | 0.09      0.28      0.86      0.34      1.58         40.87     | 3386     0        17992    1218     0        | 192    29212          2103566      -       
16     32     7      7/8    | 0.10      0.28      0.97      0.36      1.72         37.49     | 3386     0        19086    124      0        | 224    29212          2103566      -       
16     32     8      8/8    | 0.09      0.28      0.86      0.34      1.59         40.69     | 3386     0        19210    0        0        | 256    29212          2103566      -       
32     8      0      0/8    | 0.10      0.43      1.12      0.33      1.99         32.44     | 1458     0        0        5308     0        | 1      7344           2103566      -       
