# Matrix: g3rmt3m3
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/g3rmt3m3.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 12:02:26
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 5357
# Cols: 5357
# NNZ(A): 207695
# NNZ(C) estimate: 8319359
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.09      0.17      0.09      0.18      0.54         30.87     | 1616     0        0        7992     3922     | 1      19216          545441       -       
8      8      1      1/8    | 0.10      0.17      0.09      0.18      0.54         30.59     | 1616     0        0        7992     3922     | 8      19216          545441       -       
8      8      2      2/8    | 0.09      0.17      0.10      0.19      0.55         30.36     | 1616     0        708      7284     3922     | 16     19216          545441       -       
8      8      3      3/8    | 0.10      0.16      0.10      0.20      0.56         29.45     | 1616     0        2213     5779     3922     | 24     19216          545441       -       
8      8      4      4/8    | 0.09      0.16      0.10      0.19      0.55         30.47     | 1616     0        4092     3900     3922     | 32     19216          545441       -       
8      8      5      5/8    | 0.10      0.17      0.11      0.19      0.58         28.49     | 1616     0        5739     2253     3922     | 40     19216          545441       -       
8      8      6      6/8    | 0.09      0.15      0.11      0.18      0.55         30.03     | 1616     0        6423     1569     3922     | 48     19216          545441       -       
8      8      7      7/8    | 0.10      0.16      0.12      0.18      0.57         29.04     | 1616     0        7035     957      3922     | 56     19216          545441       -       
8      8      8      8/8    | 0.09      0.16      0.26      0.19      0.71         23.43     | 1616     0        11914    0        0        | 64     19216          545441       -       
8      16     0      0/8    | 0.08      0.15      0.10      0.23      0.58         28.69     | 1616     0        0        7992     3922     | 1      26598          545441       -       
8      16     1      1/8    | 0.09      0.17      0.10      0.25      0.64         26.08     | 1616     0        0        7992     3922     | 8      26598          545441       -       
8      16     2      2/8    | 0.09      0.16      0.10      0.25      0.62         26.88     | 1616     0        708      7284     3922     | 16     26598          545441       -       
8      16     3      3/8    | 0.09      0.16      0.10      0.25      0.62         27.01     | 1616     0        2213     5779     3922     | 24     26598          545441       -       
8      16     4      4/8    | 0.09      0.15      0.10      0.24      0.59         28.15     | 1616     0        4092     3900     3922     | 32     26598          545441       -       
8      16     5      5/8    | 0.09      0.17      0.11      0.24      0.62         26.92     | 1616     0        5739     2253     3922     | 40     26598          545441       -       
8      16     6      6/8    | 0.09      0.17      0.11      0.24      0.62         26.71     | 1616     0        6423     1569     3922     | 48     26598          545441       -       
8      16     7      7/8    | 0.10      0.16      0.12      0.25      0.64         25.88     | 1616     0        7035     957      3922     | 56     26598          545441       -       
8      16     8      8/8    | 0.10      0.17      0.25      0.25      0.77         21.58     | 1616     0        11914    0        0        | 64     26598          545441       -       
8      32     0      0/8    | 0.07      0.16      0.17      0.22      0.64         26.20     | 1616     0        0        7992     3922     | 1      33036          545441       -       
8      32     1      1/8    | 0.10      0.17      0.17      0.23      0.68         24.47     | 1616     0        0        7992     3922     | 8      33036          545441       -       
8      32     2      2/8    | 0.09      0.16      0.18      0.22      0.65         25.48     | 1616     0        708      7284     3922     | 16     33036          545441       -       
8      32     3      3/8    | 0.09      0.16      0.17      0.22      0.66         25.40     | 1616     0        2213     5779     3922     | 24     33036          545441       -       
8      32     4      4/8    | 0.10      0.16      0.17      0.24      0.69         24.29     | 1616     0        4092     3900     3922     | 32     33036          545441       -       
8      32     5      5/8    | 0.08      0.16      0.17      0.22      0.64         26.20     | 1616     0        5739     2253     3922     | 40     33036          545441       -       
8      32     6      6/8    | 0.09      0.17      0.17      0.22      0.67         24.87     | 1616     0        6423     1569     3922     | 48     33036          545441       -       
8      32     7      7/8    | 0.08      0.15      0.16      0.21      0.62         26.84     | 1616     0        7035     957      3922     | 56     33036          545441       -       
8      32     8      8/8    | 0.08      0.16      0.24      0.21      0.70         23.80     | 1616     0        11914    0        0        | 64     33036          545441       -       
16     8      0      0/8    | 0.08      0.19      0.11      0.23      0.62         26.71     | 1340     0        0        3745     208      | 1      6925           545441       -       
16     8      1      1/8    | 0.08      0.19      0.11      0.23      0.62         26.92     | 1340     0        0        3745     208      | 32     6925           545441       -       
16     8      2      2/8    | 0.08      0.18      0.12      0.23      0.62         26.71     | 1340     0        566      3179     208      | 64     6925           545441       -       
16     8      3      3/8    | 0.08      0.19      0.12      0.25      0.65         25.76     | 1340     0        1051     2694     208      | 96     6925           545441       -       
16     8      4      4/8    | 0.11      0.20      0.18      0.25      0.74         22.45     | 1340     0        2172     1573     208      | 128    6925           545441       -       
16     8      5      5/8    | 0.09      0.20      0.20      0.25      0.75         22.16     | 1340     0        2885     860      208      | 160    6925           545441       -       
16     8      6      6/8    | 0.09      0.18      0.21      0.23      0.71         23.34     | 1340     0        3245     500      208      | 192    6925           545441       -       
16     8      7      7/8    | 0.08      0.19      0.24      0.22      0.74         22.55     | 1340     0        3563     182      208      | 224    6925           545441       -       
16     8      8      8/8    | 0.10      0.20      0.32      0.25      0.89         18.74     | 1340     0        3953     0        0        | 256    6925           545441       -       
16     16     0      0/8    | 0.09      0.17      0.14      0.23      0.64         26.12     | 1340     0        0        3745     208      | 1      8925           545441       -       
16     16     1      1/8    | 0.10      0.18      0.15      0.24      0.67         24.91     | 1340     0        0        3745     208      | 32     8925           545441       -       
16     16     2      2/8    | 0.09      0.17      0.14      0.22      0.62         26.84     | 1340     0        566      3179     208      | 64     8925           545441       -       
16     16     3      3/8    | 0.09      0.17      0.15      0.22      0.63         26.41     | 1340     0        1051     2694     208      | 96     8925           545441       -       
16     16     4      4/8    | 0.09      0.17      0.18      0.22      0.67         24.91     | 1340     0        2172     1573     208      | 128    8925           545441       -       
16     16     5      5/8    | 0.09      0.17      0.20      0.22      0.68         24.43     | 1340     0        2885     860      208      | 160    8925           545441       -       
