# Matrix: heart3
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/heart3.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 12:07:38
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 2339
# Cols: 2339
# NNZ(A): 682797
# NNZ(C) estimate: 212702871
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.19      1.47      2.47      0.31      4.45         95.55     | 2020     0        0        11074    28221    | 1      68785          2252109      -       
8      8      1      1/8    | 0.19      1.40      2.49      0.31      4.40         96.62     | 2020     0        0        11074    28221    | 8      68785          2252109      -       
8      8      2      2/8    | 0.19      1.30      2.48      0.32      4.30         99.00     | 2020     0        1221     9853     28221    | 16     68785          2252109      -       
8      8      3      3/8    | 0.19      1.40      2.44      0.31      4.34         97.91     | 2020     0        3035     8039     28221    | 24     68785          2252109      -       
8      8      4      4/8    | 0.19      1.35      2.45      0.31      4.31         98.72     | 2020     0        4285     6789     28221    | 32     68785          2252109      -       
8      8      5      5/8    | 0.19      1.40      2.51      0.31      4.42         96.29     | 2020     0        6108     4966     28221    | 40     68785          2252109      -       
8      8      6      6/8    | 0.20      1.47      2.58      0.32      4.59         92.58     | 2020     0        8510     2564     28221    | 48     68785          2252109      -       
8      8      7      7/8    | 0.19      1.47      2.67      0.33      4.68         90.90     | 2020     0        10543    531      28221    | 56     68785          2252109      -       
8      8      8      8/8    | 0.19      1.28      5.21      0.30      6.99         60.89     | 2020     0        39295    0        0        | 64     68785          2252109      -       
8      16     0      0/8    | 0.13      0.98      1.38      0.32      2.82         150.64    | 2020     0        0        11074    28221    | 1      71603          2252109      -       
8      16     1      1/8    | 0.14      1.01      1.45      0.35      2.96         143.77    | 2020     0        0        11074    28221    | 8      71603          2252109      -       
8      16     2      2/8    | 0.14      0.98      1.46      0.33      2.92         145.54    | 2020     0        1221     9853     28221    | 16     71603          2252109      -       
8      16     3      3/8    | 0.14      0.98      1.48      0.33      2.94         144.55    | 2020     0        3035     8039     28221    | 24     71603          2252109      -       
8      16     4      4/8    | 0.13      0.99      1.51      0.33      2.97         143.14    | 2020     0        4285     6789     28221    | 32     71603          2252109      -       
8      16     5      5/8    | 0.14      1.03      1.50      0.33      3.00         141.61    | 2020     0        6108     4966     28221    | 40     71603          2252109      -       
8      16     6      6/8    | 0.13      0.94      1.60      0.33      3.02         141.05    | 2020     0        8510     2564     28221    | 48     71603          2252109      -       
8      16     7      7/8    | 0.13      0.97      1.78      0.32      3.21         132.36    | 2020     0        10543    531      28221    | 56     71603          2252109      -       
8      16     8      8/8    | 0.12      0.96      4.76      0.30      6.16         69.10     | 2020     0        39295    0        0        | 64     71603          2252109      -       
8      32     0      0/8    | 0.11      0.76      1.79      0.35      3.04         140.12    | 2020     0        0        11074    28221    | 1      72869          2252109      -       
8      32     1      1/8    | 0.11      0.75      1.65      0.34      2.86         148.54    | 2020     0        0        11074    28221    | 8      72869          2252109      -       
8      32     2      2/8    | 0.11      0.76      1.65      0.32      2.86         148.95    | 2020     0        1221     9853     28221    | 16     72869          2252109      -       
8      32     3      3/8    | 0.11      0.76      1.70      0.31      2.88         147.71    | 2020     0        3035     8039     28221    | 24     72869          2252109      -       
8      32     4      4/8    | 0.11      0.76      1.84      0.31      3.03         140.44    | 2020     0        4285     6789     28221    | 32     72869          2252109      -       
8      32     5      5/8    | 0.12      0.76      1.74      0.35      2.98         142.61    | 2020     0        6108     4966     28221    | 40     72869          2252109      -       
8      32     6      6/8    | 0.11      0.77      2.02      0.31      3.22         131.99    | 2020     0        8510     2564     28221    | 48     72869          2252109      -       
8      32     7      7/8    | 0.10      0.78      2.17      0.33      3.39         125.38    | 2020     0        10543    531      28221    | 56     72869          2252109      -       
8      32     8      8/8    | 0.12      0.75      5.54      0.36      6.79         62.70     | 2020     0        39295    0        0        | 64     72869          2252109      -       
16     8      0      0/8    | 0.17      1.60      2.96      0.26      5.01         84.91     | 941      0        0        4756     5874     | 1      18433          2252109      -       
16     8      1      1/8    | 0.17      1.59      2.91      0.26      4.94         86.06     | 941      0        0        4756     5874     | 32     18433          2252109      -       
16     8      2      2/8    | 0.17      1.60      3.13      0.25      5.17         82.33     | 941      0        528      4228     5874     | 64     18433          2252109      -       
16     8      3      3/8    | 0.18      1.60      3.14      0.28      5.22         81.42     | 941      0        1082     3674     5874     | 96     18433          2252109      -       
16     8      4      4/8    | 0.17      1.60      3.11      0.27      5.17         82.36     | 941      0        1992     2764     5874     | 128    18433          2252109      -       
16     8      5      5/8    | 0.18      1.61      3.02      0.28      5.10         83.48     | 941      0        2740     2016     5874     | 160    18433          2252109      -       
16     8      6      6/8    | 0.17      1.60      3.31      0.27      5.36         79.35     | 941      0        3229     1527     5874     | 192    18433          2252109      -       
16     8      7      7/8    | 0.17      1.60      3.67      0.28      5.74         74.15     | 941      0        4087     669      5874     | 224    18433          2252109      -       
16     8      8      8/8    | 0.17      1.59      5.24      0.25      7.28         58.48     | 941      0        10630    0        0        | 256    18433          2252109      -       
16     16     0      0/8    | 0.14      0.90      1.76      0.36      3.18         133.90    | 941      0        0        4756     5874     | 1      19079          2252109      -       
