# Matrix: indianpines_10NN
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/indianpines_10NN.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 12:08:18
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 9144
# Cols: 9144
# NNZ(A): 124656
# NNZ(C) estimate: 1823374
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.23      2.05      1.11      0.78      4.18         0.87      | 164006   0        0        16071    12       | 1      574555         661708       -       
8      8      1      1/8    | 0.22      2.03      1.11      0.72      4.09         0.89      | 164006   0        0        16071    12       | 8      574555         661708       -       
8      8      2      2/8    | 0.22      2.04      1.00      0.73      4.00         0.91      | 164006   0        12318    3753     12       | 16     574555         661708       -       
8      8      3      3/8    | 0.22      2.05      0.96      0.78      4.03         0.91      | 164006   0        14886    1185     12       | 24     574555         661708       -       
8      8      4      4/8    | 0.22      2.03      0.97      0.71      3.93         0.93      | 164006   0        15698    373      12       | 32     574555         661708       -       
8      8      5      5/8    | 0.22      2.07      0.96      0.73      4.00         0.91      | 164006   0        15927    144      12       | 40     574555         661708       -       
8      8      6      6/8    | 0.22      1.99      0.96      0.71      3.88         0.94      | 164006   0        16031    40       12       | 48     574555         661708       -       
8      8      7      7/8    | 0.21      2.00      0.96      0.72      3.90         0.94      | 164006   0        16061    10       12       | 56     574555         661708       -       
8      8      8      8/8    | 0.22      2.05      0.95      0.77      4.01         0.91      | 164006   0        16083    0        0        | 64     574555         661708       -       
8      16     0      0/8    | 0.24      2.21      1.30      0.79      4.56         0.80      | 164006   0        0        16071    12       | 1      674919         661708       -       
8      16     1      1/8    | 0.24      2.23      1.30      0.78      4.57         0.80      | 164006   0        0        16071    12       | 8      674919         661708       -       
8      16     2      2/8    | 0.24      2.20      1.11      0.80      4.36         0.84      | 164006   0        12318    3753     12       | 16     674919         661708       -       
8      16     3      3/8    | 0.24      2.21      1.08      0.80      4.34         0.84      | 164006   0        14886    1185     12       | 24     674919         661708       -       
8      16     4      4/8    | 0.24      2.22      1.08      0.80      4.36         0.84      | 164006   0        15698    373      12       | 32     674919         661708       -       
8      16     5      5/8    | 0.24      2.21      1.04      0.77      4.27         0.85      | 164006   0        15927    144      12       | 40     674919         661708       -       
8      16     6      6/8    | 0.24      2.26      1.05      0.82      4.39         0.83      | 164006   0        16031    40       12       | 48     674919         661708       -       
8      16     7      7/8    | 0.24      2.20      1.06      0.80      4.30         0.85      | 164006   0        16061    10       12       | 56     674919         661708       -       
8      16     8      8/8    | 0.23      2.20      1.05      0.80      4.30         0.85      | 164006   0        16083    0        0        | 64     674919         661708       -       
8      32     0      0/8    | 0.21      2.12      1.70      0.75      4.79         0.76      | 164006   0        0        16071    12       | 1      745181         661708       -       
8      32     1      1/8    | 0.22      2.12      1.69      0.80      4.84         0.75      | 164006   0        0        16071    12       | 8      745181         661708       -       
8      32     2      2/8    | 0.21      2.14      1.20      0.73      4.30         0.85      | 164006   0        12318    3753     12       | 16     745181         661708       -       
8      32     3      3/8    | 0.21      2.11      1.15      0.72      4.20         0.87      | 164006   0        14886    1185     12       | 24     745181         661708       -       
8      32     4      4/8    | 0.22      2.14      1.14      0.78      4.29         0.85      | 164006   0        15698    373      12       | 32     745181         661708       -       
8      32     5      5/8    | 0.22      2.12      1.08      0.74      4.16         0.88      | 164006   0        15927    144      12       | 40     745181         661708       -       
8      32     6      6/8    | 0.21      2.11      1.04      0.76      4.13         0.88      | 164006   0        16031    40       12       | 48     745181         661708       -       
8      32     7      7/8    | 0.21      2.12      1.00      0.75      4.09         0.89      | 164006   0        16061    10       12       | 56     745181         661708       -       
8      32     8      8/8    | 0.21      2.12      0.96      0.74      4.04         0.90      | 164006   0        16083    0        0        | 64     745181         661708       -       
16     8      0      0/8    | 0.22      1.90      1.23      0.56      3.92         0.93      | 87758    0        0        2500     0        | 1      190900         661708       -       
16     8      1      1/8    | 0.23      2.00      1.22      0.59      4.06         0.90      | 87758    0        0        2500     0        | 32     190900         661708       -       
16     8      2      2/8    | 0.22      1.91      1.21      0.57      3.92         0.93      | 87758    0        1977     523      0        | 64     190900         661708       -       
16     8      3      3/8    | 0.24      1.94      1.21      0.58      3.98         0.92      | 87758    0        2376     124      0        | 96     190900         661708       -       
16     8      4      4/8    | 0.22      1.88      1.22      0.52      3.86         0.95      | 87758    0        2471     29       0        | 128    190900         661708       -       
16     8      5      5/8    | 0.22      1.88      1.23      0.55      3.90         0.94      | 87758    0        2493     7        0        | 160    190900         661708       -       
16     8      6      6/8    | 0.23      1.91      1.23      0.57      3.95         0.92      | 87758    0        2498     2        0        | 192    190900         661708       -       
16     8      7      7/8    | 0.22      1.94      1.23      0.54      3.93         0.93      | 87758    0        2500     0        0        | 224    190900         661708       -       
16     8      8      8/8    | 0.22      1.94      1.22      0.54      3.93         0.93      | 87758    0        2500     0        0        | 256    190900         661708       -       
16     16     0      0/8    | 0.24      1.64      1.30      0.54      3.73         0.98      | 87758    0        0        2500     0        | 1      205168         661708       -       
16     16     1      1/8    | 0.23      1.65      1.30      0.54      3.73         0.98      | 87758    0        0        2500     0        | 32     205168         661708       -       
16     16     2      2/8    | 0.23      1.65      1.30      0.55      3.74         0.98      | 87758    0        1977     523      0        | 64     205168         661708       -       
16     16     3      3/8    | 0.24      1.66      1.32      0.57      3.80         0.96      | 87758    0        2376     124      0        | 96     205168         661708       -       
16     16     4      4/8    | 0.24      1.64      1.21      0.54      3.63         1.01      | 87758    0        2471     29       0        | 128    205168         661708       -       
16     16     5      5/8    | 0.24      1.61      1.19      0.54      3.59         1.01      | 87758    0        2493     7        0        | 160    205168         661708       -       
16     16     6      6/8    | 0.24      1.63      1.21      0.55      3.62         1.01      | 87758    0        2498     2        0        | 192    205168         661708       -       
16     16     7      7/8    | 0.23      1.61      1.21      0.54      3.61         1.01      | 87758    0        2500     0        0        | 224    205168         661708       -       
16     16     8      8/8    | 0.23      1.61      1.21      0.56      3.61         1.01      | 87758    0        2500     0        0        | 256    205168         661708       -       
16     32     0      0/8    | 0.19      1.47      1.40      0.60      3.67         0.99      | 87758    0        0        2500     0        | 1      217076         661708       -       
16     32     1      1/8    | 0.19      1.49      1.42      0.61      3.72         0.98      | 87758    0        0        2500     0        | 32     217076         661708       -       
16     32     2      2/8    | 0.18      1.46      1.40      0.59      3.65         1.00      | 87758    0        1977     523      0        | 64     217076         661708       -       
16     32     3      3/8    | 0.19      1.49      1.41      0.60      3.71         0.98      | 87758    0        2376     124      0        | 96     217076         661708       -       
16     32     4      4/8    | 0.18      1.54      1.25      0.60      3.58         1.02      | 87758    0        2471     29       0        | 128    217076         661708       -       
