# Matrix: kmnist_norm_10NN
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/kmnist_norm_10NN.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 12:09:45
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 10000
# Cols: 10000
# NNZ(A): 156932
# NNZ(C) estimate: 3005658
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.56      6.36      4.50      0.83      12.26        0.49      | 957509   0        0        487      0        | 1      1562448        1548156      -       
8      8      1      1/8    | 0.55      6.34      4.49      0.84      12.24        0.49      | 957509   0        0        487      0        | 8      1562448        1548156      -       
8      8      2      2/8    | 0.55      6.37      4.47      0.85      12.25        0.49      | 957509   0        486      1        0        | 16     1562448        1548156      -       
8      8      3      3/8    | 0.56      6.45      4.46      0.88      12.37        0.49      | 957509   0        487      0        0        | 24     1562448        1548156      -       
8      8      4      4/8    | 0.55      6.41      4.46      0.86      12.29        0.49      | 957509   0        487      0        0        | 32     1562448        1548156      -       
8      8      5      5/8    | 0.57      6.41      4.46      0.86      12.30        0.49      | 957509   0        487      0        0        | 40     1562448        1548156      -       
8      8      6      6/8    | 0.56      6.41      4.45      0.85      12.29        0.49      | 957509   0        487      0        0        | 48     1562448        1548156      -       
8      8      7      7/8    | 0.56      6.44      4.47      0.88      12.36        0.49      | 957509   0        487      0        0        | 56     1562448        1548156      -       
8      8      8      8/8    | 0.56      6.40      4.47      0.85      12.29        0.49      | 957509   0        487      0        0        | 64     1562448        1548156      -       
8      16     0      0/8    | 0.61      8.83      8.09      0.86      18.40        0.33      | 957509   0        0        487      0        | 1      1562500        1548156      -       
8      16     1      1/8    | 0.61      8.78      8.04      0.86      18.31        0.33      | 957509   0        0        487      0        | 8      1562500        1548156      -       
8      16     2      2/8    | 0.61      8.82      8.01      0.87      18.32        0.33      | 957509   0        486      1        0        | 16     1562500        1548156      -       
8      16     3      3/8    | 0.61      8.81      8.04      0.85      18.33        0.33      | 957509   0        487      0        0        | 24     1562500        1548156      -       
8      16     4      4/8    | 0.61      8.80      8.02      0.86      18.31        0.33      | 957509   0        487      0        0        | 32     1562500        1548156      -       
8      16     5      5/8    | 0.60      8.84      8.05      0.86      18.36        0.33      | 957509   0        487      0        0        | 40     1562500        1548156      -       
8      16     6      6/8    | 0.61      8.75      8.03      0.86      18.27        0.33      | 957509   0        487      0        0        | 48     1562500        1548156      -       
8      16     7      7/8    | 0.61      8.88      8.01      0.88      18.40        0.33      | 957509   0        487      0        0        | 56     1562500        1548156      -       
8      16     8      8/8    | 0.61      8.79      8.01      0.86      18.29        0.33      | 957509   0        487      0        0        | 64     1562500        1548156      -       
8      32     0      0/8    | 0.66      16.88     24.65     0.88      43.09        0.14      | 957509   0        0        487      0        | 1      1562500        1548156      -       
8      32     1      1/8    | 0.68      16.90     24.77     0.95      43.31        0.14      | 957509   0        0        487      0        | 8      1562500        1548156      -       
8      32     2      2/8    | 0.66      16.90     24.46     0.90      42.94        0.14      | 957509   0        486      1        0        | 16     1562500        1548156      -       
8      32     3      3/8    | 0.67      16.85     24.64     0.89      43.06        0.14      | 957509   0        487      0        0        | 24     1562500        1548156      -       
