# Matrix: nemeth17
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/nemeth17.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 12:32:00
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 9506
# Cols: 9506
# NNZ(A): 629620
# NNZ(C) estimate: 42022124
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.09      0.24      0.17      0.23      0.74         113.88    | 1987     0        0        8340     16146    | 1      28701          1362638      -       
8      8      1      1/8    | 0.08      0.24      0.17      0.24      0.74         113.88    | 1987     0        0        8340     16146    | 8      28701          1362638      -       
8      8      2      2/8    | 0.10      0.25      0.17      0.25      0.78         107.47    | 1987     0        1508     6832     16146    | 16     28701          1362638      -       
8      8      3      3/8    | 0.10      0.24      0.17      0.25      0.77         109.72    | 1987     0        1882     6458     16146    | 24     28701          1362638      -       
8      8      4      4/8    | 0.11      0.25      0.17      0.25      0.79         106.93    | 1987     0        3492     4848     16146    | 32     28701          1362638      -       
8      8      5      5/8    | 0.11      0.25      0.17      0.26      0.79         106.93    | 1987     0        4562     3778     16146    | 40     28701          1362638      -       
8      8      6      6/8    | 0.10      0.26      0.17      0.26      0.79         105.98    | 1987     0        5182     3158     16146    | 48     28701          1362638      -       
8      8      7      7/8    | 0.10      0.24      0.17      0.25      0.78         107.61    | 1987     0        6344     1996     16146    | 56     28701          1362638      -       
8      8      8      8/8    | 0.10      0.24      0.98      0.24      1.58         53.13     | 1987     0        24486    0        0        | 64     28701          1362638      -       
8      16     0      0/8    | 0.09      0.20      0.15      0.22      0.68         124.51    | 1987     0        0        8340     16146    | 1      30125          1362638      -       
8      16     1      1/8    | 0.09      0.19      0.15      0.21      0.66         128.12    | 1987     0        0        8340     16146    | 8      30125          1362638      -       
8      16     2      2/8    | 0.08      0.20      0.15      0.21      0.65         128.90    | 1987     0        1508     6832     16146    | 16     30125          1362638      -       
8      16     3      3/8    | 0.10      0.21      0.16      0.24      0.71         118.21    | 1987     0        1882     6458     16146    | 24     30125          1362638      -       
8      16     4      4/8    | 0.10      0.20      0.15      0.22      0.67         124.69    | 1987     0        3492     4848     16146    | 32     30125          1362638      -       
8      16     5      5/8    | 0.09      0.19      0.15      0.23      0.68         124.14    | 1987     0        4562     3778     16146    | 40     30125          1362638      -       
8      16     6      6/8    | 0.09      0.19      0.15      0.22      0.67         125.44    | 1987     0        5182     3158     16146    | 48     30125          1362638      -       
8      16     7      7/8    | 0.09      0.20      0.16      0.22      0.68         124.14    | 1987     0        6344     1996     16146    | 56     30125          1362638      -       
8      16     8      8/8    | 0.10      0.19      0.93      0.23      1.46         57.41     | 1987     0        24486    0        0        | 64     30125          1362638      -       
8      32     0      0/8    | 0.09      0.21      0.20      0.33      0.85         98.88     | 1987     0        0        8340     16146    | 1      32329          1362638      -       
8      32     1      1/8    | 0.10      0.21      0.20      0.35      0.88         95.72     | 1987     0        0        8340     16146    | 8      32329          1362638      -       
8      32     2      2/8    | 0.09      0.21      0.20      0.34      0.86         97.39     | 1987     0        1508     6832     16146    | 16     32329          1362638      -       
8      32     3      3/8    | 0.09      0.18      0.20      0.32      0.80         105.58    | 1987     0        1882     6458     16146    | 24     32329          1362638      -       
8      32     4      4/8    | 0.09      0.18      0.20      0.33      0.80         104.79    | 1987     0        3492     4848     16146    | 32     32329          1362638      -       
8      32     5      5/8    | 0.08      0.18      0.20      0.32      0.80         105.72    | 1987     0        4562     3778     16146    | 40     32329          1362638      -       
8      32     6      6/8    | 0.10      0.20      0.21      0.35      0.88         96.05     | 1987     0        5182     3158     16146    | 48     32329          1362638      -       
8      32     7      7/8    | 0.09      0.20      0.21      0.34      0.86         97.95     | 1987     0        6344     1996     16146    | 56     32329          1362638      -       
8      32     8      8/8    | 0.09      0.17      1.10      0.33      1.70         49.55     | 1987     0        24486    0        0        | 64     32329          1362638      -       
16     8      0      0/8    | 0.09      0.27      0.12      0.17      0.65         128.70    | 817      0        0        3166     3338     | 1      7693           1362638      -       
16     8      1      1/8    | 0.08      0.27      0.12      0.16      0.64         130.91    | 817      0        0        3166     3338     | 32     7693           1362638      -       
16     8      2      2/8    | 0.10      0.27      0.13      0.17      0.69         122.69    | 817      0        806      2360     3338     | 64     7693           1362638      -       
16     8      3      3/8    | 0.09      0.28      0.12      0.17      0.66         126.76    | 817      0        1178     1988     3338     | 96     7693           1362638      -       
16     8      4      4/8    | 0.09      0.27      0.13      0.16      0.67         126.00    | 817      0        1178     1988     3338     | 128    7693           1362638      -       
16     8      5      5/8    | 0.10      0.27      0.12      0.17      0.68         124.33    | 817      0        1178     1988     3338     | 160    7693           1362638      -       
16     8      6      6/8    | 0.09      0.27      0.14      0.17      0.69         121.80    | 817      0        1704     1462     3338     | 192    7693           1362638      -       
16     8      7      7/8    | 0.09      0.27      0.15      0.17      0.69         122.69    | 817      0        2356     810      3338     | 224    7693           1362638      -       
16     8      8      8/8    | 0.08      0.26      0.99      0.16      1.50         55.88     | 817      0        6504     0        0        | 256    7693           1362638      -       
16     16     0      0/8    | 0.10      0.21      0.12      0.31      0.75         111.76    | 817      0        0        3166     3338     | 1      7817           1362638      -       
16     16     1      1/8    | 0.10      0.20      0.12      0.28      0.72         116.89    | 817      0        0        3166     3338     | 32     7817           1362638      -       
16     16     2      2/8    | 0.09      0.20      0.13      0.29      0.73         115.45    | 817      0        806      2360     3338     | 64     7817           1362638      -       
16     16     3      3/8    | 0.10      0.21      0.14      0.30      0.77         109.86    | 817      0        1178     1988     3338     | 96     7817           1362638      -       
16     16     4      4/8    | 0.10      0.20      0.13      0.30      0.75         112.36    | 817      0        1178     1988     3338     | 128    7817           1362638      -       
16     16     5      5/8    | 0.09      0.21      0.13      0.30      0.74         113.42    | 817      0        1178     1988     3338     | 160    7817           1362638      -       
