# Matrix: pf2177
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/pf2177.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 12:36:27
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 9728
# Cols: 9728
# NNZ(A): 725144
# NNZ(C) estimate: 64518890
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.02      28.54     72.93     1.00      104.52       1.23      | 587806   0        0        878836   2380     | 1      1478656        19921122     -       
8      8      1      1/8    | 2.03      28.61     72.80     1.01      104.45       1.24      | 587806   0        0        878836   2380     | 8      1478656        19921122     -       
8      8      2      2/8    | 2.05      28.59     68.78     1.00      100.44       1.28      | 587806   0        443728   435108   2380     | 16     1478656        19921122     -       
8      8      3      3/8    | 2.01      28.47     67.00     0.99      98.48        1.31      | 587806   0        668272   210564   2380     | 24     1478656        19921122     -       
8      8      4      4/8    | 2.03      28.38     69.30     0.97      100.70       1.28      | 587806   0        800348   78488    2380     | 32     1478656        19921122     -       
8      8      5      5/8    | 2.03      28.52     64.13     1.01      95.70        1.35      | 587806   0        853402   25434    2380     | 40     1478656        19921122     -       
8      8      6      6/8    | 2.06      28.38     63.83     0.98      95.27        1.35      | 587806   0        871033   7803     2380     | 48     1478656        19921122     -       
8      8      7      7/8    | 2.04      28.49     63.41     0.98      94.94        1.36      | 587806   0        877363   1473     2380     | 56     1478656        19921122     -       
8      8      8      8/8    | 1.97      28.60     62.50     0.98      94.06        1.37      | 587806   0        881216   0        0        | 64     1478656        19921122     -       
8      16     0      0/8    | 1.60      24.17     69.30     0.95      96.04        1.34      | 587806   0        0        878836   2380     | 1      1478656        19921122     -       
8      16     1      1/8    | 1.58      24.15     69.30     0.98      96.04        1.34      | 587806   0        0        878836   2380     | 8      1478656        19921122     -       
8      16     2      2/8    | 1.62      24.29     64.23     1.01      91.16        1.42      | 587806   0        443728   435108   2380     | 16     1478656        19921122     -       
