# Matrix: raefsky6
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/raefsky6.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 12:43:49
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 3402
# Cols: 3402
# NNZ(A): 137845
# NNZ(C) estimate: 3820703
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.13      0.34      0.17      0.25      0.90         8.47      | 4347     0        0        11083    490      | 1      26824          356032       -       
8      8      1      1/8    | 0.13      0.33      0.16      0.23      0.86         8.84      | 4347     0        0        11083    490      | 8      26824          356032       -       
8      8      2      2/8    | 0.13      0.35      0.15      0.24      0.89         8.61      | 4347     0        3651     7432     490      | 16     26824          356032       -       
8      8      3      3/8    | 0.14      0.35      0.16      0.25      0.90         8.45      | 4347     0        5873     5210     490      | 24     26824          356032       -       
8      8      4      4/8    | 0.13      0.34      0.15      0.24      0.87         8.82      | 4347     0        7760     3323     490      | 32     26824          356032       -       
8      8      5      5/8    | 0.12      0.33      0.12      0.22      0.81         9.45      | 4347     0        8973     2110     490      | 40     26824          356032       -       
8      8      6      6/8    | 0.13      0.34      0.13      0.23      0.85         8.99      | 4347     0        9892     1191     490      | 48     26824          356032       -       
8      8      7      7/8    | 0.13      0.35      0.15      0.24      0.88         8.72      | 4347     0        10526    557      490      | 56     26824          356032       -       
8      8      8      8/8    | 0.12      0.33      0.17      0.22      0.86         8.90      | 4347     0        11573    0        0        | 64     26824          356032       -       
8      16     0      0/8    | 0.11      0.32      0.15      0.24      0.82         9.30      | 4347     0        0        11083    490      | 1      30603          356032       -       
8      16     1      1/8    | 0.11      0.31      0.15      0.23      0.81         9.42      | 4347     0        0        11083    490      | 8      30603          356032       -       
8      16     2      2/8    | 0.11      0.31      0.15      0.23      0.80         9.56      | 4347     0        3651     7432     490      | 16     30603          356032       -       
8      16     3      3/8    | 0.13      0.32      0.14      0.25      0.84         9.05      | 4347     0        5873     5210     490      | 24     30603          356032       -       
8      16     4      4/8    | 0.11      0.32      0.13      0.24      0.81         9.38      | 4347     0        7760     3323     490      | 32     30603          356032       -       
8      16     5      5/8    | 0.12      0.33      0.12      0.23      0.82         9.35      | 4347     0        8973     2110     490      | 40     30603          356032       -       
8      16     6      6/8    | 0.11      0.31      0.13      0.23      0.79         9.67      | 4347     0        9892     1191     490      | 48     30603          356032       -       
8      16     7      7/8    | 0.12      0.33      0.14      0.25      0.84         9.08      | 4347     0        10526    557      490      | 56     30603          356032       -       
8      16     8      8/8    | 0.12      0.32      0.17      0.24      0.86         8.85      | 4347     0        11573    0        0        | 64     30603          356032       -       
8      32     0      0/8    | 0.11      0.23      0.25      0.25      0.85         8.97      | 4347     0        0        11083    490      | 1      36911          356032       -       
8      32     1      1/8    | 0.10      0.22      0.24      0.24      0.82         9.36      | 4347     0        0        11083    490      | 8      36911          356032       -       
8      32     2      2/8    | 0.10      0.22      0.21      0.24      0.79         9.68      | 4347     0        3651     7432     490      | 16     36911          356032       -       
8      32     3      3/8    | 0.11      0.23      0.20      0.25      0.80         9.59      | 4347     0        5873     5210     490      | 24     36911          356032       -       
8      32     4      4/8    | 0.10      0.22      0.20      0.23      0.76         10.12     | 4347     0        7760     3323     490      | 32     36911          356032       -       
8      32     5      5/8    | 0.11      0.23      0.17      0.23      0.75         10.16     | 4347     0        8973     2110     490      | 40     36911          356032       -       
8      32     6      6/8    | 0.11      0.23      0.17      0.25      0.77         9.95      | 4347     0        9892     1191     490      | 48     36911          356032       -       
8      32     7      7/8    | 0.10      0.22      0.17      0.23      0.73         10.41     | 4347     0        10526    557      490      | 56     36911          356032       -       
8      32     8      8/8    | 0.10      0.23      0.18      0.24      0.76         10.04     | 4347     0        11573    0        0        | 64     36911          356032       -       
16     8      0      0/8    | 0.14      0.33      0.17      0.22      0.87         8.78      | 2944     0        0        3340     8        | 1      9244           356032       -       
16     8      1      1/8    | 0.14      0.33      0.16      0.24      0.88         8.66      | 2944     0        0        3340     8        | 32     9244           356032       -       
16     8      2      2/8    | 0.14      0.33      0.18      0.23      0.89         8.61      | 2944     0        1334     2006     8        | 64     9244           356032       -       
16     8      3      3/8    | 0.14      0.34      0.15      0.24      0.88         8.65      | 2944     0        2044     1296     8        | 96     9244           356032       -       
16     8      4      4/8    | 0.14      0.33      0.18      0.24      0.89         8.60      | 2944     0        2566     774      8        | 128    9244           356032       -       
16     8      5      5/8    | 0.14      0.33      0.19      0.23      0.90         8.47      | 2944     0        2915     425      8        | 160    9244           356032       -       
16     8      6      6/8    | 0.13      0.33      0.21      0.22      0.90         8.51      | 2944     0        3138     202      8        | 192    9244           356032       -       
16     8      7      7/8    | 0.15      0.33      0.24      0.24      0.96         7.96      | 2944     0        3280     60       8        | 224    9244           356032       -       
16     8      8      8/8    | 0.14      0.33      0.26      0.23      0.97         7.87      | 2944     0        3348     0        0        | 256    9244           356032       -       
16     16     0      0/8    | 0.12      0.25      0.20      0.17      0.76         10.11     | 2944     0        0        3340     8        | 1      10375          356032       -       
16     16     1      1/8    | 0.12      0.25      0.20      0.17      0.76         10.08     | 2944     0        0        3340     8        | 32     10375          356032       -       
