# Matrix: s2rmq4m1
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/s2rmq4m1.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 12:45:51
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 5489
# Cols: 5489
# NNZ(A): 281111
# NNZ(C) estimate: 14662217
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.09      0.18      0.11      0.23      0.61         47.68     | 2883     0        0        9811     5641     | 1      23481          755453       -       
8      8      1      1/8    | 0.10      0.20      0.11      0.25      0.66         44.23     | 2883     0        0        9811     5641     | 8      23481          755453       -       
8      8      2      2/8    | 0.09      0.18      0.12      0.23      0.63         46.69     | 2883     0        780      9031     5641     | 16     23481          755453       -       
8      8      3      3/8    | 0.10      0.19      0.12      0.24      0.65         44.84     | 2883     0        978      8833     5641     | 24     23481          755453       -       
8      8      4      4/8    | 0.10      0.19      0.12      0.23      0.65         45.11     | 2883     0        4911     4900     5641     | 32     23481          755453       -       
8      8      5      5/8    | 0.09      0.19      0.12      0.23      0.64         46.11     | 2883     0        4931     4880     5641     | 40     23481          755453       -       
8      8      6      6/8    | 0.10      0.20      0.12      0.24      0.67         43.90     | 2883     0        4951     4860     5641     | 48     23481          755453       -       
8      8      7      7/8    | 0.10      0.19      0.15      0.24      0.69         42.75     | 2883     0        7355     2456     5641     | 56     23481          755453       -       
8      8      8      8/8    | 0.09      0.19      0.40      0.24      0.92         31.84     | 2883     0        15452    0        0        | 64     23481          755453       -       
8      16     0      0/8    | 0.09      0.17      0.12      0.18      0.56         51.99     | 2883     0        0        9811     5641     | 1      28251          755453       -       
8      16     1      1/8    | 0.10      0.17      0.12      0.19      0.58         50.13     | 2883     0        0        9811     5641     | 8      28251          755453       -       
8      16     2      2/8    | 0.10      0.18      0.12      0.19      0.60         48.79     | 2883     0        780      9031     5641     | 16     28251          755453       -       
8      16     3      3/8    | 0.09      0.17      0.12      0.19      0.58         50.91     | 2883     0        978      8833     5641     | 24     28251          755453       -       
8      16     4      4/8    | 0.08      0.16      0.13      0.18      0.56         52.37     | 2883     0        4911     4900     5641     | 32     28251          755453       -       
8      16     5      5/8    | 0.08      0.16      0.12      0.19      0.56         52.37     | 2883     0        4931     4880     5641     | 40     28251          755453       -       
8      16     6      6/8    | 0.08      0.16      0.12      0.18      0.56         52.74     | 2883     0        4951     4860     5641     | 48     28251          755453       -       
8      16     7      7/8    | 0.08      0.16      0.15      0.18      0.58         50.47     | 2883     0        7355     2456     5641     | 56     28251          755453       -       
8      16     8      8/8    | 0.09      0.17      0.40      0.17      0.83         35.25     | 2883     0        15452    0        0        | 64     28251          755453       -       
8      32     0      0/8    | 0.10      0.20      0.20      0.26      0.77         38.23     | 2883     0        0        9811     5641     | 1      37317          755453       -       
8      32     1      1/8    | 0.09      0.19      0.20      0.25      0.74         39.52     | 2883     0        0        9811     5641     | 8      37317          755453       -       
8      32     2      2/8    | 0.11      0.19      0.20      0.27      0.78         37.45     | 2883     0        780      9031     5641     | 16     37317          755453       -       
8      32     3      3/8    | 0.09      0.18      0.20      0.24      0.71         41.01     | 2883     0        978      8833     5641     | 24     37317          755453       -       
8      32     4      4/8    | 0.09      0.18      0.19      0.24      0.72         40.96     | 2883     0        4911     4900     5641     | 32     37317          755453       -       
8      32     5      5/8    | 0.10      0.20      0.19      0.24      0.74         39.79     | 2883     0        4931     4880     5641     | 40     37317          755453       -       
8      32     6      6/8    | 0.09      0.18      0.20      0.25      0.74         39.79     | 2883     0        4951     4860     5641     | 48     37317          755453       -       
8      32     7      7/8    | 0.09      0.18      0.21      0.24      0.73         40.06     | 2883     0        7355     2456     5641     | 56     37317          755453       -       
8      32     8      8/8    | 0.10      0.19      0.38      0.25      0.93         31.57     | 2883     0        15452    0        0        | 64     37317          755453       -       
16     8      0      0/8    | 0.08      0.18      0.12      0.17      0.57         51.63     | 2027     0        0        4162     105      | 1      7318           755453       -       
16     8      1      1/8    | 0.08      0.19      0.12      0.17      0.57         51.36     | 2027     0        0        4162     105      | 32     7318           755453       -       
16     8      2      2/8    | 0.09      0.19      0.12      0.17      0.58         50.30     | 2027     0        700      3462     105      | 64     7318           755453       -       
16     8      3      3/8    | 0.10      0.19      0.13      0.18      0.62         47.60     | 2027     0        770      3392     105      | 96     7318           755453       -       
16     8      4      4/8    | 0.10      0.19      0.17      0.18      0.65         45.05     | 2027     0        1498     2664     105      | 128    7318           755453       -       
16     8      5      5/8    | 0.10      0.20      0.19      0.18      0.68         42.93     | 2027     0        1551     2611     105      | 160    7318           755453       -       
16     8      6      6/8    | 0.09      0.19      0.21      0.19      0.70         41.95     | 2027     0        2228     1934     105      | 192    7318           755453       -       
16     8      7      7/8    | 0.09      0.18      0.25      0.18      0.71         41.42     | 2027     0        3358     804      105      | 224    7318           755453       -       
16     8      8      8/8    | 0.10      0.19      0.47      0.19      0.96         30.42     | 2027     0        4267     0        0        | 256    7318           755453       -       
