# Matrix: s2rmt3m1
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/s2rmt3m1.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 12:46:30
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 5489
# Cols: 5489
# NNZ(A): 219521
# NNZ(C) estimate: 8926841
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.08      0.17      0.10      0.18      0.54         33.19     | 2513     0        0        10283    2733     | 1      22331          579035       -       
8      8      1      1/8    | 0.10      0.17      0.11      0.19      0.58         30.84     | 2513     0        0        10283    2733     | 8      22331          579035       -       
8      8      2      2/8    | 0.09      0.17      0.11      0.19      0.57         31.43     | 2513     0        2056     8227     2733     | 16     22331          579035       -       
8      8      3      3/8    | 0.11      0.18      0.11      0.20      0.60         29.81     | 2513     0        2184     8099     2733     | 24     22331          579035       -       
8      8      4      4/8    | 0.09      0.17      0.11      0.18      0.55         32.40     | 2513     0        4879     5404     2733     | 32     22331          579035       -       
8      8      5      5/8    | 0.09      0.17      0.11      0.18      0.56         31.82     | 2513     0        4915     5368     2733     | 40     22331          579035       -       
8      8      6      6/8    | 0.09      0.17      0.11      0.18      0.56         31.88     | 2513     0        4929     5354     2733     | 48     22331          579035       -       
8      8      7      7/8    | 0.09      0.17      0.13      0.18      0.58         30.73     | 2513     0        7813     2470     2733     | 56     22331          579035       -       
8      8      8      8/8    | 0.10      0.18      0.25      0.19      0.73         24.56     | 2513     0        13016    0        0        | 64     22331          579035       -       
8      16     0      0/8    | 0.08      0.15      0.11      0.23      0.58         30.84     | 2513     0        0        10283    2733     | 1      26009          579035       -       
8      16     1      1/8    | 0.08      0.16      0.11      0.23      0.58         30.78     | 2513     0        0        10283    2733     | 8      26009          579035       -       
