# Matrix: sinc12
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/sinc12.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 12:50:39
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 7500
# Cols: 7500
# NNZ(A): 294986
# NNZ(C) estimate: 13042795
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.19      0.95      2.58      0.84      4.58         5.70      | 62966    0        0        108472   70259    | 1      273787         9388583      -       
8      8      1      1/8    | 0.20      0.96      2.58      0.89      4.64         5.62      | 62966    0        0        108472   70259    | 8      273787         9388583      -       
8      8      2      2/8    | 0.20      0.95      2.55      0.82      4.53         5.76      | 62966    0        8979     99493    70259    | 16     273787         9388583      -       
8      8      3      3/8    | 0.19      0.89      2.51      0.79      4.39         5.95      | 62966    0        17852    90620    70259    | 24     273787         9388583      -       
8      8      4      4/8    | 0.19      0.90      2.47      0.82      4.39         5.94      | 62966    0        26807    81665    70259    | 32     273787         9388583      -       
8      8      5      5/8    | 0.19      0.90      2.32      0.83      4.25         6.13      | 62966    0        39766    68706    70259    | 40     273787         9388583      -       
8      8      6      6/8    | 0.20      0.89      2.12      0.80      4.02         6.49      | 62966    0        70886    37586    70259    | 48     273787         9388583      -       
8      8      7      7/8    | 0.19      0.89      1.94      0.81      3.84         6.80      | 62966    0        91667    16805    70259    | 56     273787         9388583      -       
8      8      8      8/8    | 0.20      0.91      1.35      0.87      3.35         7.80      | 62966    0        178731   0        0        | 64     273787         9388583      -       
8      16     0      0/8    | 0.20      1.00      3.63      0.85      5.69         4.58      | 62966    0        0        108472   70259    | 1      291137         9388583      -       
8      16     1      1/8    | 0.19      1.01      3.63      0.86      5.70         4.58      | 62966    0        0        108472   70259    | 8      291137         9388583      -       
8      16     2      2/8    | 0.20      1.03      3.57      0.85      5.67         4.60      | 62966    0        8979     99493    70259    | 16     291137         9388583      -       
8      16     3      3/8    | 0.20      1.03      3.49      0.87      5.61         4.65      | 62966    0        17852    90620    70259    | 24     291137         9388583      -       
8      16     4      4/8    | 0.19      0.98      3.37      0.85      5.41         4.82      | 62966    0        26807    81665    70259    | 32     291137         9388583      -       
8      16     5      5/8    | 0.19      1.00      3.10      0.85      5.15         5.07      | 62966    0        39766    68706    70259    | 40     291137         9388583      -       
8      16     6      6/8    | 0.20      1.00      2.69      0.84      4.74         5.51      | 62966    0        70886    37586    70259    | 48     291137         9388583      -       
8      16     7      7/8    | 0.19      0.99      2.34      0.84      4.38         5.96      | 62966    0        91667    16805    70259    | 56     291137         9388583      -       
8      16     8      8/8    | 0.20      1.01      1.34      0.88      3.43         7.60      | 62966    0        178731   0        0        | 64     291137         9388583      -       
8      32     0      0/8    | 0.17      0.94      5.08      0.84      7.04         3.71      | 62966    0        0        108472   70259    | 1      304464         9388583      -       
8      32     1      1/8    | 0.17      0.92      5.07      0.83      7.00         3.73      | 62966    0        0        108472   70259    | 8      304464         9388583      -       
8      32     2      2/8    | 0.17      0.92      4.96      0.83      6.90         3.78      | 62966    0        8979     99493    70259    | 16     304464         9388583      -       
8      32     3      3/8    | 0.17      0.95      4.83      0.89      6.86         3.80      | 62966    0        17852    90620    70259    | 24     304464         9388583      -       
8      32     4      4/8    | 0.17      0.92      4.61      0.86      6.57         3.97      | 62966    0        26807    81665    70259    | 32     304464         9388583      -       
8      32     5      5/8    | 0.17      0.92      4.19      0.86      6.15         4.24      | 62966    0        39766    68706    70259    | 40     304464         9388583      -       
8      32     6      6/8    | 0.17      0.94      3.56      0.87      5.56         4.69      | 62966    0        70886    37586    70259    | 48     304464         9388583      -       
8      32     7      7/8    | 0.17      0.93      3.00      0.85      4.95         5.27      | 62966    0        91667    16805    70259    | 56     304464         9388583      -       
8      32     8      8/8    | 0.17      0.94      1.01      0.84      2.98         8.77      | 62966    0        178731   0        0        | 64     304464         9388583      -       
16     8      0      0/8    | 0.22      1.10      1.73      0.50      3.56         7.33      | 28261    0        0        39684    7174     | 1      80557          9388583      -       
16     8      1      1/8    | 0.21      1.03      1.73      0.50      3.49         7.48      | 28261    0        0        39684    7174     | 32     80557          9388583      -       
16     8      2      2/8    | 0.21      1.04      1.69      0.50      3.45         7.56      | 28261    0        3672     36012    7174     | 64     80557          9388583      -       
16     8      3      3/8    | 0.22      1.03      1.66      0.51      3.44         7.58      | 28261    0        5724     33960    7174     | 96     80557          9388583      -       
16     8      4      4/8    | 0.21      1.05      1.65      0.49      3.42         7.63      | 28261    0        8203     31481    7174     | 128    80557          9388583      -       
16     8      5      5/8    | 0.21      1.08      1.68      0.49      3.47         7.51      | 28261    0        11240    28444    7174     | 160    80557          9388583      -       
16     8      6      6/8    | 0.21      1.01      1.76      0.47      3.46         7.55      | 28261    0        16312    23372    7174     | 192    80557          9388583      -       
16     8      7      7/8    | 0.21      1.04      1.83      0.48      3.57         7.31      | 28261    0        29536    10148    7174     | 224    80557          9388583      -       
16     8      8      8/8    | 0.22      1.08      1.89      0.53      3.73         7.00      | 28261    0        46858    0        0        | 256    80557          9388583      -       
16     16     0      0/8    | 0.17      0.86      1.65      0.50      3.19         8.18      | 28261    0        0        39684    7174     | 1      82965          9388583      -       
16     16     1      1/8    | 0.18      0.86      1.65      0.51      3.21         8.14      | 28261    0        0        39684    7174     | 32     82965          9388583      -       
16     16     2      2/8    | 0.18      0.89      1.62      0.52      3.23         8.08      | 28261    0        3672     36012    7174     | 64     82965          9388583      -       
16     16     3      3/8    | 0.17      0.87      1.57      0.51      3.14         8.32      | 28261    0        5724     33960    7174     | 96     82965          9388583      -       
16     16     4      4/8    | 0.19      0.88      1.54      0.50      3.12         8.36      | 28261    0        8203     31481    7174     | 128    82965          9388583      -       
16     16     5      5/8    | 0.17      0.85      1.50      0.51      3.05         8.56      | 28261    0        11240    28444    7174     | 160    82965          9388583      -       
16     16     6      6/8    | 0.17      0.85      1.31      0.48      2.82         9.24      | 28261    0        16312    23372    7174     | 192    82965          9388583      -       
16     16     7      7/8    | 0.17      0.86      1.19      0.48      2.72         9.60      | 28261    0        29536    10148    7174     | 224    82965          9388583      -       
16     16     8      8/8    | 0.17      0.85      1.04      0.48      2.55         10.21     | 28261    0        46858    0        0        | 256    82965          9388583      -       
16     32     0      0/8    | 0.12      0.47      3.22      0.47      4.30         6.06      | 28261    0        0        39684    7174     | 1      85295          9388583      -       
16     32     1      1/8    | 0.12      0.45      3.22      0.48      4.29         6.09      | 28261    0        0        39684    7174     | 32     85295          9388583      -       
16     32     2      2/8    | 0.13      0.45      3.13      0.49      4.22         6.18      | 28261    0        3672     36012    7174     | 64     85295          9388583      -       
