# Matrix: amazon0601
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001-0.01/amazon0601.mtx
# Category: 200k-500k-0.001-0.01
# Date: 2026-03-07 12:45:02
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 403394
# Cols: 403394
# NNZ(A): 3387388
# NNZ(C) estimate: 32373599
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 16.07     135.89    17.85     3.01      172.84       0.37      | 7162848  0        0        192744   618      | 1      52021157       16258436     -       
8      8      1      1/8    | 16.08     133.31    17.80     2.96      170.16       0.38      | 7162848  0        0        192744   618      | 8      52021157       16258436     -       
8      8      2      2/8    | 16.00     133.78    16.80     2.96      169.56       0.38      | 7162848  0        140940   51804    618      | 16     52021157       16258436     -       
8      8      3      3/8    | 16.20     132.81    16.45     2.97      168.45       0.38      | 7162848  0        173310   19434    618      | 24     52021157       16258436     -       
8      8      4      4/8    | 15.82     133.17    16.49     2.93      168.42       0.38      | 7162848  0        185069   7675     618      | 32     52021157       16258436     -       
8      8      5      5/8    | 15.85     132.78    16.25     2.95      167.84       0.39      | 7162848  0        190406   2338     618      | 40     52021157       16258436     -       
8      8      6      6/8    | 16.16     132.66    16.23     3.01      168.07       0.39      | 7162848  0        191071   1673     618      | 48     52021157       16258436     -       
8      8      7      7/8    | 15.96     132.87    16.24     2.93      168.01       0.39      | 7162848  0        192539   205      618      | 56     52021157       16258436     -       
8      8      8      8/8    | 16.27     133.81    16.20     3.04      169.37       0.38      | 7162848  0        193362   0        0        | 64     52021157       16258436     -       
8      16     0      0/8    | 47.10     248.46    21.40     4.60      321.59       0.20      | 7162848  0        0        192744   618      | 1      97736083       16258436     -       
8      16     1      1/8    | 47.29     255.95    21.42     4.72      329.41       0.20      | 7162848  0        0        192744   618      | 8      97736083       16258436     -       
8      16     2      2/8    | 46.85     253.81    19.93     4.70      325.31       0.20      | 7162848  0        140940   51804    618      | 16     97736083       16258436     -       
8      16     3      3/8    | 47.19     254.41    19.43     4.62      325.67       0.20      | 7162848  0        173310   19434    618      | 24     97736083       16258436     -       
8      16     4      4/8    | 47.11     254.81    19.45     4.63      326.03       0.20      | 7162848  0        185069   7675     618      | 32     97736083       16258436     -       
8      16     5      5/8    | 47.45     250.12    19.11     5.31      322.01       0.20      | 7162848  0        190406   2338     618      | 40     97736083       16258436     -       
8      16     6      6/8    | 47.21     251.50    19.09     4.64      322.46       0.20      | 7162848  0        191071   1673     618      | 48     97736083       16258436     -       
8      16     7      7/8    | 47.33     254.36    19.13     4.73      325.58       0.20      | 7162848  0        192539   205      618      | 56     97736083       16258436     -       
8      16     8      8/8    | 47.06     254.01    19.05     4.67      324.81       0.20      | 7162848  0        193362   0        0        | 64     97736083       16258436     -       
8      32     0      0/8    | 195.91    467.56    24.85     8.33      696.68       0.09      | 7162526  0        0        196159   618      | 1      180551788      16401348     -       
8      32     1      1/8    | 195.63    465.76    24.84     8.33      694.59       0.09      | 7162526  0        0        196159   618      | 8      180551788      16401352     -       
8      32     2      2/8    | 195.28    466.33    21.98     8.27      691.88       0.09      | 7162527  0        140939   55220    618      | 16     180551788      16401354     -       
8      32     3      3/8    | 195.68    466.84    20.90     8.35      691.79       0.09      | 7162526  0        173308   22851    618      | 24     180551788      16401352     -       
8      32     4      4/8    | 195.86    465.58    20.42     8.24      690.12       0.09      | 7162526  0        185067   11092    618      | 32     180551788      16401348     -       
8      32     5      5/8    | 195.68    462.33    20.20     8.24      686.47       0.09      | 7162527  0        190404   5755     618      | 40     180551788      16401354     -       
