# Matrix: cage13
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001-0.01/cage13.mtx
# Category: 200k-500k-0.001-0.01
# Date: 2026-03-07 13:08:42
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 445315
# Cols: 445315
# NNZ(A): 7479343
# NNZ(C) estimate: 137332191
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 4.79      64.06     36.99     2.08      107.94       2.54      | 11216380 0        0        1444659  0        | 1      19750261       60593139     -       
8      8      1      1/8    | 4.81      49.58     36.99     2.08      93.48        2.94      | 11216380 0        0        1444659  0        | 8      19750261       60593139     -       
8      8      2      2/8    | 5.02      63.94     31.62     2.10      102.70       2.67      | 11216380 0        1114731  329928   0        | 16     19750261       60593139     -       
8      8      3      3/8    | 5.07      49.79     29.67     2.10      86.65        3.17      | 11216380 0        1393540  51119    0        | 24     19750261       60593139     -       
8      8      4      4/8    | 4.96      49.94     30.36     2.02      87.30        3.15      | 11216380 0        1440999  3660     0        | 32     19750261       60593139     -       
8      8      5      5/8    | 4.90      50.53     29.14     2.08      86.71        3.17      | 11216380 0        1443023  1636     0        | 40     19750261       60593139     -       
8      8      6      6/8    | 5.07      49.69     29.14     2.17      86.10        3.19      | 11216380 0        1444610  49       0        | 48     19750261       60593139     -       
8      8      7      7/8    | 4.94      49.86     29.11     2.02      85.94        3.20      | 11216380 0        1444659  0        0        | 56     19750261       60593139     -       
8      8      8      8/8    | 4.93      49.90     29.11     2.03      85.98        3.19      | 11216380 0        1444659  0        0        | 64     19750261       60593139     -       
8      16     0      0/8    | 6.52      70.39     41.33     2.35      120.61       2.28      | 11216380 0        0        1444659  0        | 1      28052657       60593139     -       
