# Matrix: fem_hifreq_circuit
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001-0.01/fem_hifreq_circuit.mtx
# Category: 200k-500k-0.001-0.01
# Date: 2026-03-07 13:56:36
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 491100
# Cols: 491100
# NNZ(A): 20239237
# NNZ(C) estimate: 963431629
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 8.89      90.36     83.11     3.12      185.50       10.39     | 6625584  0        0        4479012  36040    | 1      36038128       134838250    -       
8      8      1      1/8    | 8.88      90.94     83.12     3.14      186.11       10.35     | 6625584  0        0        4479012  36040    | 8      36038128       134838250    -       
8      8      2      2/8    | 9.00      91.04     74.93     3.16      178.15       10.82     | 6625584  0        2393939  2085073  36040    | 16     36038128       134838250    -       
8      8      3      3/8    | 8.86      92.66     69.70     3.17      174.42       11.05     | 6625584  0        3379323  1099689  36040    | 24     36038128       134838250    -       
8      8      4      4/8    | 8.93      90.44     70.67     3.19      173.25       11.12     | 6625584  0        3934630  544382   36040    | 32     36038128       134838250    -       
8      8      5      5/8    | 8.91      91.21     63.32     3.16      166.62       11.56     | 6625584  0        4237427  241585   36040    | 40     36038128       134838250    -       
8      8      6      6/8    | 8.95      91.09     61.48     3.13      164.67       11.70     | 6625584  0        4410967  68045    36040    | 48     36038128       134838250    -       
8      8      7      7/8    | 8.91      93.08     60.61     3.17      165.80       11.62     | 6625584  0        4468748  10264    36040    | 56     36038128       134838250    -       
8      8      8      8/8    | 8.91      90.99     59.78     3.16      162.85       11.83     | 6625584  0        4515052  0        0        | 64     36038128       134838250    -       
8      16     0      0/8    | 15.15     130.78    95.03     3.73      244.71       7.87      | 6625584  0        0        4479012  36040    | 1      52207102       134838250    -       
8      16     1      1/8    | 15.36     130.71    95.04     3.72      244.85       7.87      | 6625584  0        0        4479012  36040    | 8      52207102       134838250    -       
8      16     2      2/8    | 14.86     132.24    79.97     3.79      230.87       8.35      | 6625584  0        2393939  2085073  36040    | 16     52207102       134838250    -       
8      16     3      3/8    | 14.93     132.03    71.35     3.76      222.09       8.68      | 6625584  0        3379323  1099689  36040    | 24     52207102       134838250    -       
8      16     4      4/8    | 15.22     132.25    69.64     3.73      220.86       8.72      | 6625584  0        3934630  544382   36040    | 32     52207102       134838250    -       
8      16     5      5/8    | 14.83     131.75    61.44     3.74      211.79       9.10      | 6625584  0        4237427  241585   36040    | 40     52207102       134838250    -       
8      16     6      6/8    | 14.87     132.00    58.80     3.76      209.46       9.20      | 6625584  0        4410967  68045    36040    | 48     52207102       134838250    -       
8      16     7      7/8    | 14.84     131.74    57.68     3.75      208.03       9.26      | 6625584  0        4468748  10264    36040    | 56     52207102       134838250    -       
8      16     8      8/8    | 14.86     131.06    56.65     3.72      206.29       9.34      | 6625584  0        4515052  0        0        | 64     52207102       134838250    -       
8      32     0      0/8    | 27.89     194.05    146.98    4.56      373.50       5.16      | 6625584  0        0        4479012  36040    | 1      75844940       134838250    -       
8      32     1      1/8    | 28.26     194.26    146.98    4.55      374.07       5.15      | 6625584  0        0        4479012  36040    | 8      75844940       134838250    -       
8      32     2      2/8    | 27.93     191.54    111.44    4.60      335.53       5.74      | 6625584  0        2393939  2085073  36040    | 16     75844940       134838250    -       
8      32     3      3/8    | 28.03     191.64    91.69     4.59      315.97       6.10      | 6625584  0        3379323  1099689  36040    | 24     75844940       134838250    -       
8      32     4      4/8    | 28.07     191.45    77.84     4.62      302.00       6.38      | 6625584  0        3934630  544382   36040    | 32     75844940       134838250    -       
8      32     5      5/8    | 27.98     192.22    69.22     4.60      294.05       6.55      | 6625584  0        4237427  241585   36040    | 40     75844940       134838250    -       
8      32     6      6/8    | 27.90     191.51    63.04     4.58      287.05       6.71      | 6625584  0        4410967  68045    36040    | 48     75844940       134838250    -       
8      32     7      7/8    | 27.90     191.41    60.53     4.59      284.46       6.77      | 6625584  0        4468748  10264    36040    | 56     75844940       134838250    -       
8      32     8      8/8    | 27.62     194.38    58.13     4.56      284.71       6.77      | 6625584  0        4515052  0        0        | 64     75844940       134838250    -       
16     8      0      0/8    | 5.47      45.92     83.61     2.94      137.97       13.97     | 4894828  0        0        1161693  163      | 1      18127518       134838250    -       
16     8      1      1/8    | 5.42      45.38     83.64     2.90      137.35       14.03     | 4894828  0        0        1161693  163      | 32     18127518       134838250    -       
16     8      2      2/8    | 5.45      45.39     72.83     2.90      126.58       15.22     | 4894828  0        765464   396229   163      | 64     18127518       134838250    -       
16     8      3      3/8    | 5.48      46.44     67.30     2.92      122.16       15.77     | 4894828  0        1008494  153199   163      | 96     18127518       134838250    -       
16     8      4      4/8    | 5.46      46.04     64.31     2.88      118.71       16.23     | 4894828  0        1105005  56688    163      | 128    18127518       134838250    -       
16     8      5      5/8    | 5.47      45.92     62.70     2.88      117.00       16.47     | 4894828  0        1144439  17254    163      | 160    18127518       134838250    -       
16     8      6      6/8    | 5.47      46.28     62.12     2.95      116.85       16.49     | 4894828  0        1154899  6794     163      | 192    18127518       134838250    -       
16     8      7      7/8    | 5.44      45.91     61.88     2.90      116.15       16.59     | 4894828  0        1160031  1662     163      | 224    18127518       134838250    -       
16     8      8      8/8    | 5.58      46.12     61.91     2.96      116.59       16.53     | 4894828  0        1161856  0        0        | 256    18127518       134838250    -       
16     16     0      0/8    | 8.07      64.16     82.73     3.33      158.31       12.17     | 4894828  0        0        1161693  163      | 1      25428314       134838250    -       
16     16     1      1/8    | 8.05      64.09     82.71     3.32      158.19       12.18     | 4894828  0        0        1161693  163      | 32     25428314       134838250    -       
16     16     2      2/8    | 8.08      64.06     68.51     3.36      144.03       13.38     | 4894828  0        765464   396229   163      | 64     25428314       134838250    -       
16     16     3      3/8    | 8.24      65.70     61.96     3.49      139.42       13.82     | 4894828  0        1008494  153199   163      | 96     25428314       134838250    -       
16     16     4      4/8    | 8.07      65.09     58.50     3.35      135.04       14.27     | 4894828  0        1105005  56688    163      | 128    25428314       134838250    -       
16     16     5      5/8    | 8.14      64.08     56.74     3.35      132.32       14.56     | 4894828  0        1144439  17254    163      | 160    25428314       134838250    -       
16     16     6      6/8    | 8.04      64.09     56.20     3.34      131.69       14.63     | 4894828  0        1154899  6794     163      | 192    25428314       134838250    -       
16     16     7      7/8    | 8.05      64.49     56.04     3.35      131.96       14.60     | 4894828  0        1160031  1662     163      | 224    25428314       134838250    -       
16     16     8      8/8    | 8.17      65.52     55.80     3.42      132.94       14.49     | 4894828  0        1161856  0        0        | 256    25428314       134838250    -       
16     32     0      0/8    | 14.82     91.02     131.05    4.42      241.33       7.98      | 4894828  0        0        1161693  163      | 1      35518326       134838250    -       
16     32     1      1/8    | 13.03     91.09     131.01    4.34      239.49       8.05      | 4894828  0        0        1161693  163      | 32     35518326       134838250    -       
16     32     2      2/8    | 13.05     90.68     86.97     4.41      195.13       9.87      | 4894828  0        765464   396229   163      | 64     35518326       134838250    -       
16     32     3      3/8    | 12.97     90.14     68.47     4.34      175.94       10.95     | 4894828  0        1008494  153199   163      | 96     35518326       134838250    -       
16     32     4      4/8    | 13.00     90.92     59.62     4.37      167.95       11.47     | 4894828  0        1105005  56688    163      | 128    35518326       134838250    -       
16     32     5      5/8    | 13.05     93.90     55.59     4.42      166.99       11.54     | 4894828  0        1144439  17254    163      | 160    35518326       134838250    -       
16     32     6      6/8    | 13.09     90.74     54.62     4.33      162.81       11.84     | 4894828  0        1154899  6794     163      | 192    35518326       134838250    -       
16     32     7      7/8    | 13.17     91.11     54.27     4.37      162.94       11.83     | 4894828  0        1160031  1662     163      | 224    35518326       134838250    -       
16     32     8      8/8    | 13.04     90.83     53.71     4.37      161.98       11.90     | 4894828  0        1161856  0        0        | 256    35518326       134838250    -       
32     8      0      0/8    | 1.07      29.72     94.78     3.24      128.83       14.96     | 3008191  0        0        226164   0        | 1      8893555        134838250    -       
32     8      1      1/8    | 1.09      29.76     94.70     3.23      128.81       14.96     | 3008191  0        0        226164   0        | 128    8893555        134838250    -       
32     8      2      2/8    | 1.10      29.77     73.66     3.22      107.78       17.88     | 3008191  0        172761   53403    0        | 256    8893555        134838250    -       
32     8      3      3/8    | 1.10      29.71     67.84     3.23      101.90       18.91     | 3008191  0        212680   13484    0        | 384    8893555        134838250    -       
