# Matrix: nxp1
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001-0.01/nxp1.mtx
# Category: 200k-500k-0.001-0.01
# Date: 2026-03-08 00:06:02
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 414604
# Cols: 414604
# NNZ(A): 2656177
# NNZ(C) estimate: 2989118765
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 168.40    203.84    340.50    11.04     723.81       8.26      | 5263993  0        0        1661353  45845327 | 1      80623722       -            -       
8      8      1      1/8    | 168.49    204.64    265.88    10.05     649.08       9.21      | 5263993  0        0        1661353  45845327 | 8      80623722       -            -       
8      8      2      2/8    | 168.14    202.96    261.31    10.07     642.50       9.30      | 5263993  0        783225   878128   45845327 | 16     80623722       -            -       
8      8      3      3/8    | 167.91    203.04    263.17    11.13     645.27       9.26      | 5263993  0        1416611  244742   45845327 | 24     80623722       -            -       
8      8      4      4/8    | 168.06    204.98    265.40    11.11     649.57       9.20      | 5263993  0        1576757  84596    45845327 | 32     80623722       -            -       
8      8      5      5/8    | 168.58    204.44    257.68    11.07     641.81       9.31      | 5263993  0        1623907  37446    45845327 | 40     80623722       -            -       
8      8      6      6/8    | 168.53    207.03    269.64    11.07     656.30       9.11      | 5263993  0        1639130  22223    45845327 | 48     80623722       -            -       
8      8      7      7/8    | 168.22    207.54    263.01    10.05     648.84       9.21      | 5263993  0        1661321  32       45845327 | 56     80623722       -            -       
8      8      8      8/8    | 168.95    205.44    268.92    11.10     654.43       9.13      | 5263993  0        47506680 0        0        | 64     80623722       -            -       
8      16     0      0/8    | 142.53    269.06    264.20    10.55     686.35       8.71      | 5264041  0        0        1661353  45845327 | 1      106345137      -            -       
8      16     1      1/8    | 142.49    267.03    331.94    10.55     752.02       7.95      | 5264041  0        0        1661353  45845327 | 8      106345137      -            -       
8      16     2      2/8    | 142.93    267.42    266.38    10.52     687.27       8.70      | 5264041  0        783225   878128   45845327 | 16     106345137      -            -       
8      16     3      3/8    | 143.08    270.19    268.75    10.55     692.60       8.63      | 5264041  0        1416611  244742   45845327 | 24     106345137      -            -       
8      16     4      4/8    | 143.24    273.15    265.30    10.58     692.29       8.64      | 5264041  0        1576757  84596    45845327 | 32     106345137      -            -       
8      16     5      5/8    | 142.78    270.88    273.10    10.58     697.36       8.57      | 5264041  0        1623907  37446    45845327 | 40     106345137      -            -       
8      16     6      6/8    | 143.02    272.21    266.13    10.44     691.82       8.64      | 5264041  0        1639130  22223    45845327 | 48     106345137      -            -       
8      16     7      7/8    | 143.08    269.91    265.73    10.53     689.29       8.67      | 5264041  0        1661321  32       45845327 | 56     106345137      -            -       
8      16     8      8/8    | 142.65    267.87    263.37    10.56     684.47       8.73      | 5264041  0        47506680 0        0        | 64     106345137      -            -       
8      32     0      0/8    | 339.03    424.23    381.26    9.00      1153.56      5.18      | 5263984  0        0        1661353  45845327 | 1      164282827      -            -       
8      32     1      1/8    | 339.42    421.58    277.92    8.92      1047.86      5.71      | 5263984  0        0        1661353  45845327 | 8      164282827      -            -       
8      32     2      2/8    | 339.48    422.30    286.89    8.96      1057.65      5.65      | 5263984  0        783225   878128   45845327 | 16     164282827      -            -       
8      32     3      3/8    | 339.47    421.16    322.07    8.96      1091.68      5.48      | 5263984  0        1416611  244742   45845327 | 24     164282827      -            -       
8      32     4      4/8    | 338.99    421.74    330.57    8.96      1100.27      5.43      | 5263984  0        1576757  84596    45845327 | 32     164282827      -            -       
8      32     5      5/8    | 339.11    421.76    324.01    8.94      1093.85      5.47      | 5263984  0        1623907  37446    45845327 | 40     164282827      -            -       
8      32     6      6/8    | 339.58    415.60    265.55    9.01      1029.77      5.81      | 5263984  0        1639130  22223    45845327 | 48     164282827      -            -       
8      32     7      7/8    | 339.15    416.42    263.19    9.02      1027.79      5.82      | 5263984  0        1661321  32       45845327 | 56     164282827      -            -       
8      32     8      8/8    | 339.94    416.33    265.49    8.97      1030.75      5.80      | 5263984  0        47506680 0        0        | 64     164282827      -            -       
16     8      0      0/8    | 23.02     88.04     331.76    2.95      445.80       13.41     | 4200055  0        0        396434   11437684 | 1      34782216       -            -       
16     8      1      1/8    | 23.17     87.97     266.00    2.94      380.11       15.73     | 4200055  0        0        396434   11437684 | 32     34782216       -            -       
