# Matrix: offshore
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001-0.01/offshore.mtx
# Category: 200k-500k-0.001-0.01
# Date: 2026-03-08 00:10:30
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 259789
# Cols: 259789
# NNZ(A): 4242673
# NNZ(C) estimate: 71342515
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 42.05     206.17    41.30     3.69      293.24       0.49      | 10513218 0        0        260573   11       | 1      72004670       23356245     -       
8      8      1      1/8    | 42.02     186.98    41.29     3.73      274.03       0.52      | 10513218 0        0        260573   11       | 8      72004670       23356245     -       
8      8      2      2/8    | 42.01     185.77    38.52     3.74      270.06       0.53      | 10513218 0        225564   35009    11       | 16     72004670       23356245     -       
8      8      3      3/8    | 42.09     186.16    38.08     3.72      270.07       0.53      | 10513218 0        254461   6112     11       | 24     72004670       23356245     -       
8      8      4      4/8    | 42.06     184.76    38.55     3.70      269.09       0.53      | 10513218 0        259150   1423     11       | 32     72004670       23356245     -       
8      8      5      5/8    | 42.20     184.48    37.96     3.71      268.38       0.53      | 10513218 0        260231   342      11       | 40     72004670       23356245     -       
8      8      6      6/8    | 42.18     186.16    37.96     3.80      270.12       0.53      | 10513218 0        260483   90       11       | 48     72004670       23356245     -       
8      8      7      7/8    | 42.35     183.77    37.99     3.89      268.04       0.53      | 10513218 0        260563   10       11       | 56     72004670       23356245     -       
8      8      8      8/8    | 42.11     183.12    37.95     3.75      266.95       0.53      | 10513218 0        260584   0        0        | 64     72004670       23356245     -       
8      16     0      0/8    | 95.87     243.85    44.99     6.91      391.63       0.36      | 10513218 0        0        260573   11       | 1      96149324       23356245     -       
8      16     1      1/8    | 95.83     248.68    45.02     6.87      396.44       0.36      | 10513218 0        0        260573   11       | 8      96149324       23356245     -       
8      16     2      2/8    | 95.50     245.92    41.02     6.86      389.32       0.37      | 10513218 0        225564   35009    11       | 16     96149324       23356245     -       
8      16     3      3/8    | 95.95     246.68    40.46     6.89      390.01       0.37      | 10513218 0        254461   6112     11       | 24     96149324       23356245     -       
8      16     4      4/8    | 95.95     242.16    40.88     6.96      385.97       0.37      | 10513218 0        259150   1423     11       | 32     96149324       23356245     -       
8      16     5      5/8    | 95.70     245.05    40.33     6.92      388.03       0.37      | 10513218 0        260231   342      11       | 40     96149324       23356245     -       
8      16     6      6/8    | 95.64     243.76    40.34     6.89      386.65       0.37      | 10513218 0        260483   90       11       | 48     96149324       23356245     -       
8      16     7      7/8    | 95.80     245.41    40.34     6.92      388.50       0.37      | 10513218 0        260563   10       11       | 56     96149324       23356245     -       
8      16     8      8/8    | 95.65     244.59    40.32     6.91      387.49       0.37      | 10513218 0        260584   0        0        | 64     96149324       23356245     -       
8      32     0      0/8    | 153.97    314.38    48.10     8.20      524.67       0.27      | 10511242 0        0        260561   25590    | 1      124229214      24989874     -       
8      32     1      1/8    | 153.97    316.61    48.11     8.17      526.88       0.27      | 10511242 0        0        260561   25590    | 8      124229214      24989874     -       
8      32     2      2/8    | 154.13    315.29    40.98     8.18      518.60       0.28      | 10511242 0        225552   35009    25590    | 16     124229214      24989874     -       
8      32     3      3/8    | 154.40    321.71    40.11     8.19      524.44       0.27      | 10511242 0        254449   6112     25590    | 24     124229214      24989874     -       
8      32     4      4/8    | 153.80    321.14    39.90     8.14      523.00       0.27      | 10511242 0        259138   1423     25590    | 32     124229214      24989874     -       
8      32     5      5/8    | 153.49    317.27    39.84     8.16      518.79       0.28      | 10511241 0        260219   342      25590    | 40     124229214      24989872     -       
8      32     6      6/8    | 154.26    317.91    39.84     8.15      520.19       0.27      | 10511242 0        260471   90       25590    | 48     124229214      24989874     -       
8      32     7      7/8    | 153.59    318.52    39.82     8.13      520.08       0.27      | 10511241 0        260551   10       25590    | 56     124229214      24989873     -       
8      32     8      8/8    | 153.62    317.91    39.26     8.14      518.95       0.27      | 10511243 0        286151   0        0        | 64     124229214      24989875     -       
16     8      0      0/8    | 2.82      113.81    42.15     3.23      162.03       0.88      | 5916226  0        0        52089    0        | 1      35961043       23356245     -       
16     8      1      1/8    | 2.81      113.89    42.18     3.27      162.18       0.88      | 5916226  0        0        52089    0        | 32     35961043       23356245     -       
16     8      2      2/8    | 2.81      114.38    40.65     3.24      161.10       0.89      | 5916226  0        46755    5334     0        | 64     35961043       23356245     -       
16     8      3      3/8    | 2.88      112.68    40.46     3.31      159.35       0.90      | 5916226  0        51329    760      0        | 96     35961043       23356245     -       
16     8      4      4/8    | 2.80      112.48    40.40     3.28      158.98       0.90      | 5916226  0        51896    193      0        | 128    35961043       23356245     -       
16     8      5      5/8    | 2.85      115.07    40.44     3.33      161.72       0.88      | 5916226  0        52041    48       0        | 160    35961043       23356245     -       
16     8      6      6/8    | 2.81      113.88    40.39     3.25      160.36       0.89      | 5916226  0        52077    12       0        | 192    35961043       23356245     -       
16     8      7      7/8    | 2.80      114.39    40.41     3.27      160.88       0.89      | 5916226  0        52089    0        0        | 224    35961043       23356245     -       
16     8      8      8/8    | 2.81      113.94    40.41     3.25      160.44       0.89      | 5916226  0        52089    0        0        | 256    35961043       23356245     -       
16     16     0      0/8    | 3.59      126.22    38.81     3.84      172.49       0.83      | 5916226  0        0        52089    0        | 1      46209059       23356245     -       
16     16     1      1/8    | 3.63      125.37    38.86     4.01      171.90       0.83      | 5916226  0        0        52089    0        | 32     46209059       23356245     -       
