# Matrix: radiation
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001-0.01/radiation.mtx
# Category: 200k-500k-0.001-0.01
# Date: 2026-03-08 00:26:52
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 223104
# Cols: 223104
# NNZ(A): 7637688
# NNZ(C) estimate: 312719514
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 125.00    710.02    625.72    7.11      1467.88      0.43      | 30768114 0        0        857928   38098    | 1      92951830       71733610     -       
8      8      1      1/8    | 125.48    711.17    625.62    7.10      1469.40      0.43      | 30768114 0        0        857928   38098    | 8      92951830       71733610     -       
8      8      2      2/8    | 125.03    710.72    622.85    7.12      1465.74      0.43      | 30768114 0        391712   466216   38098    | 16     92951830       71733610     -       
8      8      3      3/8    | 125.33    711.79    622.37    7.11      1466.63      0.43      | 30768114 0        562844   295084   38098    | 24     92951830       71733610     -       
8      8      4      4/8    | 125.14    712.26    622.70    7.10      1467.23      0.43      | 30768114 0        667762   190166   38098    | 32     92951830       71733610     -       
8      8      5      5/8    | 125.60    707.92    621.71    7.19      1462.45      0.43      | 30768114 0        745404   112524   38098    | 40     92951830       71733610     -       
8      8      6      6/8    | 125.52    707.68    621.44    7.34      1462.01      0.43      | 30768114 0        811512   46416    38098    | 48     92951830       71733610     -       
8      8      7      7/8    | 125.06    706.47    621.35    7.17      1460.08      0.43      | 30768114 0        857635   293      38098    | 56     92951830       71733610     -       
8      8      8      8/8    | 125.60    707.67    619.30    7.14      1459.73      0.43      | 30768114 0        896026   0        0        | 64     92951830       71733610     -       
8      16     0      0/8    | 180.52    872.08    869.26    14.99     1936.86      0.32      | 30768052 0        0        858318   38098    | 1      101385196      71740553     -       
8      16     1      1/8    | 181.04    879.52    869.30    14.80     1944.69      0.32      | 30768052 0        0        858318   38098    | 8      101385196      71740553     -       
8      16     2      2/8    | 180.31    923.14    864.92    15.19     1983.58      0.32      | 30768052 0        391712   466606   38098    | 16     101385196      71740553     -       
8      16     3      3/8    | 180.48    876.63    864.40    15.03     1936.57      0.32      | 30768052 0        563234   295084   38098    | 24     101385196      71740553     -       
8      16     4      4/8    | 180.33    876.22    865.31    15.14     1937.01      0.32      | 30768052 0        668152   190166   38098    | 32     101385196      71740553     -       
8      16     5      5/8    | 180.55    875.67    863.36    14.84     1934.45      0.32      | 30768052 0        745794   112524   38098    | 40     101385196      71740553     -       
8      16     6      6/8    | 180.68    876.39    862.97    14.72     1934.79      0.32      | 30768052 0        811902   46416    38098    | 48     101385196      71740553     -       
8      16     7      7/8    | 180.47    876.17    862.73    14.95     1934.34      0.32      | 30768052 0        858025   293      38098    | 56     101385196      71740553     -       
8      16     8      8/8    | 180.39    949.68    861.02    15.03     2006.15      0.31      | 30768052 0        896416   0        0        | 64     101385196      71740553     -       
8      32     0      0/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            cuda_error
8      32     1      1/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            cuda_error
8      32     2      2/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            cuda_error
8      32     3      3/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            cuda_error
