# Matrix: stomach
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001-0.01/stomach.mtx
# Category: 200k-500k-0.001-0.01
# Date: 2026-03-08 00:38:24
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 213360
# Cols: 213360
# NNZ(A): 3021648
# NNZ(C) estimate: 47110896
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.12      6.47      6.92      0.99      15.52        6.07      | 866367   0        0        614100   0        | 1      2486250        13820016     -       
8      8      1      1/8    | 0.99      6.50      6.92      1.01      15.43        6.11      | 866367   0        0        614100   0        | 8      2486250        13820016     -       
8      8      2      2/8    | 0.97      12.86     6.24      1.12      21.23        4.44      | 866367   0        271962   342138   0        | 16     2486250        13820016     -       
8      8      3      3/8    | 1.15      6.53      5.55      1.02      14.27        6.60      | 866367   0        493294   120806   0        | 24     2486250        13820016     -       
8      8      4      4/8    | 1.00      6.77      5.25      1.02      14.06        6.70      | 866367   0        586901   27199    0        | 32     2486250        13820016     -       
8      8      5      5/8    | 1.00      6.64      4.55      1.04      13.25        7.11      | 866367   0        614100   0        0        | 40     2486250        13820016     -       
8      8      6      6/8    | 1.12      6.29      4.55      1.02      13.00        7.25      | 866367   0        614100   0        0        | 48     2486250        13820016     -       
8      8      7      7/8    | 0.99      6.50      4.55      1.02      13.09        7.20      | 866367   0        614100   0        0        | 56     2486250        13820016     -       
8      8      8      8/8    | 0.99      6.64      4.56      1.01      13.22        7.13      | 866367   0        614100   0        0        | 64     2486250        13820016     -       
8      16     0      0/8    | 0.98      7.59      7.35      1.03      16.96        5.56      | 866367   0        0        614100   0        | 1      2999954        13820016     -       
8      16     1      1/8    | 0.92      7.82      7.34      1.02      17.12        5.50      | 866367   0        0        614100   0        | 8      2999954        13820016     -       
8      16     2      2/8    | 0.94      8.07      6.25      1.06      16.34        5.77      | 866367   0        271962   342138   0        | 16     2999954        13820016     -       
8      16     3      3/8    | 0.95      7.90      5.28      1.01      15.16        6.21      | 866367   0        493294   120806   0        | 24     2999954        13820016     -       
8      16     4      4/8    | 0.94      7.96      4.65      1.00      14.57        6.47      | 866367   0        586901   27199    0        | 32     2999954        13820016     -       
8      16     5      5/8    | 0.95      7.92      4.00      0.99      13.87        6.79      | 866367   0        614100   0        0        | 40     2999954        13820016     -       
8      16     6      6/8    | 0.94      8.02      4.00      1.01      13.98        6.74      | 866367   0        614100   0        0        | 48     2999954        13820016     -       
8      16     7      7/8    | 0.93      8.03      4.00      1.03      14.02        6.72      | 866367   0        614100   0        0        | 56     2999954        13820016     -       
8      16     8      8/8    | 0.94      8.07      4.00      0.99      14.01        6.72      | 866367   0        614100   0        0        | 64     2999954        13820016     -       
8      32     0      0/8    | 1.01      10.26     10.54     1.03      22.86        4.12      | 866367   0        0        614100   0        | 1      4020817        13820016     -       
8      32     1      1/8    | 0.99      10.10     10.54     1.05      22.70        4.15      | 866367   0        0        614100   0        | 8      4020817        13820016     -       
8      32     2      2/8    | 0.99      10.20     8.22      1.05      20.48        4.60      | 866367   0        271962   342138   0        | 16     4020817        13820016     -       
8      32     3      3/8    | 0.99      10.20     6.49      1.03      18.72        5.03      | 866367   0        493294   120806   0        | 24     4020817        13820016     -       
8      32     4      4/8    | 1.03      10.63     4.71      1.05      17.45        5.40      | 866367   0        586901   27199    0        | 32     4020817        13820016     -       
8      32     5      5/8    | 1.00      10.57     4.10      1.03      16.72        5.64      | 866367   0        614100   0        0        | 40     4020817        13820016     -       
8      32     6      6/8    | 1.02      10.33     4.11      1.05      16.52        5.71      | 866367   0        614100   0        0        | 48     4020817        13820016     -       
8      32     7      7/8    | 1.01      10.27     4.10      1.04      16.44        5.73      | 866367   0        614100   0        0        | 56     4020817        13820016     -       
8      32     8      8/8    | 1.02      10.32     4.10      1.02      16.48        5.72      | 866367   0        614100   0        0        | 64     4020817        13820016     -       
16     8      0      0/8    | 0.23      2.80      5.63      0.97      9.65         9.76      | 517669   0        0        177273   0        | 1      1065803        13820016     -       
16     8      1      1/8    | 0.23      2.81      5.63      0.96      9.65         9.77      | 517669   0        0        177273   0        | 32     1065803        13820016     -       
16     8      2      2/8    | 0.24      2.79      4.96      0.97      8.97         10.50     | 517669   0        99682    77591    0        | 64     1065803        13820016     -       
16     8      3      3/8    | 0.24      2.85      3.54      0.96      7.60         12.39     | 517669   0        176813   460      0        | 96     1065803        13820016     -       
16     8      4      4/8    | 0.23      2.76      3.45      0.96      7.42         12.69     | 517669   0        177273   0        0        | 128    1065803        13820016     -       
16     8      5      5/8    | 0.24      2.89      3.46      0.98      7.58         12.43     | 517669   0        177273   0        0        | 160    1065803        13820016     -       
16     8      6      6/8    | 0.24      2.82      3.46      0.98      7.51         12.55     | 517669   0        177273   0        0        | 192    1065803        13820016     -       
16     8      7      7/8    | 0.23      2.83      3.46      0.98      7.52         12.53     | 517669   0        177273   0        0        | 224    1065803        13820016     -       
16     8      8      8/8    | 0.24      2.79      3.46      0.95      7.46         12.64     | 517669   0        177273   0        0        | 256    1065803        13820016     -       
16     16     0      0/8    | 0.23      3.38      5.49      1.01      10.13        9.30      | 517669   0        0        177273   0        | 1      1251681        13820016     -       
16     16     1      1/8    | 0.22      3.51      5.49      1.02      10.26        9.18      | 517669   0        0        177273   0        | 32     1251681        13820016     -       
16     16     2      2/8    | 0.22      3.26      4.61      0.98      9.10         10.36     | 517669   0        99682    77591    0        | 64     1251681        13820016     -       
16     16     3      3/8    | 0.22      3.38      3.12      0.98      7.71         12.22     | 517669   0        176813   460      0        | 96     1251681        13820016     -       
16     16     4      4/8    | 0.22      3.46      2.93      0.98      7.60         12.40     | 517669   0        177273   0        0        | 128    1251681        13820016     -       
16     16     5      5/8    | 0.22      3.24      2.94      0.97      7.38         12.77     | 517669   0        177273   0        0        | 160    1251681        13820016     -       
16     16     6      6/8    | 0.21      3.33      2.94      0.95      7.45         12.65     | 517669   0        177273   0        0        | 192    1251681        13820016     -       
16     16     7      7/8    | 0.23      3.42      2.94      0.99      7.59         12.41     | 517669   0        177273   0        0        | 224    1251681        13820016     -       
16     16     8      8/8    | 0.22      3.34      2.93      0.98      7.49         12.57     | 517669   0        177273   0        0        | 256    1251681        13820016     -       
16     32     0      0/8    | 0.21      4.35      9.39      1.07      15.05        6.26      | 517669   0        0        177273   0        | 1      1657522        13820016     -       
16     32     1      1/8    | 0.21      4.31      9.39      1.02      14.95        6.30      | 517669   0        0        177273   0        | 32     1657522        13820016     -       
16     32     2      2/8    | 0.21      4.39      6.98      1.02      12.62        7.47      | 517669   0        99682    77591    0        | 64     1657522        13820016     -       
16     32     3      3/8    | 0.20      4.40      3.19      1.03      8.85         10.65     | 517669   0        176813   460      0        | 96     1657522        13820016     -       
16     32     4      4/8    | 0.21      4.37      2.80      1.04      8.44         11.17     | 517669   0        177273   0        0        | 128    1657522        13820016     -       
16     32     5      5/8    | 0.20      4.30      2.80      1.00      8.32         11.33     | 517669   0        177273   0        0        | 160    1657522        13820016     -       
16     32     6      6/8    | 0.21      4.33      2.79      1.02      8.37         11.26     | 517669   0        177273   0        0        | 192    1657522        13820016     -       
16     32     7      7/8    | 0.21      4.30      2.80      1.02      8.35         11.28     | 517669   0        177273   0        0        | 224    1657522        13820016     -       
16     32     8      8/8    | 0.21      4.29      2.80      1.04      8.35         11.29     | 517669   0        177273   0        0        | 256    1657522        13820016     -       
32     8      0      0/8    | 0.28      1.49      7.28      1.07      10.15        9.28      | 230881   0        0        44878    0        | 1      437069         13820016     -       
32     8      1      1/8    | 0.19      1.43      7.29      0.98      9.90         9.52      | 230881   0        0        44878    0        | 128    437069         13820016     -       
32     8      2      2/8    | 0.19      1.46      4.33      1.00      7.00         13.46     | 230881   0        33804    11074    0        | 256    437069         13820016     -       
32     8      3      3/8    | 0.20      1.43      2.90      0.97      5.51         17.10     | 230881   0        44878    0        0        | 384    437069         13820016     -       
32     8      4      4/8    | 0.19      1.47      2.89      0.96      5.53         17.04     | 230881   0        44878    0        0        | 512    437069         13820016     -       
32     8      5      5/8    | 0.27      1.47      2.92      1.02      5.70         16.54     | 230881   0        44878    0        0        | 640    437069         13820016     -       
32     8      6      6/8    | 0.19      1.45      2.89      0.98      5.53         17.05     | 230881   0        44878    0        0        | 768    437069         13820016     -       
32     8      7      7/8    | 0.19      1.42      2.89      0.99      5.50         17.15     | 230881   0        44878    0        0        | 896    437069         13820016     -       
32     8      8      8/8    | 0.28      1.48      2.92      1.12      5.82         16.18     | 230881   0        44878    0        0        | 1024   437069         13820016     -       
32     16     0      0/8    | 0.16      1.44      9.43      0.97      12.03        7.83      | 230881   0        0        44878    0        | 1      495338         13820016     -       
32     16     1      1/8    | 0.16      1.45      9.46      0.97      12.04        7.83      | 230881   0        0        44878    0        | 128    495338         13820016     -       
32     16     2      2/8    | 0.15      1.47      5.59      0.93      8.17         11.54     | 230881   0        33804    11074    0        | 256    495338         13820016     -       
32     16     3      3/8    | 0.15      1.44      2.58      0.96      5.14         18.32     | 230881   0        44878    0        0        | 384    495338         13820016     -       
32     16     4      4/8    | 0.16      1.43      2.58      0.94      5.12         18.41     | 230881   0        44878    0        0        | 512    495338         13820016     -       
32     16     5      5/8    | 0.15      1.44      2.58      0.96      5.15         18.29     | 230881   0        44878    0        0        | 640    495338         13820016     -       
32     16     6      6/8    | 0.16      1.44      2.58      0.97      5.17         18.24     | 230881   0        44878    0        0        | 768    495338         13820016     -       
32     16     7      7/8    | 0.15      1.42      2.58      0.94      5.11         18.45     | 230881   0        44878    0        0        | 896    495338         13820016     -       
32     16     8      8/8    | 0.16      1.43      2.59      0.94      5.12         18.39     | 230881   0        44878    0        0        | 1024   495338         13820016     -       
32     32     0      0/8    | 0.14      1.76      9.33      0.97      12.22        7.71      | 230881   0        0        44878    0        | 1      640173         13820016     -       
32     32     1      1/8    | 0.15      1.82      9.32      0.99      12.29        7.66      | 230881   0        0        44878    0        | 128    640173         13820016     -       
32     32     2      2/8    | 0.15      1.82      5.17      0.97      8.12         11.60     | 230881   0        33804    11074    0        | 256    640173         13820016     -       
32     32     3      3/8    | 0.14      1.80      2.34      0.98      5.27         17.89     | 230881   0        44878    0        0        | 384    640173         13820016     -       
32     32     4      4/8    | 0.15      1.81      2.34      0.99      5.30         17.76     | 230881   0        44878    0        0        | 512    640173         13820016     -       
32     32     5      5/8    | 0.15      1.83      2.33      0.98      5.31         17.74     | 230881   0        44878    0        0        | 640    640173         13820016     -       
32     32     6      6/8    | 0.15      1.79      2.36      0.96      5.27         17.87     | 230881   0        44878    0        0        | 768    640173         13820016     -       
32     32     7      7/8    | 0.15      1.80      2.34      0.95      5.25         17.94     | 230881   0        44878    0        0        | 896    640173         13820016     -       
32     32     8      8/8    | 0.14      1.75      2.34      0.95      5.19         18.15     | 230881   0        44878    0        0        | 1024   640173         13820016     -       
