# Matrix: ASIC_320ks
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001/ASIC_320ks.mtx
# Category: 200k-500k-0.001
# Date: 2026-03-08 01:26:01
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 321671
# Cols: 321671
# NNZ(A): 1827807
# NNZ(C) estimate: 30715647
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 3.67      32.87     7.88      1.51      45.94        1.34      | 3085037  0        0        754076   2852     | 1      13100773       23504157     -       
8      8      1      1/8    | 3.89      34.18     7.85      1.52      47.46        1.29      | 3085037  0        0        754076   2852     | 8      13100773       23504157     -       
8      8      2      2/8    | 3.70      34.22     6.78      1.50      46.21        1.33      | 3085037  0        474712   279364   2852     | 16     13100773       23504157     -       
8      8      3      3/8    | 3.93      34.48     6.59      1.54      46.56        1.32      | 3085037  0        623515   130561   2852     | 24     13100773       23504157     -       
8      8      4      4/8    | 3.65      34.23     6.65      1.48      46.03        1.33      | 3085037  0        690815   63261    2852     | 32     13100773       23504157     -       
8      8      5      5/8    | 3.71      32.81     6.57      1.52      44.63        1.38      | 3085037  0        723221   30855    2852     | 40     13100773       23504157     -       
8      8      6      6/8    | 3.67      32.78     6.60      1.51      44.57        1.38      | 3085037  0        739551   14525    2852     | 48     13100773       23504157     -       
8      8      7      7/8    | 3.83      32.97     6.52      1.52      44.85        1.37      | 3085037  0        749928   4148     2852     | 56     13100773       23504157     -       
8      8      8      8/8    | 3.72      33.04     6.59      1.55      44.92        1.37      | 3085037  0        756928   0        0        | 64     13100773       23504157     -       
8      16     0      0/8    | 7.47      47.96     8.69      1.75      65.89        0.93      | 3085037  0        0        754076   2852     | 1      18962887       23504157     -       
8      16     1      1/8    | 7.55      50.06     8.72      1.79      68.14        0.90      | 3085037  0        0        754076   2852     | 8      18962887       23504157     -       
8      16     2      2/8    | 7.67      48.04     7.46      1.75      64.94        0.95      | 3085037  0        474712   279364   2852     | 16     18962887       23504157     -       
8      16     3      3/8    | 7.48      47.82     7.07      1.75      64.13        0.96      | 3085037  0        623515   130561   2852     | 24     18962887       23504157     -       
8      16     4      4/8    | 7.53      47.60     6.88      1.74      63.77        0.96      | 3085037  0        690815   63261    2852     | 32     18962887       23504157     -       
8      16     5      5/8    | 7.49      47.80     6.72      1.74      63.77        0.96      | 3085037  0        723221   30855    2852     | 40     18962887       23504157     -       
8      16     6      6/8    | 7.61      47.87     6.70      1.76      63.97        0.96      | 3085037  0        739551   14525    2852     | 48     18962887       23504157     -       
8      16     7      7/8    | 7.45      47.78     6.73      1.70      63.67        0.96      | 3085037  0        749928   4148     2852     | 56     18962887       23504157     -       
8      16     8      8/8    | 7.54      47.98     6.65      1.75      63.94        0.96      | 3085037  0        756928   0        0        | 64     18962887       23504157     -       
8      32     0      0/8    | 11.44     67.31     10.05     2.04      90.86        0.68      | 3085037  0        0        754076   2852     | 1      26583363       23504157     -       
8      32     1      1/8    | 11.49     67.38     10.15     2.02      91.06        0.67      | 3085037  0        0        754076   2852     | 8      26583363       23504157     -       
8      32     2      2/8    | 11.43     67.28     8.19      2.04      88.95        0.69      | 3085037  0        474712   279364   2852     | 16     26583363       23504157     -       
8      32     3      3/8    | 11.50     67.26     7.73      2.05      88.56        0.69      | 3085037  0        623515   130561   2852     | 24     26583363       23504157     -       
8      32     4      4/8    | 11.44     67.31     6.87      2.04      87.68        0.70      | 3085037  0        690815   63261    2852     | 32     26583363       23504157     -       
8      32     5      5/8    | 11.49     67.35     6.74      2.02      87.62        0.70      | 3085037  0        723221   30855    2852     | 40     26583363       23504157     -       
8      32     6      6/8    | 11.43     67.44     6.79      2.07      87.76        0.70      | 3085037  0        739551   14525    2852     | 48     26583363       23504157     -       
8      32     7      7/8    | 11.43     67.45     6.81      2.04      87.75        0.70      | 3085037  0        749928   4148     2852     | 56     26583363       23504157     -       
