# Matrix: CurlCurl_1
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001/CurlCurl_1.mtx
# Category: 200k-500k-0.001
# Date: 2026-03-08 03:06:51
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 226451
# Cols: 226451
# NNZ(A): 2472071
# NNZ(C) estimate: 27224109
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.91      5.67      4.20      1.13      11.93        4.56      | 326354   0        0        495749   0        | 1      1498091        12165785     -       
8      8      1      1/8    | 0.90      2.63      4.18      0.92      8.64         6.30      | 326354   0        0        495749   0        | 8      1498091        12165785     -       
8      8      2      2/8    | 0.79      2.72      3.86      0.96      8.35         6.52      | 326354   0        169261   326488   0        | 16     1498091        12165785     -       
8      8      3      3/8    | 0.76      2.56      3.48      0.93      7.75         7.02      | 326354   0        322117   173632   0        | 24     1498091        12165785     -       
8      8      4      4/8    | 0.77      2.59      3.31      0.92      7.61         7.16      | 326354   0        436794   58955    0        | 32     1498091        12165785     -       
8      8      5      5/8    | 0.76      2.65      2.83      0.92      7.18         7.58      | 326354   0        479314   16435    0        | 40     1498091        12165785     -       
8      8      6      6/8    | 0.90      2.65      2.68      0.96      7.22         7.54      | 326354   0        494847   902      0        | 48     1498091        12165785     -       
8      8      7      7/8    | 0.76      2.55      2.66      0.92      6.90         7.89      | 326354   0        495749   0        0        | 56     1498091        12165785     -       
8      8      8      8/8    | 0.76      2.67      2.65      0.93      7.03         7.75      | 326354   0        495749   0        0        | 64     1498091        12165785     -       
8      16     0      0/8    | 0.71      5.12      4.46      0.94      11.25        4.84      | 326354   0        0        495749   0        | 1      1923389        12165785     -       
8      16     1      1/8    | 0.73      5.08      4.46      0.97      11.26        4.84      | 326354   0        0        495749   0        | 8      1923389        12165785     -       
8      16     2      2/8    | 0.74      5.24      4.00      1.01      11.01        4.95      | 326354   0        169261   326488   0        | 16     1923389        12165785     -       
8      16     3      3/8    | 0.73      4.94      3.51      0.98      10.18        5.35      | 326354   0        322117   173632   0        | 24     1923389        12165785     -       
8      16     4      4/8    | 0.70      4.97      3.21      0.93      9.83         5.54      | 326354   0        436794   58955    0        | 32     1923389        12165785     -       
8      16     5      5/8    | 0.72      4.90      2.66      0.95      9.24         5.89      | 326354   0        479314   16435    0        | 40     1923389        12165785     -       
8      16     6      6/8    | 0.70      4.88      2.47      0.92      8.99         6.06      | 326354   0        494847   902      0        | 48     1923389        12165785     -       
8      16     7      7/8    | 0.70      4.96      2.45      0.93      9.06         6.01      | 326354   0        495749   0        0        | 56     1923389        12165785     -       
8      16     8      8/8    | 0.70      4.94      2.45      0.93      9.04         6.02      | 326354   0        495749   0        0        | 64     1923389        12165785     -       
8      32     0      0/8    | 0.72      7.14      6.52      0.97      15.37        3.54      | 326354   0        0        495749   0        | 1      2803809        12165785     -       
8      32     1      1/8    | 0.76      7.39      6.53      0.99      15.68        3.47      | 326354   0        0        495749   0        | 8      2803809        12165785     -       
8      32     2      2/8    | 0.73      7.48      5.64      1.00      14.87        3.66      | 326354   0        169261   326488   0        | 16     2803809        12165785     -       
8      32     3      3/8    | 0.74      7.18      4.74      1.01      13.69        3.98      | 326354   0        322117   173632   0        | 24     2803809        12165785     -       
8      32     4      4/8    | 0.72      7.14      3.75      0.99      12.62        4.31      | 326354   0        436794   58955    0        | 32     2803809        12165785     -       
8      32     5      5/8    | 0.75      7.42      3.06      0.98      12.23        4.45      | 326354   0        479314   16435    0        | 40     2803809        12165785     -       
8      32     6      6/8    | 0.74      7.17      2.67      1.00      11.60        4.70      | 326354   0        494847   902      0        | 48     2803809        12165785     -       
8      32     7      7/8    | 0.73      7.12      2.58      0.99      11.44        4.76      | 326354   0        495749   0        0        | 56     2803809        12165785     -       
8      32     8      8/8    | 0.73      7.17      2.58      0.99      11.48        4.74      | 326354   0        495749   0        0        | 64     2803809        12165785     -       
16     8      0      0/8    | 0.21      1.28      3.46      0.88      5.85         9.31      | 169853   0        0        163633   0        | 1      529296         12165785     -       
16     8      1      1/8    | 0.21      1.27      3.47      0.85      5.82         9.36      | 169853   0        0        163633   0        | 32     529296         12165785     -       
16     8      2      2/8    | 0.22      1.38      2.92      0.91      5.46         9.98      | 169853   0        97394    66239    0        | 64     529296         12165785     -       
16     8      3      3/8    | 0.21      1.24      2.38      0.88      4.72         11.52     | 169853   0        149121   14512    0        | 96     529296         12165785     -       
16     8      4      4/8    | 0.21      1.28      2.38      0.88      4.78         11.40     | 169853   0        150713   12920    0        | 128    529296         12165785     -       
16     8      5      5/8    | 0.21      1.43      2.12      0.93      4.71         11.57     | 169853   0        163587   46       0        | 160    529296         12165785     -       
16     8      6      6/8    | 0.35      1.23      2.08      0.86      4.55         11.96     | 169853   0        163633   0        0        | 192    529296         12165785     -       
16     8      7      7/8    | 0.23      1.24      2.08      0.91      4.47         12.17     | 169853   0        163633   0        0        | 224    529296         12165785     -       
16     8      8      8/8    | 0.21      1.45      2.09      0.89      4.66         11.69     | 169853   0        163633   0        0        | 256    529296         12165785     -       
16     16     0      0/8    | 0.20      1.25      3.08      0.88      5.43         10.03     | 169853   0        0        163633   0        | 1      596800         12165785     -       
16     16     1      1/8    | 0.20      1.27      3.09      0.91      5.48         9.93      | 169853   0        0        163633   0        | 32     596800         12165785     -       
16     16     2      2/8    | 0.20      1.29      2.47      0.95      4.94         11.02     | 169853   0        97394    66239    0        | 64     596800         12165785     -       
16     16     3      3/8    | 0.20      1.39      1.98      0.89      4.47         12.19     | 169853   0        149121   14512    0        | 96     596800         12165785     -       
16     16     4      4/8    | 0.19      1.20      1.99      0.85      4.25         12.81     | 169853   0        150713   12920    0        | 128    596800         12165785     -       
16     16     5      5/8    | 0.19      1.17      1.76      0.88      4.02         13.55     | 169853   0        163587   46       0        | 160    596800         12165785     -       
16     16     6      6/8    | 0.20      1.21      1.67      0.90      4.00         13.62     | 169853   0        163633   0        0        | 192    596800         12165785     -       
