# Matrix: NotreDame_www
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001/NotreDame_www.mtx
# Category: 200k-500k-0.001
# Date: 2026-03-08 04:29:51
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 325729
# Cols: 325729
# NNZ(A): 929849
# NNZ(C) estimate: 9582632
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.88      1.94      1.54      0.80      5.19         3.69      | 323114   0        0        78607    15832    | 1      1082612        4115488      -       
8      8      1      1/8    | 0.88      1.97      1.54      0.84      5.24         3.66      | 323114   0        0        78607    15832    | 8      1082612        4115488      -       
8      8      2      2/8    | 1.01      1.78      1.58      0.79      5.17         3.70      | 323114   0        35277    43330    15832    | 16     1082612        4115488      -       
8      8      3      3/8    | 0.88      1.73      1.49      0.78      4.89         3.92      | 323114   0        51537    27070    15832    | 24     1082612        4115488      -       
8      8      4      4/8    | 0.83      1.78      1.58      0.82      5.03         3.81      | 323114   0        61730    16877    15832    | 32     1082612        4115488      -       
8      8      5      5/8    | 0.88      2.04      1.46      0.82      5.22         3.67      | 323114   0        68569    10038    15832    | 40     1082612        4115488      -       
8      8      6      6/8    | 0.91      2.07      1.46      0.81      5.26         3.64      | 323114   0        73791    4816     15832    | 48     1082612        4115488      -       
8      8      7      7/8    | 0.91      2.17      1.45      0.83      5.37         3.57      | 323114   0        78374    233      15832    | 56     1082612        4115488      -       
8      8      8      8/8    | 0.90      1.88      1.51      0.81      5.12         3.74      | 323114   0        94439    0        0        | 64     1082612        4115488      -       
8      16     0      0/8    | 0.90      4.12      1.51      0.87      7.41         2.59      | 323114   0        0        78607    15832    | 1      1586339        4115488      -       
8      16     1      1/8    | 0.88      4.01      1.53      0.87      7.30         2.62      | 323114   0        0        78607    15832    | 8      1586339        4115488      -       
8      16     2      2/8    | 0.86      4.06      1.44      0.88      7.25         2.64      | 323114   0        35277    43330    15832    | 16     1586339        4115488      -       
8      16     3      3/8    | 0.88      4.11      1.32      0.88      7.20         2.66      | 323114   0        51537    27070    15832    | 24     1586339        4115488      -       
8      16     4      4/8    | 0.88      4.04      1.33      0.89      7.16         2.68      | 323114   0        61730    16877    15832    | 32     1586339        4115488      -       
8      16     5      5/8    | 0.88      4.08      1.24      0.88      7.10         2.70      | 323114   0        68569    10038    15832    | 40     1586339        4115488      -       
8      16     6      6/8    | 0.86      4.08      1.24      0.88      7.08         2.71      | 323114   0        73791    4816     15832    | 48     1586339        4115488      -       
8      16     7      7/8    | 0.91      4.23      1.30      0.88      7.33         2.61      | 323114   0        78374    233      15832    | 56     1586339        4115488      -       
8      16     8      8/8    | 1.02      4.18      1.33      0.89      7.44         2.58      | 323114   0        94439    0        0        | 64     1586339        4115488      -       
8      32     0      0/8    | 0.93      6.42      1.90      0.91      10.18        1.88      | 323114   0        0        78607    15832    | 1      2430863        4115488      -       
8      32     1      1/8    | 0.96      6.26      1.90      0.95      10.08        1.90      | 323114   0        0        78607    15832    | 8      2430863        4115488      -       
8      32     2      2/8    | 0.94      6.19      1.57      0.91      9.62         1.99      | 323114   0        35277    43330    15832    | 16     2430863        4115488      -       
8      32     3      3/8    | 0.92      6.20      1.42      0.91      9.47         2.02      | 323114   0        51537    27070    15832    | 24     2430863        4115488      -       
8      32     4      4/8    | 0.95      6.22      1.30      0.92      9.40         2.04      | 323114   0        61730    16877    15832    | 32     2430863        4115488      -       
8      32     5      5/8    | 0.94      6.19      1.25      0.90      9.30         2.06      | 323114   0        68569    10038    15832    | 40     2430863        4115488      -       
8      32     6      6/8    | 0.94      6.14      1.22      0.91      9.22         2.08      | 323114   0        73791    4816     15832    | 48     2430863        4115488      -       
8      32     7      7/8    | 0.96      6.52      1.17      0.91      9.58         2.00      | 323114   0        78374    233      15832    | 56     2430863        4115488      -       
8      32     8      8/8    | 0.97      6.28      1.03      0.94      9.24         2.07      | 323114   0        94439    0        0        | 64     2430863        4115488      -       
16     8      0      0/8    | 0.80      1.68      1.57      0.88      4.95         3.87      | 216952   0        0        24546    1689     | 1      566626         4115488      -       
16     8      1      1/8    | 0.80      1.65      1.54      0.86      4.86         3.94      | 216952   0        0        24546    1689     | 32     566626         4115488      -       
16     8      2      2/8    | 0.81      1.70      1.57      0.87      4.97         3.86      | 216952   0        11814    12732    1689     | 64     566626         4115488      -       
16     8      3      3/8    | 0.82      1.67      1.53      0.89      4.92         3.89      | 216952   0        16617    7929     1689     | 96     566626         4115488      -       
16     8      4      4/8    | 0.83      1.63      1.54      0.87      4.89         3.92      | 216952   0        19471    5075     1689     | 128    566626         4115488      -       
16     8      5      5/8    | 0.79      1.59      1.52      0.84      4.76         4.03      | 216952   0        21302    3244     1689     | 160    566626         4115488      -       
16     8      6      6/8    | 0.81      1.69      1.46      0.92      4.90         3.91      | 216952   0        22856    1690     1689     | 192    566626         4115488      -       
16     8      7      7/8    | 0.78      1.61      1.51      0.86      4.78         4.01      | 216952   0        24002    544      1689     | 224    566626         4115488      -       
16     8      8      8/8    | 0.79      1.68      1.54      0.86      4.89         3.92      | 216952   0        26235    0        0        | 256    566626         4115488      -       
16     16     0      0/8    | 0.82      1.82      1.33      0.90      4.89         3.92      | 216952   0        0        24546    1689     | 1      800798         4115488      -       
16     16     1      1/8    | 0.82      1.71      1.37      0.83      4.74         4.04      | 216952   0        0        24546    1689     | 32     800798         4115488      -       
16     16     2      2/8    | 0.83      1.83      1.11      0.83      4.62         4.15      | 216952   0        11814    12732    1689     | 64     800798         4115488      -       
16     16     3      3/8    | 0.81      1.80      1.10      0.87      4.59         4.17      | 216952   0        16617    7929     1689     | 96     800798         4115488      -       
16     16     4      4/8    | 0.76      1.80      1.21      0.81      4.59         4.17      | 216952   0        19471    5075     1689     | 128    800798         4115488      -       
16     16     5      5/8    | 0.80      1.86      1.21      0.84      4.74         4.05      | 216952   0        21302    3244     1689     | 160    800798         4115488      -       
16     16     6      6/8    | 0.77      1.86      1.13      0.82      4.61         4.16      | 216952   0        22856    1690     1689     | 192    800798         4115488      -       
16     16     7      7/8    | 0.93      1.74      1.13      0.82      4.63         4.14      | 216952   0        24002    544      1689     | 224    800798         4115488      -       
16     16     8      8/8    | 0.83      1.77      1.17      0.84      4.63         4.14      | 216952   0        26235    0        0        | 256    800798         4115488      -       
16     32     0      0/8    | 0.78      3.26      1.77      0.86      6.70         2.86      | 216952   0        0        24546    1689     | 1      1210521        4115488      -       
16     32     1      1/8    | 0.76      3.10      1.79      0.84      6.49         2.95      | 216952   0        0        24546    1689     | 32     1210521        4115488      -       
16     32     2      2/8    | 0.80      3.31      1.42      0.87      6.42         2.99      | 216952   0        11814    12732    1689     | 64     1210521        4115488      -       
16     32     3      3/8    | 0.80      3.17      1.27      0.85      6.10         3.14      | 216952   0        16617    7929     1689     | 96     1210521        4115488      -       
16     32     4      4/8    | 0.80      3.26      1.21      0.92      6.20         3.09      | 216952   0        19471    5075     1689     | 128    1210521        4115488      -       
16     32     5      5/8    | 0.74      3.12      1.19      0.84      5.89         3.25      | 216952   0        21302    3244     1689     | 160    1210521        4115488      -       
16     32     6      6/8    | 0.73      3.02      1.14      0.86      5.77         3.32      | 216952   0        22856    1690     1689     | 192    1210521        4115488      -       
16     32     7      7/8    | 0.78      2.95      1.09      0.87      5.70         3.36      | 216952   0        24002    544      1689     | 224    1210521        4115488      -       
16     32     8      8/8    | 0.75      3.00      0.96      0.86      5.59         3.43      | 216952   0        26235    0        0        | 256    1210521        4115488      -       
32     8      0      0/8    | 0.19      1.23      2.20      0.77      4.41         4.35      | 146116   0        0        6762     56       | 1      335307         4115488      -       
32     8      1      1/8    | 0.21      1.22      2.24      0.81      4.49         4.27      | 146116   0        0        6762     56       | 128    335307         4115488      -       
32     8      2      2/8    | 0.20      1.32      2.09      0.80      4.42         4.34      | 146116   0        3526     3236     56       | 256    335307         4115488      -       
32     8      3      3/8    | 0.25      1.34      1.75      0.84      4.20         4.57      | 146116   0        4817     1945     56       | 384    335307         4115488      -       
32     8      4      4/8    | 0.21      1.22      1.66      0.81      3.91         4.90      | 146116   0        5712     1050     56       | 512    335307         4115488      -       
32     8      5      5/8    | 0.21      1.21      1.61      0.80      3.84         4.99      | 146116   0        6366     396      56       | 640    335307         4115488      -       
32     8      6      6/8    | 0.21      1.31      1.58      0.82      3.94         4.87      | 146116   0        6589     173      56       | 768    335307         4115488      -       
32     8      7      7/8    | 0.21      1.29      1.58      0.80      3.90         4.91      | 146116   0        6721     41       56       | 896    335307         4115488      -       
32     8      8      8/8    | 0.21      1.21      1.61      0.82      3.87         4.95      | 146116   0        6818     0        0        | 1024   335307         4115488      -       
32     16     0      0/8    | 0.20      1.40      2.11      0.93      4.66         4.12      | 146116   0        0        6762     56       | 1      462198         4115488      -       
32     16     1      1/8    | 0.19      1.45      2.15      0.92      4.72         4.06      | 146116   0        0        6762     56       | 128    462198         4115488      -       
32     16     2      2/8    | 0.19      1.44      1.80      0.91      4.35         4.41      | 146116   0        3526     3236     56       | 256    462198         4115488      -       
32     16     3      3/8    | 0.20      1.47      1.71      0.93      4.32         4.43      | 146116   0        4817     1945     56       | 384    462198         4115488      -       
32     16     4      4/8    | 0.19      1.47      1.62      0.92      4.21         4.55      | 146116   0        5712     1050     56       | 512    462198         4115488      -       
32     16     5      5/8    | 0.19      1.44      1.30      0.90      3.84         4.99      | 146116   0        6366     396      56       | 640    462198         4115488      -       
