# Matrix: Raj1
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001/Raj1.mtx
# Category: 200k-500k-0.001
# Date: 2026-03-08 04:45:28
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 263743
# Cols: 263743
# NNZ(A): 1302464
# NNZ(C) estimate: 2062412525
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 105.26    116.03    96.18     23.15     340.64       12.11     | 4738367  0        0        15832071 24558716 | 1      46575910       2059136653   -       
8      8      1      1/8    | 105.21    123.33    95.95     23.20     347.72       11.86     | 4738367  0        0        15832071 24558716 | 8      46575910       2059136653   -       
8      8      2      2/8    | 105.37    122.08    94.49     23.25     345.20       11.95     | 4738367  0        4178961  11653110 24558716 | 16     46575910       2059136653   -       
8      8      3      3/8    | 104.91    122.38    92.72     23.28     343.32       12.01     | 4738367  0        8126821  7705250  24558716 | 24     46575910       2059136653   -       
8      8      4      4/8    | 104.85    122.23    92.65     23.13     342.88       12.03     | 4738367  0        11425582 4406489  24558716 | 32     46575910       2059136653   -       
8      8      5      5/8    | 104.82    121.66    91.00     23.28     340.78       12.10     | 4738367  0        13288153 2543918  24558716 | 40     46575910       2059136653   -       
8      8      6      6/8    | 105.28    122.50    90.88     23.25     341.94       12.06     | 4738367  0        15602532 229539   24558716 | 48     46575910       2059136653   -       
8      8      7      7/8    | 105.15    122.66    90.50     23.27     341.61       12.07     | 4738367  0        15832035 36       24558716 | 56     46575910       2059136653   -       
8      8      8      8/8    | 105.08    121.92    98.24     23.20     348.46       11.84     | 4738367  0        40390787 0        0        | 64     46575910       2059136653   -       
8      16     0      0/8    | 77.81     120.54    112.67    22.95     333.98       12.35     | 4738367  0        0        15832071 24558716 | 1      47500944       2059136653   -       
8      16     1      1/8    | 77.83     119.46    112.93    22.91     333.15       12.38     | 4738367  0        0        15832071 24558716 | 8      47500944       2059136653   -       
8      16     2      2/8    | 77.76     119.07    108.82    22.84     328.51       12.56     | 4738367  0        4178961  11653110 24558716 | 16     47500944       2059136653   -       
