# Matrix: al2010
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001/al2010.mtx
# Category: 200k-500k-0.001
# Date: 2026-03-08 01:06:32
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 252266
# Cols: 252266
# NNZ(A): 1230482
# NNZ(C) estimate: 8416012
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.75      32.39     6.84      1.34      43.35        0.39      | 2996841  0        0        38235    0        | 1      12563086       5687196      -       
8      8      1      1/8    | 2.72      32.80     6.83      1.35      43.72        0.38      | 2996841  0        0        38235    0        | 8      12563086       5687196      -       
8      8      2      2/8    | 2.71      32.61     6.38      1.35      43.07        0.39      | 2996841  0        35996    2239     0        | 16     12563086       5687196      -       
8      8      3      3/8    | 2.72      32.94     6.37      1.35      43.40        0.39      | 2996841  0        38060    175      0        | 24     12563086       5687196      -       
8      8      4      4/8    | 2.71      31.93     6.42      1.36      42.45        0.40      | 2996841  0        38217    18       0        | 32     12563086       5687196      -       
8      8      5      5/8    | 2.70      31.72     6.37      1.35      42.15        0.40      | 2996841  0        38233    2        0        | 40     12563086       5687196      -       
8      8      6      6/8    | 2.87      33.00     6.37      1.37      43.64        0.39      | 2996841  0        38235    0        0        | 48     12563086       5687196      -       
8      8      7      7/8    | 2.71      32.78     6.37      1.35      43.23        0.39      | 2996841  0        38235    0        0        | 56     12563086       5687196      -       
8      8      8      8/8    | 2.71      33.04     6.37      1.38      43.53        0.39      | 2996841  0        38235    0        0        | 64     12563086       5687196      -       
8      16     0      0/8    | 4.50      47.16     8.63      1.62      61.92        0.27      | 2996841  0        0        38235    0        | 1      18614402       5687196      -       
8      16     1      1/8    | 4.49      46.97     8.63      1.65      61.77        0.27      | 2996841  0        0        38235    0        | 8      18614402       5687196      -       
8      16     2      2/8    | 4.50      46.88     7.92      1.60      60.92        0.28      | 2996841  0        35996    2239     0        | 16     18614402       5687196      -       
8      16     3      3/8    | 4.52      48.76     7.90      1.66      62.86        0.27      | 2996841  0        38060    175      0        | 24     18614402       5687196      -       
8      16     4      4/8    | 4.49      48.40     7.95      1.62      62.48        0.27      | 2996841  0        38217    18       0        | 32     18614402       5687196      -       
8      16     5      5/8    | 4.50      48.81     7.90      1.59      62.82        0.27      | 2996841  0        38233    2        0        | 40     18614402       5687196      -       
8      16     6      6/8    | 4.47      48.47     7.89      1.61      62.46        0.27      | 2996841  0        38235    0        0        | 48     18614402       5687196      -       
8      16     7      7/8    | 4.53      48.77     7.90      1.60      62.83        0.27      | 2996841  0        38235    0        0        | 56     18614402       5687196      -       
8      16     8      8/8    | 4.47      48.27     7.90      1.58      62.25        0.27      | 2996841  0        38235    0        0        | 64     18614402       5687196      -       
8      32     0      0/8    | 7.62      67.64     10.66     1.88      87.83        0.19      | 2996841  0        0        38235    0        | 1      25781130       5687196      -       
8      32     1      1/8    | 7.58      67.74     10.66     1.88      87.88        0.19      | 2996841  0        0        38235    0        | 8      25781130       5687196      -       
8      32     2      2/8    | 7.61      65.53     8.98      1.91      84.05        0.20      | 2996841  0        35996    2239     0        | 16     25781130       5687196      -       
8      32     3      3/8    | 8.52      65.15     8.92      1.90      84.51        0.20      | 2996841  0        38060    175      0        | 24     25781130       5687196      -       
8      32     4      4/8    | 7.57      64.87     8.89      1.89      83.24        0.20      | 2996841  0        38217    18       0        | 32     25781130       5687196      -       
8      32     5      5/8    | 8.20      64.74     8.78      1.87      83.60        0.20      | 2996841  0        38233    2        0        | 40     25781130       5687196      -       
8      32     6      6/8    | 7.58      65.09     8.78      1.89      83.36        0.20      | 2996841  0        38235    0        0        | 48     25781130       5687196      -       
8      32     7      7/8    | 7.64      68.35     8.79      1.94      86.74        0.19      | 2996841  0        38235    0        0        | 56     25781130       5687196      -       
8      32     8      8/8    | 7.60      67.29     8.77      1.90      85.58        0.20      | 2996841  0        38235    0        0        | 64     25781130       5687196      -       
16     8      0      0/8    | 0.68      15.26     7.55      1.23      24.74        0.68      | 2089473  0        0        1722     0        | 1      5894407        5687196      -       
16     8      1      1/8    | 0.70      15.42     7.55      1.22      24.90        0.68      | 2089473  0        0        1722     0        | 32     5894407        5687196      -       
16     8      2      2/8    | 0.71      15.48     7.53      1.29      25.03        0.67      | 2089473  0        1713     9        0        | 64     5894407        5687196      -       
16     8      3      3/8    | 0.69      15.32     7.53      1.22      24.78        0.68      | 2089473  0        1722     0        0        | 96     5894407        5687196      -       
16     8      4      4/8    | 0.69      15.33     7.53      1.25      24.81        0.68      | 2089473  0        1722     0        0        | 128    5894407        5687196      -       
16     8      5      5/8    | 0.67      15.36     7.54      1.22      24.80        0.68      | 2089473  0        1722     0        0        | 160    5894407        5687196      -       
16     8      6      6/8    | 0.69      15.29     7.54      1.28      24.81        0.68      | 2089473  0        1722     0        0        | 192    5894407        5687196      -       
16     8      7      7/8    | 0.70      15.53     7.53      1.29      25.08        0.67      | 2089473  0        1722     0        0        | 224    5894407        5687196      -       
16     8      8      8/8    | 0.69      15.39     7.52      1.23      24.86        0.68      | 2089473  0        1722     0        0        | 256    5894407        5687196      -       
16     16     0      0/8    | 0.88      19.68     8.60      1.36      30.53        0.55      | 2089473  0        0        1722     0        | 1      7590823        5687196      -       
16     16     1      1/8    | 0.87      19.65     8.60      1.32      30.45        0.55      | 2089473  0        0        1722     0        | 32     7590823        5687196      -       
16     16     2      2/8    | 0.88      19.71     8.57      1.38      30.55        0.55      | 2089473  0        1713     9        0        | 64     7590823        5687196      -       
16     16     3      3/8    | 0.86      19.86     8.49      1.42      30.65        0.55      | 2089473  0        1722     0        0        | 96     7590823        5687196      -       
16     16     4      4/8    | 0.85      19.59     8.48      1.33      30.27        0.56      | 2089473  0        1722     0        0        | 128    7590823        5687196      -       
16     16     5      5/8    | 0.87      19.79     8.50      1.34      30.52        0.55      | 2089473  0        1722     0        0        | 160    7590823        5687196      -       
16     16     6      6/8    | 0.87      19.78     8.48      1.34      30.50        0.55      | 2089473  0        1722     0        0        | 192    7590823        5687196      -       
16     16     7      7/8    | 0.86      19.20     8.49      1.39      29.96        0.56      | 2089473  0        1722     0        0        | 224    7590823        5687196      -       
16     16     8      8/8    | 0.86      19.24     8.49      1.38      29.99        0.56      | 2089473  0        1722     0        0        | 256    7590823        5687196      -       
16     32     0      0/8    | 1.09      25.80     10.89     1.59      39.39        0.43      | 2089473  0        0        1722     0        | 1      9433749        5687196      -       
16     32     1      1/8    | 1.10      25.46     10.88     1.57      39.03        0.43      | 2089473  0        0        1722     0        | 32     9433749        5687196      -       
16     32     2      2/8    | 1.11      25.49     10.73     1.56      38.92        0.43      | 2089473  0        1713     9        0        | 64     9433749        5687196      -       
16     32     3      3/8    | 1.10      25.41     10.38     1.59      38.50        0.44      | 2089473  0        1722     0        0        | 96     9433749        5687196      -       
16     32     4      4/8    | 1.10      25.19     10.38     1.62      38.31        0.44      | 2089473  0        1722     0        0        | 128    9433749        5687196      -       
16     32     5      5/8    | 1.08      25.27     10.37     1.58      38.33        0.44      | 2089473  0        1722     0        0        | 160    9433749        5687196      -       
16     32     6      6/8    | 1.07      25.21     10.39     1.58      38.27        0.44      | 2089473  0        1722     0        0        | 192    9433749        5687196      -       
16     32     7      7/8    | 1.11      25.75     10.38     1.71      38.98        0.43      | 2089473  0        1722     0        0        | 224    9433749        5687196      -       
16     32     8      8/8    | 1.08      25.53     10.37     1.58      38.58        0.44      | 2089473  0        1722     0        0        | 256    9433749        5687196      -       
32     8      0      0/8    | 0.54      11.27     10.88     1.37      24.08        0.70      | 1183370  0        0        8        0        | 1      2337690        5687196      -       
32     8      1      1/8    | 0.53      11.23     10.88     1.31      23.97        0.70      | 1183370  0        0        8        0        | 128    2337690        5687196      -       
32     8      2      2/8    | 0.53      11.26     10.88     1.29      23.98        0.70      | 1183370  0        8        0        0        | 256    2337690        5687196      -       
32     8      3      3/8    | 0.52      11.68     10.87     1.28      24.37        0.69      | 1183370  0        8        0        0        | 384    2337690        5687196      -       
32     8      4      4/8    | 0.57      11.29     10.90     1.34      24.12        0.70      | 1183370  0        8        0        0        | 512    2337690        5687196      -       
32     8      5      5/8    | 0.51      11.29     10.87     1.25      23.94        0.70      | 1183370  0        8        0        0        | 640    2337690        5687196      -       
32     8      6      6/8    | 0.51      11.27     10.85     1.27      23.92        0.70      | 1183370  0        8        0        0        | 768    2337690        5687196      -       
32     8      7      7/8    | 0.67      11.23     10.88     1.27      24.06        0.70      | 1183370  0        8        0        0        | 896    2337690        5687196      -       
32     8      8      8/8    | 0.53      11.25     10.86     1.32      23.97        0.70      | 1183370  0        8        0        0        | 1024   2337690        5687196      -       
32     16     0      0/8    | 0.59      14.73     14.85     1.35      31.53        0.53      | 1183370  0        0        8        0        | 1      2781886        5687196      -       
32     16     1      1/8    | 0.60      14.78     14.84     1.38      31.61        0.53      | 1183370  0        0        8        0        | 128    2781886        5687196      -       
32     16     2      2/8    | 0.59      14.84     14.83     1.36      31.64        0.53      | 1183370  0        8        0        0        | 256    2781886        5687196      -       
32     16     3      3/8    | 0.59      14.70     14.80     1.36      31.47        0.53      | 1183370  0        8        0        0        | 384    2781886        5687196      -       
32     16     4      4/8    | 0.58      14.79     14.82     1.37      31.57        0.53      | 1183370  0        8        0        0        | 512    2781886        5687196      -       
32     16     5      5/8    | 0.58      14.77     14.80     1.35      31.52        0.53      | 1183370  0        8        0        0        | 640    2781886        5687196      -       
32     16     6      6/8    | 0.58      14.74     14.78     1.34      31.47        0.53      | 1183370  0        8        0        0        | 768    2781886        5687196      -       
32     16     7      7/8    | 0.59      14.69     14.79     1.35      31.44        0.54      | 1183370  0        8        0        0        | 896    2781886        5687196      -       
32     16     8      8/8    | 0.59      14.73     14.80     1.35      31.48        0.53      | 1183370  0        8        0        0        | 1024   2781886        5687196      -       
32     32     0      0/8    | 0.73      18.06     19.07     1.42      39.30        0.43      | 1183370  0        0        8        0        | 1      3262424        5687196      -       
32     32     1      1/8    | 0.72      18.08     19.09     1.45      39.36        0.43      | 1183370  0        0        8        0        | 128    3262424        5687196      -       
32     32     2      2/8    | 0.75      18.10     18.87     1.42      39.16        0.43      | 1183370  0        8        0        0        | 256    3262424        5687196      -       
32     32     3      3/8    | 0.74      18.11     18.88     1.44      39.18        0.43      | 1183370  0        8        0        0        | 384    3262424        5687196      -       
32     32     4      4/8    | 0.72      18.11     18.84     1.40      39.09        0.43      | 1183370  0        8        0        0        | 512    3262424        5687196      -       
32     32     5      5/8    | 0.71      18.14     18.87     1.46      39.20        0.43      | 1183370  0        8        0        0        | 640    3262424        5687196      -       
32     32     6      6/8    | 0.75      18.09     18.86     1.42      39.13        0.43      | 1183370  0        8        0        0        | 768    3262424        5687196      -       
32     32     7      7/8    | 0.72      17.99     18.81     1.44      38.97        0.43      | 1183370  0        8        0        0        | 896    3262424        5687196      -       
32     32     8      8/8    | 0.72      17.97     18.84     1.42      38.96        0.43      | 1183370  0        8        0        0        | 1024   3262424        5687196      -       
