# Matrix: az2010
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001/az2010.mtx
# Category: 200k-500k-0.001
# Date: 2026-03-08 01:27:52
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 241666
# Cols: 241666
# NNZ(A): 1196094
# NNZ(C) estimate: 9118500
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 3.76      38.71     7.19      1.49      51.17        0.36      | 3349950  0        0        47345    0        | 1      15370949       6304666      -       
8      8      1      1/8    | 3.61      38.70     7.19      1.47      50.99        0.36      | 3349950  0        0        47345    0        | 8      15370949       6304666      -       
8      8      2      2/8    | 3.69      40.58     6.70      1.51      52.51        0.35      | 3349950  0        43131    4214     0        | 16     15370949       6304666      -       
8      8      3      3/8    | 3.65      38.43     6.67      1.47      50.25        0.36      | 3349950  0        46827    518      0        | 24     15370949       6304666      -       
8      8      4      4/8    | 3.60      38.73     6.74      1.47      50.55        0.36      | 3349950  0        47267    78       0        | 32     15370949       6304666      -       
8      8      5      5/8    | 3.61      38.69     6.67      1.46      50.45        0.36      | 3349950  0        47329    16       0        | 40     15370949       6304666      -       
8      8      6      6/8    | 3.67      40.12     6.67      1.50      51.97        0.35      | 3349950  0        47341    4        0        | 48     15370949       6304666      -       
8      8      7      7/8    | 3.62      40.40     6.67      1.48      52.18        0.35      | 3349950  0        47345    0        0        | 56     15370949       6304666      -       
8      8      8      8/8    | 3.62      39.95     6.65      1.48      51.72        0.35      | 3349950  0        47345    0        0        | 64     15370949       6304666      -       
8      16     0      0/8    | 6.86      63.34     8.97      1.89      81.07        0.22      | 3349950  0        0        47345    0        | 1      24992675       6304666      -       
8      16     1      1/8    | 6.79      62.65     8.97      1.82      80.24        0.23      | 3349950  0        0        47345    0        | 8      24992675       6304666      -       
8      16     2      2/8    | 7.21      62.58     8.23      1.87      79.91        0.23      | 3349950  0        43131    4214     0        | 16     24992675       6304666      -       
8      16     3      3/8    | 6.76      63.07     8.18      1.86      79.88        0.23      | 3349950  0        46827    518      0        | 24     24992675       6304666      -       
8      16     4      4/8    | 6.85      62.93     8.24      1.85      79.89        0.23      | 3349950  0        47267    78       0        | 32     24992675       6304666      -       
8      16     5      5/8    | 6.78      63.00     8.16      1.86      79.82        0.23      | 3349950  0        47329    16       0        | 40     24992675       6304666      -       
8      16     6      6/8    | 7.30      63.05     8.17      1.84      80.39        0.23      | 3349950  0        47341    4        0        | 48     24992675       6304666      -       
8      16     7      7/8    | 6.76      63.32     8.16      1.88      80.14        0.23      | 3349950  0        47345    0        0        | 56     24992675       6304666      -       
8      16     8      8/8    | 6.84      63.00     8.17      1.85      79.87        0.23      | 3349950  0        47345    0        0        | 64     24992675       6304666      -       
8      32     0      0/8    | 14.98     102.17    10.95     2.44      130.56       0.14      | 3349950  0        0        47345    0        | 1      40119375       6304666      -       
8      32     1      1/8    | 15.07     102.14    10.97     2.44      130.63       0.14      | 3349950  0        0        47345    0        | 8      40119375       6304666      -       
8      32     2      2/8    | 15.11     101.30    9.28      2.45      128.15       0.14      | 3349950  0        43131    4214     0        | 16     40119375       6304666      -       
8      32     3      3/8    | 15.00     102.05    9.17      2.40      128.65       0.14      | 3349950  0        46827    518      0        | 24     40119375       6304666      -       
8      32     4      4/8    | 15.09     106.18    9.16      2.45      132.90       0.14      | 3349950  0        47267    78       0        | 32     40119375       6304666      -       
8      32     5      5/8    | 15.11     105.53    9.10      2.39      132.16       0.14      | 3349950  0        47329    16       0        | 40     40119375       6304666      -       
8      32     6      6/8    | 15.04     105.33    9.07      2.43      131.89       0.14      | 3349950  0        47341    4        0        | 48     40119375       6304666      -       
8      32     7      7/8    | 15.03     105.01    9.04      2.40      131.50       0.14      | 3349950  0        47345    0        0        | 56     40119375       6304666      -       
8      32     8      8/8    | 15.07     105.71    9.03      2.39      132.23       0.14      | 3349950  0        47345    0        0        | 64     40119375       6304666      -       
16     8      0      0/8    | 0.80      22.60     8.23      1.45      33.09        0.55      | 2558113  0        0        2400     0        | 1      8663953        6304666      -       
16     8      1      1/8    | 0.78      22.52     8.22      1.38      32.92        0.55      | 2558113  0        0        2400     0        | 32     8663953        6304666      -       
16     8      2      2/8    | 0.81      22.47     8.20      1.42      32.91        0.55      | 2558113  0        2384     16       0        | 64     8663953        6304666      -       
16     8      3      3/8    | 0.80      22.75     8.19      1.43      33.19        0.55      | 2558113  0        2400     0        0        | 96     8663953        6304666      -       
16     8      4      4/8    | 0.79      22.50     8.19      1.42      32.91        0.55      | 2558113  0        2400     0        0        | 128    8663953        6304666      -       
16     8      5      5/8    | 0.79      21.99     8.19      1.49      32.48        0.56      | 2558113  0        2400     0        0        | 160    8663953        6304666      -       
16     8      6      6/8    | 0.80      21.71     8.17      1.43      32.12        0.57      | 2558113  0        2400     0        0        | 192    8663953        6304666      -       
16     8      7      7/8    | 0.79      22.69     8.19      1.47      33.16        0.55      | 2558113  0        2400     0        0        | 224    8663953        6304666      -       
