# Matrix: dblp-2010
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001/dblp-2010.mtx
# Category: 200k-500k-0.001
# Date: 2026-03-08 03:11:00
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 326186
# Cols: 326186
# NNZ(A): 1615400
# NNZ(C) estimate: 27188862
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 4.51      16.06     6.99      1.16      28.74        1.89      | 2904042  0        0        366945   11425    | 1      6217038        14650843     -       
8      8      1      1/8    | 4.28      16.20     6.96      1.16      28.62        1.90      | 2904042  0        0        366945   11425    | 8      6217038        14650843     -       
8      8      2      2/8    | 4.43      16.21     6.28      1.13      28.07        1.94      | 2904042  0        214644   152301   11425    | 16     6217038        14650843     -       
8      8      3      3/8    | 4.43      16.19     5.99      1.15      27.77        1.96      | 2904042  0        279295   87650    11425    | 24     6217038        14650843     -       
8      8      4      4/8    | 4.42      16.18     6.09      1.14      27.84        1.95      | 2904042  0        313842   53103    11425    | 32     6217038        14650843     -       
8      8      5      5/8    | 4.66      16.12     5.83      1.13      27.76        1.96      | 2904042  0        336334   30611    11425    | 40     6217038        14650843     -       
8      8      6      6/8    | 4.43      16.34     5.77      1.17      27.73        1.96      | 2904042  0        349912   17033    11425    | 48     6217038        14650843     -       
8      8      7      7/8    | 4.45      15.64     5.71      1.18      27.00        2.01      | 2904042  0        361800   5145     11425    | 56     6217038        14650843     -       
8      8      8      8/8    | 4.47      16.19     5.55      1.17      27.40        1.98      | 2904042  0        378370   0        0        | 64     6217038        14650843     -       
8      16     0      0/8    | 4.82      22.02     8.04      1.29      36.18        1.50      | 2904042  0        0        366945   11425    | 1      8667498        14650843     -       
8      16     1      1/8    | 4.59      21.86     8.04      1.30      35.81        1.52      | 2904042  0        0        366945   11425    | 8      8667498        14650843     -       
8      16     2      2/8    | 4.57      21.88     7.02      1.29      34.77        1.56      | 2904042  0        214644   152301   11425    | 16     8667498        14650843     -       
8      16     3      3/8    | 5.11      21.81     6.72      1.27      34.93        1.56      | 2904042  0        279295   87650    11425    | 24     8667498        14650843     -       
8      16     4      4/8    | 5.16      21.68     6.69      1.29      34.84        1.56      | 2904042  0        313842   53103    11425    | 32     8667498        14650843     -       
