# Matrix: delaunay_n18
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001/delaunay_n18.mtx
# Category: 200k-500k-0.001
# Date: 2026-03-08 03:12:20
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 262144
# Cols: 262144
# NNZ(A): 1572792
# NNZ(C) estimate: 9907810
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.90      4.55      2.94      0.91      9.31         2.13      | 430438   0        0        203274   24       | 1      1869874        5430294      -       
8      8      1      1/8    | 1.10      4.72      2.94      0.93      9.71         2.04      | 430438   0        0        203274   24       | 8      1869874        5430294      -       
8      8      2      2/8    | 0.92      4.57      2.48      0.93      8.92         2.22      | 430438   0        103109   100165   24       | 16     1869874        5430294      -       
8      8      3      3/8    | 0.89      4.53      2.19      0.93      8.55         2.32      | 430438   0        159424   43850    24       | 24     1869874        5430294      -       
8      8      4      4/8    | 0.87      4.51      2.21      0.91      8.51         2.33      | 430438   0        178273   25001    24       | 32     1869874        5430294      -       
8      8      5      5/8    | 0.87      4.54      2.02      0.90      8.35         2.37      | 430438   0        186701   16573    24       | 40     1869874        5430294      -       
8      8      6      6/8    | 0.89      4.53      1.94      0.87      8.25         2.40      | 430438   0        197165   6109     24       | 48     1869874        5430294      -       
8      8      7      7/8    | 1.03      4.55      1.89      0.89      8.38         2.36      | 430438   0        202610   664      24       | 56     1869874        5430294      -       
8      8      8      8/8    | 0.87      4.55      1.87      0.92      8.24         2.41      | 430438   0        203298   0        0        | 64     1869874        5430294      -       
8      16     0      0/8    | 0.88      7.39      3.34      0.94      12.56        1.58      | 430438   0        0        203274   24       | 1      2904664        5430294      -       
8      16     1      1/8    | 0.89      7.36      3.33      0.95      12.55        1.58      | 430438   0        0        203274   24       | 8      2904664        5430294      -       
8      16     2      2/8    | 0.89      7.45      2.69      0.97      12.01        1.65      | 430438   0        103109   100165   24       | 16     2904664        5430294      -       
8      16     3      3/8    | 0.95      7.65      2.29      0.97      11.88        1.67      | 430438   0        159424   43850    24       | 24     2904664        5430294      -       
8      16     4      4/8    | 0.89      7.58      2.25      0.94      11.68        1.70      | 430438   0        178273   25001    24       | 32     2904664        5430294      -       
8      16     5      5/8    | 0.92      7.42      2.06      0.97      11.38        1.74      | 430438   0        186701   16573    24       | 40     2904664        5430294      -       
