# Matrix: ia2010
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001/ia2010.mtx
# Category: 200k-500k-0.001
# Date: 2026-03-08 03:41:45
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 216007
# Cols: 216007
# NNZ(A): 1021170
# NNZ(C) estimate: 5904878
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.39      15.45     4.34      1.08      22.27        0.53      | 1545958  0        0        49393    0        | 1      6116313        3876491      -       
8      8      1      1/8    | 1.41      15.40     4.34      1.10      22.27        0.53      | 1545958  0        0        49393    0        | 8      6116313        3876491      -       
8      8      2      2/8    | 1.43      15.31     3.77      1.08      21.61        0.55      | 1545958  0        45434    3959     0        | 16     6116313        3876491      -       
8      8      3      3/8    | 1.46      16.19     3.74      1.07      22.48        0.53      | 1545958  0        49109    284      0        | 24     6116313        3876491      -       
8      8      4      4/8    | 1.42      15.42     3.80      1.09      21.75        0.54      | 1545958  0        49372    21       0        | 32     6116313        3876491      -       
8      8      5      5/8    | 1.42      15.34     3.75      1.09      21.61        0.55      | 1545958  0        49391    2        0        | 40     6116313        3876491      -       
8      8      6      6/8    | 1.45      15.92     3.74      1.05      22.19        0.53      | 1545958  0        49391    2        0        | 48     6116313        3876491      -       
8      8      7      7/8    | 1.44      15.91     3.74      1.08      22.19        0.53      | 1545958  0        49393    0        0        | 56     6116313        3876491      -       
8      8      8      8/8    | 1.45      15.41     3.74      1.08      21.70        0.54      | 1545958  0        49393    0        0        | 64     6116313        3876491      -       
8      16     0      0/8    | 1.80      21.46     5.41      1.18      29.86        0.40      | 1545958  0        0        49393    0        | 1      8537489        3876491      -       
