# Matrix: language
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001/language.mtx
# Category: 200k-500k-0.001
# Date: 2026-03-08 04:09:48
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 399130
# Cols: 399130
# NNZ(A): 1216334
# NNZ(C) estimate: 5516759
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 28.04     4.09      1.63      0.93      34.72        0.32      | 1256446  0        0        46874    0        | 1      2539083        4613796      -       
8      8      1      1/8    | 29.20     9.22      1.66      1.00      41.10        0.27      | 1256446  0        0        46874    0        | 8      2539083        4613796      -       
8      8      2      2/8    | 28.14     4.14      1.55      0.93      34.78        0.32      | 1256446  0        42791    4083     0        | 16     2539083        4613796      -       
8      8      3      3/8    | 27.98     4.51      1.55      0.91      34.97        0.32      | 1256446  0        46376    498      0        | 24     2539083        4613796      -       
8      8      4      4/8    | 28.17     4.39      1.56      0.91      35.04        0.31      | 1256446  0        46800    74       0        | 32     2539083        4613796      -       
8      8      5      5/8    | 28.17     9.52      1.56      1.01      40.29        0.27      | 1256446  0        46874    0        0        | 40     2539083        4613796      -       
8      8      6      6/8    | 28.06     3.81      1.53      0.92      34.34        0.32      | 1256446  0        46874    0        0        | 48     2539083        4613796      -       
8      8      7      7/8    | 28.98     3.97      1.53      0.94      35.43        0.31      | 1256446  0        46874    0        0        | 56     2539083        4613796      -       
8      8      8      8/8    | 28.24     3.85      1.52      0.93      34.56        0.32      | 1256446  0        46874    0        0        | 64     2539083        4613796      -       
8      16     0      0/8    | 36.54     10.69     1.91      1.06      50.21        0.22      | 1256441  0        0        46890    0        | 1      4221225        4614189      -       
8      16     1      1/8    | 36.63     10.66     1.91      1.09      50.31        0.22      | 1256441  0        0        46890    0        | 8      4221225        4614189      -       
8      16     2      2/8    | 36.66     10.65     1.80      1.08      50.21        0.22      | 1256441  0        42777    4113     0        | 16     4221225        4614189      -       
8      16     3      3/8    | 36.54     11.05     1.79      1.07      50.47        0.22      | 1256441  0        46392    498      0        | 24     4221225        4614189      -       
8      16     4      4/8    | 36.54     11.00     1.80      1.03      50.39        0.22      | 1256441  0        46816    74       0        | 32     4221225        4614189      -       
8      16     5      5/8    | 36.30     11.09     1.76      1.08      50.24        0.22      | 1256441  0        46890    0        0        | 40     4221225        4614189      -       
8      16     6      6/8    | 36.47     11.19     1.76      1.11      50.56        0.22      | 1256441  0        46890    0        0        | 48     4221225        4614189      -       
8      16     7      7/8    | 36.51     11.19     1.76      1.07      50.55        0.22      | 1256441  0        46890    0        0        | 56     4221225        4614189      -       
8      16     8      8/8    | 36.08     11.11     1.76      1.04      50.01        0.22      | 1256441  0        46890    0        0        | 64     4221225        4614189      -       
8      32     0      0/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     1      1/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     2      2/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     3      3/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     4      4/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     5      5/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     6      6/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     7      7/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     8      8/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
16     8      0      0/8    | 16.67     4.55      1.71      1.00      23.96        0.46      | 955822   0        0        4364     0        | 1      1747517        4613796      -       
16     8      1      1/8    | 15.75     4.50      1.69      0.94      22.90        0.48      | 955822   0        0        4364     0        | 32     1747517        4613796      -       
16     8      2      2/8    | 15.97     4.45      1.69      0.95      23.06        0.48      | 955822   0        4111     253      0        | 64     1747517        4613796      -       
16     8      3      3/8    | 16.96     4.61      1.68      1.00      24.27        0.45      | 955822   0        4357     7        0        | 96     1747517        4613796      -       
16     8      4      4/8    | 15.98     4.54      1.66      0.98      23.18        0.48      | 955822   0        4364     0        0        | 128    1747517        4613796      -       
16     8      5      5/8    | 16.19     4.47      1.66      0.94      23.28        0.47      | 955822   0        4364     0        0        | 160    1747517        4613796      -       
16     8      6      6/8    | 15.93     4.79      1.66      0.96      23.35        0.47      | 955822   0        4364     0        0        | 192    1747517        4613796      -       
16     8      7      7/8    | 15.95     4.70      1.65      0.94      23.25        0.47      | 955822   0        4364     0        0        | 224    1747517        4613796      -       
16     8      8      8/8    | 15.99     4.76      1.66      0.95      23.37        0.47      | 955822   0        4364     0        0        | 256    1747517        4613796      -       
16     16     0      0/8    | 16.17     5.53      1.49      1.05      24.26        0.45      | 955814   0        0        4373     0        | 1      2517729        4613957      -       
16     16     1      1/8    | 16.08     5.59      1.49      1.05      24.24        0.46      | 955814   0        0        4373     0        | 32     2517729        4613957      -       
16     16     2      2/8    | 16.14     5.58      1.50      0.96      24.20        0.46      | 955814   0        4120     253      0        | 64     2517729        4613957      -       
16     16     3      3/8    | 16.14     5.37      1.44      0.96      23.93        0.46      | 955814   0        4366     7        0        | 96     2517729        4613957      -       
16     16     4      4/8    | 16.36     5.16      1.44      0.97      23.94        0.46      | 955814   0        4373     0        0        | 128    2517729        4613957      -       
16     16     5      5/8    | 16.11     5.15      1.44      0.99      23.71        0.47      | 955814   0        4373     0        0        | 160    2517729        4613957      -       
16     16     6      6/8    | 16.03     5.21      1.44      0.96      23.66        0.47      | 955814   0        4373     0        0        | 192    2517729        4613957      -       
16     16     7      7/8    | 16.30     5.39      1.44      0.99      24.15        0.46      | 955814   0        4373     0        0        | 224    2517729        4613957      -       
16     16     8      8/8    | 16.03     5.17      1.44      0.98      23.64        0.47      | 955814   0        4373     0        0        | 256    2517729        4613957      -       
16     32     0      0/8    | 17.43     10.88     1.67      1.20      31.19        0.35      | 955641   0        0        4733     0        | 1      4340638        4629578      -       
16     32     1      1/8    | 17.20     11.34     1.67      1.18      31.40        0.35      | 955641   0        0        4733     0        | 32     4340638        4629578      -       
16     32     2      2/8    | 17.17     10.99     1.68      1.19      31.04        0.36      | 955641   0        4480     253      0        | 64     4340638        4629578      -       
16     32     3      3/8    | 17.25     11.78     1.53      1.18      31.75        0.35      | 955641   0        4726     7        0        | 96     4340638        4629578      -       
16     32     4      4/8    | 17.48     11.69     1.52      1.17      31.87        0.35      | 955641   0        4733     0        0        | 128    4340638        4629578      -       
16     32     5      5/8    | 17.34     11.85     1.52      1.17      31.90        0.35      | 955641   0        4733     0        0        | 160    4340638        4629578      -       
16     32     6      6/8    | 17.41     11.32     1.51      1.16      31.42        0.35      | 955641   0        4733     0        0        | 192    4340638        4629578      -       
16     32     7      7/8    | 17.07     11.78     1.52      1.17      31.55        0.35      | 955641   0        4733     0        0        | 224    4340638        4629578      -       
16     32     8      8/8    | 17.46     11.68     1.52      1.17      31.85        0.35      | 955641   0        4733     0        0        | 256    4340638        4629578      -       
32     8      0      0/8    | 6.64      3.48      2.15      1.11      13.40        0.82      | 748395   0        0        449      0        | 1      1301970        4613796      -       
32     8      1      1/8    | 6.64      3.42      2.16      1.14      13.37        0.83      | 748395   0        0        449      0        | 128    1301970        4613796      -       
32     8      2      2/8    | 6.70      3.43      2.03      1.26      13.43        0.82      | 748395   0        445      4        0        | 256    1301970        4613796      -       
32     8      3      3/8    | 6.69      3.46      2.02      1.24      13.44        0.82      | 748395   0        449      0        0        | 384    1301970        4613796      -       
32     8      4      4/8    | 6.69      3.46      2.02      1.28      13.46        0.82      | 748395   0        449      0        0        | 512    1301970        4613796      -       
32     8      5      5/8    | 6.64      3.38      2.00      1.13      13.16        0.84      | 748395   0        449      0        0        | 640    1301970        4613796      -       
32     8      6      6/8    | 6.63      3.35      1.99      1.14      13.13        0.84      | 748395   0        449      0        0        | 768    1301970        4613796      -       
32     8      7      7/8    | 6.62      3.33      1.99      1.16      13.12        0.84      | 748395   0        449      0        0        | 896    1301970        4613796      -       
32     8      8      8/8    | 6.63      3.32      1.99      1.16      13.12        0.84      | 748395   0        449      0        0        | 1024   1301970        4613796      -       
32     16     0      0/8    | 5.32      4.63      2.08      1.18      13.23        0.83      | 748395   0        0        449      0        | 1      1830666        4613796      -       
32     16     1      1/8    | 5.33      4.59      2.09      1.21      13.25        0.83      | 748395   0        0        449      0        | 128    1830666        4613796      -       
32     16     2      2/8    | 5.31      4.71      2.06      1.17      13.27        0.83      | 748395   0        445      4        0        | 256    1830666        4613796      -       
32     16     3      3/8    | 5.33      4.67      2.15      1.14      13.30        0.83      | 748395   0        449      0        0        | 384    1830666        4613796      -       
32     16     4      4/8    | 5.32      4.70      2.07      1.16      13.27        0.83      | 748395   0        449      0        0        | 512    1830666        4613796      -       
32     16     5      5/8    | 5.40      4.83      2.21      1.35      13.81        0.80      | 748395   0        449      0        0        | 640    1830666        4613796      -       
32     16     6      6/8    | 5.40      4.64      2.12      1.34      13.53        0.82      | 748395   0        449      0        0        | 768    1830666        4613796      -       
32     16     7      7/8    | 5.31      4.76      2.12      1.19      13.39        0.82      | 748395   0        449      0        0        | 896    1830666        4613796      -       
32     16     8      8/8    | 7.25      4.63      2.06      1.33      15.30        0.72      | 748395   0        449      0        0        | 1024   1830666        4613796      -       
32     32     0      0/8    | 4.16      7.16      2.16      1.32      14.82        0.74      | 748395   0        0        449      0        | 1      2809613        4613796      -       
32     32     1      1/8    | 4.17      7.41      2.23      1.36      15.19        0.73      | 748395   0        0        449      0        | 128    2809613        4613796      -       
32     32     2      2/8    | 4.16      7.42      2.29      1.32      15.21        0.73      | 748395   0        445      4        0        | 256    2809613        4613796      -       
32     32     3      3/8    | 4.16      7.33      2.25      1.31      15.08        0.73      | 748395   0        449      0        0        | 384    2809613        4613796      -       
32     32     4      4/8    | 4.17      7.25      2.23      1.35      15.02        0.73      | 748395   0        449      0        0        | 512    2809613        4613796      -       
32     32     5      5/8    | 4.16      7.08      2.26      1.33      14.83        0.74      | 748395   0        449      0        0        | 640    2809613        4613796      -       
32     32     6      6/8    | 4.16      7.16      2.11      1.33      14.77        0.75      | 748395   0        449      0        0        | 768    2809613        4613796      -       
32     32     7      7/8    | 4.15      7.18      2.11      1.33      14.79        0.75      | 748395   0        449      0        0        | 896    2809613        4613796      -       
32     32     8      8/8    | 4.17      7.19      2.21      1.33      14.91        0.74      | 748395   0        449      0        0        | 1024   2809613        4613796      -       
