# Matrix: m133-b3
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001/m133-b3.mtx
# Category: 200k-500k-0.001
# Date: 2026-03-08 04:15:55
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 200200
# Cols: 200200
# NNZ(A): 800800
# NNZ(C) estimate: 3203200
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.90      10.06     1.84      0.96      13.78        0.46      | 1557673  0        0        33857    0        | 1      3969987        3182751      -       
8      8      1      1/8    | 0.94      10.51     1.84      0.98      14.28        0.45      | 1557673  0        0        33857    0        | 8      3969987        3182751      -       
8      8      2      2/8    | 0.93      10.33     1.74      0.94      13.96        0.46      | 1557673  0        29663    4194     0        | 16     3969987        3182751      -       
8      8      3      3/8    | 0.90      10.04     1.73      0.93      13.62        0.47      | 1557673  0        33783    74       0        | 24     3969987        3182751      -       
8      8      4      4/8    | 0.90      10.03     1.73      0.95      13.62        0.47      | 1557673  0        33857    0        0        | 32     3969987        3182751      -       
8      8      5      5/8    | 0.89      10.03     1.72      0.98      13.63        0.47      | 1557673  0        33857    0        0        | 40     3969987        3182751      -       
8      8      6      6/8    | 0.90      10.04     1.72      0.94      13.62        0.47      | 1557673  0        33857    0        0        | 48     3969987        3182751      -       
8      8      7      7/8    | 0.90      10.11     1.72      0.95      13.69        0.47      | 1557673  0        33857    0        0        | 56     3969987        3182751      -       
8      8      8      8/8    | 0.90      10.06     1.72      0.96      13.66        0.47      | 1557673  0        33857    0        0        | 64     3969987        3182751      -       
8      16     0      0/8    | 1.16      14.27     2.06      1.04      18.54        0.35      | 1557673  0        0        33857    0        | 1      5430146        3182751      -       
8      16     1      1/8    | 1.17      13.77     2.06      1.06      18.07        0.35      | 1557673  0        0        33857    0        | 8      5430146        3182751      -       
8      16     2      2/8    | 1.13      13.60     1.94      1.02      17.71        0.36      | 1557673  0        29663    4194     0        | 16     5430146        3182751      -       
