# Matrix: mac_econ_fwd500
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001/mac_econ_fwd500.mtx
# Category: 200k-500k-0.001
# Date: 2026-03-08 04:17:41
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 206500
# Cols: 206500
# NNZ(A): 1273389
# NNZ(C) estimate: 7556897
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.95      9.30      4.54      1.02      15.82        0.96      | 1616641  0        0        189038   0        | 1      3719448        6704899      -       
8      8      1      1/8    | 0.92      9.40      4.52      0.99      15.86        0.95      | 1616641  0        0        189038   0        | 8      3719448        6704899      -       
8      8      2      2/8    | 0.91      9.33      3.80      0.98      15.03        1.01      | 1616641  0        131477   57561    0        | 16     3719448        6704899      -       
8      8      3      3/8    | 0.97      9.94      3.49      1.01      15.43        0.98      | 1616641  0        172853   16185    0        | 24     3719448        6704899      -       
8      8      4      4/8    | 1.07      9.76      3.49      1.00      15.34        0.99      | 1616641  0        186287   2751     0        | 32     3719448        6704899      -       
8      8      5      5/8    | 0.93      9.82      3.36      0.97      15.10        1.00      | 1616641  0        189038   0        0        | 40     3719448        6704899      -       
8      8      6      6/8    | 0.92      9.81      3.35      1.02      15.12        1.00      | 1616641  0        189038   0        0        | 48     3719448        6704899      -       
8      8      7      7/8    | 0.91      9.76      3.36      0.98      15.03        1.01      | 1616641  0        189038   0        0        | 56     3719448        6704899      -       
8      8      8      8/8    | 0.93      9.87      3.36      1.01      15.18        1.00      | 1616641  0        189038   0        0        | 64     3719448        6704899      -       
8      16     0      0/8    | 1.01      11.17     5.30      1.01      18.51        0.82      | 1616641  0        0        189038   0        | 1      4373900        6704899      -       
8      16     1      1/8    | 0.98      11.14     5.30      1.03      18.47        0.82      | 1616641  0        0        189038   0        | 8      4373900        6704899      -       
8      16     2      2/8    | 0.96      11.00     4.28      1.02      17.27        0.87      | 1616641  0        131477   57561    0        | 16     4373900        6704899      -       
8      16     3      3/8    | 1.00      11.46     3.89      1.04      17.41        0.87      | 1616641  0        172853   16185    0        | 24     4373900        6704899      -       
8      16     4      4/8    | 1.00      11.12     3.84      1.02      16.99        0.89      | 1616641  0        186287   2751     0        | 32     4373900        6704899      -       
8      16     5      5/8    | 0.97      11.09     3.71      0.98      16.78        0.90      | 1616641  0        189038   0        0        | 40     4373900        6704899      -       
8      16     6      6/8    | 0.98      11.07     3.71      1.02      16.79        0.90      | 1616641  0        189038   0        0        | 48     4373900        6704899      -       
8      16     7      7/8    | 0.96      11.13     3.71      1.01      16.82        0.90      | 1616641  0        189038   0        0        | 56     4373900        6704899      -       
8      16     8      8/8    | 1.01      11.54     3.71      1.05      17.34        0.87      | 1616641  0        189038   0        0        | 64     4373900        6704899      -       
8      32     0      0/8    | 1.04      13.54     6.56      1.06      22.21        0.68      | 1616641  0        0        189038   0        | 1      5362159        6704899      -       
8      32     1      1/8    | 1.04      14.12     6.53      1.07      22.79        0.66      | 1616641  0        0        189038   0        | 8      5362159        6704899      -       
8      32     2      2/8    | 1.01      14.03     4.64      1.04      20.75        0.73      | 1616641  0        131477   57561    0        | 16     5362159        6704899      -       
8      32     3      3/8    | 1.06      14.20     3.90      1.12      20.31        0.74      | 1616641  0        172853   16185    0        | 24     5362159        6704899      -       
8      32     4      4/8    | 1.03      13.63     3.66      1.07      19.40        0.78      | 1616641  0        186287   2751     0        | 32     5362159        6704899      -       
8      32     5      5/8    | 1.05      14.13     3.58      1.09      19.86        0.76      | 1616641  0        189038   0        0        | 40     5362159        6704899      -       
8      32     6      6/8    | 1.03      14.05     3.58      1.06      19.73        0.77      | 1616641  0        189038   0        0        | 48     5362159        6704899      -       
8      32     7      7/8    | 1.03      13.57     3.58      1.06      19.26        0.78      | 1616641  0        189038   0        0        | 56     5362159        6704899      -       
8      32     8      8/8    | 1.03      13.52     3.58      1.02      19.16        0.79      | 1616641  0        189038   0        0        | 64     5362159        6704899      -       
16     8      0      0/8    | 0.26      3.43      3.44      0.93      8.07         1.87      | 770694   0        0        44075    0        | 1      1596526        6704899      -       
16     8      1      1/8    | 0.27      3.39      3.42      0.99      8.09         1.87      | 770694   0        0        44075    0        | 32     1596526        6704899      -       
16     8      2      2/8    | 0.26      3.49      2.78      0.96      7.50         2.01      | 770694   0        32919    11156    0        | 64     1596526        6704899      -       
16     8      3      3/8    | 0.25      3.28      2.53      0.96      7.03         2.15      | 770694   0        42948    1127     0        | 96     1596526        6704899      -       
16     8      4      4/8    | 0.26      3.33      2.52      0.95      7.07         2.14      | 770694   0        44075    0        0        | 128    1596526        6704899      -       
16     8      5      5/8    | 0.25      3.27      2.51      0.96      7.00         2.16      | 770694   0        44075    0        0        | 160    1596526        6704899      -       
16     8      6      6/8    | 0.26      3.33      2.52      0.95      7.06         2.14      | 770694   0        44075    0        0        | 192    1596526        6704899      -       
16     8      7      7/8    | 0.27      3.45      2.51      0.97      7.21         2.10      | 770694   0        44075    0        0        | 224    1596526        6704899      -       
16     8      8      8/8    | 0.27      3.48      2.52      1.00      7.28         2.07      | 770694   0        44075    0        0        | 256    1596526        6704899      -       
16     16     0      0/8    | 0.25      4.66      3.48      0.96      9.36         1.61      | 770694   0        0        44075    0        | 1      1813390        6704899      -       
16     16     1      1/8    | 0.24      4.59      3.48      0.94      9.26         1.63      | 770694   0        0        44075    0        | 32     1813390        6704899      -       
16     16     2      2/8    | 0.24      4.64      2.66      0.95      8.51         1.78      | 770694   0        32919    11156    0        | 64     1813390        6704899      -       
16     16     3      3/8    | 0.24      4.75      2.39      0.99      8.38         1.80      | 770694   0        42948    1127     0        | 96     1813390        6704899      -       
16     16     4      4/8    | 0.24      4.80      2.32      0.96      8.33         1.81      | 770694   0        44075    0        0        | 128    1813390        6704899      -       
16     16     5      5/8    | 0.24      4.61      2.32      0.94      8.13         1.86      | 770694   0        44075    0        0        | 160    1813390        6704899      -       
16     16     6      6/8    | 0.25      4.64      2.32      0.94      8.16         1.85      | 770694   0        44075    0        0        | 192    1813390        6704899      -       
16     16     7      7/8    | 0.24      4.61      2.33      0.94      8.13         1.86      | 770694   0        44075    0        0        | 224    1813390        6704899      -       
16     16     8      8/8    | 0.24      4.75      2.32      0.96      8.29         1.82      | 770694   0        44075    0        0        | 256    1813390        6704899      -       
16     32     0      0/8    | 0.25      5.40      5.13      1.01      11.80        1.28      | 770694   0        0        44075    0        | 1      2133462        6704899      -       
16     32     1      1/8    | 0.26      5.69      5.14      1.01      12.12        1.25      | 770694   0        0        44075    0        | 32     2133462        6704899      -       
16     32     2      2/8    | 0.25      5.61      3.27      1.02      10.16        1.49      | 770694   0        32919    11156    0        | 64     2133462        6704899      -       
16     32     3      3/8    | 0.26      5.69      2.59      1.09      9.65         1.57      | 770694   0        42948    1127     0        | 96     2133462        6704899      -       
16     32     4      4/8    | 0.26      5.65      2.39      1.00      9.31         1.62      | 770694   0        44075    0        0        | 128    2133462        6704899      -       
16     32     5      5/8    | 0.26      5.53      2.40      1.03      9.22         1.64      | 770694   0        44075    0        0        | 160    2133462        6704899      -       
16     32     6      6/8    | 0.25      5.41      2.39      1.01      9.08         1.66      | 770694   0        44075    0        0        | 192    2133462        6704899      -       
16     32     7      7/8    | 0.25      5.41      2.39      1.02      9.09         1.66      | 770694   0        44075    0        0        | 224    2133462        6704899      -       
16     32     8      8/8    | 0.24      5.58      2.39      0.99      9.22         1.64      | 770694   0        44075    0        0        | 256    2133462        6704899      -       
32     8      0      0/8    | 0.18      2.02      4.04      0.90      7.15         2.11      | 301201   0        0        11312    0        | 1      632972         6704899      -       
32     8      1      1/8    | 0.18      1.95      4.05      0.87      7.07         2.14      | 301201   0        0        11312    0        | 128    632972         6704899      -       
32     8      2      2/8    | 0.25      2.08      2.74      1.05      6.14         2.46      | 301201   0        9295     2017     0        | 256    632972         6704899      -       
32     8      3      3/8    | 0.18      1.97      2.08      0.90      5.16         2.93      | 301201   0        11312    0        0        | 384    632972         6704899      -       
32     8      4      4/8    | 0.18      1.97      2.08      0.92      5.18         2.92      | 301201   0        11312    0        0        | 512    632972         6704899      -       
