# Matrix: mario002
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001/mario002.mtx
# Category: 200k-500k-0.001
# Date: 2026-03-08 04:20:13
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 389874
# Cols: 389874
# NNZ(A): 2101242
# NNZ(C) estimate: 12829364
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.01      19.74     5.37      1.29      28.44        0.90      | 1845969  0        0        139048   0        | 1      7956523        6449598      -       
8      8      1      1/8    | 1.86      19.68     5.34      1.17      28.07        0.91      | 1845969  0        0        139048   0        | 8      7956523        6449598      -       
8      8      2      2/8    | 2.04      20.66     4.56      1.20      28.47        0.90      | 1845969  0        108148   30900    0        | 16     7956523        6449598      -       
8      8      3      3/8    | 2.05      19.71     4.29      1.29      27.36        0.94      | 1845969  0        132373   6675     0        | 24     7956523        6449598      -       
8      8      4      4/8    | 1.87      19.62     4.33      1.18      27.02        0.95      | 1845969  0        137677   1371     0        | 32     7956523        6449598      -       
8      8      5      5/8    | 1.98      19.59     4.17      1.16      26.92        0.95      | 1845969  0        138865   183      0        | 40     7956523        6449598      -       
8      8      6      6/8    | 1.84      19.71     4.16      1.17      26.89        0.95      | 1845969  0        139037   11       0        | 48     7956523        6449598      -       
8      8      7      7/8    | 1.85      19.74     4.14      1.17      26.92        0.95      | 1845969  0        139047   1        0        | 56     7956523        6449598      -       
8      8      8      8/8    | 1.86      19.74     4.14      1.18      26.93        0.95      | 1845969  0        139048   0        0        | 64     7956523        6449598      -       
8      16     0      0/8    | 2.70      32.91     6.39      1.38      43.40        0.59      | 1845969  0        0        139048   0        | 1      13279195       6449598      -       
8      16     1      1/8    | 2.61      32.91     6.39      1.39      43.32        0.59      | 1845969  0        0        139048   0        | 8      13279195       6449598      -       
8      16     2      2/8    | 2.61      34.92     5.30      1.40      44.25        0.58      | 1845969  0        108148   30900    0        | 16     13279195       6449598      -       
8      16     3      3/8    | 2.57      34.51     4.83      1.39      43.32        0.59      | 1845969  0        132373   6675     0        | 24     13279195       6449598      -       
8      16     4      4/8    | 2.72      34.46     4.88      1.38      43.46        0.59      | 1845969  0        137677   1371     0        | 32     13279195       6449598      -       
8      16     5      5/8    | 2.57      34.68     4.74      1.39      43.40        0.59      | 1845969  0        138865   183      0        | 40     13279195       6449598      -       
8      16     6      6/8    | 2.57      33.00     4.72      1.43      41.73        0.61      | 1845969  0        139037   11       0        | 48     13279195       6449598      -       
8      16     7      7/8    | 2.59      34.90     4.70      1.40      43.61        0.59      | 1845969  0        139047   1        0        | 56     13279195       6449598      -       
8      16     8      8/8    | 2.75      34.60     4.70      1.41      43.48        0.59      | 1845969  0        139048   0        0        | 64     13279195       6449598      -       
8      32     0      0/8    | 4.59      59.52     8.46      1.77      74.36        0.35      | 1845969  0        0        139048   0        | 1      22835425       6449598      -       
8      32     1      1/8    | 4.62      59.95     8.45      1.78      74.82        0.34      | 1845969  0        0        139048   0        | 8      22835425       6449598      -       
8      32     2      2/8    | 4.59      59.46     6.31      1.74      72.12        0.36      | 1845969  0        108148   30900    0        | 16     22835425       6449598      -       
8      32     3      3/8    | 4.60      59.70     5.27      1.78      71.37        0.36      | 1845969  0        132373   6675     0        | 24     22835425       6449598      -       
8      32     4      4/8    | 4.64      59.93     5.07      1.78      71.44        0.36      | 1845969  0        137677   1371     0        | 32     22835425       6449598      -       
8      32     5      5/8    | 4.57      59.96     5.05      1.79      71.39        0.36      | 1845969  0        138865   183      0        | 40     22835425       6449598      -       
8      32     6      6/8    | 4.59      59.95     5.00      1.77      71.33        0.36      | 1845969  0        139037   11       0        | 48     22835425       6449598      -       
8      32     7      7/8    | 4.61      58.16     4.92      1.79      69.50        0.37      | 1845969  0        139047   1        0        | 56     22835425       6449598      -       
8      32     8      8/8    | 4.66      60.27     4.91      1.82      71.68        0.36      | 1845969  0        139048   0        0        | 64     22835425       6449598      -       
16     8      0      0/8    | 1.53      12.92     4.60      1.19      20.27        1.27      | 1358467  0        0        17549    0        | 1      4952676        6449598      -       
16     8      1      1/8    | 1.52      12.79     4.61      1.17      20.11        1.28      | 1358467  0        0        17549    0        | 32     4952676        6449598      -       
16     8      2      2/8    | 1.55      12.82     4.34      1.19      19.92        1.29      | 1358467  0        15942    1607     0        | 64     4952676        6449598      -       
16     8      3      3/8    | 1.68      12.76     4.30      1.15      19.91        1.29      | 1358467  0        17531    18       0        | 96     4952676        6449598      -       
16     8      4      4/8    | 1.56      12.93     4.25      1.21      19.96        1.29      | 1358467  0        17549    0        0        | 128    4952676        6449598      -       
16     8      5      5/8    | 1.52      12.94     4.25      1.14      19.88        1.29      | 1358467  0        17549    0        0        | 160    4952676        6449598      -       
16     8      6      6/8    | 1.52      12.91     4.25      1.15      19.86        1.29      | 1358467  0        17549    0        0        | 192    4952676        6449598      -       
16     8      7      7/8    | 1.68      12.74     4.26      1.14      19.83        1.29      | 1358467  0        17549    0        0        | 224    4952676        6449598      -       
16     8      8      8/8    | 1.52      12.90     4.25      1.19      19.89        1.29      | 1358467  0        17549    0        0        | 256    4952676        6449598      -       
16     16     0      0/8    | 1.98      20.86     4.75      1.34      28.96        0.89      | 1358467  0        0        17549    0        | 1      8118284        6449598      -       
16     16     1      1/8    | 1.98      21.30     4.75      1.37      29.41        0.87      | 1358467  0        0        17549    0        | 32     8118284        6449598      -       
16     16     2      2/8    | 1.97      21.07     4.35      1.36      28.77        0.89      | 1358467  0        15942    1607     0        | 64     8118284        6449598      -       
16     16     3      3/8    | 2.15      21.34     4.28      1.42      29.20        0.88      | 1358467  0        17531    18       0        | 96     8118284        6449598      -       
16     16     4      4/8    | 1.99      20.36     4.17      1.37      27.91        0.92      | 1358467  0        17549    0        0        | 128    8118284        6449598      -       
16     16     5      5/8    | 2.00      20.42     4.17      1.38      27.98        0.92      | 1358467  0        17549    0        0        | 160    8118284        6449598      -       
16     16     6      6/8    | 1.97      20.46     4.17      1.37      27.99        0.92      | 1358467  0        17549    0        0        | 192    8118284        6449598      -       
