# Matrix: mo2010
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001/mo2010.mtx
# Category: 200k-500k-0.001
# Date: 2026-03-08 04:26:25
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 343565
# Cols: 343565
# NNZ(A): 1656568
# NNZ(C) estimate: 10901760
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.62      31.79     8.26      1.33      44.03        0.50      | 3176198  0        0        73726    0        | 1      12296284       7320503      -       
8      8      1      1/8    | 2.60      38.69     8.28      1.36      50.95        0.43      | 3176198  0        0        73726    0        | 8      12296284       7320503      -       
8      8      2      2/8    | 2.61      44.24     7.46      1.39      55.72        0.39      | 3176198  0        68345    5381     0        | 16     12296284       7320503      -       
8      8      3      3/8    | 2.77      32.07     7.39      1.36      43.63        0.50      | 3176198  0        73278    448      0        | 24     12296284       7320503      -       
8      8      4      4/8    | 2.65      32.03     8.02      1.33      44.06        0.49      | 3176198  0        73676    50       0        | 32     12296284       7320503      -       
8      8      5      5/8    | 2.65      30.39     7.36      1.40      41.81        0.52      | 3176198  0        73715    11       0        | 40     12296284       7320503      -       
8      8      6      6/8    | 2.59      30.36     7.36      1.37      41.69        0.52      | 3176198  0        73724    2        0        | 48     12296284       7320503      -       
8      8      7      7/8    | 2.75      35.22     7.37      1.36      46.72        0.47      | 3176198  0        73726    0        0        | 56     12296284       7320503      -       
8      8      8      8/8    | 2.59      34.47     7.37      1.34      45.78        0.48      | 3176198  0        73726    0        0        | 64     12296284       7320503      -       
8      16     0      0/8    | 3.74      44.49     10.41     1.57      60.23        0.36      | 3176198  0        0        73726    0        | 1      17921258       7320503      -       
8      16     1      1/8    | 3.73      44.55     10.41     1.56      60.27        0.36      | 3176198  0        0        73726    0        | 8      17921258       7320503      -       
8      16     2      2/8    | 3.74      44.54     9.11      1.60      59.00        0.37      | 3176198  0        68345    5381     0        | 16     17921258       7320503      -       
8      16     3      3/8    | 3.78      46.81     9.01      1.61      61.23        0.36      | 3176198  0        73278    448      0        | 24     17921258       7320503      -       
8      16     4      4/8    | 3.72      46.59     9.11      1.61      61.05        0.36      | 3176198  0        73676    50       0        | 32     17921258       7320503      -       
8      16     5      5/8    | 3.79      44.88     9.00      1.61      59.30        0.37      | 3176198  0        73715    11       0        | 40     17921258       7320503      -       
8      16     6      6/8    | 3.74      44.50     8.97      1.57      58.79        0.37      | 3176198  0        73724    2        0        | 48     17921258       7320503      -       
8      16     7      7/8    | 3.90      44.31     8.98      1.59      58.79        0.37      | 3176198  0        73726    0        0        | 56     17921258       7320503      -       
8      16     8      8/8    | 3.75      44.28     8.97      1.59      58.61        0.37      | 3176198  0        73726    0        0        | 64     17921258       7320503      -       
8      32     0      0/8    | 5.71      61.20     13.27     1.82      82.02        0.27      | 3176198  0        0        73726    0        | 1      24443948       7320503      -       
8      32     1      1/8    | 5.71      61.12     13.30     1.82      81.97        0.27      | 3176198  0        0        73726    0        | 8      24443948       7320503      -       
8      32     2      2/8    | 5.70      61.20     10.30     1.83      79.05        0.28      | 3176198  0        68345    5381     0        | 16     24443948       7320503      -       
8      32     3      3/8    | 5.71      61.12     10.07     1.83      78.75        0.28      | 3176198  0        73278    448      0        | 24     24443948       7320503      -       
8      32     4      4/8    | 5.71      61.11     10.03     1.85      78.72        0.28      | 3176198  0        73676    50       0        | 32     24443948       7320503      -       
8      32     5      5/8    | 5.65      60.85     10.05     1.83      78.40        0.28      | 3176198  0        73715    11       0        | 40     24443948       7320503      -       
8      32     6      6/8    | 5.70      61.37     9.90      1.84      78.82        0.28      | 3176198  0        73724    2        0        | 48     24443948       7320503      -       
8      32     7      7/8    | 5.70      61.22     9.89      1.83      78.67        0.28      | 3176198  0        73726    0        0        | 56     24443948       7320503      -       
8      32     8      8/8    | 5.69      61.35     9.89      1.82      78.77        0.28      | 3176198  0        73726    0        0        | 64     24443948       7320503      -       
16     8      0      0/8    | 1.78      14.51     8.23      1.23      25.76        0.85      | 2066957  0        0        4532     0        | 1      5554305        7320503      -       
16     8      1      1/8    | 1.74      14.47     8.22      1.19      25.65        0.85      | 2066957  0        0        4532     0        | 32     5554305        7320503      -       
16     8      2      2/8    | 1.73      14.40     8.12      1.21      25.48        0.86      | 2066957  0        4507     25       0        | 64     5554305        7320503      -       
16     8      3      3/8    | 1.72      14.51     8.12      1.20      25.56        0.85      | 2066957  0        4532     0        0        | 96     5554305        7320503      -       
16     8      4      4/8    | 1.75      14.46     8.12      1.22      25.57        0.85      | 2066957  0        4532     0        0        | 128    5554305        7320503      -       
16     8      5      5/8    | 1.74      14.29     8.12      1.24      25.41        0.86      | 2066957  0        4532     0        0        | 160    5554305        7320503      -       
16     8      6      6/8    | 1.77      14.62     8.13      1.23      25.77        0.85      | 2066957  0        4532     0        0        | 192    5554305        7320503      -       
16     8      7      7/8    | 1.89      13.80     8.14      1.34      25.20        0.87      | 2066957  0        4532     0        0        | 224    5554305        7320503      -       
16     8      8      8/8    | 1.87      13.82     8.12      1.20      25.03        0.87      | 2066957  0        4532     0        0        | 256    5554305        7320503      -       
16     16     0      0/8    | 2.06      17.91     9.09      1.31      30.38        0.72      | 2066957  0        0        4532     0        | 1      7080545        7320503      -       
16     16     1      1/8    | 2.07      18.36     9.09      1.32      30.86        0.71      | 2066957  0        0        4532     0        | 32     7080545        7320503      -       
16     16     2      2/8    | 2.12      17.95     9.01      1.33      30.42        0.72      | 2066957  0        4507     25       0        | 64     7080545        7320503      -       
16     16     3      3/8    | 2.08      17.74     8.92      1.31      30.07        0.73      | 2066957  0        4532     0        0        | 96     7080545        7320503      -       
16     16     4      4/8    | 2.20      17.73     8.91      1.30      30.16        0.72      | 2066957  0        4532     0        0        | 128    7080545        7320503      -       
16     16     5      5/8    | 2.03      17.91     8.91      1.31      30.18        0.72      | 2066957  0        4532     0        0        | 160    7080545        7320503      -       
16     16     6      6/8    | 2.04      17.70     8.90      1.32      29.98        0.73      | 2066957  0        4532     0        0        | 192    7080545        7320503      -       
16     16     7      7/8    | 2.04      17.79     8.92      1.33      30.09        0.72      | 2066957  0        4532     0        0        | 224    7080545        7320503      -       
16     16     8      8/8    | 2.04      17.81     8.92      1.31      30.10        0.72      | 2066957  0        4532     0        0        | 256    7080545        7320503      -       
16     32     0      0/8    | 2.79      23.08     11.24     1.57      38.69        0.56      | 2066957  0        0        4532     0        | 1      8808927        7320503      -       
16     32     1      1/8    | 2.79      22.45     11.25     1.55      38.05        0.57      | 2066957  0        0        4532     0        | 32     8808927        7320503      -       
16     32     2      2/8    | 2.73      22.35     10.89     1.52      37.51        0.58      | 2066957  0        4507     25       0        | 64     8808927        7320503      -       
16     32     3      3/8    | 2.76      22.37     10.49     1.55      37.19        0.59      | 2066957  0        4532     0        0        | 96     8808927        7320503      -       
16     32     4      4/8    | 2.86      23.17     10.50     1.61      38.16        0.57      | 2066957  0        4532     0        0        | 128    8808927        7320503      -       
16     32     5      5/8    | 2.80      22.45     10.50     1.56      37.33        0.58      | 2066957  0        4532     0        0        | 160    8808927        7320503      -       
16     32     6      6/8    | 2.81      22.90     10.49     1.54      37.76        0.58      | 2066957  0        4532     0        0        | 192    8808927        7320503      -       
16     32     7      7/8    | 2.81      22.50     10.49     1.55      37.37        0.58      | 2066957  0        4532     0        0        | 224    8808927        7320503      -       
16     32     8      8/8    | 2.75      22.37     10.49     1.55      37.17        0.59      | 2066957  0        4532     0        0        | 256    8808927        7320503      -       
32     8      0      0/8    | 0.51      10.23     11.38     1.30      23.44        0.93      | 1124539  0        0        26       0        | 1      2213979        7320503      -       
32     8      1      1/8    | 0.56      10.38     11.44     1.50      23.90        0.91      | 1124539  0        0        26       0        | 128    2213979        7320503      -       
32     8      2      2/8    | 0.58      10.51     11.42     1.49      24.02        0.91      | 1124539  0        26       0        0        | 256    2213979        7320503      -       
