# Matrix: thermomech_dM
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.001/thermomech_dM.mtx
# Category: 200k-500k-0.001
# Date: 2026-03-08 05:07:03
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 204316
# Cols: 204316
# NNZ(A): 1423116
# NNZ(C) estimate: 10016908
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 3.37      30.06     3.80      1.30      38.55        0.52      | 1828531  0        0        1381     0        | 1      11941314       3937076      -       
8      8      1      1/8    | 3.34      29.89     3.79      1.30      38.34        0.52      | 1828531  0        0        1381     0        | 8      11941314       3937076      -       
8      8      2      2/8    | 3.40      31.81     3.77      1.33      40.34        0.50      | 1828531  0        891      490      0        | 16     11941314       3937076      -       
8      8      3      3/8    | 3.40      30.11     4.21      1.34      39.08        0.51      | 1828531  0        944      437      0        | 24     11941314       3937076      -       
8      8      4      4/8    | 3.39      29.98     3.74      1.32      38.45        0.52      | 1828531  0        1381     0        0        | 32     11941314       3937076      -       
8      8      5      5/8    | 3.38      29.74     3.75      1.30      38.17        0.52      | 1828531  0        1381     0        0        | 40     11941314       3937076      -       
8      8      6      6/8    | 3.38      29.89     3.75      1.30      38.34        0.52      | 1828531  0        1381     0        0        | 48     11941314       3937076      -       
8      8      7      7/8    | 3.37      29.92     3.75      1.32      38.37        0.52      | 1828531  0        1381     0        0        | 56     11941314       3937076      -       
8      8      8      8/8    | 3.27      30.09     3.75      1.33      38.45        0.52      | 1828531  0        1381     0        0        | 64     11941314       3937076      -       
8      16     0      0/8    | 8.10      64.56     4.64      1.91      79.22        0.25      | 1828531  0        0        1381     0        | 1      25460804       3937076      -       
8      16     1      1/8    | 7.92      64.74     4.63      1.85      79.16        0.25      | 1828531  0        0        1381     0        | 8      25460804       3937076      -       
8      16     2      2/8    | 7.88      64.67     4.59      1.87      79.02        0.25      | 1828531  0        891      490      0        | 16     25460804       3937076      -       
8      16     3      3/8    | 7.82      64.26     4.57      1.84      78.51        0.26      | 1828531  0        944      437      0        | 24     25460804       3937076      -       
8      16     4      4/8    | 8.21      64.12     4.57      1.87      78.78        0.25      | 1828531  0        1381     0        0        | 32     25460804       3937076      -       
8      16     5      5/8    | 7.92      64.73     4.56      1.85      79.08        0.25      | 1828531  0        1381     0        0        | 40     25460804       3937076      -       
8      16     6      6/8    | 8.32      64.56     4.56      1.87      79.33        0.25      | 1828531  0        1381     0        0        | 48     25460804       3937076      -       
8      16     7      7/8    | 8.01      64.19     4.56      1.84      78.61        0.25      | 1828531  0        1381     0        0        | 56     25460804       3937076      -       
8      16     8      8/8    | 8.03      64.77     4.56      1.87      79.25        0.25      | 1828531  0        1381     0        0        | 64     25460804       3937076      -       
8      32     0      0/8    | 24.24     125.44    5.04      2.74      157.47       0.13      | 1828531  0        0        1381     0        | 1      49555260       3937076      -       
8      32     1      1/8    | 24.30     124.59    5.05      2.77      156.72       0.13      | 1828531  0        0        1381     0        | 8      49555260       3937076      -       
8      32     2      2/8    | 23.71     124.81    4.96      2.73      156.23       0.13      | 1828531  0        891      490      0        | 16     49555260       3937076      -       
8      32     3      3/8    | 24.35     124.51    4.88      2.74      156.50       0.13      | 1828531  0        944      437      0        | 24     49555260       3937076      -       
8      32     4      4/8    | 23.75     132.26    4.81      2.78      163.62       0.12      | 1828531  0        1381     0        0        | 32     49555260       3937076      -       
8      32     5      5/8    | 23.80     125.28    4.80      2.80      156.71       0.13      | 1828531  0        1381     0        0        | 40     49555260       3937076      -       
8      32     6      6/8    | 24.32     126.15    4.80      2.74      158.03       0.13      | 1828531  0        1381     0        0        | 48     49555260       3937076      -       
8      32     7      7/8    | 24.30     131.05    4.81      2.77      162.95       0.12      | 1828531  0        1381     0        0        | 56     49555260       3937076      -       
8      32     8      8/8    | 24.45     130.75    4.81      2.79      162.82       0.12      | 1828531  0        1381     0        0        | 64     49555260       3937076      -       
16     8      0      0/8    | 0.76      28.12     5.22      1.54      35.66        0.56      | 1754642  0        0        300      0        | 1      10825606       3937076      -       
16     8      1      1/8    | 0.77      28.17     5.23      1.56      35.75        0.56      | 1754642  0        0        300      0        | 32     10825606       3937076      -       
16     8      2      2/8    | 0.76      28.18     5.23      1.53      35.73        0.56      | 1754642  0        95       205      0        | 64     10825606       3937076      -       
16     8      3      3/8    | 0.76      28.45     5.23      1.56      36.02        0.56      | 1754642  0        300      0        0        | 96     10825606       3937076      -       
16     8      4      4/8    | 0.76      28.51     5.23      1.63      36.15        0.55      | 1754642  0        300      0        0        | 128    10825606       3937076      -       
16     8      5      5/8    | 0.76      28.15     5.26      1.53      35.73        0.56      | 1754642  0        300      0        0        | 160    10825606       3937076      -       
16     8      6      6/8    | 0.75      28.39     5.23      1.54      35.94        0.56      | 1754642  0        300      0        0        | 192    10825606       3937076      -       
16     8      7      7/8    | 0.76      28.40     5.22      1.57      35.97        0.56      | 1754642  0        300      0        0        | 224    10825606       3937076      -       
16     8      8      8/8    | 0.90      28.22     5.22      1.56      35.93        0.56      | 1754642  0        300      0        0        | 256    10825606       3937076      -       
16     16     0      0/8    | 1.36      52.61     5.38      2.20      61.57        0.33      | 1754642  0        0        300      0        | 1      20657080       3937076      -       
16     16     1      1/8    | 1.36      51.83     5.38      2.17      60.76        0.33      | 1754642  0        0        300      0        | 32     20657080       3937076      -       
16     16     2      2/8    | 1.35      52.42     5.38      2.17      61.34        0.33      | 1754642  0        95       205      0        | 64     20657080       3937076      -       
16     16     3      3/8    | 1.38      54.26     5.29      2.21      63.16        0.32      | 1754642  0        300      0        0        | 96     20657080       3937076      -       
16     16     4      4/8    | 1.36      52.46     5.29      2.21      61.34        0.33      | 1754642  0        300      0        0        | 128    20657080       3937076      -       
16     16     5      5/8    | 1.36      52.58     5.29      2.16      61.41        0.33      | 1754642  0        300      0        0        | 160    20657080       3937076      -       
16     16     6      6/8    | 1.38      54.52     5.29      2.23      63.44        0.32      | 1754642  0        300      0        0        | 192    20657080       3937076      -       
16     16     7      7/8    | 1.38      54.31     5.28      2.19      63.17        0.32      | 1754642  0        300      0        0        | 224    20657080       3937076      -       
16     16     8      8/8    | 1.37      52.76     5.29      2.23      61.66        0.32      | 1754642  0        300      0        0        | 256    20657080       3937076      -       
16     32     0      0/8    | 2.45      90.36     6.35      3.52      102.69       0.20      | 1754642  0        0        300      0        | 1      35996400       3937076      -       
16     32     1      1/8    | 2.46      90.15     6.35      3.54      102.53       0.20      | 1754642  0        0        300      0        | 32     35996400       3937076      -       
16     32     2      2/8    | 2.43      95.85     6.18      3.59      108.06       0.19      | 1754642  0        95       205      0        | 64     35996400       3937076      -       
16     32     3      3/8    | 2.45      94.83     5.84      3.62      106.77       0.19      | 1754642  0        300      0        0        | 96     35996400       3937076      -       
16     32     4      4/8    | 2.46      94.55     5.85      3.54      106.42       0.19      | 1754642  0        300      0        0        | 128    35996400       3937076      -       
16     32     5      5/8    | 2.45      94.79     5.85      3.52      106.63       0.19      | 1754642  0        300      0        0        | 160    35996400       3937076      -       
16     32     6      6/8    | 2.48      101.23    5.85      5.32      114.89       0.17      | 1754642  0        300      0        0        | 192    35996400       3937076      -       
16     32     7      7/8    | 2.47      91.85     5.84      3.59      103.76       0.19      | 1754642  0        300      0        0        | 224    35996400       3937076      -       
16     32     8      8/8    | 2.43      90.02     5.84      3.53      101.84       0.20      | 1754642  0        300      0        0        | 256    35996400       3937076      -       
32     8      0      0/8    | 0.72      20.93     7.35      2.25      31.27        0.64      | 1601608  0        0        113      0        | 1      8309311        3937076      -       
32     8      1      1/8    | 0.73      20.71     7.37      2.31      31.14        0.64      | 1601608  0        0        113      0        | 128    8309311        3937076      -       
32     8      2      2/8    | 0.73      20.98     7.21      2.27      31.21        0.64      | 1601608  0        113      0        0        | 256    8309311        3937076      -       
32     8      3      3/8    | 0.74      20.88     7.10      2.29      31.02        0.65      | 1601608  0        113      0        0        | 384    8309311        3937076      -       
32     8      4      4/8    | 0.74      20.85     7.20      2.30      31.10        0.64      | 1601608  0        113      0        0        | 512    8309311        3937076      -       
32     8      5      5/8    | 0.79      21.63     7.26      2.33      32.03        0.63      | 1601608  0        113      0        0        | 640    8309311        3937076      -       
32     8      6      6/8    | 0.73      21.65     7.11      2.28      31.79        0.63      | 1601608  0        113      0        0        | 768    8309311        3937076      -       
32     8      7      7/8    | 0.74      21.49     7.11      2.28      31.64        0.63      | 1601608  0        113      0        0        | 896    8309311        3937076      -       
32     8      8      8/8    | 0.74      21.52     7.11      2.24      31.63        0.63      | 1601608  0        113      0        0        | 1024   8309311        3937076      -       
32     16     0      0/8    | 1.18      35.03     8.26      3.15      47.63        0.42      | 1601608  0        0        113      0        | 1      13502481       3937076      -       
32     16     1      1/8    | 1.16      34.52     8.23      3.20      47.13        0.43      | 1601608  0        0        113      0        | 128    13502481       3937076      -       
32     16     2      2/8    | 1.16      34.12     7.87      3.21      46.38        0.43      | 1601608  0        113      0        0        | 256    13502481       3937076      -       
32     16     3      3/8    | 1.15      33.82     7.87      3.13      45.99        0.44      | 1601608  0        113      0        0        | 384    13502481       3937076      -       
32     16     4      4/8    | 1.16      34.19     7.88      3.15      46.40        0.43      | 1601608  0        113      0        0        | 512    13502481       3937076      -       
