# Matrix: F1
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.01-0.1/F1.mtx
# Category: 200k-500k-0.01-0.1
# Date: 2026-03-08 05:49:16
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 343791
# Cols: 343791
# NNZ(A): 26837113
# NNZ(C) estimate: 2667510665
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 48.99     170.91    145.60    5.02      370.55       14.40     | 4026518  0        0        7689311  425283   | 1      66839264       224484403    -       
8      8      1      1/8    | 49.24     173.71    145.71    5.07      373.75       14.27     | 4026518  0        0        7689311  425283   | 8      66839264       224484403    -       
8      8      2      2/8    | 49.16     154.96    132.76    5.05      341.96       15.60     | 4026518  0        3223304  4466007  425283   | 16     66839264       224484403    -       
8      8      3      3/8    | 49.05     167.52    120.88    5.04      342.50       15.58     | 4026518  0        5339522  2349789  425283   | 24     66839264       224484403    -       
8      8      4      4/8    | 49.21     165.97    122.87    5.00      343.07       15.55     | 4026518  0        6130635  1558676  425283   | 32     66839264       224484403    -       
8      8      5      5/8    | 49.31     166.17    109.57    5.00      330.06       16.16     | 4026518  0        6815022  874289   425283   | 40     66839264       224484403    -       
8      8      6      6/8    | 49.45     167.17    105.99    5.00      327.62       16.28     | 4026518  0        7279070  410241   425283   | 48     66839264       224484403    -       
8      8      7      7/8    | 49.12     165.83    102.84    5.01      322.82       16.53     | 4026518  0        7603196  86115    425283   | 56     66839264       224484403    -       
8      8      8      8/8    | 49.36     157.94    98.35     5.12      310.79       17.17     | 4026518  0        8114594  0        0        | 64     66839264       224484403    -       
8      16     0      0/8    | 107.35    267.63    161.72    9.18      545.91       9.77      | 4026518  0        0        7689311  425283   | 1      107609608      224484403    -       
8      16     1      1/8    | 108.39    276.52    161.67    9.18      555.78       9.60      | 4026518  0        0        7689311  425283   | 8      107609608      224484403    -       
8      16     2      2/8    | 107.54    279.38    141.29    9.19      537.45       9.93      | 4026518  0        3223304  4466007  425283   | 16     107609608      224484403    -       
8      16     3      3/8    | 107.39    275.92    123.42    9.19      515.95       10.34     | 4026518  0        5339522  2349789  425283   | 24     107609608      224484403    -       
8      16     4      4/8    | 107.84    274.23    121.88    9.18      513.16       10.40     | 4026518  0        6130635  1558676  425283   | 32     107609608      224484403    -       
8      16     5      5/8    | 107.75    274.81    107.23    9.16      498.97       10.69     | 4026518  0        6815022  874289   425283   | 40     107609608      224484403    -       
8      16     6      6/8    | 107.38    276.90    102.30    9.18      495.78       10.76     | 4026518  0        7279070  410241   425283   | 48     107609608      224484403    -       
8      16     7      7/8    | 107.37    283.40    97.96     9.22      497.98       10.71     | 4026518  0        7603196  86115    425283   | 56     107609608      224484403    -       
8      16     8      8/8    | 107.91    274.36    92.64     9.19      484.12       11.02     | 4026518  0        8114594  0        0        | 64     107609608      224484403    -       
8      32     0      0/8    | 285.27    468.01    265.40    11.21     1029.92      5.18      | 4025639  0        0        7724938  425254   | 1      182973200      225704934    -       
8      32     1      1/8    | 283.70    462.39    265.42    11.10     1022.63      5.22      | 4025639  0        0        7724938  425254   | 8      182973200      225704954    -       
8      32     2      2/8    | 284.08    458.00    220.71    11.12     973.93       5.48      | 4025638  0        3222790  4502147  425254   | 16     182973200      225704916    -       
8      32     3      3/8    | 285.00    472.58    181.35    11.04     949.99       5.62      | 4025639  0        5338630  2386307  425254   | 24     182973200      225704930    -       
8      32     4      4/8    | 284.90    473.13    163.24    11.07     932.35       5.72      | 4025639  0        6129632  1595305  425254   | 32     182973200      225704936    -       
8      32     5      5/8    | 285.26    469.97    140.84    11.21     907.30       5.88      | 4025636  0        6850732  874207   425254   | 40     182973200      225704954    -       
8      32     6      6/8    | 285.98    477.30    128.34    11.14     902.78       5.91      | 4025639  0        7314734  410203   425254   | 48     182973200      225704942    -       
8      32     7      7/8    | 285.42    466.90    117.90    11.02     881.27       6.05      | 4025639  0        7638828  86110    425254   | 56     182973200      225704930    -       
8      32     8      8/8    | 289.22    469.47    101.85    11.11     871.68       6.12      | 4025639  0        8150191  0        0        | 64     182973200      225704940    -       
16     8      0      0/8    | 31.73     99.81     156.19    5.24      292.99       18.21     | 4136238  0        0        2162947  22366    | 1      36101741       224484403    -       
16     8      1      1/8    | 31.66     99.57     156.21    5.23      292.69       18.23     | 4136238  0        0        2162947  22366    | 32     36101741       224484403    -       
16     8      2      2/8    | 31.89     99.84     130.17    5.24      267.16       19.97     | 4136238  0        1217364  945583   22366    | 64     36101741       224484403    -       
16     8      3      3/8    | 31.78     100.07    117.51    5.21      254.59       20.96     | 4136238  0        1674332  488615   22366    | 96     36101741       224484403    -       
16     8      4      4/8    | 31.90     99.72     110.66    5.30      247.61       21.55     | 4136238  0        1890595  272352   22366    | 128    36101741       224484403    -       
16     8      5      5/8    | 31.69     99.94     105.68    5.22      242.55       22.00     | 4136238  0        2025026  137921   22366    | 160    36101741       224484403    -       
16     8      6      6/8    | 31.98     99.88     103.41    5.25      240.55       22.18     | 4136238  0        2098086  64861    22366    | 192    36101741       224484403    -       
16     8      7      7/8    | 32.02     86.22     102.03    5.26      225.54       23.65     | 4136238  0        2141573  21374    22366    | 224    36101741       224484403    -       
16     8      8      8/8    | 32.03     99.76     100.40    5.25      237.46       22.47     | 4136238  0        2185313  0        0        | 256    36101741       224484403    -       
16     16     0      0/8    | 62.10     145.83    145.25    8.19      361.39       14.76     | 4136238  0        0        2162947  22366    | 1      56864731       224484403    -       
16     16     1      1/8    | 62.56     146.26    145.25    8.23      362.32       14.72     | 4136238  0        0        2162947  22366    | 32     56864731       224484403    -       
16     16     2      2/8    | 62.14     144.84    118.73    8.18      333.91       15.98     | 4136238  0        1217364  945583   22366    | 64     56864731       224484403    -       
16     16     3      3/8    | 62.88     145.97    106.34    8.18      323.40       16.50     | 4136238  0        1674332  488615   22366    | 96     56864731       224484403    -       
16     16     4      4/8    | 62.54     146.02    99.83     8.14      316.56       16.85     | 4136238  0        1890595  272352   22366    | 128    56864731       224484403    -       
16     16     5      5/8    | 62.18     144.59    95.31     8.20      310.31       17.19     | 4136238  0        2025026  137921   22366    | 160    56864731       224484403    -       
16     16     6      6/8    | 62.29     144.91    93.34     8.18      308.74       17.28     | 4136238  0        2098086  64861    22366    | 192    56864731       224484403    -       
16     16     7      7/8    | 62.48     146.13    92.23     8.23      309.09       17.26     | 4136238  0        2141573  21374    22366    | 224    56864731       224484403    -       
16     16     8      8/8    | 62.72     144.81    90.83     8.18      306.56       17.40     | 4136238  0        2185313  0        0        | 256    56864731       224484403    -       
16     32     0      0/8    | 140.75    236.29    245.29    11.09     633.45       8.42      | 4135568  0        0        2177548  22365    | 1      92268365       226032939    -       
16     32     1      1/8    | 140.78    236.65    245.80    11.11     634.37       8.41      | 4135568  0        0        2177548  22365    | 32     92268365       226032939    -       
16     32     2      2/8    | 141.33    242.59    172.63    11.07     567.64       9.40      | 4135566  0        1217200  960348   22365    | 64     92268365       226032933    -       
16     32     3      3/8    | 140.77    234.77    138.96    11.10     525.62       10.15     | 4135568  0        1674105  503443   22365    | 96     92268365       226032939    -       
16     32     4      4/8    | 141.05    218.64    116.72    11.12     487.55       10.94     | 4135568  0        1905217  272331   22365    | 128    92268365       226032939    -       
16     32     5      5/8    | 141.59    242.38    105.77    11.09     500.84       10.65     | 4135568  0        2039636  137912   22365    | 160    92268365       226032939    -       
16     32     6      6/8    | 140.71    237.26    99.76     11.15     488.91       10.91     | 4135568  0        2112690  64858    22365    | 192    92268365       226032939    -       
16     32     7      7/8    | 141.39    236.34    96.11     11.10     484.97       11.00     | 4135568  0        2156176  21372    22365    | 224    92268365       226032939    -       
16     32     8      8/8    | 141.38    237.19    92.75     11.11     482.46       11.06     | 4135568  0        2199913  0        0        | 256    92268365       226032939    -       
32     8      0      0/8    | 1.86      76.66     191.37    5.85      275.76       19.35     | 3383638  0        0        442337   899      | 1      20958150       224484403    -       
32     8      1      1/8    | 1.86      76.42     191.12    5.89      275.32       19.38     | 3383638  0        0        442337   899      | 128    20958150       224484403    -       
32     8      2      2/8    | 1.90      76.19     147.88    5.82      231.81       23.01     | 3383638  0        297344   144993   899      | 256    20958150       224484403    -       
32     8      3      3/8    | 1.96      76.25     132.58    5.81      216.61       24.63     | 3383638  0        385365   56972    899      | 384    20958150       224484403    -       
32     8      4      4/8    | 1.93      75.71     126.21    5.90      209.77       25.43     | 3383638  0        418254   24083    899      | 512    20958150       224484403    -       
